5216-T,JQスタンダード,倉元,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,181,183,171,178,266400,46850000
2014-06-26,186,187,180,185,116300,21313800
2014-06-25,181,185,180,184,76700,13977600
2014-06-24,185,191,182,182,186200,34435700
2014-06-23,190,190,178,180,300300,55585300
2014-06-20,196,202,188,189,1096800,213280300
2014-06-19,189,189,184,188,377000,70462600
2014-06-18,187,194,182,188,510300,95422200
2014-06-17,171,199,171,191,3388100,641003000
2014-06-16,171,177,164,171,307900,52224600
2014-06-13,158,170,157,170,668100,110195300
2014-06-12,156,159,156,156,69700,10974600
2014-06-11,157,160,156,159,47700,7565200
2014-06-10,157,158,156,156,33500,5258700
2014-06-09,157,160,155,158,77700,12221700
2014-06-06,158,158,157,157,19400,3060900
2014-06-05,160,160,156,157,33900,5346300
2014-06-04,160,160,155,160,45500,7228700
2014-06-03,160,161,158,159,36200,5782500
2014-06-02,158,161,156,159,80200,12738400
2014-05-30,158,159,156,158,24200,3802100
2014-05-29,153,158,153,157,67100,10393100
2014-05-28,154,155,153,154,16700,2571200
2014-05-27,153,154,152,154,34500,5287000
2014-05-26,151,153,151,153,43100,6533600
2014-05-23,150,151,148,149,28100,4210000
2014-05-22,144,151,144,150,57000,8418100
2014-05-21,144,145,143,143,49600,7129200
2014-05-20,144,150,143,145,78100,11297800
2014-05-19,151,154,146,146,113800,16914900
2014-05-16,154,154,151,151,142400,21707100
2014-05-15,155,158,154,156,220300,34293700
2014-05-14,162,165,161,161,89500,14635800
2014-05-13,160,162,159,162,36000,5772500
2014-05-12,161,163,160,160,36200,5832900
2014-05-09,160,164,160,163,72700,11818200
2014-05-08,160,163,160,163,39200,6313100
2014-05-07,157,161,157,160,27900,4434000
2014-05-02,160,161,159,160,11600,1852200
2014-05-01,156,160,155,159,34400,5439200
2014-04-30,159,160,156,156,62300,9832200
2014-04-28,159,160,158,158,63200,10033500
2014-04-25,161,163,159,161,79000,12687800
2014-04-24,163,164,160,163,40500,6553700
2014-04-23,162,162,161,162,22600,3650800
2014-04-22,162,165,161,161,33400,5417300
2014-04-21,162,167,162,162,97300,15968800
2014-04-18,162,162,160,161,72600,11706200
2014-04-17,164,164,161,163,21600,3504900
2014-04-16,160,163,159,163,36400,5855700
2014-04-15,159,161,158,159,41000,6550500
2014-04-14,158,161,158,160,32500,5179200
2014-04-11,160,163,158,163,95000,15265300
2014-04-10,165,167,163,165,64500,10609300
2014-04-09,167,168,165,165,44400,7366700
2014-04-08,170,171,167,170,31000,5251500
2014-04-07,172,173,168,170,77800,13266200
2014-04-04,171,172,169,172,48700,8310100
2014-04-03,172,173,168,170,47700,8155800
2014-04-02,172,173,171,171,31600,5438200
2014-04-01,172,173,169,171,50200,8558700
2014-03-31,170,174,170,172,45100,7754400
2014-03-28,165,170,163,169,76300,12766500
2014-03-27,163,164,158,163,51900,8337100
2014-03-26,161,164,161,163,20700,3359500
2014-03-25,162,164,161,162,44700,7275100
2014-03-24,157,162,157,161,67700,10818800
2014-03-20,167,167,156,159,191300,30556700
2014-03-19,169,170,167,167,41000,6888200
2014-03-18,166,169,166,169,53400,8928600
2014-03-17,167,169,163,164,82900,13744000
2014-03-14,171,171,169,169,178200,30347900
2014-03-13,176,176,173,173,72500,12631200
2014-03-12,177,178,174,175,88800,15610200
2014-03-11,177,178,175,178,81100,14336800
2014-03-10,177,181,177,178,89900,16016700
2014-03-07,182,182,177,178,134700,24173300
2014-03-06,187,187,178,180,307900,55672500
2014-03-05,191,191,183,186,323400,60422500
2014-03-04,191,198,186,189,1143700,219188500
2014-03-03,182,186,177,184,532700,97016000
2014-02-28,175,184,175,177,479200,85336500
2014-02-27,175,175,170,173,66900,11544600
2014-02-26,173,173,171,172,43700,7515800
2014-02-25,169,173,169,171,67900,11630300
2014-02-24,171,171,169,169,66900,11375000
2014-02-21,169,171,166,169,80200,13477600
2014-02-20,170,170,166,167,74800,12529200
2014-02-19,172,173,169,170,35300,6024100
2014-02-18,170,174,170,172,69400,11948600
2014-02-17,176,176,166,170,173300,29343900
2014-02-14,190,199,166,173,1502000,273204500
2014-02-13,170,183,170,175,286200,50395700
2014-02-12,169,170,166,169,58300,9795000
2014-02-10,164,167,164,166,74400,12302100
2014-02-07,161,164,160,163,86000,13906400
2014-02-06,152,159,152,158,55400,8657400
2014-02-05,154,156,150,153,148400,22738000
2014-02-04,149,156,141,150,339100,50690800
2014-02-03,167,168,164,164,152100,25272500
2014-01-31,175,178,168,170,105600,18178200
2014-01-30,175,176,172,173,100100,17391100
2014-01-29,175,182,174,181,111100,19710700
2014-01-28,173,176,172,174,90400,15726000
2014-01-27,172,175,171,175,111600,19282300
2014-01-24,180,183,179,179,196700,35474700
2014-01-23,188,190,186,186,108900,20475800
2014-01-22,193,194,188,190,136400,25932900
2014-01-21,193,193,188,190,135300,25802600
2014-01-20,186,197,184,193,352500,67206200
2014-01-17,189,189,182,184,274600,50594500
2014-01-16,207,212,186,188,1373000,273695400
2014-01-15,183,200,183,199,1375900,262778000
2014-01-14,180,183,176,183,161600,29229500
2014-01-10,180,181,177,181,107800,19356100
2014-01-09,179,181,176,181,94900,16968200
2014-01-08,178,180,175,179,141200,25028800
2014-01-07,172,177,172,177,118100,20528700
2014-01-06,171,172,169,172,91000,15502100
2013-12-30,168,172,168,172,120800,20578400
2013-12-27,170,170,166,167,58100,9737900
2013-12-26,164,175,161,170,166400,27830500
2013-12-25,160,162,160,162,161100,25925100
2013-12-24,165,165,160,161,200200,32540100
2013-12-20,168,169,164,166,176900,29387600
2013-12-19,169,170,167,169,101400,17084200
2013-12-18,169,170,168,169,82700,13950000
2013-12-17,169,170,168,169,111100,18778400
2013-12-16,177,178,168,168,275000,47421400
2013-12-13,177,179,176,177,102800,18244800
2013-12-12,177,179,176,178,82100,14593200
2013-12-11,182,182,177,179,188300,33836200
2013-12-10,178,187,178,182,480700,87939800
2013-12-09,178,179,176,176,131000,23193400
2013-12-06,178,178,175,178,168000,29698500
2013-12-05,179,179,177,178,119400,21267400
2013-12-04,180,180,178,179,91000,16300600
2013-12-03,180,181,179,180,225900,40694500
2013-12-02,177,186,177,181,395200,71496800
2013-11-29,179,179,176,177,216600,38374800
2013-11-28,181,182,178,180,188400,33782800
2013-11-27,184,185,180,182,202800,36954800
2013-11-26,183,185,181,183,319800,58578400
2013-11-25,191,196,185,187,965300,183433500
2013-11-22,176,187,174,182,1182300,215499200
2013-11-21,180,181,173,175,379300,67333400
2013-11-20,184,185,180,182,514800,93978000
2013-11-19,185,185,182,182,307400,56356800
2013-11-18,188,188,182,184,623900,115607000
2013-11-15,182,192,179,189,3616400,666439800
2013-11-14,220,225,215,224,350800,77675400
2013-11-13,235,235,216,222,801700,178852300
2013-11-12,225,235,220,235,413500,94786000
2013-11-11,233,238,220,222,266100,59967700
2013-11-08,223,235,222,233,257200,58044200
2013-11-07,240,244,223,229,558800,129435900
2013-11-06,240,253,236,240,579400,141263500
2013-11-05,230,259,229,236,1420300,348185800
2013-11-01,230,244,218,230,969500,223063700
2013-10-31,263,268,226,234,1156700,280956400
2013-10-30,245,285,242,255,1965200,512677500
2013-10-29,248,262,240,244,2195000,548825100
2013-10-28,218,295,218,280,6342500,1708754500
2013-10-25,273,275,211,215,5178800,1280147400
2013-10-24,187,233,186,233,4595800,979871600
2013-10-23,172,188,172,183,1083100,195660400
2013-10-22,171,173,169,171,131800,22510100
2013-10-21,165,178,165,168,314400,53626800
2013-10-18,163,167,162,164,53300,8754700
2013-10-17,163,167,162,163,85900,14096400
2013-10-16,162,163,160,162,26500,4278400
2013-10-15,164,164,160,164,24500,3964200
2013-10-11,163,165,162,164,51100,8344700
2013-10-10,162,163,160,162,30400,4906700
2013-10-09,154,161,153,160,53500,8335600
2013-10-08,154,159,152,159,60500,9349300
2013-10-07,162,163,155,160,91000,14356800
