5279-T,JQスタンダード,日興業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,171,171,169,169,7000,1190000
2014-06-26,167,174,167,174,14000,2384000
2014-06-25,170,171,166,166,20000,3390000
2014-06-24,164,170,163,170,42000,6960000
2014-06-23,-,-,-,-,0,0
2014-06-20,162,162,162,162,2000,324000
2014-06-19,161,161,161,161,2000,322000
2014-06-18,158,164,158,164,10000,1608000
2014-06-17,-,-,-,-,0,0
2014-06-16,160,160,158,159,14000,2235000
2014-06-13,156,160,156,160,22000,3503000
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,164,164,160,160,5000,804000
2014-06-09,162,164,162,164,21000,3427000
2014-06-06,155,160,155,160,28000,4428000
2014-06-05,154,155,154,154,6000,926000
2014-06-04,154,154,154,154,4000,616000
2014-06-03,154,154,154,154,4000,616000
2014-06-02,156,156,148,153,11000,1677000
2014-05-30,158,158,157,158,36000,5687000
2014-05-29,153,158,153,158,3000,464000
2014-05-28,151,153,150,153,5000,759000
2014-05-27,148,149,148,149,2000,297000
2014-05-26,148,148,148,148,4000,592000
2014-05-23,145,149,145,149,3000,439000
2014-05-22,145,146,140,140,13000,1841000
2014-05-21,140,140,140,140,1000,140000
2014-05-20,140,145,140,144,15000,2137000
2014-05-19,147,147,143,143,17000,2455000
2014-05-16,158,158,140,148,60000,9042000
2014-05-15,158,158,158,158,2000,316000
2014-05-14,160,160,160,160,8000,1280000
2014-05-13,164,164,160,160,4000,644000
2014-05-12,160,161,160,161,9000,1441000
2014-05-09,165,165,165,165,2000,330000
2014-05-08,165,165,161,161,7000,1151000
2014-05-07,161,163,159,163,9000,1451000
2014-05-02,167,167,162,162,12000,1969000
2014-05-01,165,167,162,162,13000,2138000
2014-04-30,168,168,164,164,6000,988000
2014-04-28,168,168,165,166,61000,10210000
2014-04-25,170,177,170,177,26000,4542000
2014-04-24,170,170,170,170,1000,170000
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,173,175,165,170,11000,1881000
2014-04-18,170,172,167,172,13000,2190000
2014-04-17,169,169,169,169,6000,1014000
2014-04-16,-,-,-,-,0,0
2014-04-15,169,174,169,174,4000,691000
2014-04-14,169,169,169,169,1000,169000
2014-04-11,171,171,167,170,17000,2873000
2014-04-10,174,174,171,171,10000,1719000
2014-04-09,180,180,173,174,8000,1408000
2014-04-08,181,181,180,180,9000,1625000
2014-04-07,179,180,179,180,8000,1433000
2014-04-04,173,183,173,182,38000,6778000
2014-04-03,169,173,169,173,9000,1527000
2014-04-02,169,171,166,167,25000,4197000
2014-04-01,173,173,166,170,9000,1518000
2014-03-31,167,173,167,173,3000,508000
2014-03-28,166,166,166,166,3000,498000
2014-03-27,166,166,166,166,3000,498000
2014-03-26,172,174,170,170,19000,3239000
2014-03-25,170,172,170,172,4000,683000
2014-03-24,167,170,167,170,17000,2854000
2014-03-20,169,169,167,167,6000,1012000
2014-03-19,171,172,169,170,13000,2219000
2014-03-18,175,178,171,171,35000,6083000
2014-03-17,170,170,170,170,3000,510000
2014-03-14,174,174,172,173,18000,3113000
2014-03-13,172,175,172,175,12000,2082000
2014-03-12,172,176,172,176,26000,4495000
2014-03-11,176,176,171,171,11000,1925000
2014-03-10,174,176,172,173,13000,2265000
2014-03-07,175,175,170,171,24000,4110000
2014-03-06,170,175,170,175,13000,2223000
2014-03-05,171,171,168,170,14000,2371000
2014-03-04,165,167,163,163,12000,1986000
2014-03-03,171,171,169,169,4000,678000
2014-02-28,171,174,171,171,8000,1377000
2014-02-27,170,170,170,170,1000,170000
2014-02-26,171,172,170,170,7000,1197000
2014-02-25,174,175,174,175,6000,1047000
2014-02-24,175,175,174,174,6000,1047000
2014-02-21,173,174,173,174,7000,1215000
2014-02-20,174,174,170,172,6000,1035000
2014-02-19,170,174,170,174,11000,1889000
2014-02-18,164,166,164,166,3000,496000
2014-02-17,166,169,163,169,5000,828000
2014-02-14,169,172,168,172,14000,2371000
2014-02-13,176,176,174,174,10000,1751000
2014-02-12,184,184,176,176,13000,2353000
2014-02-10,177,182,175,175,43000,7665000
2014-02-07,160,165,160,165,20000,3238000
2014-02-06,162,163,153,159,35000,5548000
2014-02-05,166,166,153,157,33000,5279000
2014-02-04,164,164,150,159,64000,10242000
2014-02-03,171,171,167,169,33000,5574000
2014-01-31,190,190,175,175,197000,35904000
2014-01-30,178,224,177,192,1114000,226576000
2014-01-29,169,174,167,174,7000,1192000
2014-01-28,175,175,165,169,18000,3038000
2014-01-27,181,181,170,175,29000,5086000
2014-01-24,183,189,174,185,167000,30802000
2014-01-23,174,192,172,190,162000,29492000
2014-01-22,176,178,172,172,12000,2112000
2014-01-21,167,167,166,166,14000,2325000
2014-01-20,166,172,166,168,18000,3054000
2014-01-17,-,-,-,-,0,0
2014-01-16,165,170,165,167,18000,2981000
2014-01-15,158,164,158,164,19000,3069000
2014-01-14,154,156,150,156,12000,1838000
2014-01-10,155,155,153,154,37000,5708000
