5341-T,東証2部,アサヒ陶,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,74,74,73,73,23000,1690000
2014-06-26,74,74,74,74,11000,814000
2014-06-25,75,75,75,75,5000,375000
2014-06-24,75,75,75,75,10000,750000
2014-06-23,75,75,74,75,25000,1857000
2014-06-20,75,75,74,74,45000,3356000
2014-06-19,75,76,75,75,64000,4804000
2014-06-18,74,77,74,74,152000,11401000
2014-06-17,74,74,74,74,25000,1850000
2014-06-16,74,74,73,73,33000,2421000
2014-06-13,72,74,71,74,52000,3779000
2014-06-12,73,74,72,72,86000,6203000
2014-06-11,73,73,73,73,6000,438000
2014-06-10,73,74,73,73,37000,2725000
2014-06-09,74,74,73,73,45000,3324000
2014-06-06,72,74,72,74,64000,4666000
2014-06-05,71,75,71,72,124000,8970000
2014-06-04,71,71,71,71,31000,2201000
2014-06-03,71,71,70,70,32000,2246000
2014-06-02,71,71,71,71,21000,1491000
2014-05-30,71,71,70,71,24000,1701000
2014-05-29,71,71,71,71,18000,1278000
2014-05-28,72,72,71,71,38000,2700000
2014-05-27,71,72,71,72,37000,2657000
2014-05-26,70,72,70,71,87000,6170000
2014-05-23,71,71,70,70,49000,3460000
2014-05-22,71,71,71,71,2000,142000
2014-05-21,70,71,70,70,5000,351000
2014-05-20,70,71,70,71,70000,4902000
2014-05-19,71,72,70,71,17000,1208000
2014-05-16,73,73,72,72,13000,941000
2014-05-15,73,74,73,74,7000,512000
2014-05-14,73,73,73,73,18000,1314000
2014-05-13,72,73,72,72,14000,1018000
2014-05-12,73,73,72,72,9000,650000
2014-05-09,73,73,72,72,15000,1090000
2014-05-08,73,74,73,73,64000,4717000
2014-05-07,72,73,72,73,7000,508000
2014-05-02,72,72,72,72,10000,720000
2014-05-01,72,72,71,72,42000,3023000
2014-04-30,72,73,72,72,42000,3037000
2014-04-28,73,73,72,73,36000,2600000
2014-04-25,73,74,73,73,55000,4031000
2014-04-24,74,74,74,74,23000,1702000
2014-04-23,-,-,-,-,0,0
2014-04-22,74,75,74,74,22000,1635000
2014-04-21,75,75,74,74,12000,890000
2014-04-18,74,74,74,74,9000,666000
2014-04-17,74,74,73,73,19000,1404000
2014-04-16,74,74,74,74,12000,888000
2014-04-15,74,74,73,73,41000,3009000
2014-04-14,73,75,73,74,39000,2881000
2014-04-11,73,73,72,73,29000,2114000
2014-04-10,74,74,74,74,35000,2590000
2014-04-09,75,75,72,73,76000,5586000
2014-04-08,76,76,75,76,23000,1740000
2014-04-07,77,77,75,76,35000,2670000
2014-04-04,76,78,76,77,26000,1994000
2014-04-03,76,76,75,76,62000,4694000
2014-04-02,75,77,75,76,83000,6263000
2014-04-01,74,74,74,74,12000,888000
2014-03-31,75,75,74,74,44000,3282000
2014-03-28,73,74,73,74,41000,3033000
2014-03-27,72,73,72,73,21000,1522000
2014-03-26,73,74,73,73,23000,1681000
2014-03-25,72,73,72,73,34000,2456000
2014-03-24,72,74,71,72,93000,6736000
2014-03-20,73,73,71,72,74000,5329000
2014-03-19,74,75,74,74,60000,4452000
2014-03-18,75,75,73,73,80000,5916000
2014-03-17,75,75,74,74,100000,7467000
2014-03-14,76,76,75,75,44000,3315000
2014-03-13,78,78,76,77,20000,1540000
2014-03-12,77,78,77,77,105000,8090000
2014-03-11,77,78,77,77,41000,3164000
2014-03-10,78,78,76,77,42000,3235000
2014-03-07,77,78,76,78,182000,14100000
2014-03-06,75,76,75,76,17000,1280000
2014-03-05,76,77,75,76,42000,3190000
2014-03-04,75,76,75,76,55000,4136000
2014-03-03,77,77,75,76,110000,8318000
2014-02-28,78,78,76,77,31000,2387000
2014-02-27,78,79,77,78,42000,3273000
2014-02-26,77,79,77,79,36000,2805000
2014-02-25,79,79,78,79,55000,4327000
2014-02-24,79,80,79,79,36000,2846000
2014-02-21,79,79,76,79,75000,5798000
2014-02-20,79,79,78,78,21000,1639000
2014-02-19,79,79,78,79,39000,3080000
2014-02-18,77,80,77,79,82000,6431000
2014-02-17,77,77,76,77,62000,4749000
2014-02-14,78,78,75,77,107000,8180000
2014-02-13,80,80,77,78,152000,11972000
2014-02-12,80,81,80,80,127000,10201000
2014-02-10,79,80,79,80,161000,12805000
2014-02-07,78,79,77,78,100000,7834000
2014-02-06,75,77,75,76,108000,8196000
2014-02-05,76,77,73,75,151000,11292000
2014-02-04,73,76,72,74,310000,22893000
2014-02-03,84,84,79,79,329000,26656000
2014-01-31,87,87,83,85,154000,13083000
2014-01-30,87,87,84,86,253000,21702000
2014-01-29,88,88,87,87,166000,14511000
2014-01-28,83,89,83,88,1029000,89373000
2014-01-27,86,86,82,84,396000,33121000
2014-01-24,88,88,86,87,253000,22062000
2014-01-23,90,91,88,88,171000,15343000
2014-01-22,93,93,89,91,414000,37459000
2014-01-21,99,99,91,92,1163000,110759000
2014-01-20,93,101,92,98,1157000,111628000
2014-01-17,93,94,92,93,274000,25434000
2014-01-16,92,93,91,93,212000,19446000
2014-01-15,92,93,90,91,133000,12078000
2014-01-14,88,90,87,90,360000,31892000
2014-01-10,93,97,91,91,825000,77807000
2014-01-09,88,92,87,91,454000,41003000
2014-01-08,86,88,85,87,196000,16962000
2014-01-07,83,87,82,86,223000,18891000
2014-01-06,83,83,82,83,149000,12300000
2013-12-30,81,82,80,82,182000,14827000
2013-12-27,83,83,81,82,66000,5389000
2013-12-26,80,82,80,82,87000,7071000
2013-12-25,79,80,78,79,88000,6938000
2013-12-24,80,80,78,79,112000,8872000
2013-12-20,81,81,79,79,79000,6324000
2013-12-19,80,81,80,81,84000,6776000
2013-12-18,80,81,80,81,27000,2168000
2013-12-17,80,81,80,80,75000,6006000
2013-12-16,82,82,79,79,268000,21571000
2013-12-13,84,84,81,82,201000,16544000
2013-12-12,86,86,83,84,158000,13345000
2013-12-11,84,88,84,86,343000,29357000
2013-12-10,83,84,83,84,125000,10463000
2013-12-09,82,84,82,83,93000,7709000
2013-12-06,81,81,81,81,41000,3321000
2013-12-05,83,83,81,81,202000,16437000
2013-12-04,84,84,82,83,149000,12356000
2013-12-03,84,86,84,85,200000,16907000
2013-12-02,84,85,84,84,38000,3195000
2013-11-29,85,85,83,84,170000,14252000
2013-11-28,84,86,84,85,92000,7817000
2013-11-27,86,86,84,84,89000,7522000
2013-11-26,84,87,84,86,170000,14536000
2013-11-25,84,86,84,84,190000,16107000
2013-11-22,85,85,84,84,127000,10695000
2013-11-21,85,85,83,85,175000,14819000
2013-11-20,85,85,83,84,153000,12907000
2013-11-19,84,84,82,84,53000,4418000
2013-11-18,82,86,82,84,277000,23235000
2013-11-15,81,82,80,81,116000,9393000
2013-11-14,80,81,78,81,94000,7528000
2013-11-13,80,80,78,79,129000,10192000
2013-11-12,79,80,78,79,121000,9482000
2013-11-11,83,83,79,79,378000,30426000
2013-11-08,84,84,81,82,110000,9061000
2013-11-07,83,84,82,84,241000,20171000
2013-11-06,81,84,81,84,71000,5851000
2013-11-05,82,83,81,82,123000,10122000
2013-11-01,84,84,80,82,408000,33408000
2013-10-31,86,86,84,84,847000,72056000
2013-10-30,85,102,85,88,5450000,510363000
2013-10-29,83,85,83,85,168000,14012000
2013-10-28,81,85,81,84,461000,38031000
2013-10-25,83,83,79,80,249000,20106000
2013-10-24,82,84,79,83,334000,27425000
2013-10-23,80,82,79,81,207000,16780000
2013-10-22,81,81,80,80,69000,5550000
2013-10-21,79,81,79,80,116000,9241000
2013-10-18,79,79,78,78,91000,7127000
2013-10-17,79,79,77,78,76000,5932000
2013-10-16,79,79,77,77,70000,5456000
2013-10-15,77,79,77,79,418000,32415000
2013-10-11,81,84,79,84,452000,36932000
2013-10-10,77,79,77,79,93000,7284000
2013-10-09,77,77,74,77,154000,11658000
2013-10-08,77,77,76,77,105000,8034000
2013-10-07,80,80,76,78,89000,6939000
2013-10-04,79,80,76,80,79000,6145000
2013-10-03,80,80,76,79,168000,13001000
2013-10-02,80,81,78,80,147000,11768000
2013-10-01,80,80,78,79,158000,12527000
2013-09-30,83,83,80,81,244000,19742000
2013-09-27,85,85,82,82,132000,11075000
2013-09-26,80,85,79,85,390000,32019000
2013-09-25,83,95,75,79,1388000,118610000
2013-09-24,76,81,76,81,241000,19193000
2013-09-20,75,76,73,76,79000,5864000
2013-09-19,77,77,75,75,84000,6339000
2013-09-18,77,80,76,76,104000,8077000
2013-09-17,76,81,74,76,409000,31737000
2013-09-13,76,76,72,75,211000,15538000
2013-09-12,71,78,70,77,734000,55150000
2013-09-11,70,71,70,71,99000,6937000
2013-09-10,68,69,68,69,89000,6114000
2013-09-09,69,69,68,68,27000,1844000
2013-09-06,69,69,68,68,12000,824000
2013-09-05,67,69,67,69,123000,8319000
2013-09-04,66,66,66,66,2000,132000
2013-09-03,65,66,65,66,12000,788000
2013-09-02,65,66,65,66,7000,458000
2013-08-30,65,66,64,65,46000,2988000
2013-08-29,66,66,65,66,21000,1381000
2013-08-28,67,67,66,66,117000,7726000
2013-08-27,66,68,66,68,32000,2144000
2013-08-26,67,67,66,66,60000,3971000
2013-08-23,67,68,67,67,18000,1207000
