5363-T,東証1部,TYK,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,202,202,198,200,31000,6191000
2014-06-26,203,205,197,202,84000,16879000
2014-06-25,203,206,203,203,34000,6949000
2014-06-24,205,207,205,207,42000,8651000
2014-06-23,210,210,206,207,40000,8294000
2014-06-20,210,210,205,205,35000,7257000
2014-06-19,203,208,203,208,52000,10713000
2014-06-18,203,204,202,203,43000,8719000
2014-06-17,202,203,202,203,34000,6890000
2014-06-16,199,203,199,201,44000,8858000
2014-06-13,199,202,197,201,79000,15747000
2014-06-12,199,201,198,201,15000,2998000
2014-06-11,199,202,198,202,28000,5603000
2014-06-10,202,202,198,199,31000,6172000
2014-06-09,201,202,200,202,25000,5018000
2014-06-06,198,201,198,199,32000,6368000
2014-06-05,203,203,199,201,34000,6831000
2014-06-04,195,202,195,202,54000,10719000
2014-06-03,197,198,197,198,31000,6128000
2014-06-02,192,197,192,197,30000,5867000
2014-05-30,188,194,188,193,50000,9571000
2014-05-29,184,191,184,190,41000,7673000
2014-05-28,185,188,185,187,44000,8184000
2014-05-27,182,184,182,182,28000,5111000
2014-05-26,183,183,182,183,32000,5848000
2014-05-23,183,184,181,181,35000,6374000
2014-05-22,183,184,180,182,40000,7285000
2014-05-21,186,186,182,183,37000,6789000
2014-05-20,187,188,186,186,32000,5990000
2014-05-19,190,190,185,187,100000,18750000
2014-05-16,197,200,195,200,56000,11050000
2014-05-15,195,197,195,197,20000,3912000
2014-05-14,196,198,196,197,19000,3734000
2014-05-13,200,200,196,198,26000,5152000
2014-05-12,199,199,197,197,23000,4566000
2014-05-09,193,203,192,203,67000,13267000
2014-05-08,196,196,193,194,23000,4470000
2014-05-07,198,199,195,197,34000,6696000
2014-05-02,199,199,197,198,16000,3170000
2014-05-01,202,202,198,199,23000,4586000
2014-04-30,202,202,199,200,10000,2004000
2014-04-28,202,202,198,199,17000,3400000
2014-04-25,200,204,200,202,26000,5229000
2014-04-24,201,201,200,200,9000,1802000
2014-04-23,200,201,200,201,10000,2006000
2014-04-22,205,205,200,200,10000,2021000
2014-04-21,202,205,202,203,13000,2641000
2014-04-18,204,205,202,202,30000,6093000
2014-04-17,204,205,201,202,18000,3642000
2014-04-16,201,203,201,203,21000,4236000
2014-04-15,201,202,199,199,16000,3206000
2014-04-14,198,201,198,199,15000,2985000
2014-04-11,203,204,199,200,47000,9469000
2014-04-10,205,207,203,203,13000,2668000
2014-04-09,206,206,202,202,28000,5691000
2014-04-08,212,213,207,207,23000,4803000
2014-04-07,207,215,207,215,75000,15767000
2014-04-04,217,222,217,221,16000,3530000
2014-04-03,222,223,215,217,34000,7479000
2014-04-02,224,224,221,222,24000,5324000
2014-04-01,220,224,220,222,16000,3546000
2014-03-31,215,220,215,220,27000,5906000
2014-03-28,212,226,211,214,68000,14691000
2014-03-27,202,211,202,210,35000,7251000
2014-03-26,210,210,206,208,54000,11210000
2014-03-25,205,209,204,206,40000,8227000
2014-03-24,198,207,198,203,51000,10331000
2014-03-20,203,203,198,198,37000,7405000
2014-03-19,207,208,201,204,29000,5926000
2014-03-18,207,208,204,206,27000,5558000
2014-03-17,203,209,202,202,33000,6717000
2014-03-14,211,212,204,206,94000,19697000
2014-03-13,219,221,216,217,25000,5459000
2014-03-12,219,224,218,219,49000,10757000
2014-03-11,221,226,220,224,36000,8026000
2014-03-10,228,228,222,222,75000,16898000
2014-03-07,211,232,210,223,315000,70091000
2014-03-06,208,209,205,209,27000,5582000
2014-03-05,208,208,204,205,32000,6594000
2014-03-04,203,204,203,204,17000,3461000
2014-03-03,206,206,197,202,25000,5047000
2014-02-28,211,211,204,206,40000,8322000
2014-02-27,213,214,209,210,37000,7840000
2014-02-26,214,214,213,213,16000,3417000
2014-02-25,219,219,214,214,46000,9967000
2014-02-24,217,219,213,215,37000,7970000
2014-02-21,215,217,215,216,27000,5824000
2014-02-20,223,223,210,211,54000,11678000
2014-02-19,219,223,219,223,22000,4862000
2014-02-18,218,221,217,220,43000,9437000
2014-02-17,211,216,211,215,71000,15105000
2014-02-14,224,227,222,223,65000,14608000
2014-02-13,225,227,222,223,77000,17311000
2014-02-12,227,236,227,228,105000,24299000
2014-02-10,220,227,220,221,64000,14263000
2014-02-07,210,214,208,212,76000,16061000
2014-02-06,208,210,202,206,21000,4312000
2014-02-05,209,211,201,204,44000,9043000
2014-02-04,215,216,201,201,100000,20963000
2014-02-03,225,225,214,218,49000,10669000
2014-01-31,232,233,224,225,58000,13151000
2014-01-30,227,227,222,224,31000,6948000
2014-01-29,229,231,227,230,33000,7555000
2014-01-28,230,230,224,227,56000,12700000
2014-01-27,231,231,217,224,71000,15868000
2014-01-24,240,240,233,235,50000,11853000
2014-01-23,245,246,241,242,30000,7307000
2014-01-22,247,247,242,242,25000,6073000
2014-01-21,245,247,242,247,39000,9552000
2014-01-20,246,246,239,240,40000,9704000
2014-01-17,238,243,234,243,29000,6946000
2014-01-16,239,244,237,238,46000,11024000
2014-01-15,237,237,231,237,25000,5884000
2014-01-14,236,238,228,231,56000,13086000
2014-01-10,237,237,232,234,42000,9848000
2014-01-09,241,241,235,236,29000,6914000
2014-01-08,237,239,235,235,32000,7580000
2014-01-07,238,238,236,236,12000,2845000
2014-01-06,241,241,238,238,20000,4780000
2013-12-30,237,239,234,239,26000,6174000
2013-12-27,233,235,229,234,40000,9316000
2013-12-26,225,230,225,229,47000,10705000
2013-12-25,219,230,217,224,66000,14600000
2013-12-24,229,229,223,225,62000,14019000
2013-12-20,237,237,229,231,48000,11157000
2013-12-19,238,240,235,237,55000,13038000
2013-12-18,229,237,229,236,41000,9597000
2013-12-17,232,236,226,235,58000,13472000
2013-12-16,239,240,229,233,34000,7957000
2013-12-13,237,242,237,239,83000,19748000
2013-12-12,242,247,241,245,22000,5370000
2013-12-11,242,245,242,243,23000,5593000
2013-12-10,245,245,242,244,17000,4145000
2013-12-09,245,245,242,242,13000,3160000
2013-12-06,246,246,239,240,51000,12331000
2013-12-05,248,248,242,242,40000,9789000
2013-12-04,243,245,241,242,40000,9714000
2013-12-03,250,251,241,245,87000,21362000
2013-12-02,251,252,248,251,32000,8007000
2013-11-29,255,255,251,252,48000,12127000
2013-11-28,261,261,256,257,71000,18369000
2013-11-27,257,269,254,261,324000,84720000
2013-11-26,250,258,250,256,46000,11724000
2013-11-25,251,253,244,253,68000,17047000
2013-11-22,258,258,249,251,46000,11605000
2013-11-21,254,256,252,255,54000,13686000
2013-11-20,257,257,250,250,59000,14927000
2013-11-19,251,257,250,256,84000,21380000
2013-11-18,260,260,251,254,58000,14729000
2013-11-15,253,259,250,255,119000,30217000
2013-11-14,287,287,252,258,718000,194965000
2013-11-13,257,262,251,258,198000,51184000
2013-11-12,254,262,251,260,198000,50762000
2013-11-11,240,271,240,250,334000,85133000
2013-11-08,233,245,229,235,114000,26708000
2013-11-07,239,239,234,236,45000,10595000
2013-11-06,238,239,234,236,52000,12273000
2013-11-05,243,243,235,240,66000,15817000
2013-11-01,247,247,240,241,52000,12668000
2013-10-31,251,253,243,246,56000,13926000
2013-10-30,257,257,250,255,61000,15469000
2013-10-29,251,257,251,254,62000,15670000
2013-10-28,261,261,257,258,70000,18101000
2013-10-25,257,258,254,256,90000,23016000
2013-10-24,247,257,244,254,78000,19500000
2013-10-23,251,251,246,249,72000,17903000
2013-10-22,252,253,250,251,64000,16079000
2013-10-21,250,255,248,250,84000,21044000
2013-10-18,245,250,242,248,113000,27889000
2013-10-17,239,247,238,243,62000,14995000
2013-10-16,233,238,231,238,47000,10994000
2013-10-15,247,247,233,234,85000,20358000
2013-10-11,236,248,236,242,82000,19746000
2013-10-10,231,240,230,236,53000,12458000
2013-10-09,228,231,228,231,48000,11015000
2013-10-08,215,233,215,231,172000,38015000
2013-10-07,236,236,224,225,159000,36287000
