5367-T,東証1部,ニッカトー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,399,402,399,400,6900,2759800
2014-06-26,400,403,399,399,3700,1482600
2014-06-25,405,408,395,401,16800,6758700
2014-06-24,409,409,403,409,13500,5517300
2014-06-23,405,406,404,406,4300,1742800
2014-06-20,404,404,403,404,8500,3431800
2014-06-19,400,403,398,403,15800,6327800
2014-06-18,400,400,398,400,2600,1039600
2014-06-17,399,400,397,400,3400,1355200
2014-06-16,398,400,398,398,3900,1554500
2014-06-13,400,400,399,400,12600,5039600
2014-06-12,398,400,398,399,1800,718100
2014-06-11,400,403,398,399,4600,1839900
2014-06-10,403,404,394,400,9000,3595500
2014-06-09,406,406,401,403,5100,2061900
2014-06-06,405,405,404,405,4300,1740900
2014-06-05,400,404,400,404,10900,4394900
2014-06-04,396,401,396,399,2100,838400
2014-06-03,398,400,394,399,9900,3939400
2014-06-02,397,400,397,400,2300,916500
2014-05-30,401,403,396,400,4000,1601000
2014-05-29,397,403,397,401,700,280700
2014-05-28,403,403,399,399,1300,521400
2014-05-27,397,403,397,402,2200,878700
2014-05-26,404,404,401,402,5700,2298300
2014-05-23,395,402,395,401,7000,2787900
2014-05-22,395,395,392,395,4700,1850400
2014-05-21,392,395,392,394,2500,984400
2014-05-20,394,395,393,393,7500,2954600
2014-05-19,399,399,393,398,4400,1747500
2014-05-16,395,397,395,396,8700,3440500
2014-05-15,400,400,397,398,5200,2073400
2014-05-14,401,401,398,399,1200,479300
2014-05-13,397,402,397,400,2200,879300
2014-05-12,400,403,397,397,7800,3104400
2014-05-09,394,399,394,398,22000,8696100
2014-05-08,394,404,394,403,9000,3600000
2014-05-07,399,400,394,396,14200,5625000
2014-05-02,400,400,395,398,4100,1632000
2014-05-01,398,401,395,398,9800,3894300
2014-04-30,400,400,398,398,1200,478400
2014-04-28,406,406,396,401,5100,2041200
2014-04-25,402,410,397,407,6100,2478900
2014-04-24,405,405,402,402,200,80700
2014-04-23,405,405,400,403,8400,3386700
2014-04-22,407,407,404,404,900,363900
2014-04-21,401,407,400,404,9100,3651900
2014-04-18,408,408,405,407,5600,2275300
2014-04-17,406,408,402,406,3700,1499800
2014-04-16,399,404,398,404,2200,880900
2014-04-15,399,400,397,398,3200,1275400
2014-04-14,395,405,395,398,1900,760600
2014-04-11,396,406,396,396,5000,1982600
2014-04-10,399,404,398,398,3800,1518900
2014-04-09,400,402,398,398,5300,2115100
2014-04-08,405,413,402,403,9000,3647700
2014-04-07,410,410,406,409,7500,3067000
2014-04-04,413,414,410,413,7500,3098000
2014-04-03,413,413,408,413,5700,2350200
2014-04-02,414,414,405,411,13300,5426600
2014-04-01,412,413,410,412,6700,2759800
2014-03-31,411,414,403,413,5800,2386000
2014-03-28,410,411,398,409,9400,3826500
2014-03-27,413,413,405,409,7300,2983900
2014-03-26,409,409,396,404,15900,6393200
2014-03-25,410,411,398,406,14300,5821800
2014-03-24,395,405,395,395,10000,3973800
2014-03-20,401,402,394,395,8200,3272200
2014-03-19,401,405,399,401,4700,1889700
2014-03-18,395,399,395,399,1600,635700
2014-03-17,395,397,392,392,11100,4378900
2014-03-14,402,402,397,397,22100,8854800
2014-03-13,402,404,400,402,5800,2330200
2014-03-12,401,403,400,402,4300,1727200
2014-03-11,404,405,401,402,5800,2335600
2014-03-10,404,406,401,404,2700,1088700
2014-03-07,408,408,402,406,7100,2877200
2014-03-06,407,407,400,407,4300,1740600
2014-03-05,404,408,404,406,1300,526900
2014-03-04,404,407,399,404,6200,2491300
2014-03-03,400,405,398,404,3500,1403400
2014-02-28,404,405,401,403,5400,2177100
2014-02-27,405,405,404,404,1200,485400
2014-02-26,406,409,404,406,1400,568500
2014-02-25,413,413,406,408,5500,2261700
2014-02-24,406,410,406,406,6400,2603300
2014-02-21,401,408,401,406,6000,2427900
2014-02-20,408,408,404,405,5900,2403600
2014-02-19,409,410,406,409,3700,1511800
2014-02-18,400,409,400,407,5300,2153700
2014-02-17,404,404,397,400,2400,962400
2014-02-14,403,403,396,396,3600,1440900
2014-02-13,405,406,401,402,2900,1171300
2014-02-12,414,414,396,400,8600,3462600
2014-02-10,400,413,398,411,12800,5163500
2014-02-07,396,398,393,398,8400,3325800
2014-02-06,394,396,391,393,6800,2672900
2014-02-05,400,400,390,391,9300,3651900
2014-02-04,398,400,390,390,24800,9752300
2014-02-03,406,406,400,401,6600,2660900
2014-01-31,408,408,404,406,6000,2438600
2014-01-30,402,405,401,404,12900,5187900
2014-01-29,401,410,401,410,3400,1381200
2014-01-28,409,409,401,401,11400,4593100
2014-01-27,407,407,401,401,11600,4678700
2014-01-24,411,412,407,408,10700,4379800
2014-01-23,417,418,415,415,11800,4918300
2014-01-22,421,422,418,419,5600,2349800
2014-01-21,422,423,421,421,8200,3460500
2014-01-20,422,423,420,422,17400,7332000
2014-01-17,424,424,420,421,8500,3583400
2014-01-16,423,424,420,421,13000,5487900
2014-01-15,418,420,417,419,8600,3598100
2014-01-14,420,420,415,417,8600,3597500
2014-01-10,420,421,417,420,12900,5404800
2014-01-09,423,423,420,422,16300,6887000
2014-01-08,420,421,418,421,17000,7141500
2014-01-07,418,420,417,420,10000,4189800
2014-01-06,417,420,414,415,15800,6587600
2013-12-30,411,413,410,411,13700,5635700
2013-12-27,404,412,403,411,18600,7552500
2013-12-26,403,405,401,403,9800,3951200
2013-12-25,399,399,392,396,27000,10664800
2013-12-24,398,405,397,398,51000,20328600
2013-12-20,403,404,392,397,43000,17190800
2013-12-19,407,407,401,403,19300,7768900
2013-12-18,407,407,402,403,18600,7505200
2013-12-17,410,410,403,404,10300,4165100
2013-12-16,404,406,403,404,13200,5337300
2013-12-13,408,410,404,404,32900,13396100
2013-12-12,411,414,409,411,13000,5342200
2013-12-11,412,417,408,415,36600,15080300
2013-12-10,417,417,415,417,14600,6076700
2013-12-09,416,417,413,415,11100,4608700
2013-12-06,415,415,411,413,7000,2893800
2013-12-05,415,417,415,415,7900,3282300
2013-12-04,412,417,410,415,15300,6311300
2013-12-03,415,419,415,416,21600,8986400
2013-12-02,418,420,414,418,18400,7678500
2013-11-29,412,415,408,414,11900,4894600
