5412-T,東証1部外国,POSCO,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,7600,7600,7600,7600,10,76000
2014-06-26,7200,7200,7200,7200,100,720000
2014-06-25,7120,7120,7120,7120,100,712000
2014-06-24,-,-,-,-,0,0
2014-06-23,7090,7090,7090,7090,10,70900
2014-06-20,-,-,-,-,0,0
2014-06-19,-,-,-,-,0,0
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,-,-,-,-,0,0
2014-06-13,7110,7110,7110,7110,100,711000
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,7150,7310,7150,7310,140,1013400
2014-06-06,-,-,-,-,0,0
2014-06-05,7180,7180,7170,7170,20,143500
2014-06-04,7150,7150,7150,7150,50,357500
2014-06-03,7100,7100,7100,7100,60,426000
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,7590,7590,7590,7590,330,2504700
2014-05-26,-,-,-,-,0,0
2014-05-23,7600,7600,7600,7600,50,380000
2014-05-22,7600,7600,7600,7600,30,228000
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,7460,7500,7460,7500,3100,23242000
2014-05-15,7590,7590,7440,7440,150,1131000
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,-,-,-,-,0,0
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,7430,7600,7420,7450,3450,25667500
2014-04-18,7400,7400,7400,7400,100,740000
2014-04-17,-,-,-,-,0,0
2014-04-16,7420,7420,7420,7420,250,1855000
2014-04-15,7500,7500,7400,7400,150,1115000
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,7590,7590,7590,7590,40,303600
2014-04-08,7200,7300,7150,7150,250,1807500
2014-04-07,7320,7320,7260,7260,300,2193000
2014-04-04,7020,7030,7020,7030,150,1054000
2014-04-03,7000,7020,7000,7020,1130,7912000
2014-04-02,7000,7000,7000,7000,20,140000
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,6900,6900,6800,6800,80,550000
2014-03-24,6960,6960,6960,6960,100,696000
2014-03-20,6530,6530,6530,6530,1000,6530000
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,6600,6600,6600,6600,10,66000
2014-03-14,6600,6600,6600,6600,10,66000
2014-03-13,6560,6660,6560,6660,400,2644000
2014-03-12,-,-,-,-,0,0
2014-03-11,6550,6550,6550,6550,230,1506500
2014-03-10,6310,6310,6310,6310,100,631000
2014-03-07,6350,6350,6350,6350,200,1270000
2014-03-06,6510,6520,6510,6520,160,1043100
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,-,-,-,-,0,0
2014-02-28,6610,6610,6610,6610,100,661000
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,6710,6710,6710,6710,500,3355000
2014-02-21,6760,6760,6760,6760,100,676000
2014-02-20,-,-,-,-,0,0
2014-02-19,-,-,-,-,0,0
2014-02-18,6750,6750,6750,6750,10,67500
2014-02-17,-,-,-,-,0,0
2014-02-14,7000,7000,7000,7000,100,700000
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,-,-,-,-,0,0
2014-02-07,7000,7000,7000,7000,10,70000
2014-02-06,6700,6700,6700,6700,500,3350000
2014-02-05,-,-,-,-,0,0
2014-02-04,-,-,-,-,0,0
2014-02-03,-,-,-,-,0,0
2014-01-31,-,-,-,-,0,0
2014-01-30,-,-,-,-,0,0
2014-01-29,-,-,-,-,0,0
2014-01-28,-,-,-,-,0,0
2014-01-27,-,-,-,-,0,0
2014-01-24,-,-,-,-,0,0
2014-01-23,-,-,-,-,0,0
2014-01-22,-,-,-,-,0,0
2014-01-21,-,-,-,-,0,0
2014-01-20,-,-,-,-,0,0
2014-01-17,-,-,-,-,0,0
2014-01-16,-,-,-,-,0,0
2014-01-15,-,-,-,-,0,0
2014-01-14,-,-,-,-,0,0
2014-01-10,-,-,-,-,0,0
2014-01-09,-,-,-,-,0,0
2014-01-08,7670,7670,7670,7670,10,76700
2014-01-07,-,-,-,-,0,0
2014-01-06,-,-,-,-,0,0
2013-12-30,8120,8120,8120,8120,100,812000
2013-12-27,8200,8200,8200,8200,200,1640000
2013-12-26,-,-,-,-,0,0
2013-12-25,8100,8150,8100,8100,1360,11041000
2013-12-24,8010,8150,8010,8150,2800,22580000
2013-12-20,8060,8150,8000,8010,1950,15701500
2013-12-19,8060,8060,8020,8020,1230,9905400
2013-12-18,7610,7900,7610,7610,800,6218500
2013-12-17,-,-,-,-,0,0
2013-12-16,7860,7870,7860,7870,330,2597000
2013-12-13,7760,7760,7760,7760,100,776000
2013-12-12,-,-,-,-,0,0
2013-12-11,8200,8300,8000,8060,660,5360000
2013-12-10,8200,8200,8000,8200,680,5550000
2013-12-09,8120,8120,8120,8120,490,3978800
2013-12-06,8000,8000,8000,8000,250,2000000
2013-12-05,7960,8050,7960,8040,1200,9628000
2013-12-04,7800,8000,7800,7910,2010,15851000
2013-12-03,7710,7800,7710,7800,1700,13149500
2013-12-02,7700,7750,7700,7750,140,1081000
2013-11-29,7600,7610,7600,7610,310,2358600
2013-11-28,7620,7640,7620,7640,450,3437000
2013-11-27,7510,7570,7510,7570,1470,11055500
2013-11-26,7500,7500,7500,7500,100,750000
2013-11-25,7410,7410,7410,7410,50,370500
2013-11-22,7370,7600,7370,7600,270,2013700
2013-11-21,7340,7340,7340,7340,500,3670000
2013-11-20,7600,7610,7600,7610,180,1368500
2013-11-19,7500,7700,7250,7250,1120,8565200
2013-11-18,7510,7600,7510,7600,400,3017500
2013-11-15,7310,7310,7310,7310,500,3655000
2013-11-14,-,-,-,-,0,0
2013-11-13,7500,7500,7500,7500,300,2250000
2013-11-12,7500,7500,7500,7500,100,750000
2013-11-11,7310,7500,7310,7500,100,740500
2013-11-08,7500,7500,7380,7380,240,1776000
2013-11-07,7300,7500,7300,7500,1330,9860200
2013-11-06,7210,7210,7210,7210,50,360500
2013-11-05,-,-,-,-,0,0
2013-11-01,-,-,-,-,0,0
2013-10-31,7160,7160,7160,7160,50,358000
2013-10-30,7110,7110,7110,7110,50,355500
2013-10-29,-,-,-,-,0,0
2013-10-28,7200,7200,7200,7200,200,1440000
2013-10-25,-,-,-,-,0,0
2013-10-24,-,-,-,-,0,0
2013-10-23,7300,7300,7210,7210,400,2897500
2013-10-22,7200,7330,7200,7330,1500,10831000
2013-10-21,7060,7060,7060,7060,100,706000
2013-10-18,-,-,-,-,0,0
2013-10-17,7100,7100,7100,7100,570,4047000
2013-10-16,6860,6860,6860,6860,20,137200
2013-10-15,7010,7010,7010,7010,50,350500
2013-10-11,6950,7000,6950,7000,570,3989500
2013-10-10,6950,6950,6830,6830,1060,7265000
2013-10-09,-,-,-,-,0,0
2013-10-08,6800,6800,6800,6800,10,68000
2013-10-07,-,-,-,-,0,0
2013-10-04,6800,7000,6800,7000,350,2400000
