5456-T,JQスタンダード,朝日工業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,995,1020,995,1020,8200,8250100
2014-06-26,960,994,960,994,8500,8318800
2014-06-25,957,959,949,958,6100,5829800
2014-06-24,931,958,931,958,8500,8037500
2014-06-23,915,937,914,931,6400,5878900
2014-06-20,915,921,914,915,6500,5948500
2014-06-19,930,930,918,922,9700,8984500
2014-06-18,921,949,921,936,13000,12062500
2014-06-17,895,910,895,910,11700,10584400
2014-06-16,881,893,881,887,7300,6455600
2014-06-13,905,905,880,881,21200,18939500
2014-06-12,924,924,901,903,18200,16589300
2014-06-11,918,928,913,924,17000,15574900
2014-06-10,935,935,920,930,10400,9673500
2014-06-09,964,964,938,938,11200,10697200
2014-06-06,976,976,968,970,5300,5147300
2014-06-05,978,983,975,978,4000,3910200
2014-06-04,980,985,979,979,4500,4411500
2014-06-03,980,988,979,981,4200,4124000
2014-06-02,979,985,973,984,2800,2747200
2014-05-30,984,995,975,980,7400,7281000
2014-05-29,988,993,985,987,1600,1582700
2014-05-28,970,995,965,987,7000,6859400
2014-05-27,966,996,962,966,12400,12165800
2014-05-26,913,980,913,977,14200,13322000
2014-05-23,886,915,886,910,8400,7544400
2014-05-22,879,890,872,886,5800,5130600
2014-05-21,850,870,850,868,4400,3779600
2014-05-20,846,851,845,850,7300,6194100
2014-05-19,846,850,845,846,10400,8806400
2014-05-16,851,852,840,845,24300,20597600
2014-05-15,865,881,856,861,23600,20379800
2014-05-14,895,901,886,896,34200,30557900
2014-05-13,999,999,905,928,37200,35735900
2014-05-12,1055,1065,1002,1002,21500,22528500
2014-05-09,1060,1069,1050,1053,7100,7502200
2014-05-08,1090,1100,1080,1080,3600,3916000
2014-05-07,1100,1100,1084,1090,8500,9299700
2014-05-02,1119,1120,1110,1111,9400,10473600
2014-05-01,1125,1129,1119,1119,9000,10092100
2014-04-30,1138,1138,1125,1125,1900,2142200
2014-04-28,1138,1138,1126,1138,3100,3517500
2014-04-25,1144,1144,1123,1130,4700,5302800
2014-04-24,1143,1143,1128,1130,2200,2489200
2014-04-23,1131,1149,1128,1132,4600,5230000
