5563-T,東証1部,日電工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,324,327,313,322,2166000,694191000
2014-06-26,303,334,303,324,5573000,1804690000
2014-06-25,297,308,297,302,1304000,394994000
2014-06-24,294,298,291,297,450000,132679000
2014-06-23,291,297,289,297,551000,161732000
2014-06-20,293,293,288,291,433000,125606000
2014-06-19,284,293,282,293,786000,226524000
2014-06-18,284,285,281,282,465000,131490000
2014-06-17,284,285,281,284,297000,84129000
2014-06-16,284,287,280,283,413000,116943000
2014-06-13,280,284,280,284,394000,110835000
2014-06-12,279,282,278,280,297000,83238000
2014-06-11,282,283,280,282,219000,61738000
2014-06-10,283,283,279,281,382000,107484000
2014-06-09,285,286,282,283,249000,70889000
2014-06-06,281,287,281,286,514000,146622000
2014-06-05,280,281,278,279,340000,95079000
2014-06-04,278,283,278,282,330000,92644000
2014-06-03,283,283,277,278,451000,126269000
2014-06-02,277,284,277,283,398000,111915000
2014-05-30,277,281,274,277,516000,143219000
2014-05-29,277,278,276,277,313000,86717000
2014-05-28,284,286,278,279,504000,141252000
2014-05-27,285,286,283,285,325000,92611000
2014-05-26,280,284,280,284,299000,84463000
2014-05-23,280,280,278,279,221000,61607000
2014-05-22,272,280,272,279,1209000,335074000
2014-05-21,273,274,269,270,568000,153625000
2014-05-20,279,283,278,278,535000,149840000
2014-05-19,279,279,272,278,474000,131503000
2014-05-16,274,277,271,276,480000,131939000
2014-05-15,271,279,271,277,552000,151974000
2014-05-14,267,277,265,277,753000,204305000
2014-05-13,267,268,264,267,681000,181234000
2014-05-12,271,275,263,263,1451000,388108000
2014-05-09,281,285,279,281,392000,110783000
2014-05-08,279,284,277,281,336000,94329000
2014-05-07,284,284,275,276,300000,83462000
2014-05-02,288,289,285,286,184000,52782000
2014-05-01,285,290,284,289,572000,164675000
2014-04-30,283,285,280,284,556000,157261000
2014-04-28,285,286,281,283,353000,100246000
2014-04-25,285,289,282,287,811000,232287000
2014-04-24,283,284,280,283,428000,120782000
2014-04-23,279,283,278,282,350000,98024000
2014-04-22,281,285,278,279,492000,138379000
2014-04-21,281,283,278,279,502000,140851000
2014-04-18,283,283,276,280,451000,125825000
2014-04-17,273,283,271,282,721000,200235000
2014-04-16,268,273,265,273,592000,159239000
2014-04-15,265,267,264,266,404000,107131000
2014-04-14,264,266,263,263,278000,73521000
2014-04-11,264,267,262,264,608000,160990000
2014-04-10,276,279,271,273,452000,124409000
2014-04-09,269,273,265,272,851000,228948000
2014-04-08,274,274,269,269,323000,87450000
2014-04-07,276,276,274,275,179000,49189000
2014-04-04,275,279,275,277,287000,79395000
2014-04-03,277,278,275,275,551000,152206000
2014-04-02,277,279,274,274,691000,191065000
2014-04-01,277,278,274,277,719000,198655000
2014-03-31,273,275,269,275,533000,145174000
2014-03-28,268,270,265,270,784000,209668000
2014-03-27,268,270,266,268,417000,111770000
2014-03-26,270,270,266,269,590000,158475000
2014-03-25,268,269,261,265,1344000,355963000
2014-03-24,268,273,267,269,692000,186481000
2014-03-20,276,281,268,268,1094000,297225000
2014-03-19,278,280,273,274,696000,191977000
2014-03-18,280,281,273,277,739000,204028000
2014-03-17,275,279,273,274,368000,101384000
2014-03-14,277,279,274,275,609000,168329000
2014-03-13,284,286,282,284,143000,40689000
2014-03-12,288,288,283,284,304000,86556000
2014-03-11,284,292,284,289,327000,94568000
2014-03-10,292,293,286,286,366000,105621000
2014-03-07,295,295,289,292,411000,119955000
2014-03-06,290,293,289,292,399000,116170000
2014-03-05,296,296,290,291,399000,117057000
2014-03-04,288,295,286,294,785000,228712000
2014-03-03,282,287,278,287,658000,186090000
2014-02-28,284,290,281,286,832000,238458000
2014-02-27,281,286,278,280,646000,181692000
2014-02-26,282,285,280,281,477000,134668000
2014-02-25,280,283,280,283,409000,115132000
2014-02-24,278,280,275,278,506000,140520000
2014-02-21,278,280,276,278,698000,194100000
2014-02-20,281,283,274,276,462000,128182000
2014-02-19,284,286,282,283,306000,86845000
2014-02-18,278,286,278,286,479000,135296000
2014-02-17,275,279,273,277,485000,133917000
2014-02-14,277,282,271,276,754000,208547000
2014-02-13,285,285,276,277,1365000,380684000
2014-02-12,285,290,285,289,211000,60714000
2014-02-10,289,289,281,283,326000,92725000
2014-02-07,284,287,282,286,284000,80728000
2014-02-06,277,281,274,279,287000,79677000
2014-02-05,276,277,267,273,587000,160438000
2014-02-04,276,279,269,269,804000,219191000
2014-02-03,293,294,287,288,552000,159743000
2014-01-31,301,304,293,298,422000,125758000
2014-01-30,301,303,297,299,472000,141520000
2014-01-29,299,309,299,308,314000,95672000
2014-01-28,298,303,294,298,499000,149364000
2014-01-27,300,301,296,296,526000,157057000
2014-01-24,307,311,306,309,792000,244388000
2014-01-23,324,324,315,315,530000,168515000
2014-01-22,329,332,321,324,915000,298875000
2014-01-21,330,332,324,328,1014000,332156000
2014-01-20,317,330,316,329,1642000,533098000
2014-01-17,309,316,308,315,904000,282858000
2014-01-16,311,314,308,311,869000,270516000
2014-01-15,310,311,308,310,407000,125965000
2014-01-14,305,309,304,307,396000,121508000
2014-01-10,310,312,307,312,404000,125260000
2014-01-09,309,311,307,311,333000,102938000
2014-01-08,307,311,306,311,551000,170281000
2014-01-07,311,312,303,304,652000,200145000
2014-01-06,314,315,309,314,1010000,315106000
2013-12-30,303,319,301,317,2415000,751245000
2013-12-27,295,298,292,298,542000,159936000
2013-12-26,289,295,288,294,499000,146075000
2013-12-25,290,291,287,290,526000,152273000
2013-12-24,294,298,291,292,448000,131224000
2013-12-20,294,297,290,297,613000,180102000
2013-12-19,293,296,293,293,584000,171752000
2013-12-18,287,292,287,292,356000,103131000
2013-12-17,288,288,285,288,277000,79453000
2013-12-16,292,293,285,285,417000,120065000
2013-12-13,290,294,288,291,613000,178268000
2013-12-12,295,295,290,290,289000,84343000
2013-12-11,293,299,289,294,521000,152702000
2013-12-10,294,297,294,296,342000,100909000
2013-12-09,298,298,295,297,264000,78263000
2013-12-06,291,295,291,294,264000,77322000
2013-12-05,297,298,292,293,436000,128624000
2013-12-04,299,301,297,298,602000,180162000
2013-12-03,300,302,297,302,637000,190771000
2013-12-02,300,302,297,297,527000,157631000
2013-11-29,293,297,293,297,421000,124516000
2013-11-28,292,295,292,293,233000,68318000
2013-11-27,289,295,288,292,390000,113810000
2013-11-26,290,291,289,291,198000,57424000
2013-11-25,294,294,288,290,421000,122222000
2013-11-22,295,296,288,292,478000,139919000
2013-11-21,291,295,291,295,284000,83231000
2013-11-20,291,294,291,292,343000,100279000
2013-11-19,289,292,288,290,263000,76268000
2013-11-18,291,292,288,290,414000,120151000
2013-11-15,288,290,286,290,445000,128182000
2013-11-14,283,287,282,285,374000,106366000
2013-11-13,282,283,280,283,235000,66124000
2013-11-12,283,283,278,283,291000,81944000
2013-11-11,282,284,279,282,227000,63772000
2013-11-08,280,283,280,280,301000,84519000
2013-11-07,287,287,281,284,415000,117959000
2013-11-06,282,288,281,288,189000,53887000
2013-11-05,286,287,281,282,297000,84319000
2013-11-01,285,287,284,285,329000,93859000
2013-10-31,289,291,285,285,307000,88404000
2013-10-30,291,292,288,289,247000,71592000
2013-10-29,290,292,288,291,310000,89951000
2013-10-28,289,290,287,289,212000,61248000
2013-10-25,294,294,287,287,271000,78328000
2013-10-24,290,293,286,293,289000,83677000
2013-10-23,297,299,290,290,388000,114181000
2013-10-22,290,296,289,294,468000,136964000
2013-10-21,293,294,289,290,335000,97520000
2013-10-18,292,293,289,291,243000,70553000
2013-10-17,294,294,291,292,188000,55052000
2013-10-16,288,291,286,289,163000,47081000
2013-10-15,294,295,288,289,202000,58818000
2013-10-11,290,292,287,292,444000,128671000
2013-10-10,288,288,283,286,266000,76005000
2013-10-09,278,286,278,286,318000,89905000
2013-10-08,276,281,276,278,328000,91345000
2013-10-07,290,291,280,281,304000,86860000
2013-10-04,290,293,287,289,418000,120975000
2013-10-03,287,292,286,289,403000,116675000
2013-10-02,294,299,283,286,703000,204179000
2013-10-01,295,299,293,293,463000,136594000
2013-09-30,298,301,295,296,358000,106563000
2013-09-27,303,310,301,304,396000,120638000
2013-09-26,299,304,292,304,313000,93373000
2013-09-25,307,307,300,300,324000,98039000
2013-09-24,305,310,299,307,469000,142848000
2013-09-20,308,312,304,308,507000,156271000
2013-09-19,299,310,298,310,1164000,355702000
2013-09-18,302,303,296,298,460000,138112000
2013-09-17,294,302,294,300,639000,190736000
2013-09-13,299,302,293,294,898000,266937000
2013-09-12,295,302,295,301,366000,109420000
2013-09-11,307,307,297,298,528000,159201000
2013-09-10,288,303,288,302,1153000,343444000
2013-09-09,284,289,282,288,556000,158597000
2013-09-06,281,281,275,277,339000,94171000
2013-09-05,279,282,274,280,700000,195142000
2013-09-04,275,276,270,276,557000,152642000
2013-09-03,265,273,264,273,748000,201560000
2013-09-02,267,267,262,262,591000,156205000
2013-08-30,273,273,266,267,467000,125976000
2013-08-29,269,270,266,268,327000,87516000
2013-08-28,275,275,268,271,482000,130672000
2013-08-27,279,280,275,278,299000,83023000
2013-08-26,281,284,277,277,338000,94622000
2013-08-23,281,284,280,283,309000,87085000
2013-08-22,277,278,274,278,226000,62360000
2013-08-21,278,280,276,277,251000,69726000
2013-08-20,281,282,277,278,244000,68333000
2013-08-19,277,283,275,282,321000,89500000
2013-08-16,280,282,277,280,486000,135794000
2013-08-15,281,287,281,283,284000,80783000
2013-08-14,287,289,283,288,277000,79335000
2013-08-13,285,287,283,287,213000,60731000
2013-08-12,275,285,275,283,287000,80738000
2013-08-09,282,285,277,279,450000,126128000
2013-08-08,286,287,279,281,659000,186542000
2013-08-07,288,292,287,287,1062000,307048000
2013-08-06,294,303,288,302,597000,176018000
2013-08-05,292,296,291,294,342000,100102000
2013-08-02,287,296,285,296,592000,172087000
2013-08-01,286,287,271,283,1367000,383560000
2013-07-31,288,296,284,290,462000,134393000
2013-07-30,281,295,281,293,723000,209416000
2013-07-29,289,289,281,281,489000,138877000
2013-07-26,302,303,292,293,707000,209791000
2013-07-25,313,313,304,307,563000,173270000
2013-07-24,313,314,307,310,447000,138563000
2013-07-23,310,317,309,313,847000,264648000
2013-07-22,311,312,305,311,553000,170718000
2013-07-19,315,316,298,308,1675000,513604000
2013-07-18,323,324,313,316,2664000,848456000
2013-07-17,286,316,286,313,4191000,1281742000
2013-07-16,290,292,287,288,533000,154419000
2013-07-12,287,292,285,288,647000,187153000
2013-07-11,284,286,280,284,387000,109463000
2013-07-10,286,288,282,284,372000,106035000
2013-07-09,282,286,280,283,789000,223130000
2013-07-08,291,293,281,281,949000,272566000
2013-07-05,282,285,280,283,816000,230631000
2013-07-04,279,280,274,278,469000,129995000
2013-07-03,283,284,278,281,607000,170385000
2013-07-02,277,284,276,281,701000,196095000
2013-07-01,274,274,269,273,647000,175806000
2013-06-28,263,273,263,273,926000,250367000
2013-06-27,257,258,247,257,797000,201918000
2013-06-26,269,270,255,256,688000,180070000
2013-06-25,276,276,261,265,733000,194922000
2013-06-24,278,280,268,275,762000,208620000
2013-06-21,270,273,267,272,614000,165955000
