5706-T,東証1部,三井金,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,288,293,285,287,6517000,1881651000
2014-06-26,286,289,284,288,3841000,1101991000
2014-06-25,282,285,281,282,3065000,866627000
2014-06-24,282,286,280,286,5864000,1664841000
2014-06-23,278,284,278,283,5462000,1539484000
2014-06-20,276,279,273,276,7417000,2049907000
2014-06-19,266,273,265,272,4149000,1122751000
2014-06-18,264,266,262,265,2242000,592230000
2014-06-17,261,265,261,263,3540000,931154000
2014-06-16,268,268,261,262,2872000,759923000
2014-06-13,264,268,263,266,5681000,1509792000
2014-06-12,262,265,260,263,2877000,756011000
2014-06-11,264,265,262,265,2779000,733379000
2014-06-10,263,265,261,264,3933000,1035627000
2014-06-09,264,268,263,263,5549000,1471851000
2014-06-06,253,261,252,260,8364000,2162526000
2014-06-05,250,254,250,252,3854000,969657000
2014-06-04,252,253,249,250,4130000,1034076000
2014-06-03,259,259,255,255,2685000,687617000
2014-06-02,251,255,250,254,4075000,1032184000
2014-05-30,251,251,246,248,3445000,855803000
2014-05-29,253,253,249,250,2692000,674954000
2014-05-28,252,255,250,252,3277000,826265000
2014-05-27,253,256,251,251,2236000,565447000
2014-05-26,255,256,251,254,3297000,836305000
2014-05-23,253,254,250,253,4244000,1070097000
2014-05-22,248,254,246,250,8018000,2007466000
2014-05-21,242,244,237,240,2324000,559058000
2014-05-20,241,247,241,244,5151000,1262280000
2014-05-19,238,242,236,237,3052000,727680000
2014-05-16,244,245,238,239,5419000,1306590000
2014-05-15,248,251,246,248,2915000,722271000
2014-05-14,250,250,243,249,3170000,785365000
2014-05-13,245,249,243,247,3575000,883245000
2014-05-12,240,244,239,243,4951000,1197883000
2014-05-09,246,247,237,242,8211000,1988804000
2014-05-08,248,258,248,254,5292000,1338868000
2014-05-07,254,255,249,251,3907000,983054000
2014-05-02,258,259,254,256,3423000,875721000
2014-05-01,255,261,255,260,4391000,1137604000
2014-04-30,252,254,252,253,2723000,688678000
2014-04-28,248,254,247,253,3946000,989520000
2014-04-25,254,257,251,254,3382000,858496000
2014-04-24,259,260,254,255,5419000,1390031000
2014-04-23,252,261,252,258,10160000,2613164000
2014-04-22,250,250,247,247,2182000,542332000
2014-04-21,252,253,249,250,2651000,665008000
2014-04-18,253,253,250,252,2123000,534435000
2014-04-17,248,252,245,251,5774000,1435726000
2014-04-16,247,251,247,250,8132000,2025541000
2014-04-15,239,250,238,245,12247000,3009275000
2014-04-14,234,240,234,236,6615000,1568046000
2014-04-11,236,242,234,234,8379000,1987324000
2014-04-10,243,248,241,243,7513000,1838053000
2014-04-09,237,242,236,239,5551000,1328069000
2014-04-08,239,242,237,237,4962000,1184500000
2014-04-07,239,242,239,241,2475000,595509000
2014-04-04,242,243,239,242,3772000,911195000
2014-04-03,244,245,240,244,4811000,1168080000
2014-04-02,238,245,237,242,4966000,1200700000
2014-04-01,238,240,235,236,3535000,838562000
2014-03-31,234,241,233,238,5499000,1308878000
2014-03-28,232,233,226,231,6533000,1497234000
2014-03-27,227,233,227,232,7171000,1644068000
2014-03-26,231,234,230,233,5967000,1382969000
