5801-T,東証1部,古河電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,217,218,212,215,8265000,1772543000
2014-06-26,219,220,217,217,4912000,1070481000
2014-06-25,217,220,217,217,6328000,1378299000
2014-06-24,219,223,217,219,11962000,2632765000
2014-06-23,221,223,219,219,7073000,1562031000
2014-06-20,224,225,218,219,14004000,3095087000
2014-06-19,215,224,214,223,21217000,4669487000
2014-06-18,213,213,210,211,3706000,783646000
2014-06-17,213,215,211,212,3218000,682648000
2014-06-16,216,216,213,213,3875000,831178000
2014-06-13,211,216,211,215,8069000,1721747000
2014-06-12,210,213,209,212,5744000,1213247000
2014-06-11,209,211,209,210,5222000,1096285000
2014-06-10,211,212,209,211,6430000,1353344000
2014-06-09,212,213,211,212,4266000,904147000
2014-06-06,210,211,209,210,6579000,1381149000
2014-06-05,213,213,208,210,9040000,1901140000
2014-06-04,214,215,210,211,9733000,2064669000
2014-06-03,218,220,217,217,5222000,1138470000
2014-06-02,212,215,211,215,4014000,857432000
2014-05-30,212,213,209,210,5036000,1060809000
2014-05-29,212,213,209,210,5120000,1078174000
2014-05-28,213,214,212,212,2232000,474681000
2014-05-27,215,216,211,212,4995000,1068401000
2014-05-26,215,217,214,215,4285000,922001000
2014-05-23,213,215,212,213,3643000,776362000
2014-05-22,208,212,207,211,7978000,1675438000
2014-05-21,209,209,205,207,5661000,1173286000
2014-05-20,212,214,211,212,2453000,521351000
2014-05-19,214,214,209,211,6289000,1326459000
2014-05-16,216,216,212,214,4983000,1066536000
2014-05-15,217,220,216,219,3811000,831768000
2014-05-14,217,221,216,219,6819000,1493668000
2014-05-13,217,218,214,215,8098000,1748051000
2014-05-12,222,222,210,214,18917000,4070420000
2014-05-09,230,237,230,234,5377000,1255952000
2014-05-08,230,232,229,230,3268000,752825000
2014-05-07,233,234,228,229,5523000,1270259000
2014-05-02,236,244,236,238,7168000,1714422000
2014-05-01,230,234,229,234,3322000,770558000
2014-04-30,231,232,228,230,4413000,1015344000
2014-04-28,233,233,230,230,2749000,634933000
