5819-T,東証1部,カナレ電気,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1618,1620,1601,1614,12000,19334600
2014-06-26,1621,1630,1610,1622,35000,56754900
2014-06-25,1655,1663,1650,1655,28000,46369500
2014-06-24,1662,1669,1655,1667,13400,22262400
2014-06-23,1675,1678,1665,1666,12200,20371400
2014-06-20,1680,1693,1663,1663,18200,30554700
2014-06-19,1665,1680,1664,1677,17900,29948600
2014-06-18,1631,1665,1631,1664,26100,43008800
2014-06-17,1606,1630,1606,1627,13800,22329200
2014-06-16,1600,1605,1597,1602,11300,18106000
2014-06-13,1592,1598,1590,1593,10300,16405300
2014-06-12,1592,1592,1584,1589,6400,10170400
2014-06-11,1570,1580,1570,1580,10800,16986000
2014-06-10,1568,1573,1567,1569,5300,8318400
2014-06-09,1570,1572,1566,1566,7400,11617900
2014-06-06,1561,1570,1561,1568,7100,11115400
2014-06-05,1569,1569,1559,1563,10000,15644100
2014-06-04,1559,1560,1557,1560,4300,6703200
2014-06-03,1558,1559,1555,1555,5600,8722900
2014-06-02,1550,1556,1550,1554,9600,14904900
2014-05-30,1550,1550,1544,1547,8000,12388600
2014-05-29,1545,1547,1540,1543,5400,8336200
2014-05-28,1535,1546,1535,1544,8200,12624700
2014-05-27,1533,1538,1529,1535,5800,8898300
2014-05-26,1523,1530,1517,1528,8500,12956500
2014-05-23,1520,1520,1514,1518,3600,5463900
2014-05-22,1515,1515,1509,1515,3300,4996000
2014-05-21,1507,1513,1507,1513,2000,3020000
2014-05-20,1511,1513,1506,1507,900,1359400
2014-05-19,1507,1511,1505,1507,2800,4220000
2014-05-16,1513,1515,1510,1510,4500,6805200
2014-05-15,1511,1517,1511,1515,1900,2875100
2014-05-14,1513,1519,1512,1517,2400,3634400
2014-05-13,1513,1520,1510,1512,2400,3631300
2014-05-12,1511,1515,1508,1508,3400,5136800
2014-05-09,1510,1518,1510,1514,3800,5745300
2014-05-08,1529,1529,1512,1512,1700,2579900
2014-05-07,1520,1525,1512,1512,4200,6376300
2014-05-02,1515,1527,1515,1526,3900,5931900
2014-05-01,1527,1527,1516,1525,2600,3960100
2014-04-30,1525,1528,1515,1521,5900,8974300
2014-04-28,1525,1525,1513,1519,5300,8059100
2014-04-25,1508,1526,1503,1525,10900,16519600
2014-04-24,1496,1502,1496,1502,2500,3745800
2014-04-23,1500,1500,1496,1496,3300,4943800
2014-04-22,1498,1500,1495,1495,2200,3294900
2014-04-21,1500,1500,1494,1498,3100,4641100
2014-04-18,1494,1494,1488,1494,2300,3431100
2014-04-17,1485,1490,1483,1488,1700,2527900
2014-04-16,1481,1491,1481,1489,1100,1636400
2014-04-15,1479,1495,1478,1480,2200,3268500
2014-04-14,1490,1490,1479,1479,4400,6539900
2014-04-11,1480,1490,1479,1480,6100,9044400
2014-04-10,1496,1496,1488,1488,2200,3281700
2014-04-09,1500,1500,1488,1489,5200,7764700
2014-04-08,1500,1504,1492,1497,7000,10474700
2014-04-07,1503,1506,1497,1505,4500,6759900
2014-04-04,1508,1511,1506,1506,3400,5129400
2014-04-03,1508,1515,1505,1508,4200,6342500
2014-04-02,1513,1513,1502,1508,6700,10120800
2014-04-01,1502,1507,1490,1507,6100,9146700
2014-03-31,1486,1500,1486,1492,7200,10741700
2014-03-28,1478,1489,1478,1486,6600,9798700
2014-03-27,1461,1477,1461,1471,6100,8965900
2014-03-26,1469,1474,1444,1474,10600,15486200
2014-03-25,1453,1468,1447,1465,6200,9032700
2014-03-24,1451,1478,1451,1454,7500,10960800
2014-03-20,1440,1459,1440,1445,5900,8535000
2014-03-19,1441,1454,1441,1446,3800,5498500
2014-03-18,1440,1463,1435,1436,8000,11531900
2014-03-17,1451,1460,1438,1451,3900,5649900
2014-03-14,1457,1457,1436,1436,14000,20293000
2014-03-13,1467,1470,1452,1463,3300,4833700
2014-03-12,1436,1471,1436,1465,4500,6545700
2014-03-11,1455,1474,1455,1466,3500,5132000
2014-03-10,1438,1459,1437,1452,5400,7809300
2014-03-07,1435,1437,1423,1437,4500,6445600
2014-03-06,1434,1435,1420,1435,1800,2576000
2014-03-05,1427,1435,1427,1435,1300,1861200
2014-03-04,1401,1429,1401,1427,3600,5100900
2014-03-03,1419,1422,1406,1410,4300,6078400
2014-02-28,1431,1435,1415,1417,3300,4693100
2014-02-27,1433,1438,1424,1431,3300,4723400
2014-02-26,1445,1451,1424,1431,3200,4602300
2014-02-25,1450,1452,1441,1445,2000,2898400
2014-02-24,1440,1449,1437,1440,3100,4470200
2014-02-21,1431,1448,1431,1439,3300,4757700
2014-02-20,1442,1444,1426,1437,3200,4597400
2014-02-19,1431,1438,1423,1434,1600,2289700
2014-02-18,1418,1436,1414,1431,4200,5974100
2014-02-17,1415,1418,1411,1418,1600,2263900
2014-02-14,1413,1438,1410,1410,1900,2687900
2014-02-13,1429,1443,1411,1413,2600,3699200
2014-02-12,1410,1427,1410,1427,2200,3119200
2014-02-10,1418,1418,1396,1405,4100,5771000
2014-02-07,1379,1403,1378,1388,5600,7764100
2014-02-06,1380,1409,1368,1377,4800,6614700
2014-02-05,1385,1404,1369,1374,9400,12945600
2014-02-04,1413,1413,1341,1361,21400,29440100
2014-02-03,1454,1459,1433,1433,6900,9977400
2014-01-31,1480,1480,1440,1454,12900,18827600
2014-01-30,1461,1470,1441,1441,18400,26723400
2014-01-29,1472,1476,1451,1476,9700,14199800
2014-01-28,1470,1470,1450,1450,7700,11235700
2014-01-27,1480,1481,1457,1457,11700,17189500
2014-01-24,1491,1495,1485,1485,12000,17876900
2014-01-23,1513,1513,1491,1496,5300,7949300
2014-01-22,1510,1513,1495,1506,8000,12041600
2014-01-21,1503,1519,1503,1510,10700,16158400
2014-01-20,1498,1506,1492,1501,7800,11696000
2014-01-17,1500,1534,1488,1490,40200,60426500
2014-01-16,1499,1500,1488,1495,6500,9733000
2014-01-15,1500,1500,1489,1499,7100,10623900
2014-01-14,1495,1495,1480,1483,12200,18121800
2014-01-10,1496,1498,1488,1495,7600,11348800
2014-01-09,1497,1497,1488,1495,6800,10152100
2014-01-08,1488,1495,1486,1492,7300,10875100
2014-01-07,1492,1496,1488,1488,9300,13887100
2014-01-06,1490,1495,1484,1492,7900,11776800
2013-12-30,1495,1495,1489,1494,10900,16268600
2013-12-27,1481,1495,1476,1490,11800,17514000
2013-12-26,1473,1490,1468,1481,35600,52585900
2013-12-25,1502,1514,1499,1513,35300,53095200
2013-12-24,1520,1523,1501,1520,26600,40330700
2013-12-20,1518,1526,1515,1518,21900,33275500
2013-12-19,1538,1541,1518,1520,24900,38109100
2013-12-18,1534,1540,1533,1538,8200,12595100
2013-12-17,1533,1539,1531,1536,12600,19329500
2013-12-16,1535,1542,1534,1534,13800,21205000
2013-12-13,1535,1579,1532,1537,40400,62469100
2013-12-12,1545,1547,1538,1542,11300,17438800
2013-12-11,1542,1547,1538,1542,10200,15736100
2013-12-10,1547,1547,1537,1541,11200,17283200
2013-12-09,1535,1544,1535,1543,10200,15677000
2013-12-06,1533,1545,1530,1536,6900,10594900
2013-12-05,1537,1544,1535,1535,7000,10769700
2013-12-04,1539,1544,1537,1537,10900,16773700
2013-12-03,1545,1545,1538,1540,11600,17885300
2013-12-02,1542,1549,1540,1540,7000,10802400
2013-11-29,1539,1546,1533,1539,5900,9086300
2013-11-28,1530,1539,1530,1537,5200,7973600
2013-11-27,1526,1538,1526,1535,3900,5974500
2013-11-26,1533,1537,1525,1528,5500,8415300
2013-11-25,1537,1537,1528,1535,6300,9659500
2013-11-22,1526,1536,1521,1529,5800,8859900
2013-11-21,1520,1525,1520,1524,3400,5175300
2013-11-20,1529,1529,1516,1517,4600,6994300
2013-11-19,1561,1561,1514,1519,13800,21172600
2013-11-18,1530,1530,1514,1521,10100,15344700
2013-11-15,1525,1529,1518,1522,9400,14324400
2013-11-14,1518,1527,1516,1524,4200,6386500
2013-11-13,1517,1529,1517,1518,2400,3650100
2013-11-12,1520,1525,1516,1521,3800,5775400
2013-11-11,1521,1521,1515,1517,2100,3189200
2013-11-08,1521,1525,1517,1521,2300,3498500
2013-11-07,1526,1528,1516,1521,6400,9742300
2013-11-06,1525,1529,1518,1525,4300,6550200
2013-11-05,1530,1530,1522,1530,3000,4582400
