5852-T,東証1部,アーレスティ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,856,856,831,837,77700,65462500
2014-06-26,863,869,854,856,86100,74053300
2014-06-25,883,888,867,868,68100,59521300
2014-06-24,885,886,873,879,59200,52068100
2014-06-23,884,889,878,887,103800,91718500
2014-06-20,900,900,868,873,68800,60473600
2014-06-19,894,900,887,894,59100,52795100
2014-06-18,889,893,877,891,59600,52822300
2014-06-17,888,889,870,885,57900,51112500
2014-06-16,903,904,872,879,112700,99763300
2014-06-13,902,913,887,910,180700,163082000
2014-06-12,897,915,890,908,175300,159074700
2014-06-11,890,906,887,906,308700,277799300
2014-06-10,865,889,863,877,165900,145499400
2014-06-09,880,882,863,865,57100,49624200
2014-06-06,856,869,850,868,65600,56385100
2014-06-05,880,884,843,846,83300,71543400
2014-06-04,884,884,859,870,91900,79803200
2014-06-03,892,892,878,884,55500,49106300
2014-06-02,867,888,866,885,74600,65633100
2014-05-30,878,883,858,867,65900,57310500
2014-05-29,840,884,840,877,158100,136307600
2014-05-28,847,849,829,842,61900,52224500
2014-05-27,844,848,827,837,95100,79550700
2014-05-26,826,847,822,843,84800,70752500
2014-05-23,827,836,815,822,67600,55801400
2014-05-22,810,832,804,825,136300,111713500
2014-05-21,758,805,756,803,128900,101587000
2014-05-20,770,787,761,774,102600,79321900
2014-05-19,778,783,756,760,115000,88760900
2014-05-16,820,825,773,776,262300,207385500
2014-05-15,831,843,822,827,72900,60421200
2014-05-14,847,852,832,848,86800,73218300
2014-05-13,857,860,832,840,157900,133001800
2014-05-12,825,862,795,847,298800,249996900
2014-05-09,884,893,866,870,100700,88604500
2014-05-08,873,879,863,869,64400,55972200
2014-05-07,898,898,854,863,198200,171695500
2014-05-02,888,900,870,898,213500,190344800
2014-05-01,871,892,859,884,164800,144445600
2014-04-30,843,898,843,870,522400,456285900
2014-04-28,880,919,831,836,1315200,1148085500
2014-04-25,869,880,853,863,225600,195644000
2014-04-24,867,880,855,858,105500,91848300
2014-04-23,868,868,853,865,83100,71569700
2014-04-22,870,871,851,854,73300,63213200
2014-04-21,880,882,865,871,62000,54163800
2014-04-18,897,899,880,888,80800,71681100
2014-04-17,893,904,886,898,129400,116041600
2014-04-16,875,905,860,901,214600,191741300
2014-04-15,899,908,861,862,138700,123117000
2014-04-14,888,911,883,890,330400,297349800
2014-04-11,870,900,860,884,394000,349829300
2014-04-10,890,895,860,884,209800,184568200
2014-04-09,868,894,816,873,510500,445886100
2014-04-08,874,897,866,878,364300,321149100
2014-04-07,858,887,858,875,274000,238662300
2014-04-04,821,845,819,845,77400,64583100
2014-04-03,845,850,817,820,111900,93085100
2014-04-02,865,875,846,855,118600,102119700
2014-04-01,858,864,848,864,76700,65742700
2014-03-31,834,864,819,860,158700,133222600
2014-03-28,815,820,794,819,118100,95351100
2014-03-27,791,829,761,824,214700,168806700
2014-03-26,796,826,796,812,94600,76873300
2014-03-25,822,822,794,810,121200,97477800
2014-03-24,812,824,805,809,79600,64866300
2014-03-20,845,845,805,817,150900,123437500
2014-03-19,855,860,831,845,102400,86654900
2014-03-18,841,868,841,864,90900,77774300
2014-03-17,855,862,834,835,121500,103373400
2014-03-14,866,866,846,855,151200,129650500
2014-03-13,872,883,869,876,103800,90849200
2014-03-12,888,889,870,871,183000,160621400
2014-03-11,900,903,887,898,205900,184566700
2014-03-10,905,906,899,906,219100,197866600
2014-03-07,910,915,901,906,879100,798340900
2014-03-06,924,930,915,924,91900,84853300
2014-03-05,947,962,917,939,197600,186175400
2014-03-04,920,939,913,932,117100,108778300
2014-03-03,893,955,893,944,174200,160063200
2014-02-28,908,917,901,905,126000,114150600
2014-02-27,929,929,915,917,58700,54040900
2014-02-26,920,931,910,924,114800,105894700
2014-02-25,923,928,905,919,489900,450637900
2014-02-24,990,990,927,927,501700,476435600
2014-02-21,1005,1014,995,997,96400,96607800
2014-02-20,971,1021,971,998,231100,230638500
2014-02-19,980,990,966,980,117100,114244300
2014-02-18,985,1020,982,987,298700,298046100
2014-02-17,928,1029,918,986,488800,472417300
2014-02-14,981,988,945,973,177900,172383600
2014-02-13,1002,1017,981,992,196700,196149400
2014-02-12,1000,1030,970,1030,646900,653805400
2014-02-10,909,909,867,880,109800,96883800
2014-02-07,890,905,886,894,35600,31868700
2014-02-06,886,889,863,864,38800,33786900
2014-02-05,894,914,868,881,55800,49558300
2014-02-04,836,895,832,864,131300,113390300
2014-02-03,895,907,874,896,65000,58064700
2014-01-31,959,966,902,914,89800,83026100
2014-01-30,984,985,942,947,67400,64325600
2014-01-29,1004,1040,985,990,135300,136621400
2014-01-28,970,1012,969,1005,86200,85414300
2014-01-27,942,973,916,958,134000,126569300
2014-01-24,1001,1014,986,1002,90900,90859700
2014-01-23,1065,1065,1012,1018,74600,77332500
2014-01-22,1025,1071,1007,1069,112900,118492300
2014-01-21,1050,1080,1015,1037,109000,113965800
2014-01-20,1005,1050,1000,1045,174800,180004600
2014-01-17,944,995,944,993,116200,113704100
2014-01-16,961,980,947,959,108200,104423400
2014-01-15,971,991,958,963,74000,71964000
2014-01-14,913,990,905,956,143700,137288000
2014-01-10,903,963,903,942,209300,195207000
2014-01-09,857,899,857,899,171600,151763700
2014-01-08,856,858,847,857,32800,27964400
2014-01-07,857,862,843,844,45200,38366000
2014-01-06,840,882,840,866,175300,150703500
2013-12-30,821,851,821,843,63500,53242300
2013-12-27,813,814,802,809,30200,24420600
2013-12-26,788,810,786,802,37100,29502200
2013-12-25,766,785,766,773,84100,64839100
2013-12-24,776,785,775,775,76500,59573600
2013-12-20,787,790,764,772,139400,108266900
2013-12-19,800,809,765,775,135000,106016600
2013-12-18,787,794,780,784,60700,47753500
2013-12-17,806,815,785,798,79100,63100600
2013-12-16,824,830,800,811,79000,64136200
2013-12-13,830,830,812,821,37500,30791100
2013-12-12,818,830,807,820,40600,33193000
2013-12-11,819,828,811,820,59400,48755300
2013-12-10,819,820,810,816,45700,37161100
2013-12-09,826,827,811,818,28700,23516700
2013-12-06,806,812,802,812,16600,13413600
2013-12-05,826,828,810,815,44300,36228300
2013-12-04,845,845,827,829,59000,49234300
2013-12-03,843,858,834,858,93500,79125700
2013-12-02,832,840,830,840,48700,40612200
2013-11-29,822,829,821,824,23400,19292000
2013-11-28,829,830,823,830,43100,35674800
2013-11-27,825,837,825,828,38500,31935600
2013-11-26,830,832,823,825,62300,51611200
2013-11-25,839,840,822,830,83900,69656900
2013-11-22,834,834,813,823,29100,23906800
2013-11-21,829,840,823,827,58900,48995000
2013-11-20,805,823,804,822,73100,59535200
2013-11-19,810,815,794,803,70200,56605000
2013-11-18,811,813,800,805,48000,38659100
2013-11-15,810,813,805,806,58100,47016300
2013-11-14,807,818,795,805,96900,78216300
2013-11-13,801,805,795,805,31100,24875400
2013-11-12,800,807,782,806,263700,210038500
2013-11-11,759,759,710,740,40500,30014400
2013-11-08,745,755,726,746,94800,70063700
2013-11-07,763,779,752,757,56800,43218600
2013-11-06,758,778,751,755,48200,36545300
2013-11-05,788,788,744,758,55600,42108200
2013-11-01,779,789,761,766,44700,34561100
2013-10-31,780,785,758,778,88200,68023100
2013-10-30,800,800,780,785,64300,50723400
2013-10-29,796,805,792,792,29100,23232300
2013-10-28,786,810,780,805,42300,33812600
2013-10-25,793,796,787,794,40200,31865000
2013-10-24,782,797,782,796,32000,25267600
2013-10-23,809,809,787,797,36400,28930200
2013-10-22,806,806,799,800,45200,36252000
2013-10-21,811,813,796,800,70800,56773900
2013-10-18,806,818,806,813,15400,12501300
2013-10-17,822,828,802,806,43400,35580900
2013-10-16,800,805,798,800,26700,21389600
2013-10-15,826,826,800,800,41300,33370500
2013-10-11,839,840,817,819,58700,48665900
2013-10-10,829,829,816,824,14300,11762000
2013-10-09,810,837,800,829,38300,31355700
2013-10-08,761,814,754,814,37800,29465700
2013-10-07,795,819,781,781,28500,22536300
2013-10-04,815,829,795,810,44400,35859400
2013-10-03,812,835,812,818,23600,19398700
2013-10-02,817,844,815,822,60200,49548800
2013-10-01,822,832,811,815,56800,46621100
2013-09-30,838,845,820,825,33100,27392900
2013-09-27,886,886,805,842,99800,84652500
2013-09-26,851,888,840,876,140300,121592800
2013-09-25,836,872,827,869,168600,144189200
2013-09-24,806,839,805,817,63000,51489000
2013-09-20,812,820,805,811,51500,41754200
2013-09-19,810,827,801,812,55100,44830900
2013-09-18,809,821,806,808,25200,20498400
2013-09-17,818,820,796,818,34700,28192800
2013-09-13,809,810,795,802,16600,13312200
2013-09-12,808,814,790,805,23800,19112700
2013-09-11,790,831,780,815,66800,53676400
2013-09-10,770,782,768,780,17200,13348700
2013-09-09,767,776,767,770,9500,7324200
2013-09-06,765,774,756,763,25500,19557600
2013-09-05,770,777,755,765,27900,21495900
2013-09-04,760,765,757,760,9700,7379500
2013-09-03,771,774,758,770,18100,13909700
2013-09-02,757,758,736,757,21200,15870800
2013-08-30,751,759,740,748,23300,17434900
2013-08-29,763,777,745,745,28300,21495600
2013-08-28,745,771,741,755,60100,45588500
2013-08-27,726,768,725,757,55400,41531400
2013-08-26,765,765,734,735,22500,16882400
2013-08-23,774,774,747,750,17000,12856600
2013-08-22,750,753,735,753,20900,15513000
2013-08-21,758,758,738,751,25100,18863500
2013-08-20,781,781,730,756,44200,33441600
2013-08-19,779,794,752,782,80000,62161000
2013-08-16,754,770,749,770,39200,29761100
2013-08-15,754,760,746,757,27400,20686400
2013-08-14,769,770,751,754,23700,18046300
2013-08-13,774,774,727,759,23000,17369800
2013-08-12,735,765,735,759,61200,46145300
2013-08-09,781,798,726,748,356000,273824600
2013-08-08,726,750,726,746,87600,64796300
2013-08-07,731,737,721,721,30600,22299900
2013-08-06,722,748,714,730,41100,29841200
2013-08-05,721,737,692,722,77900,56270200
2013-08-02,690,694,689,693,32200,22288000
2013-08-01,676,682,664,680,39700,26930000
2013-07-31,675,684,671,671,6900,4671500
2013-07-30,647,687,647,671,14600,9745000
2013-07-29,682,682,646,650,28000,18350300
2013-07-26,711,711,682,682,19600,13636200
2013-07-25,722,722,690,706,16900,11970600
2013-07-24,710,712,700,708,15300,10819800
2013-07-23,717,725,706,724,14200,10173400
2013-07-22,736,736,715,725,9000,6514200
2013-07-19,742,745,692,723,75700,54196900
2013-07-18,741,742,733,736,37300,27571300
2013-07-17,739,744,723,730,40200,29433600
2013-07-16,707,745,702,738,57100,41778500
2013-07-12,700,715,694,703,40700,28696000
2013-07-11,688,700,680,687,47600,32902600
2013-07-10,684,698,680,695,25000,17242600
2013-07-09,680,690,655,674,43900,29850800
2013-07-08,689,689,650,660,34400,23216900
2013-07-05,657,669,650,669,26100,17230000
2013-07-04,640,659,640,659,32700,21263200
2013-07-03,640,647,633,646,19300,12341000
2013-07-02,635,642,625,633,25900,16426200
