5955-T,東証2部,ヤマシナ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,52,53,52,52,158400,8242700
2014-06-26,52,53,51,53,379800,19556900
2014-06-25,53,53,52,52,148000,7727500
2014-06-24,53,53,52,52,189900,9913900
2014-06-23,52,53,52,53,469700,24551300
2014-06-20,53,53,52,52,283800,14795900
2014-06-19,52,54,52,52,552300,29090000
2014-06-18,52,53,51,52,203400,10586400
2014-06-17,52,53,51,51,88900,4644000
2014-06-16,52,53,51,53,386100,20070500
2014-06-13,50,52,50,52,198200,10062900
2014-06-12,51,52,50,50,319500,16080400
2014-06-11,51,52,51,51,54500,2811900
2014-06-10,51,52,50,51,136400,6939200
2014-06-09,51,52,51,51,131500,6716200
2014-06-06,50,52,50,51,221600,11290900
2014-06-05,51,52,51,51,62600,3200300
2014-06-04,51,52,51,51,91600,4675400
2014-06-03,51,52,50,51,253700,13023200
2014-06-02,50,52,50,51,429600,21757700
2014-05-30,51,51,50,51,92600,4653200
2014-05-29,49,51,49,51,330200,16432300
2014-05-28,49,50,49,49,89400,4415100
2014-05-27,50,50,49,49,297100,14819800
2014-05-26,49,51,49,50,219600,10939000
2014-05-23,48,50,47,49,306000,14850600
2014-05-22,48,49,47,48,172000,8236600
2014-05-21,47,49,45,47,964900,45452400
2014-05-20,47,49,47,48,413900,19680200
2014-05-19,51,51,49,49,359500,18016900
2014-05-16,51,52,50,51,286900,14615000
2014-05-15,52,52,51,52,42700,2214700
2014-05-14,52,53,52,52,43000,2236300
2014-05-13,52,53,51,52,153900,7966400
2014-05-12,53,54,52,52,191400,10049800
2014-05-09,54,55,53,53,275300,14827900
2014-05-08,54,56,54,54,1144200,62148500
2014-05-07,53,54,52,54,231400,12307800
2014-05-02,52,53,52,53,260500,13789800
2014-05-01,52,53,51,53,79400,4125700
2014-04-30,52,53,51,52,185800,9667000
2014-04-28,52,52,51,52,161000,8297500
2014-04-25,51,52,51,51,41600,2143500
2014-04-24,52,53,51,52,185900,9688700
2014-04-23,53,53,52,52,239300,12482700
2014-04-22,53,53,52,53,74200,3920600
2014-04-21,53,54,53,53,127200,6746300
2014-04-18,53,54,52,53,113800,6016800
