5956-T,東証2部,トーソー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,488,489,487,487,3900,1901800
2014-06-26,490,491,490,490,4100,2010800
2014-06-25,491,491,487,488,4800,2350800
2014-06-24,489,489,488,489,3600,1759100
2014-06-23,490,491,489,491,7000,3429500
2014-06-20,488,489,485,489,2200,1071500
2014-06-19,485,491,484,484,13900,6773300
2014-06-18,485,486,484,486,2900,1405600
2014-06-17,483,484,482,484,3300,1594100
2014-06-16,485,485,483,483,5900,2859800
2014-06-13,480,483,479,483,6200,2975900
2014-06-12,479,481,479,480,3100,1488300
2014-06-11,484,484,479,482,7000,3369700
2014-06-10,489,489,476,485,14800,7171300
2014-06-09,477,489,477,489,19900,9614400
2014-06-06,475,478,475,476,14800,7042500
2014-06-05,472,478,472,477,25100,11890600
2014-06-04,476,481,470,473,50600,24096900
2014-06-03,470,472,464,469,47500,22235600
2014-06-02,466,466,460,463,5700,2637200
2014-05-30,459,462,458,458,3900,1793000
2014-05-29,457,461,457,458,3200,1469600
2014-05-28,455,461,454,455,5600,2549800
2014-05-27,463,463,456,459,5700,2621700
2014-05-26,470,470,465,465,800,372700
2014-05-23,469,469,464,465,1900,889800
2014-05-22,464,464,462,464,2500,1158100
2014-05-21,462,465,462,465,400,185100
2014-05-20,458,462,458,462,2400,1103200
2014-05-19,465,465,461,461,600,277800
2014-05-16,460,465,460,465,1700,783700
2014-05-15,460,461,459,460,1500,690000
2014-05-14,457,460,457,460,1600,732100
2014-05-13,466,470,455,455,3900,1802600
2014-05-12,479,479,462,466,8400,3996800
2014-05-09,460,472,459,472,3700,1717700
2014-05-08,477,477,452,456,8600,3993200
2014-05-07,471,475,471,475,1600,757200
2014-05-02,470,474,470,471,1700,801400
2014-05-01,472,475,469,470,5200,2461800
2014-04-30,471,471,469,469,2000,938400
2014-04-28,466,470,466,469,1100,513400
2014-04-25,470,470,467,468,2000,938900
2014-04-24,464,469,464,468,500,233100
2014-04-23,467,467,464,464,1400,653200
2014-04-22,461,463,461,462,3000,1386300
2014-04-21,463,464,460,461,1800,831500
2014-04-18,461,463,461,463,800,369400
2014-04-17,459,462,459,461,1400,645500
2014-04-16,458,462,457,459,1600,735200
2014-04-15,461,461,458,458,800,367300
2014-04-14,458,460,457,457,7600,3481800
2014-04-11,468,470,460,461,4800,2227500
2014-04-10,470,471,469,470,9400,4418100
2014-04-09,473,474,471,472,4200,1984600
2014-04-08,473,475,472,473,2100,993500
2014-04-07,475,475,472,474,1500,710900
2014-04-04,473,476,473,476,1800,852500
2014-04-03,474,474,469,473,3100,1461900
2014-04-02,473,474,470,471,1200,566000
2014-04-01,482,482,465,470,6900,3270400
2014-03-31,472,475,468,475,3600,1696300
2014-03-28,467,470,467,470,2100,984100
2014-03-27,461,470,461,466,12500,5801000
2014-03-26,495,497,485,497,15100,7424100
2014-03-25,493,496,486,495,8400,4134900
2014-03-24,485,495,485,493,6800,3314800
2014-03-20,497,497,485,487,12600,6192200
2014-03-19,497,497,495,495,4500,2231300
