5959-T,東証1部,岡部,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1201,1207,1180,1185,465300,554238200
2014-06-26,1225,1227,1194,1199,632500,762138900
2014-06-25,1253,1255,1231,1232,613900,763015100
2014-06-24,1265,1267,1245,1255,349900,439717500
2014-06-23,1268,1280,1262,1265,377300,478587800
2014-06-20,1271,1275,1237,1252,682500,852816500
2014-06-19,1285,1289,1268,1273,373600,477179500
2014-06-18,1300,1304,1272,1284,276600,355257800
2014-06-17,1310,1313,1300,1300,201400,262585300
2014-06-16,1323,1326,1308,1318,143000,188193800
2014-06-13,1301,1325,1300,1321,271800,355730600
2014-06-12,1319,1334,1309,1325,245900,324412300
2014-06-11,1355,1355,1328,1339,228800,306062600
2014-06-10,1373,1379,1355,1359,148600,202918000
2014-06-09,1372,1379,1360,1373,132100,180645200
2014-06-06,1380,1386,1367,1372,99700,136856400
2014-06-05,1381,1394,1366,1376,135100,185798800
2014-06-04,1399,1399,1381,1383,91200,126645900
2014-06-03,1416,1419,1397,1400,109200,153327600
2014-06-02,1390,1420,1381,1415,134300,188593300
2014-05-30,1390,1397,1377,1379,86900,120372400
2014-05-29,1380,1402,1376,1395,46300,64524600
2014-05-28,1371,1400,1363,1388,146500,203503800
2014-05-27,1403,1405,1368,1370,198300,274196600
2014-05-26,1397,1410,1382,1408,112600,157782300
2014-05-23,1398,1403,1377,1385,101600,141109900
2014-05-22,1380,1388,1368,1385,136500,188390700
2014-05-21,1409,1409,1352,1367,127900,175604100
2014-05-20,1441,1465,1422,1422,171200,245738600
2014-05-19,1409,1445,1409,1433,231600,331051700
2014-05-16,1388,1410,1374,1401,162000,224900700
2014-05-15,1380,1399,1362,1395,81500,113156600
2014-05-14,1382,1395,1364,1384,94000,129859200
2014-05-13,1339,1389,1339,1385,137800,188456200
2014-05-12,1342,1354,1314,1317,119200,158441000
2014-05-09,1353,1366,1339,1346,137700,186444700
2014-05-08,1375,1390,1372,1378,105300,145267500
2014-05-07,1420,1420,1374,1375,131600,182751700
2014-05-02,1467,1480,1438,1445,133700,194674800
2014-05-01,1403,1468,1396,1467,167400,240719000
2014-04-30,1419,1419,1393,1403,86700,121494500
2014-04-28,1402,1406,1377,1393,70700,98373100
2014-04-25,1375,1404,1371,1402,69100,96437100
2014-04-24,1390,1400,1361,1376,112500,154882900
2014-04-23,1412,1416,1377,1390,172000,239320700
2014-04-22,1442,1444,1408,1412,123600,175521400
2014-04-21,1466,1472,1427,1439,90800,130917900
2014-04-18,1465,1471,1435,1463,130200,189942400
2014-04-17,1444,1474,1442,1453,99200,144570100
2014-04-16,1415,1445,1407,1444,113400,161699300
2014-04-15,1432,1439,1406,1407,119100,168542400
2014-04-14,1418,1443,1412,1421,73900,105430000
2014-04-11,1400,1433,1382,1422,94700,134137000
2014-04-10,1499,1512,1447,1451,132800,194995200
2014-04-09,1471,1491,1443,1465,202000,295108900
2014-04-08,1485,1498,1471,1473,85800,127017800
2014-04-07,1509,1517,1492,1498,69900,104919600
2014-04-04,1541,1548,1510,1521,132300,201599500
2014-04-03,1576,1577,1542,1551,183800,285831700
2014-04-02,1500,1595,1488,1569,383100,596348100
2014-04-01,1500,1500,1475,1498,101400,151086400
2014-03-31,1460,1497,1460,1485,207500,306587500
2014-03-28,1392,1441,1385,1441,177800,251790800
2014-03-27,1402,1420,1345,1413,278300,384161700
2014-03-26,1397,1429,1394,1421,176200,248850900
2014-03-25,1426,1431,1386,1407,264200,371273500
2014-03-24,1440,1479,1436,1449,184000,268082000
2014-03-20,1492,1495,1430,1432,105800,152999400
2014-03-19,1484,1510,1463,1477,152000,226057800
2014-03-18,1470,1491,1450,1482,115300,170377100
2014-03-17,1438,1479,1434,1445,161800,236158900
2014-03-14,1434,1458,1428,1442,200700,288844700
2014-03-13,1453,1482,1443,1462,77700,113834700
2014-03-12,1478,1489,1457,1461,79500,116961500
2014-03-11,1509,1515,1480,1499,129300,193880900
2014-03-10,1482,1515,1482,1503,235300,353835000
2014-03-07,1448,1490,1442,1476,158000,232512400
2014-03-06,1435,1447,1411,1440,108700,156005600
2014-03-05,1436,1457,1422,1433,101400,145516200
2014-03-04,1365,1435,1360,1431,163200,230669600
2014-03-03,1317,1397,1317,1379,125800,171384400
2014-02-28,1425,1432,1376,1397,121900,170091100
2014-02-27,1446,1455,1414,1425,167500,240592800
2014-02-26,1412,1449,1399,1441,243500,350082300
2014-02-25,1400,1420,1378,1413,171400,240312300
2014-02-24,1350,1400,1348,1385,245300,338040000
2014-02-21,1331,1365,1322,1355,218400,295210400
2014-02-20,1315,1322,1283,1301,99200,129188800
2014-02-19,1337,1365,1310,1317,196600,262870800
2014-02-18,1320,1345,1287,1341,176700,234863000
2014-02-17,1306,1310,1291,1305,146600,190887300
2014-02-14,1286,1291,1251,1276,101400,128648200
2014-02-13,1314,1318,1292,1298,119000,155094200
