5962-T,東証2部,浅香工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,138,139,137,137,8000,1104000
2014-06-26,139,139,138,138,3000,416000
2014-06-25,-,-,-,-,0,0
2014-06-24,141,141,138,138,11000,1532000
2014-06-23,141,141,141,141,1000,141000
2014-06-20,137,141,136,141,15000,2085000
2014-06-19,137,137,135,135,9000,1227000
2014-06-18,132,133,132,133,4000,531000
2014-06-17,132,132,132,132,1000,132000
2014-06-16,132,132,132,132,9000,1188000
2014-06-13,130,132,128,132,9000,1179000
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,129,129,129,129,3000,387000
2014-06-09,131,132,131,132,6000,789000
2014-06-06,129,129,129,129,1000,129000
2014-06-05,129,129,128,128,5000,643000
2014-06-04,128,128,128,128,2000,256000
2014-06-03,127,128,125,125,9000,1147000
2014-06-02,127,127,127,127,2000,254000
2014-05-30,124,124,124,124,2000,248000
2014-05-29,125,125,125,125,1000,125000
2014-05-28,124,124,123,123,10000,1239000
2014-05-27,-,-,-,-,0,0
2014-05-26,124,124,124,124,1000,124000
2014-05-23,-,-,-,-,0,0
2014-05-22,128,128,123,123,12000,1517000
2014-05-21,-,-,-,-,0,0
2014-05-20,126,126,123,123,5000,624000
2014-05-19,130,130,130,130,8000,1040000
2014-05-16,124,124,124,124,7000,868000
2014-05-15,124,124,124,124,1000,124000
2014-05-14,-,-,-,-,0,0
2014-05-13,123,123,122,122,17000,2090000
2014-05-12,126,126,125,125,5000,628000
2014-05-09,123,127,123,127,4000,498000
2014-05-08,125,125,124,124,3000,374000
2014-05-07,128,128,124,124,6000,749000
2014-05-02,-,-,-,-,0,0
2014-05-01,124,124,124,124,1000,124000
2014-04-30,126,126,125,125,3000,376000
2014-04-28,125,125,124,124,16000,1991000
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,124,124,124,124,1000,124000
2014-04-22,126,127,126,127,4000,506000
2014-04-21,123,124,123,124,12000,1478000
2014-04-18,-,-,-,-,0,0
2014-04-17,125,125,123,123,9000,1113000
2014-04-16,123,124,122,124,11000,1354000
2014-04-15,128,130,122,122,38000,4780000
2014-04-14,127,127,127,127,1000,127000
2014-04-11,125,125,123,125,7000,870000
2014-04-10,127,127,127,127,2000,254000
2014-04-09,128,128,127,127,3000,382000
2014-04-08,-,-,-,-,0,0
2014-04-07,130,130,129,129,9000,1169000
2014-04-04,128,130,128,130,24000,3075000
2014-04-03,128,128,128,128,3000,384000
2014-04-02,128,128,128,128,9000,1152000
2014-04-01,128,128,128,128,5000,640000
2014-03-31,130,130,130,130,2000,260000
2014-03-28,126,127,126,127,7000,887000
2014-03-27,123,125,123,125,7000,871000
2014-03-26,127,129,126,128,11000,1396000
2014-03-25,127,131,127,128,17000,2167000
2014-03-24,127,129,127,127,20000,2548000
2014-03-20,129,130,123,124,39000,4905000
2014-03-19,130,130,129,129,9000,1169000
2014-03-18,131,132,130,131,9000,1178000
2014-03-17,135,135,131,131,11000,1468000
2014-03-14,136,136,134,135,16000,2167000
2014-03-13,138,138,136,137,15000,2050000
2014-03-12,140,140,138,138,7000,970000
2014-03-11,141,141,138,139,11000,1527000
2014-03-10,140,141,136,139,15000,2081000
2014-03-07,138,138,137,138,10000,1378000
2014-03-06,140,140,139,139,10000,1396000
2014-03-05,139,139,137,139,8000,1108000
2014-03-04,133,135,133,135,8000,1071000
2014-03-03,139,139,134,134,28000,3816000
2014-02-28,141,141,139,140,24000,3359000
2014-02-27,145,145,142,142,24000,3434000
2014-02-26,144,146,144,145,30000,4342000
2014-02-25,144,145,143,143,21000,3018000
2014-02-24,144,145,143,144,47000,6759000
2014-02-21,149,151,144,145,89000,13145000
2014-02-20,157,157,148,149,183000,27806000
2014-02-19,181,184,162,162,498000,84189000
2014-02-18,170,196,170,184,1261000,231822000
2014-02-17,150,184,142,160,1548000,263904000
2014-02-14,144,150,134,134,190000,27385000
2014-02-13,131,136,131,136,11000,1457000
2014-02-12,140,140,130,136,25000,3382000
2014-02-10,140,142,137,140,21000,2928000
2014-02-07,126,137,126,137,13000,1729000
2014-02-06,-,-,-,-,0,0
2014-02-05,127,127,126,126,9000,1135000
2014-02-04,123,126,120,126,25000,3075000
2014-02-03,135,135,134,135,8000,1079000
2014-01-31,139,139,139,139,15000,2085000
2014-01-30,141,141,139,139,12000,1679000
2014-01-29,140,140,140,140,2000,280000
2014-01-28,134,137,134,136,5000,681000
2014-01-27,133,133,132,133,13000,1728000
2014-01-24,140,141,138,138,8000,1115000
2014-01-23,143,143,140,140,10000,1412000
2014-01-22,147,147,143,143,23000,3334000
2014-01-21,150,155,149,149,58000,8805000
2014-01-20,144,148,144,147,18000,2630000
2014-01-17,151,151,141,144,172000,25301000
2014-01-16,136,165,135,146,349000,51197000
2014-01-15,135,135,133,133,27000,3642000
2014-01-14,136,136,134,135,36000,4876000
2014-01-10,132,132,130,131,47000,6128000
2014-01-09,132,132,130,130,22000,2873000
2014-01-08,130,139,129,131,47000,6182000
2014-01-07,129,129,128,128,4000,513000
2014-01-06,131,131,130,130,9000,1174000
2013-12-30,127,130,127,130,4000,514000
2013-12-27,127,127,127,127,1000,127000
2013-12-26,125,127,125,126,9000,1134000
2013-12-25,124,124,123,124,12000,1483000
2013-12-24,127,127,123,124,14000,1744000
2013-12-20,127,127,126,127,28000,3547000
2013-12-19,130,130,130,130,5000,650000
2013-12-18,132,135,128,128,17000,2243000
2013-12-17,132,132,127,128,4000,519000
2013-12-16,130,131,130,130,34000,4421000
2013-12-13,130,130,130,130,2000,260000
2013-12-12,127,128,127,128,5000,638000
2013-12-11,126,127,126,127,37000,4684000
2013-12-10,130,130,130,130,2000,260000
2013-12-09,-,-,-,-,0,0
2013-12-06,-,-,-,-,0,0
2013-12-05,129,129,129,129,7000,903000
2013-12-04,131,131,130,130,9000,1176000
2013-12-03,130,131,130,131,3000,392000
2013-12-02,131,131,131,131,1000,131000
2013-11-29,130,132,130,132,8000,1047000
2013-11-28,127,129,125,128,11000,1397000
2013-11-27,-,-,-,-,0,0
2013-11-26,129,129,127,127,4000,512000
2013-11-25,129,129,127,129,3000,385000
2013-11-22,125,126,125,126,7000,877000
2013-11-21,126,126,126,126,2000,252000
2013-11-20,-,-,-,-,0,0
2013-11-19,-,-,-,-,0,0
2013-11-18,127,127,127,127,1000,127000
2013-11-15,129,130,128,128,14000,1805000
2013-11-14,130,130,129,129,3000,388000
2013-11-13,126,129,126,129,3000,383000
2013-11-12,126,126,126,126,3000,378000
2013-11-11,126,129,125,129,12000,1531000
2013-11-08,126,128,126,128,3000,382000
2013-11-07,-,-,-,-,0,0
2013-11-06,123,127,123,127,9000,1137000
2013-11-05,126,126,126,126,11000,1386000
2013-11-01,126,126,126,126,9000,1134000
2013-10-31,130,130,125,128,19000,2405000
2013-10-30,128,135,128,130,38000,4997000
2013-10-29,126,127,126,127,9000,1139000
2013-10-28,125,126,125,126,10000,1257000
2013-10-25,126,126,124,124,7000,875000
2013-10-24,126,126,126,126,1000,126000
2013-10-23,125,125,123,125,6000,744000
2013-10-22,127,127,124,124,12000,1513000
2013-10-21,-,-,-,-,0,0
