5971-T,JQスタンダード,共和工業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,778,778,778,778,1000,778000
2014-06-25,-,-,-,-,0,0
2014-06-24,768,768,763,763,3000,2299000
2014-06-23,-,-,-,-,0,0
2014-06-20,783,783,783,783,1000,783000
2014-06-19,783,783,783,783,1000,783000
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,790,790,790,790,1000,790000
2014-06-13,763,777,763,777,2000,1540000
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,770,770,756,756,4000,3056000
2014-06-05,768,768,768,768,2000,1536000
2014-06-04,-,-,-,-,0,0
2014-06-03,783,783,783,783,1000,783000
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,-,-,-,-,0,0
2014-05-21,-,-,-,-,0,0
2014-05-20,798,798,798,798,1000,798000
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,770,785,770,785,2000,1555000
2014-05-14,755,770,755,770,2000,1525000
2014-05-13,755,755,755,755,1000,755000
2014-05-12,785,785,785,785,1000,785000
2014-05-09,760,760,760,760,1000,760000
2014-05-08,-,-,-,-,0,0
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,-,-,-,-,0,0
2014-04-24,798,805,790,792,4000,3185000
2014-04-23,806,806,806,806,2000,1612000
2014-04-22,798,798,798,798,1000,798000
2014-04-21,813,813,798,798,3000,2424000
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,807,807,807,807,2000,1614000
2014-04-14,-,-,-,-,0,0
2014-04-11,793,793,793,793,1000,793000
2014-04-10,-,-,-,-,0,0
2014-04-09,801,801,792,792,2000,1593000
2014-04-08,-,-,-,-,0,0
2014-04-07,808,808,806,806,2000,1614000
2014-04-04,-,-,-,-,0,0
2014-04-03,-,-,-,-,0,0
2014-04-02,-,-,-,-,0,0
2014-04-01,813,813,813,813,3000,2439000
2014-03-31,805,805,805,805,1000,805000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,-,-,-,-,0,0
2014-03-24,-,-,-,-,0,0
2014-03-20,820,820,820,820,1000,820000
2014-03-19,811,811,811,811,1000,811000
2014-03-18,-,-,-,-,0,0
2014-03-17,824,824,824,824,2000,1648000
2014-03-14,-,-,-,-,0,0
2014-03-13,800,810,800,810,2000,1610000
2014-03-12,-,-,-,-,0,0
2014-03-11,805,805,805,805,3000,2415000
2014-03-10,-,-,-,-,0,0
2014-03-07,820,820,820,820,1000,820000
2014-03-06,-,-,-,-,0,0
2014-03-05,-,-,-,-,0,0
2014-03-04,815,815,815,815,1000,815000
2014-03-03,-,-,-,-,0,0
