5983-T,JQスタンダード,イワブチ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,482,483,482,483,6000,2893000
2014-06-26,-,-,-,-,0,0
2014-06-25,485,485,482,482,4000,1937000
2014-06-24,487,487,481,485,13000,6301000
2014-06-23,477,487,477,487,10000,4825000
2014-06-20,483,485,476,476,11000,5275000
2014-06-19,478,483,478,483,12000,5760000
2014-06-18,467,480,467,480,29000,13791000
2014-06-17,467,476,465,467,14000,6545000
2014-06-16,468,470,467,467,14000,6562000
2014-06-13,469,470,468,469,18000,8445000
2014-06-12,468,472,468,469,6000,2822000
2014-06-11,-,-,-,-,0,0
2014-06-10,467,467,467,467,1000,467000
2014-06-09,475,476,468,468,6000,2844000
2014-06-06,467,467,462,467,15000,6973000
2014-06-05,462,464,462,464,3000,1388000
2014-06-04,462,463,462,463,5000,2312000
2014-06-03,470,474,463,465,21000,9850000
2014-06-02,464,468,464,468,4000,1868000
2014-05-30,466,466,464,464,6000,2789000
2014-05-29,469,469,469,469,1000,469000
2014-05-28,468,470,466,469,9000,4213000
2014-05-27,467,467,466,466,7000,3268000
2014-05-26,468,468,462,467,4000,1863000
2014-05-23,466,466,460,460,17000,7904000
2014-05-22,456,458,443,458,36000,16225000
2014-05-21,465,465,457,460,14000,6454000
2014-05-20,465,472,458,469,31000,14428000
2014-05-19,495,497,495,497,39000,19353000
2014-05-16,505,505,500,503,6000,3020000
2014-05-15,485,509,485,509,7000,3444000
2014-05-14,503,503,489,490,47000,23224000
2014-05-13,506,506,504,504,15000,7588000
2014-05-12,510,511,510,510,4000,2041000
2014-05-09,510,513,505,505,10000,5102000
2014-05-08,521,521,513,513,8000,4131000
2014-05-07,528,528,516,528,13000,6821000
2014-05-02,513,513,507,510,10000,5107000
2014-05-01,510,519,500,519,37000,18887000
2014-04-30,515,515,513,513,4000,2058000
2014-04-28,534,534,521,521,10000,5282000
2014-04-25,538,538,538,538,6000,3228000
2014-04-24,550,550,537,538,16000,8654000
2014-04-23,558,558,536,550,36000,19719000
2014-04-22,566,570,563,564,8000,4524000
2014-04-21,575,575,563,563,16000,9123000
2014-04-18,560,561,558,561,4000,2239000
2014-04-17,560,560,560,560,1000,560000
2014-04-16,560,560,560,560,4000,2240000
2014-04-15,560,561,554,560,10000,5593000
2014-04-14,553,553,550,550,9000,4953000
2014-04-11,560,560,553,553,6000,3339000
2014-04-10,567,568,563,567,15000,8502000
2014-04-09,567,567,565,567,22000,12466000
2014-04-08,568,568,565,567,9000,5098000
2014-04-07,571,574,568,568,16000,9138000
2014-04-04,567,571,567,570,11000,6260000
2014-04-03,567,570,567,567,6000,3411000
2014-04-02,565,571,565,567,9000,5107000
2014-04-01,562,568,562,563,15000,8469000
2014-03-31,564,564,563,563,3000,1691000
2014-03-28,563,570,563,566,16000,9057000
2014-03-27,561,564,561,563,7000,3932000
2014-03-26,567,572,566,569,32000,18184000
2014-03-25,564,564,561,561,9000,5063000
2014-03-24,560,565,560,561,10000,5620000
2014-03-20,569,569,550,559,21000,11770000
2014-03-19,560,572,560,568,35000,19772000
2014-03-18,570,575,560,560,11000,6186000
2014-03-17,550,578,550,565,14000,7897000
2014-03-14,569,569,560,560,22000,12367000
2014-03-13,568,570,568,570,12000,6826000
2014-03-12,563,563,552,561,9000,5028000
2014-03-11,557,564,553,562,12000,6712000
2014-03-10,565,570,565,565,11000,6244000
2014-03-07,561,564,558,561,13000,7293000
2014-03-06,565,568,541,554,26000,14437000
2014-03-05,575,575,562,570,40000,22801000
2014-03-04,570,580,566,568,49000,27982000
2014-03-03,546,549,530,545,50000,27042000
2014-02-28,538,546,536,546,18000,9768000
2014-02-27,537,537,532,532,36000,19296000
2014-02-26,510,515,510,511,13000,6643000
2014-02-25,535,535,528,528,6000,3180000
2014-02-24,526,526,525,525,8000,4202000
2014-02-21,518,525,518,525,4000,2079000
2014-02-20,525,525,518,518,12000,6245000
2014-02-19,517,517,517,517,1000,517000
2014-02-18,520,520,515,517,8000,4143000
2014-02-17,515,515,515,515,7000,3605000
2014-02-14,525,525,520,520,3000,1570000
2014-02-13,532,536,530,530,20000,10616000
2014-02-12,532,532,532,532,1000,532000
2014-02-10,525,535,525,529,19000,10060000
2014-02-07,551,552,500,518,51000,26868000
2014-02-06,493,545,493,540,28000,14463000
2014-02-05,485,487,480,483,15000,7265000
2014-02-04,492,492,450,473,67000,31192000
2014-02-03,502,507,502,503,10000,5029000
2014-01-31,523,523,507,507,11000,5668000
2014-01-30,531,531,515,515,11000,5711000
2014-01-29,535,540,526,536,12000,6435000
2014-01-28,515,540,512,530,12000,6336000
2014-01-27,523,523,497,517,25000,12871000
2014-01-24,540,546,535,538,23000,12425000
2014-01-23,550,554,547,547,11000,6069000
2014-01-22,565,565,550,550,17000,9442000
2014-01-21,565,568,561,565,29000,16390000
2014-01-20,560,570,560,565,25000,14109000
2014-01-17,550,552,545,545,21000,11526000
2014-01-16,546,578,535,545,34000,18844000
2014-01-15,535,550,532,540,19000,10313000
2014-01-14,534,544,529,536,15000,8024000
2014-01-10,534,544,521,535,39000,20753000
2014-01-09,550,550,550,550,5000,2750000
