5990-T,JQスタンダード,スーパーツール,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,430,430,423,427,41000,17485000
2014-06-26,430,430,428,428,22000,9444000
2014-06-25,428,432,427,430,34000,14580000
2014-06-24,429,430,426,430,30000,12825000
2014-06-23,423,431,423,429,96000,41118000
2014-06-20,424,425,420,422,98000,41409000
2014-06-19,430,430,424,424,86000,36629000
2014-06-18,428,433,426,429,129000,55400000
2014-06-17,419,423,419,420,160000,67276000
2014-06-16,420,420,418,418,47000,19673000
2014-06-13,418,420,415,420,39000,16244000
2014-06-12,419,419,414,419,33000,13743000
2014-06-11,416,420,416,416,26000,10843000
2014-06-10,418,420,416,418,40000,16698000
2014-06-09,420,420,415,417,19000,7926000
2014-06-06,413,415,413,413,23000,9532000
2014-06-05,417,417,411,412,23000,9511000
2014-06-04,415,417,415,417,34000,14119000
2014-06-03,410,416,409,415,37000,15298000
2014-06-02,412,412,410,410,8000,3289000
2014-05-30,413,413,408,409,14000,5734000
2014-05-29,410,413,409,413,9000,3696000
2014-05-28,411,414,409,411,13000,5352000
2014-05-27,408,412,408,409,15000,6151000
2014-05-26,405,410,405,407,13000,5292000
2014-05-23,407,408,404,404,10000,4063000
2014-05-22,401,404,401,404,7000,2812000
2014-05-21,400,401,400,401,5000,2001000
2014-05-20,404,406,400,400,10000,4033000
2014-05-19,410,410,402,404,10000,4043000
2014-05-16,405,412,403,404,39000,15823000
2014-05-15,410,411,410,411,3000,1231000
2014-05-14,407,410,407,410,4000,1631000
2014-05-13,406,410,406,407,6000,2453000
2014-05-12,406,408,405,406,20000,8130000
2014-05-09,409,411,403,406,18000,7335000
2014-05-08,410,418,410,410,68000,28229000
2014-05-07,414,414,409,409,6000,2471000
2014-05-02,410,410,405,408,23000,9415000
2014-05-01,400,407,400,401,4000,1615000
2014-04-30,401,402,400,400,13000,5213000
2014-04-28,413,413,395,400,14000,5632000
2014-04-25,408,413,408,413,40000,16335000
2014-04-24,409,412,407,408,59000,24162000
2014-04-23,417,420,410,420,48000,19955000
2014-04-22,415,415,413,414,14000,5795000
2014-04-21,415,416,412,412,19000,7865000
2014-04-18,412,412,404,411,11000,4509000
2014-04-17,408,410,407,409,29000,11863000
2014-04-16,399,406,399,404,22000,8832000
2014-04-15,401,401,399,399,8000,3204000
2014-04-14,406,406,393,406,8000,3188000
2014-04-11,399,404,392,398,31000,12317000
2014-04-10,410,410,400,400,14000,5658000
2014-04-09,412,412,404,404,12000,4894000
2014-04-08,414,416,412,415,23000,9529000
2014-04-07,415,421,414,415,68000,28401000
2014-04-04,413,416,413,414,11000,4553000
2014-04-03,413,419,413,419,48000,19984000
2014-04-02,403,413,403,409,39000,15937000
2014-04-01,402,405,402,404,28000,11271000
2014-03-31,404,405,400,402,22000,8878000
2014-03-28,395,399,395,399,8000,3170000
2014-03-27,396,398,392,393,14000,5510000
2014-03-26,401,401,397,398,32000,12756000
2014-03-25,394,396,391,396,13000,5120000
2014-03-24,390,400,387,393,22000,8605000
2014-03-20,407,407,382,391,54000,21338000
2014-03-19,410,412,408,408,13000,5324000
2014-03-18,412,413,408,409,40000,16412000
2014-03-17,415,415,410,410,11000,4547000
2014-03-14,423,423,418,418,30000,12620000
2014-03-13,431,431,425,425,13000,5544000
2014-03-12,431,431,428,428,38000,16331000
2014-03-11,435,436,431,436,50000,21677000
2014-03-10,430,438,430,435,105000,45508000
2014-03-07,425,431,425,430,48000,20543000
2014-03-06,420,426,420,425,50000,21066000
2014-03-05,425,426,423,423,19000,8070000
2014-03-04,422,424,422,423,25000,10563000
2014-03-03,430,430,419,427,72000,30432000
2014-02-28,427,432,427,430,63000,27025000
2014-02-27,433,433,427,427,151000,65075000
2014-02-26,436,442,434,435,52000,22723000
2014-02-25,434,436,433,435,45000,19566000
2014-02-24,437,440,433,433,67000,29221000
2014-02-21,438,442,438,439,42000,18454000
2014-02-20,441,441,436,438,54000,23697000
2014-02-19,448,458,447,448,25000,11273000
2014-02-18,445,454,445,450,26000,11656000
2014-02-17,451,452,446,446,27000,12157000
2014-02-14,454,456,452,452,28000,12700000
2014-02-13,455,456,453,454,85000,38647000
2014-02-12,458,468,455,460,234000,107536000
2014-02-10,496,500,494,500,10000,4973000
2014-02-07,487,493,479,480,18000,8734000
2014-02-06,463,483,463,483,25000,11851000
2014-02-05,456,463,456,461,32000,14692000
2014-02-04,453,464,444,450,100000,45461000
2014-02-03,483,484,475,481,48000,23062000
2014-01-31,502,503,492,494,41000,20482000
2014-01-30,509,509,498,504,33000,16606000
2014-01-29,519,523,510,517,23000,11893000
2014-01-28,500,509,496,504,32000,16035000
2014-01-27,502,505,491,504,63000,31472000
2014-01-24,535,538,520,521,116000,61443000
2014-01-23,547,547,513,513,57000,30328000
2014-01-22,567,568,520,523,294000,161366000
2014-01-21,539,554,539,554,206000,112230000
2014-01-20,513,541,506,529,106000,54939000
2014-01-17,490,496,489,489,35000,17210000
2014-01-16,504,505,485,486,49000,24228000
2014-01-15,505,507,496,496,21000,10565000
2014-01-14,513,513,498,498,31000,15611000
2014-01-10,520,522,506,513,99000,50963000
2014-01-09,497,509,490,500,150000,74743000
2014-01-08,476,476,476,476,1000,476000
2014-01-07,475,475,471,475,12000,5689000
2014-01-06,470,475,470,475,36000,16991000
2013-12-30,469,471,466,469,19000,8901000
