5992-T,東証1部,中発条,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,309,309,306,307,14000,4304000
2014-06-26,306,309,306,306,21000,6454000
2014-06-25,311,311,304,305,42000,12965000
2014-06-24,310,311,305,311,25000,7726000
2014-06-23,309,310,308,308,11000,3398000
2014-06-20,309,310,308,308,7000,2163000
2014-06-19,305,310,305,310,24000,7389000
2014-06-18,307,308,306,306,7000,2147000
2014-06-17,307,307,305,305,14000,4285000
2014-06-16,305,306,303,304,22000,6689000
2014-06-13,305,305,303,304,50000,15224000
2014-06-12,305,305,302,302,22000,6674000
2014-06-11,300,307,300,307,38000,11553000
2014-06-10,303,304,302,303,16000,4839000
2014-06-09,306,306,303,303,11000,3338000
2014-06-06,305,306,305,306,14000,4276000
2014-06-05,304,305,303,305,11000,3345000
2014-06-04,305,305,305,305,4000,1220000
2014-06-03,305,306,303,306,16000,4866000
2014-06-02,306,308,304,306,19000,5821000
2014-05-30,307,307,306,306,5000,1532000
2014-05-29,306,308,305,305,18000,5518000
2014-05-28,307,307,305,305,19000,5818000
2014-05-27,309,309,305,306,4000,1225000
2014-05-26,310,310,306,310,17000,5257000
2014-05-23,303,306,303,305,30000,9135000
2014-05-22,300,303,300,303,11000,3321000
2014-05-21,299,300,299,300,7000,2094000
2014-05-20,299,301,298,298,17000,5093000
2014-05-19,298,300,298,300,9000,2696000
2014-05-16,299,299,295,297,22000,6530000
2014-05-15,299,300,299,300,4000,1197000
2014-05-14,304,304,300,301,18000,5422000
2014-05-13,302,304,302,304,8000,2429000
2014-05-12,306,306,302,302,9000,2740000
2014-05-09,304,305,304,305,5000,1523000
2014-05-08,303,306,303,304,17000,5179000
2014-05-07,302,303,302,303,28000,8461000
2014-05-02,307,308,306,307,28000,8593000
2014-05-01,309,309,301,308,25000,7669000
2014-04-30,308,310,304,309,49000,15141000
2014-04-28,307,308,306,308,38000,11682000
2014-04-25,303,308,301,307,57000,17359000
2014-04-24,298,309,296,303,43000,12995000
2014-04-23,295,297,293,293,7000,2063000
2014-04-22,295,295,295,295,2000,590000
2014-04-21,296,298,295,296,14000,4151000
2014-04-18,295,295,295,295,3000,885000
2014-04-17,293,295,292,293,10000,2934000
2014-04-16,295,295,290,293,10000,2918000
2014-04-15,291,291,290,290,9000,2612000
2014-04-14,290,296,290,292,13000,3810000
2014-04-11,292,292,288,290,25000,7256000
2014-04-10,293,295,293,293,8000,2347000
2014-04-09,297,297,293,293,26000,7637000
2014-04-08,300,303,295,297,22000,6560000
2014-04-07,303,304,301,303,12000,3629000
2014-04-04,304,306,304,306,18000,5488000
2014-04-03,303,306,303,305,14000,4267000
2014-04-02,302,306,300,300,33000,10017000
2014-04-01,302,303,300,303,21000,6352000
2014-03-31,303,303,301,301,38000,11502000
2014-03-28,302,302,300,301,12000,3612000
2014-03-27,304,305,300,303,29000,8797000
2014-03-26,300,305,300,304,28000,8481000
2014-03-25,300,305,297,298,53000,15996000
2014-03-24,294,300,294,298,19000,5673000
2014-03-20,299,301,293,293,52000,15376000
2014-03-19,300,304,300,301,11000,3316000
2014-03-18,304,304,300,302,17000,5142000
2014-03-17,302,302,298,298,19000,5697000
2014-03-14,300,303,299,300,73000,21929000
2014-03-13,304,305,303,304,15000,4552000
2014-03-12,306,307,305,306,21000,6427000
2014-03-11,307,307,307,307,7000,2149000
