6018-T,東証2部,阪神燃,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,192,192,190,190,3000,573000
2014-06-26,192,192,192,192,2000,384000
2014-06-25,-,-,-,-,0,0
2014-06-24,194,194,191,191,3000,576000
2014-06-23,197,197,195,195,12000,2357000
2014-06-20,196,199,196,198,10000,1967000
2014-06-19,194,195,194,195,3000,583000
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,192,196,192,195,11000,2131000
2014-06-13,189,192,189,192,10000,1900000
2014-06-12,188,188,186,187,9000,1681000
2014-06-11,186,186,186,186,1000,186000
2014-06-10,-,-,-,-,0,0
2014-06-09,186,186,186,186,1000,186000
2014-06-06,184,184,184,184,4000,736000
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,184,187,184,187,19000,3513000
2014-06-02,183,184,183,184,2000,367000
2014-05-30,183,183,183,183,1000,183000
2014-05-29,186,186,186,186,1000,186000
2014-05-28,186,186,186,186,1000,186000
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,188,188,186,186,6000,1126000
2014-05-22,183,187,183,187,3000,553000
2014-05-21,182,182,182,182,3000,546000
2014-05-20,187,187,186,186,4000,745000
2014-05-19,188,188,188,188,2000,376000
2014-05-16,187,187,187,187,3000,561000
2014-05-15,186,186,186,186,1000,186000
2014-05-14,-,-,-,-,0,0
2014-05-13,186,188,182,182,7000,1289000
2014-05-12,191,191,191,191,4000,764000
2014-05-09,186,186,186,186,1000,186000
2014-05-08,189,190,184,184,11000,2060000
2014-05-07,185,185,185,185,13000,2405000
2014-05-02,182,182,182,182,4000,728000
2014-05-01,182,185,180,180,5000,913000
2014-04-30,185,185,184,184,2000,369000
2014-04-28,184,185,184,185,2000,369000
2014-04-25,-,-,-,-,0,0
2014-04-24,184,187,184,184,4000,740000
2014-04-23,187,187,187,187,5000,935000
2014-04-22,187,188,186,187,6000,1121000
2014-04-21,185,186,185,186,2000,371000
2014-04-18,-,-,-,-,0,0
2014-04-17,187,187,186,186,10000,1865000
2014-04-16,180,198,178,192,37000,6993000
2014-04-15,179,179,178,178,4000,714000
2014-04-14,176,179,176,179,7000,1245000
2014-04-11,180,180,175,175,25000,4403000
2014-04-10,-,-,-,-,0,0
2014-04-09,182,182,180,180,5000,906000
2014-04-08,185,187,184,187,15000,2776000
2014-04-07,184,185,184,185,19000,3502000
2014-04-04,184,184,184,184,10000,1840000
2014-04-03,186,186,184,184,16000,2964000
2014-04-02,182,186,182,183,23000,4212000
2014-04-01,-,-,-,-,0,0
2014-03-31,184,184,183,183,3000,550000
2014-03-28,186,186,186,186,1000,186000
2014-03-27,183,183,183,183,8000,1464000
2014-03-26,-,-,-,-,0,0
2014-03-25,187,188,186,186,7000,1313000
2014-03-24,182,185,182,185,9000,1643000
2014-03-20,187,187,181,182,10000,1833000
2014-03-19,185,185,182,185,16000,2950000
2014-03-18,188,188,184,184,10000,1859000
2014-03-17,189,189,189,189,6000,1134000
2014-03-14,190,190,189,189,4000,758000
2014-03-13,-,-,-,-,0,0
2014-03-12,192,192,189,190,28000,5319000
2014-03-11,189,193,189,190,10000,1912000
2014-03-10,188,189,188,188,14000,2637000
2014-03-07,192,192,189,189,28000,5355000
2014-03-06,189,190,186,189,27000,5099000
2014-03-05,190,190,189,189,20000,3799000
2014-03-04,190,190,190,190,4000,760000
2014-03-03,191,192,189,192,6000,1143000
2014-02-28,193,193,193,193,1000,193000
2014-02-27,188,190,188,190,2000,378000
2014-02-26,190,190,190,190,2000,380000
2014-02-25,190,190,190,190,3000,570000
2014-02-24,190,190,188,188,11000,2088000
2014-02-21,187,190,185,190,9000,1684000
2014-02-20,187,187,181,185,7000,1291000
2014-02-19,184,189,184,189,19000,3566000
2014-02-18,179,184,178,184,8000,1445000
2014-02-17,186,186,184,184,7000,1297000
2014-02-14,195,195,185,187,23000,4325000
2014-02-13,196,196,192,192,8000,1557000
2014-02-12,194,197,194,196,9000,1760000
2014-02-10,-,-,-,-,0,0
2014-02-07,193,193,190,193,16000,3055000
