6023-T,東証2部,ダイハツデ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,706,706,678,694,36000,24775000
2014-06-26,717,717,690,705,20000,13992000
2014-06-25,712,712,710,710,13000,9239000
2014-06-24,709,712,709,712,11000,7809000
2014-06-23,703,719,699,699,28000,19793000
2014-06-20,699,700,698,700,19000,13285000
2014-06-19,711,711,701,702,28000,19787000
2014-06-18,703,719,697,714,41000,28960000
2014-06-17,718,720,700,709,40000,28262000
2014-06-16,700,724,692,717,46000,32642000
2014-06-13,689,705,685,705,72000,49900000
2014-06-12,690,694,688,688,51000,35225000
2014-06-11,703,703,691,696,45000,31366000
2014-06-10,713,717,710,712,38000,27092000
2014-06-09,731,731,718,724,57000,41357000
2014-06-06,741,741,734,738,21000,15488000
2014-06-05,755,755,739,750,35000,26118000
2014-06-04,745,755,736,746,33000,24529000
2014-06-03,740,755,732,746,47000,34986000
2014-06-02,757,759,740,742,15000,11259000
2014-05-30,770,771,757,757,35000,26709000
2014-05-29,747,760,737,760,67000,50414000
2014-05-28,730,747,730,747,84000,62176000
2014-05-27,729,740,726,734,74000,54408000
2014-05-26,710,727,710,727,52000,37434000
2014-05-23,726,726,710,710,50000,35900000
2014-05-22,721,727,707,716,34000,24441000
2014-05-21,704,713,695,713,39000,27449000
2014-05-20,701,710,690,694,53000,37138000
2014-05-19,726,726,690,692,56000,39526000
2014-05-16,725,738,707,738,62000,44953000
2014-05-15,709,733,705,727,92000,66408000
2014-05-14,700,712,693,702,58000,40637000
2014-05-13,735,735,694,699,64000,45598000
2014-05-12,725,741,719,725,99000,72524000
2014-05-09,724,736,704,716,141000,101675000
2014-05-08,689,725,689,717,189000,135064000
2014-05-07,682,686,664,686,56000,37907000
2014-05-02,670,686,663,686,94000,63476000
2014-05-01,671,676,656,670,68000,45358000
2014-04-30,672,689,643,672,199000,133225000
2014-04-28,607,665,607,656,239000,151503000
2014-04-25,575,614,575,606,204000,122176000
2014-04-24,576,596,564,569,216000,124113000
2014-04-23,579,579,565,576,60000,34308000
2014-04-22,584,585,570,574,46000,26594000
2014-04-21,585,585,573,584,52000,30173000
2014-04-18,564,590,563,581,125000,72433000
2014-04-17,561,576,555,560,243000,136878000
2014-04-16,615,615,553,554,1515000,895792000
2014-04-15,517,521,513,515,25000,12933000
2014-04-14,518,529,511,516,39000,20243000
2014-04-11,523,539,523,524,51000,26929000
2014-04-10,546,551,537,540,33000,17950000
2014-04-09,570,574,540,540,96000,53319000
2014-04-08,578,589,569,580,18000,10402000
2014-04-07,576,598,576,584,160000,93513000
2014-04-04,564,582,564,575,36000,20634000
2014-04-03,573,588,566,569,84000,48269000
2014-04-02,556,572,556,563,52000,29170000
2014-04-01,570,570,547,556,75000,41660000
2014-03-31,562,578,562,567,35000,19855000
2014-03-28,562,564,561,564,7000,3940000
2014-03-27,566,576,558,575,40000,22610000
2014-03-26,577,595,575,582,32000,18644000
2014-03-25,580,580,577,577,31000,17959000
2014-03-24,583,594,579,580,112000,65334000
2014-03-20,622,622,580,582,101000,60246000
2014-03-19,660,665,613,622,129000,81905000
2014-03-18,676,680,669,672,12000,8081000
2014-03-17,683,684,673,683,8000,5445000
2014-03-14,690,690,675,683,16000,10965000
2014-03-13,690,700,680,700,26000,17948000
2014-03-12,702,702,683,690,32000,22255000
2014-03-11,692,703,692,697,17000,11875000
