6052-T,JQスタンダード,イーピーミント,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1476,1498,1451,1460,3500,5136400
2014-06-26,1508,1520,1482,1500,4000,5995700
2014-06-25,1523,1523,1500,1510,8700,13124000
2014-06-24,1515,1526,1500,1525,4600,6958600
2014-06-23,1526,1526,1510,1515,4800,7286100
2014-06-20,1529,1529,1500,1527,5400,8235100
2014-06-19,1520,1520,1495,1505,8000,12099900
2014-06-18,1516,1516,1487,1515,11400,17178900
2014-06-17,1490,1518,1490,1494,10300,15466500
2014-06-16,1470,1500,1459,1459,7300,10771800
2014-06-13,1454,1469,1423,1459,23100,33444900
2014-06-12,1408,1417,1391,1394,5600,7871700
2014-06-11,1386,1420,1386,1414,6700,9460900
2014-06-10,1405,1410,1377,1391,2500,3489500
2014-06-09,1386,1404,1380,1402,8900,12437700
2014-06-06,1358,1359,1356,1356,2100,2851500
2014-06-05,1358,1370,1353,1356,1900,2578600
2014-06-04,1363,1365,1354,1357,2400,3260700
2014-06-03,1376,1376,1353,1353,8400,11443900
2014-06-02,1370,1393,1361,1377,6200,8516300
2014-05-30,1396,1396,1351,1366,9900,13582900
2014-05-29,1388,1400,1388,1393,1800,2511100
2014-05-28,1400,1410,1398,1398,1700,2385300
2014-05-27,1400,1400,1397,1400,1800,2519400
2014-05-26,1435,1435,1394,1394,2600,3705600
2014-05-23,1377,1412,1377,1405,1100,1532800
2014-05-22,1360,1401,1360,1390,5400,7504400
2014-05-21,1352,1360,1320,1360,3800,5096300
2014-05-20,1345,1367,1345,1354,1800,2433000
2014-05-19,1370,1378,1366,1366,800,1096900
2014-05-16,1380,1391,1356,1362,1300,1780300
2014-05-15,1399,1429,1380,1380,1100,1540400
2014-05-14,1421,1434,1420,1429,2100,2989400
2014-05-13,1395,1421,1395,1420,1400,1975100
2014-05-12,1430,1433,1406,1407,3000,4281900
2014-05-09,1365,1432,1365,1430,4100,5814500
2014-05-08,1385,1413,1365,1365,2200,3047500
2014-05-07,1436,1436,1366,1398,3000,4225500
2014-05-02,1450,1450,1424,1437,5600,8086000
2014-05-01,1450,1469,1420,1456,14100,20418200
2014-04-30,1388,1400,1350,1400,4200,5732100
2014-04-28,1395,1395,1368,1388,900,1248000
2014-04-25,1400,1400,1390,1390,5800,8119000
2014-04-24,1370,1390,1370,1390,2400,3310300
2014-04-23,1383,1383,1336,1365,2200,2991600
2014-04-22,1380,1380,1353,1353,1600,2188600
2014-04-21,1372,1396,1360,1370,5000,6853200
2014-04-18,1370,1398,1365,1370,2400,3309100
2014-04-17,1356,1400,1345,1360,2100,2896700
2014-04-16,1315,1380,1315,1331,3300,4429500
2014-04-15,1305,1315,1305,1315,2500,3275400
2014-04-14,1315,1339,1315,1333,1600,2121500
2014-04-11,1300,1324,1300,1314,3800,4960500
2014-04-10,1385,1385,1355,1359,3300,4564800
2014-04-09,1402,1411,1385,1386,4700,6574900
2014-04-08,1410,1410,1356,1385,3300,4588500
2014-04-07,1350,1390,1350,1390,3300,4535400
2014-04-04,1336,1378,1332,1350,6200,8336800
2014-04-03,1335,1340,1319,1336,5200,6911700
2014-04-02,1316,1334,1316,1329,3200,4237500
2014-04-01,1316,1318,1305,1316,2300,3023600
2014-03-31,1367,1367,1296,1314,4600,6002700
2014-03-28,1310,1310,1290,1310,2900,3795000
2014-03-27,1302,1302,1302,1302,600,781200
2014-03-26,1305,1315,1302,1315,400,522700
2014-03-25,1315,1316,1305,1305,4100,5388300
2014-03-24,1300,1314,1300,1304,2100,2737100
2014-03-20,1301,1330,1299,1330,2800,3646300
2014-03-19,1350,1368,1300,1300,3300,4363200
2014-03-18,1340,1341,1320,1338,8000,10704800
2014-03-17,1350,1374,1335,1335,5100,6864900
2014-03-14,1355,1361,1332,1333,4600,6212700
2014-03-13,1345,1355,1345,1355,1200,1624500
2014-03-12,1350,1355,1335,1355,1400,1888200
2014-03-11,1361,1361,1338,1341,1600,2159300
2014-03-10,1340,1350,1330,1331,5600,7532100
2014-03-07,1333,1333,1330,1330,1400,1863200
2014-03-06,1311,1333,1311,1333,1800,2385000
2014-03-05,1320,1321,1296,1312,2400,3151500
2014-03-04,1321,1330,1281,1320,4900,6410000
2014-03-03,1338,1338,1306,1321,2100,2778100
2014-02-28,1319,1350,1318,1350,2900,3859700
2014-02-27,1330,1335,1307,1316,3000,3974700
2014-02-26,1350,1350,1321,1325,1600,2140700
2014-02-25,1300,1359,1300,1359,11100,14656700
2014-02-24,1304,1313,1304,1313,1100,1438500
2014-02-21,1318,1328,1287,1304,1000,1315200
2014-02-20,1290,1297,1275,1297,1000,1284500
2014-02-19,1328,1328,1328,1328,300,398400
2014-02-18,1331,1331,1263,1311,3700,4809700
2014-02-17,1251,1265,1235,1251,900,1126900
2014-02-14,1290,1300,1260,1267,3200,4083900
2014-02-13,1347,1347,1290,1290,5800,7562800
2014-02-12,1350,1369,1336,1354,2500,3378700
2014-02-10,1302,1341,1302,1341,2200,2912800
2014-02-07,1296,1305,1295,1301,2200,2856000
2014-02-06,1250,1310,1250,1295,3600,4574200
2014-02-05,1261,1280,1255,1270,7400,9377300
2014-02-04,1283,1305,1250,1250,11500,14749300
2014-02-03,1412,1449,1370,1373,12000,16752100
2014-01-31,1389,1430,1380,1400,5600,7876000
2014-01-30,1382,1404,1382,1388,3600,4998600
2014-01-29,1430,1440,1417,1422,4600,6575100
2014-01-28,1424,1430,1410,1425,5200,7396000
2014-01-27,1434,1434,1395,1395,11900,16775100
2014-01-24,1451,1458,1430,1431,9500,13711200
2014-01-23,1471,1474,1458,1458,5900,8655400
2014-01-22,1471,1471,1465,1466,4800,7043600
2014-01-21,1490,1490,1466,1466,8100,11968600
2014-01-20,1470,1481,1470,1476,4700,6936400
2014-01-17,1458,1470,1458,1469,3600,5273200
2014-01-16,1469,1470,1458,1458,4500,6592100
2014-01-15,1455,1529,1455,1464,3400,5016800
2014-01-14,1480,1480,1440,1452,4800,7000100
2014-01-10,1508,1508,1450,1477,9100,13365700
2014-01-09,1500,1514,1488,1509,9700,14504100
2014-01-08,1495,1517,1480,1500,7700,11577800
2014-01-07,1500,1517,1490,1492,5300,7940200
2014-01-06,1495,1518,1468,1490,7000,10487200
2013-12-30,1500,1515,1468,1490,6600,9840200
2013-12-27,1410,1475,1402,1470,5900,8432000
2013-12-26,1400,1405,1380,1405,5800,8069700
2013-12-25,1400,1400,1366,1380,13600,18963400
2013-12-24,1366,1400,1365,1365,10200,14110100
2013-12-20,1395,1400,1350,1360,5900,8157300
2013-12-19,1419,1420,1400,1409,4200,5915300
2013-12-18,1420,1430,1398,1420,169700,240949000
2013-12-17,1450,1451,1423,1423,1900,2727300
2013-12-16,1477,1490,1415,1415,8500,12345100
2013-12-13,1503,1503,1470,1470,6100,9115800
2013-12-12,1497,1500,1415,1469,6200,9047200
2013-12-11,1489,1498,1485,1497,10200,15181900
2013-12-10,1495,1495,1470,1489,700,1039800
2013-12-09,1471,1495,1471,1476,3700,5471600
2013-12-06,1467,1476,1456,1471,2500,3658300
2013-12-05,1475,1501,1475,1481,4400,6547300
2013-12-04,1474,1510,1474,1485,1400,2071400
2013-12-03,1495,1531,1476,1504,18000,26988200
2013-12-02,1460,1475,1455,1465,3800,5552900
2013-11-29,1434,1460,1434,1454,9200,13341500
2013-11-28,1430,1450,1400,1433,12200,17516400
2013-11-27,1394,1422,1394,1396,1700,2375800
2013-11-26,1369,1430,1369,1388,3000,4142900
2013-11-25,1440,1440,1398,1399,4900,7000900
2013-11-22,1440,1440,1420,1439,2800,4012500
2013-11-21,1434,1440,1430,1439,3000,4306500
2013-11-20,1434,1442,1423,1429,1900,2726700
2013-11-19,1450,1466,1423,1464,1100,1599500
2013-11-18,1455,1472,1440,1450,5400,7884400
2013-11-15,1419,1444,1409,1444,1800,2569300
2013-11-14,1403,1435,1403,1433,3900,5526200
2013-11-13,1423,1439,1420,1425,4100,5855900
2013-11-12,1383,1413,1379,1393,9900,13814500
2013-11-11,1481,1491,1406,1412,23100,33353500
2013-11-08,1604,1672,1503,1516,89600,139612800
2013-11-07,1680,1680,1680,1680,20900,35112000
2013-11-06,1355,1380,1345,1380,9000,12199500
2013-11-05,1330,1355,1290,1355,3600,4740000
2013-11-01,1330,1330,1235,1300,8000,10247900
2013-10-31,1380,1380,1323,1350,4900,6615300
2013-10-30,1379,1400,1342,1350,9500,13031100
2013-10-29,1410,1410,1376,1409,8000,11171000
2013-10-28,1368,1438,1368,1415,9800,13840300
2013-10-25,1397,1398,1362,1362,5900,8157400
2013-10-24,1381,1386,1350,1357,5000,6836900
2013-10-23,1371,1450,1371,1390,17900,25261200
2013-10-22,1394,1394,1326,1363,8200,11139200
2013-10-21,1360,1386,1360,1364,5600,7644600
2013-10-18,1349,1369,1315,1350,7200,9687700
2013-10-17,1400,1400,1334,1379,10500,14473700
2013-10-16,1363,1389,1350,1369,7200,9825400
2013-10-15,1345,1419,1301,1400,21500,29043900
2013-10-11,1334,1334,1290,1291,20600,26785200
2013-10-10,1326,1372,1282,1304,18900,24856900
2013-10-09,1350,1394,1305,1350,18400,24750900
2013-10-08,1300,1450,1247,1400,40900,53583700
2013-10-07,1638,1638,1350,1356,82100,122942300
2013-10-04,1765,1765,1434,1488,436400,710449800
2013-10-03,1465,1465,1435,1465,62200,91090000
2013-10-02,1191,1191,1163,1165,2800,3272600
2013-10-01,1191,1195,1190,1195,700,834800
2013-09-30,1228,1228,1171,1190,1600,1914100
2013-09-27,1171,1231,1171,1198,1800,2187300
2013-09-26,1205,1230,1180,1200,1100,1323600
2013-09-25,2500,2500,2380,2490,2700,6706000
