6059-T,東証2部,ウチヤマHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,668,668,645,660,87600,57483700
2014-06-26,658,668,658,667,55800,36972100
2014-06-25,660,664,658,660,64600,42657900
2014-06-24,664,666,661,665,62200,41317900
2014-06-23,660,665,658,663,100700,66577600
2014-06-20,659,664,649,657,98100,64477900
2014-06-19,662,666,655,656,141800,93606700
2014-06-18,647,652,644,650,123000,79737400
2014-06-17,636,641,630,639,41000,26170100
2014-06-16,637,640,625,628,54400,34494300
2014-06-13,632,643,631,642,28600,18218900
2014-06-12,636,647,629,634,40200,25592300
2014-06-11,636,645,634,643,30400,19421900
2014-06-10,643,643,632,637,30500,19463700
2014-06-09,650,660,644,648,57400,37432300
2014-06-06,644,644,635,642,38600,24697900
2014-06-05,629,645,628,635,74100,47138500
2014-06-04,617,625,616,625,33600,20805400
2014-06-03,615,618,614,615,26200,16132100
2014-06-02,611,617,609,615,48800,29886800
2014-05-30,611,616,609,610,22600,13820400
2014-05-29,608,614,606,610,28000,17074100
2014-05-28,614,614,607,611,18500,11294000
2014-05-27,608,615,608,610,25700,15706400
2014-05-26,617,618,609,610,107200,65903600
2014-05-23,608,612,604,610,62800,38224300
2014-05-22,606,608,601,608,21900,13236600
2014-05-21,602,603,595,597,58900,35369600
2014-05-20,600,604,587,603,99500,59333500
2014-05-19,614,614,601,602,100000,60592600
2014-05-16,612,624,611,614,62000,38104300
2014-05-15,627,630,612,612,91500,56901700
2014-05-14,625,634,625,629,27500,17297700
2014-05-13,630,635,620,633,88200,55305100
2014-05-12,630,638,625,628,252900,159560900
2014-05-09,668,669,663,666,207800,138776800
2014-05-08,660,671,653,669,160000,106529900
2014-05-07,658,659,651,658,59000,38740500
2014-05-02,654,664,654,660,88100,58013700
2014-05-01,657,661,647,654,139200,91072900
2014-04-30,634,656,630,654,208800,134864200
2014-04-28,630,632,621,632,19500,12237200
2014-04-25,638,640,631,632,51600,32803100
2014-04-24,630,635,627,632,56900,35926600
2014-04-23,629,629,624,628,17900,11236700
2014-04-22,629,629,620,623,35600,22223200
2014-04-21,630,632,615,628,61500,38420300
2014-04-18,624,629,622,625,33400,20913600
2014-04-17,613,626,613,626,69100,42988600
2014-04-16,614,620,605,620,91500,56315200
2014-04-15,609,610,603,605,25000,15175700
2014-04-14,600,605,600,604,41800,25164400
2014-04-11,600,605,597,602,61600,37021900
2014-04-10,612,615,603,606,32200,19636600
2014-04-09,608,613,600,610,68200,41388700
2014-04-08,615,616,603,609,88700,54144000
2014-04-07,616,621,616,619,49900,30808600
2014-04-04,615,618,613,616,19200,11815400
2014-04-03,622,623,617,618,21500,13337100
2014-04-02,616,630,613,625,77600,48337100
2014-04-01,612,617,612,616,21500,13195300
2014-03-31,617,619,608,614,48100,29522300
2014-03-28,608,620,608,614,35800,21983400
2014-03-27,600,616,600,614,49200,29833600
2014-03-26,628,629,611,614,222400,138598300
2014-03-25,600,602,590,600,71200,42505300
2014-03-24,599,606,592,600,102000,61179400
2014-03-20,611,611,589,599,99700,59589700
2014-03-19,608,616,606,610,42400,25869200
2014-03-18,607,614,601,611,42900,26092400
2014-03-17,610,610,596,601,89600,54019100
2014-03-14,617,625,604,608,99200,60923800
2014-03-13,618,622,618,622,18300,11343000
2014-03-12,617,621,614,619,42600,26269300
2014-03-11,620,626,620,623,41400,25710600
2014-03-10,620,627,619,624,30000,18704700
2014-03-07,619,622,612,620,43200,26686200
2014-03-06,616,625,614,617,29300,18154400
2014-03-05,616,623,612,620,50000,30838400
2014-03-04,613,617,610,612,36400,22304600
2014-03-03,615,624,612,619,43100,26485200
2014-02-28,620,625,613,613,64400,39834800
2014-02-27,610,618,610,617,43800,26946300
2014-02-26,620,621,612,618,47200,29105300
2014-02-25,617,627,617,625,53000,32884000
2014-02-24,616,629,614,618,49400,30656200
2014-02-21,610,614,605,611,51300,31321900
2014-02-20,612,612,601,603,45300,27466800
2014-02-19,614,617,609,612,24200,14841300
2014-02-18,614,616,608,614,31300,19142000
2014-02-17,613,613,598,609,59000,35881800
2014-02-14,627,628,601,606,117000,71242800
2014-02-13,639,639,616,617,68900,43058900
2014-02-12,635,643,632,637,93100,59336400
2014-02-10,619,629,619,626,67500,42101600
2014-02-07,615,623,613,615,40800,25176000
2014-02-06,595,612,595,609,39400,23741300
2014-02-05,600,607,584,593,68400,40637100
2014-02-04,580,599,567,590,211000,122425700
2014-02-03,611,616,604,604,133500,81157300
2014-01-31,637,640,611,620,168600,105505000
2014-01-30,642,642,622,625,119300,75192400
2014-01-29,654,655,645,648,56300,36580100
2014-01-28,632,643,632,634,75500,48073900
2014-01-27,632,639,625,630,185200,116918800
2014-01-24,655,664,649,656,130400,85239200
2014-01-23,674,674,659,662,93800,62644900
2014-01-22,670,678,664,676,114900,77092800
2014-01-21,670,670,662,667,67700,45174200
2014-01-20,660,670,659,667,72700,48312600
2014-01-17,660,662,655,656,58900,38743200
2014-01-16,665,668,659,660,82100,54394700
2014-01-15,672,674,660,665,78600,52403300
2014-01-14,672,673,667,671,92600,62109700
2014-01-10,666,675,666,672,142000,95106500
2014-01-09,670,682,665,676,166700,112295500
2014-01-08,666,670,660,668,100900,67117400
2014-01-07,678,678,661,664,160100,106910600
2014-01-06,681,682,670,676,191500,129441700
2013-12-30,666,679,665,677,304200,204341600
2013-12-27,648,655,631,655,327100,210728600
2013-12-26,622,629,614,622,142300,88302500
2013-12-25,2415,2450,2408,2449,48700,118225700
2013-12-24,2410,2420,2405,2412,29600,71359900
2013-12-20,2405,2423,2402,2406,56100,134983400
2013-12-19,2422,2430,2408,2423,50200,121401400
2013-12-18,2411,2431,2404,2418,59500,143807000
2013-12-17,2405,2412,2401,2402,48100,115628400
2013-12-16,2433,2434,2403,2404,199100,482574700
2013-12-13,2434,2457,2410,2410,46100,111992100
2013-12-12,2497,2500,2431,2432,59400,145850500
2013-12-11,2520,2550,2491,2498,69800,174977100
2013-12-10,2476,2575,2476,2550,47300,119263100
2013-12-09,2500,2506,2480,2485,31400,78245300
2013-12-06,2426,2446,2418,2425,31900,77513600
2013-12-05,2427,2450,2412,2415,91100,220980900
2013-12-04,2430,2430,2392,2405,166800,403153500
2013-12-03,2570,2570,2450,2461,137400,346200400
