6069-T,東証マザーズ,トレンダーズ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,752,753,702,730,27600,19961300
2014-06-26,741,753,741,749,5900,4414800
2014-06-25,752,752,742,749,3900,2919100
2014-06-24,745,753,740,753,5700,4254400
2014-06-23,760,760,742,744,6900,5166500
2014-06-20,762,769,736,765,24600,18334300
2014-06-19,761,779,759,761,14100,10761900
2014-06-18,785,785,746,758,18500,14116300
2014-06-17,732,784,732,770,30200,23009900
2014-06-16,736,750,730,735,21200,15623700
2014-06-13,733,749,721,729,50300,36752800
2014-06-12,753,755,741,755,9700,7261000
2014-06-11,752,769,752,757,10000,7569800
2014-06-10,785,795,752,761,290700,225588900
2014-06-09,808,819,782,785,11500,9258100
2014-06-06,811,840,795,829,10700,8690700
2014-06-05,825,842,825,840,4600,3848900
2014-06-04,838,847,807,847,13700,11411300
2014-06-03,816,848,750,848,35000,28210400
2014-06-02,725,847,720,801,67800,53125800
2014-05-30,719,719,701,705,15400,10898200
2014-05-29,701,719,694,719,17800,12503000
2014-05-28,704,713,699,702,4600,3241400
2014-05-27,711,725,707,707,8400,6000700
2014-05-26,722,722,698,718,6000,4251500
2014-05-23,702,708,687,698,14300,9983800
2014-05-22,685,708,682,682,11700,8137600
2014-05-21,724,724,665,685,19500,13506100
2014-05-20,770,770,720,739,42200,31147400
2014-05-19,779,779,731,770,23500,17555100
2014-05-16,791,791,766,767,6700,5195600
2014-05-15,782,783,751,776,18000,13791800
2014-05-14,786,795,774,777,18600,14474900
2014-05-13,817,817,780,785,21500,16982400
2014-05-12,817,826,809,816,5300,4325700
2014-05-09,810,827,810,823,4100,3353400
2014-05-08,821,838,802,820,9000,7345800
2014-05-07,839,839,822,825,3500,2894300
2014-05-02,826,842,826,840,3500,2919700
2014-05-01,832,834,818,834,3700,3063100
2014-04-30,818,828,816,827,3600,2950100
2014-04-28,822,828,810,828,4400,3614200
2014-04-25,830,830,823,827,8000,6614400
2014-04-24,841,841,819,825,12400,10248900
2014-04-23,831,850,827,841,8200,6878500
2014-04-22,842,851,828,846,15700,13228400
2014-04-21,863,866,824,847,15200,12782800
2014-04-18,838,865,838,863,6500,5514600
2014-04-17,856,890,825,850,25100,21362400
2014-04-16,832,848,812,826,12900,10717700
2014-04-15,870,884,824,824,40000,34068900
2014-04-14,853,885,850,863,14900,12877700
2014-04-11,860,898,850,883,29400,25514300
2014-04-10,962,986,912,912,31300,29304100
2014-04-09,991,1036,940,947,40900,39768200
2014-04-08,1010,1035,968,1002,117300,117050200
2014-04-07,946,1066,935,1062,305000,313486300
2014-04-04,943,944,903,916,97800,89809900
2014-04-03,1128,1140,945,970,277200,290869400
2014-04-02,963,1008,904,1008,367800,359282400
2014-04-01,895,930,858,858,59600,53652500
2014-03-31,800,884,800,865,26100,22188600
2014-03-28,772,791,770,789,7800,6069800
2014-03-27,765,774,760,770,6000,4598300
2014-03-26,780,792,779,780,3200,2501600
2014-03-25,807,807,780,780,2600,2057700
2014-03-24,775,800,775,800,3300,2596600
2014-03-20,800,808,762,762,8300,6434700
2014-03-19,786,800,769,800,5400,4227400
2014-03-18,771,789,771,785,2600,2027000
2014-03-17,764,774,760,770,6200,4744100
2014-03-14,766,776,761,766,13100,10044400
2014-03-13,775,789,775,780,6800,5287000
2014-03-12,795,795,787,787,4100,3244500
2014-03-11,810,810,796,804,5300,4254200
2014-03-10,817,817,801,807,4300,3475900
2014-03-07,780,809,775,804,18300,14462100
2014-03-06,771,783,770,780,7000,5432500
2014-03-05,775,787,769,771,9800,7592000
2014-03-04,770,777,766,774,12200,9396100
2014-03-03,806,806,780,782,17500,13761700
2014-02-28,841,841,815,817,11500,9476500
2014-02-27,822,830,811,811,8100,6612200
2014-02-26,827,827,819,821,4600,3780700
2014-02-25,840,840,814,833,19400,16067600
2014-02-24,851,859,812,825,18200,15127900
2014-02-21,846,852,815,830,24100,20047400
2014-02-20,944,944,828,840,32300,27948100
2014-02-19,940,950,925,929,16400,15431100
2014-02-18,850,951,850,950,26900,24485000
2014-02-17,841,914,815,895,18200,15626400
2014-02-14,840,840,830,835,8300,6935800
2014-02-13,860,860,822,854,10200,8653800
2014-02-12,869,873,864,864,14100,12254500
2014-02-10,873,873,843,850,4400,3767500
2014-02-07,835,854,835,854,4800,4046000
2014-02-06,795,841,795,841,29700,23922400
2014-02-05,822,838,792,802,14100,11517500
2014-02-04,812,841,792,804,40000,32613000
2014-02-03,930,933,900,902,24900,22526500
2014-01-31,941,970,930,932,8600,8111900
2014-01-30,975,975,937,946,6600,6279400
2014-01-29,955,993,955,975,5700,5529300
2014-01-28,955,970,941,955,14400,13691700
2014-01-27,984,984,956,958,11500,11089900
2014-01-24,1020,1020,999,999,10400,10496300
2014-01-23,1025,1046,1025,1025,7500,7730000
2014-01-22,1015,1045,1015,1028,6500,6732300
2014-01-21,1032,1040,1020,1020,4800,4924900
2014-01-20,1024,1029,1001,1029,6200,6298000
2014-01-17,1000,1015,1000,1009,3200,3211500
2014-01-16,1005,1031,996,998,19700,19897400
2014-01-15,999,1005,980,1000,10700,10646800
2014-01-14,1000,1010,1000,1001,5000,5017200
2014-01-10,1046,1046,1000,1009,14800,15008400
2014-01-09,1061,1061,1046,1046,4400,4640400
2014-01-08,1010,1070,1010,1067,12300,12971700
2014-01-07,1040,1043,1001,1019,10700,10930600
2014-01-06,1041,1044,1011,1042,7500,7685500
2013-12-30,1012,1021,1000,1012,16000,16173300
2013-12-27,963,1050,963,1006,39900,39633500
2013-12-26,932,956,919,943,27500,25815000
2013-12-25,915,930,890,902,52000,47282600
2013-12-24,911,930,900,929,31100,28311200
2013-12-20,969,969,943,954,25200,24074700
2013-12-19,1006,1006,941,980,23200,22768000
2013-12-18,1038,1039,1004,1008,18600,18902000
2013-12-17,1050,1067,1041,1048,3800,3988400
2013-12-16,1106,1106,1044,1045,20600,22022700
2013-12-13,1118,1137,1110,1120,8900,9963300
2013-12-12,1121,1129,1106,1129,15900,17755100
2013-12-11,1165,1185,1116,1119,23000,26062500
2013-12-10,1150,1174,1146,1160,7600,8815000
2013-12-09,1155,1165,1135,1149,9300,10722400
2013-12-06,1134,1150,1133,1140,5900,6719700
2013-12-05,1152,1157,1129,1135,16000,18269100
2013-12-04,1157,1161,1150,1150,26500,30610600
2013-12-03,1168,1179,1157,1160,17900,20856800
2013-12-02,1170,1170,1153,1160,6400,7406000
2013-11-29,1170,1170,1157,1170,4900,5706300
2013-11-28,1166,1166,1155,1155,6900,8001000
2013-11-27,1169,1176,1155,1165,9900,11543000
2013-11-26,1189,1205,1165,1179,7200,8496900
2013-11-25,1221,1221,1182,1202,13100,15742200
2013-11-22,1199,1205,1185,1194,9500,11354700
2013-11-21,1154,1221,1154,1200,17100,20335400
2013-11-20,1158,1166,1153,1153,5600,6500200
2013-11-19,1163,1166,1158,1159,8300,9644500
2013-11-18,1177,1187,1163,1163,7900,9268200
2013-11-15,1177,1189,1177,1177,6900,8142900
2013-11-14,1180,1197,1170,1190,2700,3205300
2013-11-13,1173,1197,1150,1181,18100,21170200
2013-11-12,1180,1214,1180,1190,5100,6091800
2013-11-11,1260,1260,1181,1200,5400,6527900
2013-11-08,1208,1210,1187,1200,9200,11053700
2013-11-07,1267,1267,1228,1234,3200,3963200
2013-11-06,1215,1267,1215,1267,7100,8768900
2013-11-05,1225,1299,1201,1299,19100,23987700
2013-11-01,1172,1198,1164,1198,8000,9432100
2013-10-31,1182,1193,1164,1191,9000,10604900
2013-10-30,1174,1184,1165,1180,11300,13255600
2013-10-29,1178,1199,1168,1175,15200,17885900
2013-10-28,1190,1205,1164,1167,74500,88359700
2013-10-25,1420,1420,1364,1370,5300,7326000
2013-10-24,1355,1400,1345,1390,8000,10989400
2013-10-23,1439,1443,1380,1385,9200,12923500
2013-10-22,1513,1514,1401,1425,24200,35117400
2013-10-21,1379,1599,1378,1513,41700,61363500
2013-10-18,1361,1377,1333,1377,6900,9343000
2013-10-17,1340,1390,1331,1371,15300,20856700
2013-10-16,1316,1330,1315,1321,8800,11646500
2013-10-15,1294,1325,1294,1321,13900,18091700
2013-10-11,1275,1294,1270,1290,9100,11669700
2013-10-10,1237,1271,1232,1271,4800,5959300
2013-10-09,1208,1249,1207,1237,4300,5250900
2013-10-08,1204,1238,1195,1238,5500,6641900
2013-10-07,1245,1269,1220,1228,9000,11155100
2013-10-04,1250,1281,1224,1275,16700,20849700
2013-10-03,1263,1278,1258,1260,8000,10095800
2013-10-02,1280,1281,1251,1273,18100,23059400
2013-10-01,1333,1360,1330,1332,14500,19434400
2013-09-30,1396,1397,1338,1360,11300,15373800
