6074-T,JQスタンダード,JSS,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,649,649,649,649,100,64900
2014-06-26,655,655,644,654,4600,2977100
2014-06-25,650,652,642,649,1400,903500
2014-06-24,645,659,640,650,7200,4674500
2014-06-23,640,659,640,650,6900,4487400
2014-06-20,635,641,630,640,6700,4282500
2014-06-19,620,630,620,630,1400,870500
2014-06-18,618,630,618,630,2600,1620800
2014-06-17,610,644,610,622,5400,3398000
2014-06-16,609,619,609,610,2800,1715400
2014-06-13,605,620,605,619,2600,1593500
2014-06-12,601,601,601,601,1300,781300
2014-06-11,607,608,605,608,400,242700
2014-06-10,613,613,613,613,300,183900
2014-06-09,613,619,604,604,6300,3848400
2014-06-06,610,611,603,608,3800,2303500
2014-06-05,604,606,604,605,3600,2177300
2014-06-04,609,617,604,604,3700,2246000
2014-06-03,608,611,603,604,1600,967700
2014-06-02,626,626,603,606,4900,2991500
2014-05-30,615,615,606,606,1800,1094300
2014-05-29,615,615,604,605,3700,2252700
2014-05-28,604,615,604,607,3200,1947700
2014-05-27,610,610,601,601,700,424300
2014-05-26,610,614,600,614,1900,1154000
2014-05-23,602,602,595,600,2600,1561200
2014-05-22,600,605,578,605,8900,5237500
2014-05-21,600,605,600,605,200,120500
2014-05-20,582,605,582,600,1300,770600
2014-05-19,604,604,578,578,3900,2291000
2014-05-16,618,621,595,608,11600,7064300
2014-05-15,655,664,611,638,23900,15242700
2014-05-14,620,700,600,700,25600,17281300
2014-05-13,604,604,599,600,1200,720600
2014-05-12,609,610,609,609,500,304600
2014-05-09,600,610,600,610,300,181000
2014-05-08,610,610,596,598,3600,2179300
2014-05-07,608,609,600,600,2300,1389700
2014-05-02,608,609,608,609,200,121700
2014-05-01,614,614,600,608,1700,1037600
2014-04-30,648,648,601,604,4300,2643900
2014-04-28,640,642,638,638,2600,1660200
2014-04-25,621,635,621,635,300,188500
2014-04-24,620,620,620,620,200,124000
2014-04-23,-,-,-,-,0,0
2014-04-22,633,634,633,634,300,190100
