6086-T,東証マザーズ,シンプロメンテ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1450,1500,1350,1421,15000,21349300
2014-06-26,1501,1501,1471,1471,10300,15272700
2014-06-25,1531,1540,1451,1532,22100,33503700
2014-06-24,1589,1625,1570,1570,20400,32530500
2014-06-23,1528,1635,1528,1629,36800,58357600
2014-06-20,1500,1530,1477,1498,30600,45931900
2014-06-19,1430,1530,1430,1492,27800,41334400
2014-06-18,1440,1473,1397,1427,33900,48544700
2014-06-17,1305,1421,1305,1421,55300,75798900
2014-06-16,1268,1330,1253,1275,15600,20070800
2014-06-13,1236,1270,1211,1270,8000,9861600
2014-06-12,1240,1270,1211,1241,9700,12028400
2014-06-11,1230,1240,1190,1230,15100,18303000
2014-06-10,1290,1290,1190,1223,20100,24975400
2014-06-09,1224,1350,1224,1254,43300,54759100
2014-06-06,1122,1190,1122,1181,11200,12931100
2014-06-05,1142,1148,1120,1120,6100,6871800
2014-06-04,1155,1169,1132,1141,8800,10055100
2014-06-03,1148,1155,1124,1155,11100,12684900
2014-06-02,1086,1125,1086,1124,5400,5988200
2014-05-30,1116,1130,1070,1080,10600,11503800
2014-05-29,1110,1116,1082,1116,7700,8479800
2014-05-28,1138,1138,1108,1115,3400,3790700
2014-05-27,1105,1119,1090,1108,5900,6539200
2014-05-26,1054,1097,1054,1085,3300,3555700
2014-05-23,1061,1066,1022,1053,4000,4198200
2014-05-22,1030,1072,1030,1035,3500,3656300
2014-05-21,1099,1099,1010,1014,13500,13966100
2014-05-20,1102,1115,1070,1099,7400,8009800
2014-05-19,1093,1149,1092,1102,15300,16899700
2014-05-16,1170,1175,1115,1115,16300,18503400
2014-05-15,1132,1195,1130,1176,14000,16348400
2014-05-14,1125,1165,1102,1161,8900,10235100
2014-05-13,1101,1170,1085,1133,15200,17174200
2014-05-12,1179,1179,1060,1071,22700,25175200
2014-05-09,1045,1190,1036,1150,46600,52880900
2014-05-08,1020,1046,1018,1046,12600,12998900
2014-05-07,1018,1030,1007,1023,4500,4582000
2014-05-02,1024,1027,1002,1004,5700,5770300
2014-05-01,993,1030,993,1030,7400,7485700
2014-04-30,1001,1008,993,993,7000,6997400
2014-04-28,1004,1013,996,999,7700,7733700
2014-04-25,1009,1025,1001,1020,7600,7701500
2014-04-24,1020,1028,1000,1001,12700,12821900
2014-04-23,1010,1014,1000,1011,13800,13872700
2014-04-22,1050,1069,1000,1008,16500,16911800
2014-04-21,1100,1105,1050,1076,15000,16201000
2014-04-18,1000,1100,1000,1084,35000,36721400
2014-04-17,1014,1028,990,995,34800,34864600
2014-04-16,998,1036,995,999,33200,33406800
2014-04-15,1111,1111,999,1001,57800,60547500
2014-04-14,1183,1195,1118,1130,40200,46620900
2014-04-11,1215,1300,1163,1243,58900,72416400
2014-04-10,1400,1555,1305,1354,321700,467714100
2014-04-09,1210,1347,1200,1335,174300,221555300
2014-04-08,984,1174,983,1120,72900,79002300
2014-04-07,1018,1018,991,1001,10000,10018500
2014-04-04,1040,1051,990,1013,16300,16606000
2014-04-03,1057,1087,1052,1060,8500,9015900
2014-04-02,1040,1060,1020,1056,17500,18292900
2014-04-01,998,1049,997,1038,11500,11727500
2014-03-31,1023,1035,992,993,32600,32818700
2014-03-28,980,1060,960,989,14200,14261900
2014-03-27,950,980,940,975,9600,9144300
2014-03-26,985,999,948,964,9800,9488700
2014-03-25,1026,1033,950,972,15800,15756400
2014-03-24,1048,1065,1006,1006,6800,6978100
2014-03-20,1165,1165,1013,1048,25800,27385600
2014-03-19,1193,1193,1149,1176,6500,7515900
2014-03-18,1183,1187,1172,1186,1200,1416500
2014-03-17,1196,1196,1150,1166,9700,11321300
2014-03-14,1192,1200,1150,1172,11500,13461000
2014-03-13,1199,1215,1165,1192,8200,9701500
2014-03-12,1175,1197,1161,1169,5700,6676100
2014-03-11,1205,1224,1199,1201,6500,7860400
2014-03-10,1228,1239,1175,1196,8900,10740200
2014-03-07,1183,1198,1160,1175,14200,16784300
2014-03-06,1120,1177,1120,1153,9200,10483000
2014-03-05,1127,1135,1098,1108,4200,4685000
2014-03-04,1086,1119,1062,1082,11700,12708200
2014-03-03,1150,1150,1082,1110,8400,9249900
2014-02-28,1170,1170,1100,1120,10800,12095300
2014-02-27,1171,1171,1141,1141,5400,6247000
2014-02-26,1240,1240,1151,1171,9800,11647500
2014-02-25,1234,1258,1233,1240,3700,4607500
2014-02-24,1231,1259,1224,1231,5000,6198400
2014-02-21,1226,1238,1204,1229,4600,5627800
2014-02-20,1285,1297,1200,1215,15800,19498100
2014-02-19,1225,1350,1225,1267,22800,29215500
2014-02-18,1259,1259,1207,1225,9400,11543600
2014-02-17,1241,1277,1220,1235,7500,9284400
2014-02-14,1202,1247,1160,1241,7400,8949000
2014-02-13,1250,1259,1175,1199,9100,11031400
2014-02-12,1242,1298,1235,1264,22700,28663900
2014-02-10,1232,1249,1217,1230,9800,12032300
2014-02-07,1280,1342,1212,1244,21700,27553100
2014-02-06,1239,1308,1184,1250,22900,28133400
2014-02-05,1198,1239,1080,1210,58300,68350800
2014-02-04,1121,1174,1051,1052,53800,60207000
2014-02-03,1432,1432,1300,1300,43400,58587800
2014-01-31,1685,1715,1438,1521,56800,90523700
2014-01-30,1703,1740,1650,1670,20900,35195200
2014-01-29,1757,1761,1725,1755,10700,18684300
2014-01-28,1718,1796,1718,1746,17400,30523800
2014-01-27,1710,1760,1690,1734,36800,63215600
2014-01-24,1766,1814,1750,1770,38500,68130000
2014-01-23,1835,1914,1813,1825,51400,95175600
2014-01-22,1797,1840,1780,1820,32300,58246800
2014-01-21,1765,1800,1756,1779,23600,41996400
2014-01-20,1755,1781,1754,1760,26100,45885900
2014-01-17,1778,1781,1717,1754,38600,67846000
2014-01-16,1828,1831,1743,1750,39000,69080900
2014-01-15,1807,1860,1782,1791,37400,67481100
2014-01-14,1766,1979,1760,1847,62900,118203900
2014-01-10,1823,1855,1800,1805,21100,38510700
2014-01-09,1889,2036,1820,1855,111600,215050200
2014-01-08,1780,1943,1751,1831,88200,161944900
2014-01-07,1838,1838,1735,1776,59100,105047800
2014-01-06,1931,1934,1815,1835,68300,127190000
2013-12-30,1978,1978,1894,1927,76500,147083100
2013-12-27,2000,2035,1920,1951,52500,103573900
2013-12-26,1994,2162,1858,2012,244500,489697700
2013-12-25,1800,1988,1743,1914,175700,332882500
2013-12-24,1972,1981,1785,1802,108000,199527900
2013-12-20,2200,2262,1937,1947,380100,806607500
2013-12-19,2235,2490,2063,2063,1675700,3802234100
