6146-T,東証1部,ディスコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,6870,6870,6650,6810,265200,1798806000
2014-06-26,6980,6990,6870,6900,193100,1337396000
2014-06-25,7130,7170,7020,7050,113000,799211000
2014-06-24,7060,7220,7040,7200,114400,818186000
2014-06-23,7080,7160,7080,7110,90800,645567000
2014-06-20,7210,7210,7070,7110,164100,1170874000
2014-06-19,7200,7210,7130,7170,277600,1989798000
2014-06-18,7090,7190,7030,7160,195300,1386763000
2014-06-17,6990,7080,6980,7070,280300,1970966000
2014-06-16,6780,6960,6740,6920,249800,1720597000
2014-06-13,6840,6880,6790,6840,171500,1172910000
2014-06-12,6780,6870,6760,6820,145900,995899000
2014-06-11,6820,6850,6780,6850,90600,618004000
2014-06-10,6860,6880,6770,6790,110200,751132000
2014-06-09,6840,6920,6840,6860,96500,662917000
2014-06-06,6800,6870,6790,6830,136100,929443000
2014-06-05,6740,6870,6710,6800,274000,1863686000
2014-06-04,6780,6780,6700,6740,110100,741400000
2014-06-03,6790,6820,6710,6780,209000,1413753000
2014-06-02,6580,6740,6550,6730,274600,1832617000
2014-05-30,6430,6580,6430,6520,345700,2250167000
2014-05-29,6320,6420,6320,6390,220700,1405806000
2014-05-28,6340,6400,6330,6360,128200,816264000
2014-05-27,6260,6370,6250,6340,159800,1009389000
2014-05-26,6230,6260,6170,6250,184000,1145071000
2014-05-23,6240,6260,6210,6220,83600,521242000
2014-05-22,6120,6210,6100,6200,134100,827303000
2014-05-21,6070,6100,6040,6040,197400,1196409000
2014-05-20,6210,6240,6120,6120,138000,849799000
2014-05-19,6240,6240,6150,6170,216600,1341285000
2014-05-16,6020,6200,6010,6180,257400,1576496000
2014-05-15,6020,6070,5990,6070,168700,1017468000
2014-05-14,6100,6110,6050,6080,168000,1021821000
2014-05-13,6220,6220,6070,6120,293300,1805512000
2014-05-12,6220,6220,6060,6080,217400,1329596000
2014-05-09,6130,6210,6130,6200,110700,683080000
2014-05-08,6170,6220,6110,6150,123400,760281000
2014-05-07,6190,6200,6100,6170,213700,1315368000
2014-05-02,6370,6370,6220,6280,130700,818632000
2014-05-01,6300,6350,6240,6340,105800,668214000
2014-04-30,6310,6340,6200,6210,127800,798968000
2014-04-28,6310,6350,6210,6250,174700,1090207000
2014-04-25,6320,6430,6300,6370,184500,1174721000
2014-04-24,6480,6490,6280,6310,195000,1238138000
2014-04-23,6350,6440,6340,6430,214900,1376270000
2014-04-22,6330,6350,6270,6280,142200,897244000
2014-04-21,6320,6410,6270,6330,188200,1190536000
2014-04-18,6330,6350,6250,6320,245800,1548143000
2014-04-17,6400,6440,6230,6300,316200,1994228000
2014-04-16,6380,6430,6350,6410,173000,1105494000
2014-04-15,6410,6440,6360,6360,80700,516149000
2014-04-14,6370,6410,6340,6350,71900,458085000
2014-04-11,6380,6410,6250,6380,166000,1054317000
2014-04-10,6670,6680,6450,6490,136100,889085000
2014-04-09,6490,6590,6480,6530,245000,1603056000
2014-04-08,6600,6730,6570,6580,299000,1992322000
2014-04-07,6680,6680,6580,6630,194100,1286641000
2014-04-04,6870,6900,6730,6760,303600,2064931000
2014-04-03,6920,7020,6860,6920,399700,2783650000
2014-04-02,6670,6890,6670,6830,477000,3247264000
2014-04-01,6420,6490,6390,6450,144500,932488000
2014-03-31,6490,6500,6370,6420,209600,1346895000
2014-03-28,6350,6470,6310,6460,171800,1102095000
2014-03-27,6300,6370,6270,6360,237400,1498870000
