6151-T,東証1部,日東工器,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2038,2050,2018,2036,34400,69909700
2014-06-26,1980,2088,1979,2053,69000,140400400
2014-06-25,1973,1978,1954,1962,7000,13781500
2014-06-24,1951,1975,1939,1973,19500,38251400
2014-06-23,1955,1955,1933,1935,9100,17662400
2014-06-20,1950,1958,1917,1943,21000,40692500
2014-06-19,1935,1963,1913,1963,17200,33469200
2014-06-18,1927,1935,1911,1928,5600,10788900
2014-06-17,1932,1932,1838,1917,15800,29985900
2014-06-16,1920,1929,1907,1920,4800,9202000
2014-06-13,1898,1929,1893,1925,21100,40122800
2014-06-12,1907,1923,1897,1918,6000,11454000
2014-06-11,1910,1929,1906,1923,8600,16499400
2014-06-10,1910,1921,1901,1906,9400,17983200
2014-06-09,1892,1905,1888,1896,6700,12704400
2014-06-06,1929,1929,1875,1888,17800,33904000
2014-06-05,1919,1929,1906,1920,11600,22235000
2014-06-04,1921,1938,1912,1920,16500,31754200
2014-06-03,1960,1960,1915,1942,7500,14578400
2014-06-02,1945,1965,1943,1948,9100,17764300
2014-05-30,1950,1951,1940,1943,12600,24534500
2014-05-29,1945,1950,1933,1947,10000,19461000
2014-05-28,1945,1949,1923,1940,18000,34970700
2014-05-27,1942,1942,1927,1937,3800,7360500
2014-05-26,1933,1945,1903,1945,17100,32995700
2014-05-23,1883,1898,1870,1896,7800,14741700
2014-05-22,1877,1879,1853,1877,9000,16856500
2014-05-21,1844,1867,1844,1866,5900,10964900
2014-05-20,1849,1863,1846,1850,8000,14804000
2014-05-19,1851,1875,1850,1859,6000,11157800
2014-05-16,1858,1863,1841,1851,9900,18310100
2014-05-15,1872,1883,1866,1883,6200,11612500
2014-05-14,1897,1902,1891,1900,8400,15942700
2014-05-13,1900,1906,1889,1897,9700,18399900
2014-05-12,1855,1900,1855,1889,13600,25658600
2014-05-09,1861,1885,1854,1866,19400,36234800
2014-05-08,1860,1911,1860,1885,15900,30057900
2014-05-07,1869,1900,1860,1892,19700,37293500
2014-05-02,1886,1886,1864,1885,4800,9008900
2014-05-01,1855,1885,1855,1885,9800,18362400
2014-04-30,1861,1879,1857,1860,8000,14896500
2014-04-28,1856,1860,1844,1855,7800,14456800
2014-04-25,1844,1871,1820,1855,16000,29552400
2014-04-24,1851,1858,1838,1844,21000,38741600
2014-04-23,1873,1914,1845,1861,31600,59441100
2014-04-22,1846,1848,1833,1833,8000,14690100
2014-04-21,1837,1855,1830,1836,6900,12688900
2014-04-18,1864,1864,1844,1855,5500,10190800
2014-04-17,1855,1866,1842,1844,10000,18515400
2014-04-16,1839,1848,1836,1848,6100,11251800
2014-04-15,1827,1838,1817,1819,12400,22603600
2014-04-14,1829,1837,1817,1818,6700,12229800
2014-04-11,1815,1848,1815,1832,17300,31646000
2014-04-10,1857,1862,1837,1837,16900,31132900
2014-04-09,1858,1860,1843,1846,27400,50672800
2014-04-08,1861,1867,1857,1857,16100,29935100
2014-04-07,1908,1958,1859,1860,67000,127710900
2014-04-04,1898,1916,1897,1900,31200,59278200
2014-04-03,1894,1903,1889,1896,11400,21644100
2014-04-02,1900,1915,1892,1892,38300,72785900
2014-04-01,1913,1929,1900,1927,50700,97205900
2014-03-31,1900,1906,1890,1900,37200,70645100
2014-03-28,1927,1928,1898,1900,50500,96196000
2014-03-27,1899,1943,1888,1910,126800,241882300
2014-03-26,1900,1902,1890,1900,182200,346145700
2014-03-25,1900,1917,1897,1899,66700,126810900
2014-03-24,1937,1937,1879,1894,60700,116502400
2014-03-20,1891,1891,1857,1857,19800,37168000
2014-03-19,1881,1887,1870,1871,28400,53343900
2014-03-18,1871,1890,1859,1869,24600,46067800
2014-03-17,1860,1870,1853,1854,36700,68179900
2014-03-14,1859,1876,1853,1853,48200,89594600
2014-03-13,1855,1874,1855,1867,20800,38651600
2014-03-12,1860,1867,1853,1854,17400,32352700
2014-03-11,1865,1873,1861,1865,30200,56342200
2014-03-10,1870,1876,1860,1865,11100,20733400
2014-03-07,1875,1887,1863,1875,32400,60775300
2014-03-06,1875,1880,1869,1877,15200,28507900
2014-03-05,1875,1876,1864,1873,13800,25852900
2014-03-04,1871,1879,1860,1875,15700,29392400
2014-03-03,1850,1880,1846,1873,22700,42111800
2014-02-28,1850,1862,1837,1850,33000,61069600
2014-02-27,1850,1858,1847,1850,29400,54413600
2014-02-26,1878,1880,1845,1848,23800,44196800
2014-02-25,1870,1881,1865,1870,19400,36298700
2014-02-24,1890,1895,1868,1874,17600,33141000
2014-02-21,1840,1876,1840,1871,13900,25944200
2014-02-20,1847,1868,1840,1849,13100,24295700
2014-02-19,1850,1865,1848,1848,5200,9644200
2014-02-18,1820,1862,1810,1851,20500,37793400
2014-02-17,1814,1829,1807,1822,6000,10903600
2014-02-14,1823,1830,1797,1807,10500,19005000
2014-02-13,1827,1833,1821,1823,8600,15702400
2014-02-12,1819,1834,1812,1823,14300,26058500
2014-02-10,1815,1815,1797,1803,9100,16413000
2014-02-07,1780,1795,1774,1785,12900,23005800
2014-02-06,1750,1800,1750,1779,21300,37756700
2014-02-05,1740,1761,1740,1759,23500,41100700
2014-02-04,1798,1798,1722,1736,40900,71816600
2014-02-03,1830,1835,1805,1807,13400,24387200
2014-01-31,1818,1834,1804,1831,19500,35491200
2014-01-30,1839,1839,1811,1813,21900,39875200
