6247-T,東証1部,日阪製,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,922,932,922,932,12000,11148000
2014-06-26,944,944,927,935,26000,24242000
2014-06-25,957,959,941,941,27000,25729000
2014-06-24,950,957,949,956,24000,22875000
2014-06-23,960,964,956,956,9000,8622000
2014-06-20,946,954,944,952,49000,46551000
2014-06-19,932,945,932,945,28000,26370000
2014-06-18,940,940,933,939,12000,11266000
2014-06-17,928,935,923,933,26000,24195000
2014-06-16,923,925,910,913,32000,29368000
2014-06-13,903,925,900,916,76000,68943000
2014-06-12,925,925,896,918,24000,21993000
2014-06-11,950,950,931,935,31000,29077000
2014-06-10,964,964,939,951,14000,13323000
2014-06-09,964,966,959,959,16000,15411000
2014-06-06,959,964,956,959,36000,34536000
2014-06-05,945,949,942,949,32000,30271000
2014-06-04,947,947,937,941,6000,5648000
2014-06-03,934,949,921,945,36000,33800000
2014-06-02,926,930,917,924,14000,12968000
2014-05-30,925,925,911,920,28000,25716000
2014-05-29,938,938,913,913,11000,10173000
2014-05-28,929,945,924,926,27000,25199000
2014-05-27,915,929,915,929,25000,23026000
2014-05-26,895,915,895,909,44000,39769000
2014-05-23,890,908,890,900,38000,34124000
2014-05-22,883,885,875,883,19000,16743000
2014-05-21,881,881,870,876,12000,10512000
2014-05-20,884,884,876,876,18000,15886000
2014-05-19,874,879,872,879,14000,12264000
2014-05-16,879,879,867,868,31000,26988000
2014-05-15,907,907,864,877,35000,30781000
2014-05-14,919,931,907,907,28000,25812000
2014-05-13,918,927,910,910,32000,29373000
2014-05-12,912,914,903,906,12000,10920000
2014-05-09,900,921,900,918,21000,19075000
2014-05-08,897,903,892,895,23000,20647000
2014-05-07,908,908,880,882,29000,26032000
2014-05-02,910,910,901,907,17000,15406000
2014-05-01,910,911,899,903,23000,20843000
2014-04-30,907,908,903,908,11000,9982000
2014-04-28,900,916,899,907,41000,37215000
2014-04-25,907,907,899,901,17000,15366000
2014-04-24,895,896,895,896,6000,5371000
