6248-T,JQスタンダード,横田製作,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,891,891,867,889,2000,1758300
2014-06-26,872,892,871,882,1400,1227400
2014-06-25,868,870,868,868,900,781400
2014-06-24,871,886,867,867,500,436200
2014-06-23,897,897,866,871,1400,1235400
2014-06-20,865,898,865,898,2200,1948600
2014-06-19,852,869,852,865,1500,1288500
2014-06-18,852,853,852,852,1400,1193100
2014-06-17,855,868,850,856,1000,856200
2014-06-16,872,872,848,850,2400,2051500
2014-06-13,878,878,846,872,3000,2575700
2014-06-12,879,879,878,878,300,263500
2014-06-11,856,879,854,879,1800,1550000
2014-06-10,884,884,884,884,1200,1060800
2014-06-09,835,885,835,885,1600,1379900
2014-06-06,854,860,832,832,2800,2366200
2014-06-05,833,870,833,854,2700,2302700
2014-06-04,860,860,860,860,200,172000
2014-06-03,838,865,835,865,3700,3128400
2014-06-02,835,838,835,838,500,418100
2014-05-30,830,840,830,830,3200,2661800
2014-05-29,835,835,820,830,1300,1075700
2014-05-28,-,-,-,-,0,0
2014-05-27,840,843,835,843,1100,924500
2014-05-26,840,840,831,840,1200,1004300
2014-05-23,831,843,830,840,1500,1249500
2014-05-22,845,847,830,842,1300,1093300
2014-05-21,833,848,830,830,7300,6077600
2014-05-20,807,848,807,833,1900,1545200
2014-05-19,807,822,807,807,1300,1051400
2014-05-16,-,-,-,-,0,0
2014-05-15,802,807,802,805,7600,6120500
2014-05-14,815,815,800,800,1200,970200
2014-05-13,834,834,811,815,3500,2859500
2014-05-12,839,839,839,839,400,335600
2014-05-09,833,839,824,839,3100,2574500
2014-05-08,840,843,833,833,1600,1343100
2014-05-07,855,855,840,840,1000,843200
2014-05-02,836,855,836,855,300,254200
2014-05-01,835,851,833,851,500,418900
2014-04-30,850,850,835,835,500,419500
2014-04-28,852,852,840,840,4600,3876500
2014-04-25,869,869,855,855,400,344800
2014-04-24,857,857,855,855,300,256700
2014-04-23,855,857,855,857,500,427700
2014-04-22,863,863,850,850,4000,3425700
2014-04-21,864,864,861,863,2600,2244200
2014-04-18,863,863,861,861,2000,1723000
2014-04-17,870,873,868,868,2700,2349800
2014-04-16,861,895,861,870,1200,1044600
2014-04-15,-,-,-,-,0,0
2014-04-14,862,863,862,863,200,172500
2014-04-11,875,875,864,864,1000,868000
2014-04-10,900,901,890,890,600,538300
2014-04-09,871,895,870,890,800,701100
2014-04-08,876,907,876,900,1200,1067000
2014-04-07,-,-,-,-,0,0
2014-04-04,891,906,891,906,700,625200
2014-04-03,919,919,906,906,1400,1279500
2014-04-02,862,910,857,910,6700,5893500
2014-04-01,873,873,873,873,200,174600
2014-03-31,871,875,870,870,500,436000
2014-03-28,850,870,850,870,700,602900
2014-03-27,841,860,841,850,1300,1101400
2014-03-26,860,895,850,850,6200,5425500
2014-03-25,851,860,851,860,1300,1112400
2014-03-24,858,870,856,865,1200,1036800
2014-03-20,872,873,850,873,2900,2491700
2014-03-19,870,872,860,872,2000,1725600
2014-03-18,858,870,858,870,1400,1206000
2014-03-17,871,877,871,871,1000,871600
2014-03-14,870,870,865,867,1500,1303200
2014-03-13,882,900,882,882,5700,5086000
2014-03-12,888,900,888,900,1500,1337600
2014-03-11,903,915,903,913,1700,1551100
2014-03-10,888,903,888,903,200,179100
2014-03-07,905,905,888,888,600,538100
2014-03-06,886,897,883,890,1900,1686000
2014-03-05,886,889,880,886,5800,5118100
2014-03-04,870,880,870,871,2400,2094900
2014-03-03,900,900,855,885,9100,8085100
2014-02-28,910,920,907,907,900,823600
