6255-T,東証マザーズ,エヌピーシー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,316,318,305,311,204200,63892700
2014-06-26,321,324,313,320,98000,31063000
2014-06-25,322,325,315,324,147300,47065600
2014-06-24,330,330,321,324,92600,30098900
2014-06-23,328,331,325,330,113200,37140300
2014-06-20,330,331,321,328,231200,75272400
2014-06-19,318,339,318,331,293000,96446000
2014-06-18,314,324,313,319,194300,62168200
2014-06-17,322,324,313,317,146600,46564700
2014-06-16,329,337,317,321,330000,107402100
2014-06-13,327,334,324,329,453200,148788200
2014-06-12,309,356,309,333,2210200,748480800
2014-06-11,313,321,307,316,406700,127924000
2014-06-10,321,324,305,311,377700,118082300
2014-06-09,315,322,309,319,248900,78680600
2014-06-06,313,313,305,308,121000,37280500
2014-06-05,322,323,305,314,299100,93307900
2014-06-04,323,323,310,315,428000,135240000
2014-06-03,300,323,297,316,1179800,368787600
2014-06-02,290,292,286,288,102400,29492200
2014-05-30,287,291,282,285,193900,55496200
2014-05-29,283,298,281,287,299100,86381500
2014-05-28,278,288,277,282,214500,60834300
2014-05-27,285,288,279,279,124100,35079900
2014-05-26,290,291,280,284,183900,52184000
2014-05-23,273,286,273,275,205300,57330900
2014-05-22,270,273,266,271,92200,24883300
2014-05-21,267,277,264,265,211100,56821000
2014-05-20,271,278,270,271,305600,83446900
2014-05-19,282,284,267,271,367700,100829400
2014-05-16,299,305,275,280,1151200,329497000
2014-05-15,311,317,304,309,656200,203273400
2014-05-14,306,345,298,322,2794900,905068600
2014-05-13,297,328,290,307,6126700,1892940400
2014-05-12,255,332,244,313,7755300,2397019000
2014-05-09,252,264,252,252,246900,63857100
2014-05-08,255,265,249,254,806400,204515900
2014-05-07,250,262,250,255,204300,52466700
2014-05-02,256,256,249,253,145000,36641900
2014-05-01,253,255,244,249,393600,97507500
2014-04-30,262,265,248,252,347600,88332600
2014-04-28,268,268,261,262,148400,39181400
2014-04-25,269,272,267,269,126800,34129300
2014-04-24,267,276,264,271,255300,69105100
2014-04-23,262,269,260,264,352400,92877000
2014-04-22,279,282,262,264,944100,254594600
2014-04-21,283,295,273,277,769700,218680500
2014-04-18,281,283,275,277,181100,50276000
2014-04-17,289,289,273,280,540500,150532700
2014-04-16,267,288,267,285,651600,182349800
2014-04-15,269,272,265,268,540100,145564000
2014-04-14,262,275,262,266,952400,255470000
2014-04-11,267,269,259,266,1380000,363973400
2014-04-10,308,320,268,273,3924900,1134529300
2014-04-09,327,343,325,343,1004600,336726600
2014-04-08,320,352,315,335,1808400,610064200
2014-04-07,307,323,307,317,270500,85387300
2014-04-04,307,315,302,314,234600,72706900
2014-04-03,323,330,306,309,597000,189161700
2014-04-02,316,339,315,330,524400,172538600
