6281-T,JQスタンダード,前田製,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,316,316,316,316,1000,316000
2014-06-26,-,-,-,-,0,0
2014-06-25,319,320,319,319,4000,1277000
2014-06-24,315,316,315,315,7000,2210000
2014-06-23,330,330,315,315,8000,2564000
2014-06-20,329,329,313,314,9000,2914000
2014-06-19,314,314,314,314,3000,942000
2014-06-18,314,314,314,314,1000,314000
2014-06-17,-,-,-,-,0,0
2014-06-16,319,319,319,319,1000,319000
2014-06-13,319,319,319,319,1000,319000
2014-06-12,318,323,318,323,5000,1610000
2014-06-11,317,325,317,318,6000,1918000
2014-06-10,-,-,-,-,0,0
2014-06-09,314,325,314,325,4000,1275000
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,326,326,326,326,1000,326000
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,319,319,319,319,2000,638000
2014-05-22,-,-,-,-,0,0
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,320,320,320,320,1000,320000
2014-05-15,328,330,320,320,6000,1962000
2014-05-14,-,-,-,-,0,0
2014-05-13,368,368,368,368,3000,1104000
2014-05-12,369,369,369,369,1000,369000
2014-05-09,380,380,372,372,3000,1124000
2014-05-08,-,-,-,-,0,0
2014-05-07,388,388,388,388,3000,1164000
2014-05-02,377,385,377,385,4000,1524000
2014-05-01,-,-,-,-,0,0
2014-04-30,385,385,385,385,2000,770000
2014-04-28,-,-,-,-,0,0
2014-04-25,379,379,377,377,2000,756000
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,371,374,371,374,4000,1491000
2014-04-18,373,377,373,373,6000,2242000
2014-04-17,-,-,-,-,0,0
2014-04-16,373,373,373,373,2000,746000
2014-04-15,365,370,365,365,8000,2940000
2014-04-14,-,-,-,-,0,0
2014-04-11,365,365,360,365,10000,3625000
2014-04-10,380,380,366,370,14000,5169000
2014-04-09,391,391,383,385,12000,4670000
2014-04-08,392,393,392,393,3000,1178000
2014-04-07,-,-,-,-,0,0
2014-04-04,392,392,392,392,5000,1960000
2014-04-03,393,393,392,392,2000,785000
2014-04-02,390,390,390,390,12000,4680000
2014-04-01,390,390,390,390,4000,1560000
2014-03-31,388,388,388,388,1000,388000
2014-03-28,379,380,379,380,2000,759000
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,382,382,377,377,2000,759000
2014-03-24,376,376,376,376,1000,376000
2014-03-20,381,381,377,377,2000,758000
2014-03-19,385,385,380,381,4000,1526000
2014-03-18,385,385,385,385,1000,385000
2014-03-17,378,379,378,378,5000,1891000
2014-03-14,385,385,378,378,3000,1148000
2014-03-13,385,385,385,385,4000,1540000
2014-03-12,385,385,385,385,4000,1540000
2014-03-11,385,385,385,385,1000,385000
2014-03-10,388,388,388,388,1000,388000
2014-03-07,-,-,-,-,0,0
2014-03-06,380,380,380,380,4000,1520000
2014-03-05,387,390,374,374,7000,2667000
2014-03-04,379,379,379,379,2000,758000
2014-03-03,373,379,373,379,4000,1503000
2014-02-28,380,380,380,380,1000,380000
2014-02-27,-,-,-,-,0,0
2014-02-26,387,387,381,381,3000,1155000
2014-02-25,394,394,394,394,1000,394000
2014-02-24,392,392,386,386,3000,1170000
2014-02-21,379,393,379,384,6000,2305000
2014-02-20,399,399,387,387,13000,5075000
2014-02-19,402,402,402,402,1000,402000
2014-02-18,402,402,402,402,2000,804000
2014-02-17,-,-,-,-,0,0
2014-02-14,380,380,370,370,21000,7793000
2014-02-13,380,380,380,380,3000,1140000
2014-02-12,380,380,380,380,3000,1140000
2014-02-10,390,390,374,376,10000,3795000
2014-02-07,367,373,367,373,6000,2210000
2014-02-06,363,363,363,363,1000,363000
2014-02-05,348,360,348,360,4000,1424000
2014-02-04,-,-,-,-,0,0
2014-02-03,397,398,380,387,20000,7803000
2014-01-31,398,398,398,398,1000,398000
2014-01-30,396,396,396,396,1000,396000
2014-01-29,390,404,390,404,4000,1602000
2014-01-28,-,-,-,-,0,0
2014-01-27,374,375,374,374,4000,1497000
2014-01-24,388,388,385,385,4000,1546000
2014-01-23,-,-,-,-,0,0
2014-01-22,400,400,400,400,1000,400000
2014-01-21,400,400,400,400,1000,400000
2014-01-20,398,406,398,406,5000,2000000
2014-01-17,402,402,400,400,6000,2410000
2014-01-16,415,420,414,414,13000,5416000
2014-01-15,412,434,412,414,15000,6280000
2014-01-14,414,418,414,418,9000,3740000
2014-01-10,415,415,415,415,10000,4150000
2014-01-09,414,415,402,415,15000,6184000
2014-01-08,400,415,388,415,22000,8820000
2014-01-07,393,400,390,390,8000,3141000
2014-01-06,389,389,370,385,7000,2656000
2013-12-30,358,370,356,365,12000,4342000
2013-12-27,340,348,339,348,7000,2387000
2013-12-26,340,350,340,340,32000,10984000
2013-12-25,328,340,328,340,46000,15357000
2013-12-24,314,328,314,328,8000,2562000
2013-12-20,314,314,302,313,17000,5253000
2013-12-19,315,315,314,314,4000,1258000
2013-12-18,320,320,314,314,12000,3785000
2013-12-17,332,334,324,325,7000,2300000
2013-12-16,331,331,324,324,13000,4263000
2013-12-13,326,326,319,320,9000,2891000
2013-12-12,333,333,320,332,19000,6219000
