6302-T,東証1部,住友重,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,484,485,475,479,3112000,1487960000
2014-06-26,484,491,483,488,5094000,2485063000
2014-06-25,483,485,480,480,2485000,1196997000
2014-06-24,478,484,473,484,4048000,1942565000
2014-06-23,485,485,474,477,4275000,2043908000
2014-06-20,483,485,477,481,4068000,1956376000
2014-06-19,477,494,475,486,8810000,4293184000
2014-06-18,471,475,468,474,3787000,1788603000
2014-06-17,467,472,463,468,2437000,1139386000
2014-06-16,472,473,465,470,2720000,1276758000
2014-06-13,472,477,469,475,6787000,3214769000
2014-06-12,467,473,465,470,2950000,1385532000
2014-06-11,461,470,461,470,2278000,1066153000
2014-06-10,460,464,457,464,3088000,1427077000
2014-06-09,470,470,463,464,2898000,1349139000
2014-06-06,462,472,460,468,4783000,2235943000
2014-06-05,464,467,454,457,5699000,2619106000
2014-06-04,463,463,456,461,4121000,1894535000
2014-06-03,468,475,462,463,4030000,1887314000
2014-06-02,453,464,452,462,3164000,1458668000
2014-05-30,454,456,446,452,3706000,1673250000
2014-05-29,452,461,452,456,3004000,1374151000
2014-05-28,450,453,447,452,3198000,1440541000
2014-05-27,455,462,451,453,2709000,1234359000
2014-05-26,452,457,451,455,2869000,1302111000
2014-05-23,454,455,450,451,3520000,1591612000
2014-05-22,436,456,436,448,7900000,3546390000
2014-05-21,426,431,422,431,2536000,1082660000
2014-05-20,435,435,429,433,2097000,907272000
2014-05-19,436,441,434,435,3290000,1437934000
2014-05-16,437,439,432,436,3008000,1308566000
2014-05-15,432,442,432,441,4564000,1997853000
2014-05-14,435,438,431,435,4007000,1742836000
2014-05-13,437,439,434,437,3389000,1480871000
2014-05-12,428,436,427,430,5029000,2164162000
2014-05-09,421,427,415,424,6213000,2616548000
2014-05-08,424,426,421,423,3165000,1341104000
2014-05-07,431,431,419,421,5342000,2252728000
2014-05-02,426,433,426,433,4530000,1942998000
2014-05-01,431,435,428,431,4890000,2107214000
2014-04-30,445,446,430,434,5623000,2447563000
2014-04-28,448,451,442,448,2766000,1232874000
2014-04-25,452,459,448,451,4086000,1847531000
2014-04-24,452,457,448,449,2559000,1155590000
2014-04-23,450,456,447,451,3051000,1376874000
2014-04-22,451,455,446,446,3076000,1388028000
