6306-T,東証1部,日工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,527,527,516,524,73000,38158000
2014-06-26,521,528,521,527,97000,50920000
2014-06-25,519,520,517,518,59000,30602000
2014-06-24,520,525,517,519,64000,33295000
2014-06-23,516,523,516,520,72000,37379000
2014-06-20,518,519,514,516,84000,43285000
2014-06-19,522,528,520,523,62000,32479000
2014-06-18,527,535,520,524,75000,39434000
2014-06-17,511,537,511,537,142000,74381000
2014-06-16,512,516,510,512,69000,35363000
2014-06-13,515,521,512,516,157000,80821000
2014-06-12,505,509,503,506,50000,25280000
2014-06-11,501,511,499,509,111000,55922000
2014-06-10,497,504,494,497,105000,52296000
2014-06-09,498,502,495,496,78000,38801000
2014-06-06,496,502,496,498,53000,26383000
2014-06-05,502,505,496,496,68000,33919000
2014-06-04,496,507,492,500,125000,62393000
2014-06-03,496,499,490,495,203000,100356000
2014-06-02,463,495,455,490,233000,110961000
2014-05-30,456,461,449,456,82000,37406000
2014-05-29,450,459,450,454,70000,31664000
2014-05-28,445,460,444,457,116000,52929000
2014-05-27,440,444,427,440,96000,41780000
2014-05-26,435,446,427,434,49000,21189000
2014-05-23,407,424,407,423,91000,37880000
2014-05-22,389,412,388,407,61000,24403000
2014-05-21,393,393,384,386,36000,13954000
2014-05-20,402,402,392,393,44000,17394000
2014-05-19,406,409,395,396,39000,15700000
2014-05-16,418,419,400,405,90000,36645000
2014-05-15,424,438,423,424,44000,18811000
2014-05-14,426,433,420,426,64000,27388000
2014-05-13,435,435,426,426,59000,25392000
2014-05-12,429,433,425,427,95000,40673000
2014-05-09,432,442,425,429,104000,45149000
2014-05-08,428,438,427,429,64000,27568000
2014-05-07,442,447,425,430,40000,17389000
2014-05-02,444,444,434,443,28000,12322000
2014-05-01,440,447,437,444,64000,28206000
2014-04-30,445,448,435,440,26000,11466000
2014-04-28,447,450,434,445,63000,28030000
2014-04-25,436,450,436,447,54000,24015000
2014-04-24,434,436,434,435,22000,9569000
2014-04-23,429,440,429,433,32000,13835000
2014-04-22,433,440,429,429,50000,21747000
2014-04-21,436,440,431,433,36000,15680000
2014-04-18,433,437,432,436,44000,19091000
2014-04-17,444,451,439,441,50000,22218000
2014-04-16,428,450,428,444,59000,26045000
2014-04-15,433,445,426,429,40000,17456000
2014-04-14,425,430,425,425,29000,12404000
2014-04-11,417,432,416,425,54000,22932000
2014-04-10,435,435,420,422,89000,38068000
2014-04-09,445,454,429,432,80000,34996000
2014-04-08,447,449,444,445,76000,33937000
2014-04-07,452,454,448,450,72000,32507000
2014-04-04,465,466,457,460,58000,26853000
2014-04-03,481,481,465,466,91000,43265000
2014-04-02,488,488,481,481,63000,30469000
2014-04-01,487,487,481,486,81000,39289000
2014-03-31,472,485,467,481,102000,48645000
2014-03-28,463,470,455,469,97000,44990000
2014-03-27,470,470,446,463,120000,55211000
2014-03-26,468,478,466,470,93000,43784000
2014-03-25,452,464,452,460,89000,40917000
2014-03-24,418,455,418,450,154000,67873000
2014-03-20,428,428,416,418,66000,27739000
2014-03-19,442,449,431,434,67000,29402000
2014-03-18,441,441,434,441,67000,29357000
2014-03-17,451,451,434,439,95000,42046000
2014-03-14,470,470,450,451,208000,96096000
2014-03-13,471,479,471,477,77000,36572000
2014-03-12,475,477,467,473,201000,94882000
2014-03-11,485,486,472,475,250000,119762000
2014-03-10,502,503,472,478,375000,181274000
2014-03-07,514,514,491,502,174000,87441000
2014-03-06,526,526,511,515,54000,27932000
2014-03-05,521,527,513,525,82000,42702000
2014-03-04,509,518,506,515,57000,29113000
2014-03-03,525,526,502,519,59000,30381000
2014-02-28,528,531,525,526,84000,44304000
2014-02-27,545,555,526,528,71000,37949000
2014-02-26,561,561,548,548,51000,28351000
2014-02-25,550,566,550,561,37000,20700000
2014-02-24,548,561,545,548,42000,23180000
