6346-T,東証2部,キクカワ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,204,205,204,204,3000,613000
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,210,210,204,210,3000,624000
2014-06-20,210,210,210,210,5000,1050000
2014-06-19,-,-,-,-,0,0
2014-06-18,209,217,209,210,5000,1069000
2014-06-17,205,205,205,205,1000,205000
2014-06-16,202,205,202,203,8000,1621000
2014-06-13,200,202,200,202,3000,603000
2014-06-12,196,200,196,200,3000,596000
2014-06-11,196,196,196,196,1000,196000
2014-06-10,-,-,-,-,0,0
2014-06-09,195,197,195,197,5000,977000
2014-06-06,-,-,-,-,0,0
2014-06-05,200,202,200,202,2000,402000
2014-06-04,199,199,199,199,1000,199000
2014-06-03,198,198,194,194,9000,1771000
2014-06-02,197,197,197,197,7000,1379000
2014-05-30,-,-,-,-,0,0
2014-05-29,202,202,202,202,3000,606000
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,202,202,202,202,1000,202000
2014-05-22,-,-,-,-,0,0
2014-05-21,-,-,-,-,0,0
2014-05-20,200,200,200,200,5000,1000000
2014-05-19,-,-,-,-,0,0
2014-05-16,197,197,197,197,5000,985000
2014-05-15,192,192,192,192,1000,192000
2014-05-14,192,192,192,192,3000,576000
2014-05-13,192,192,190,190,5000,954000
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,192,192,192,192,3000,576000
2014-05-07,-,-,-,-,0,0
2014-05-02,195,195,195,195,3000,585000
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,196,196,195,195,2000,391000
2014-04-24,194,194,194,194,1000,194000
2014-04-23,196,196,193,193,4000,779000
2014-04-22,198,198,196,196,3000,592000
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,196,198,196,198,6000,1184000
2014-04-09,193,199,193,193,13000,2562000
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,196,196,196,196,2000,392000
2014-04-03,198,198,198,198,1000,198000
2014-04-02,199,199,199,199,2000,398000
2014-04-01,194,194,194,194,1000,194000
2014-03-31,195,195,195,195,2000,390000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,-,-,-,-,0,0
2014-03-24,188,191,188,191,4000,757000
2014-03-20,201,201,188,188,6000,1172000
2014-03-19,-,-,-,-,0,0
2014-03-18,202,202,202,202,1000,202000
2014-03-17,203,205,203,203,4000,815000
2014-03-14,-,-,-,-,0,0
2014-03-13,210,210,210,210,1000,210000
2014-03-12,-,-,-,-,0,0
2014-03-11,-,-,-,-,0,0
2014-03-10,211,211,211,211,1000,211000
2014-03-07,211,211,211,211,1000,211000
2014-03-06,212,212,212,212,1000,212000
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,213,229,213,213,5000,1086000
2014-02-28,-,-,-,-,0,0
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,213,213,213,213,1000,213000
2014-02-21,217,217,217,217,1000,217000
2014-02-20,212,212,210,210,3000,632000
2014-02-19,220,220,220,220,3000,660000
2014-02-18,214,236,214,236,5000,1121000
2014-02-17,-,-,-,-,0,0
2014-02-14,-,-,-,-,0,0
2014-02-13,208,213,208,208,8000,1669000
2014-02-12,215,215,213,213,10000,2148000
2014-02-10,222,222,222,222,1000,222000
2014-02-07,214,214,214,214,1000,214000
2014-02-06,-,-,-,-,0,0
2014-02-05,218,220,218,218,4000,874000
2014-02-04,213,236,213,234,6000,1347000
2014-02-03,221,229,221,229,2000,450000
2014-01-31,-,-,-,-,0,0
2014-01-30,227,227,227,227,3000,681000
2014-01-29,240,242,240,242,13000,3133000
2014-01-28,-,-,-,-,0,0
2014-01-27,-,-,-,-,0,0
2014-01-24,-,-,-,-,0,0
2014-01-23,233,238,233,238,6000,1403000
2014-01-22,-,-,-,-,0,0
2014-01-21,242,242,242,242,1000,242000
2014-01-20,241,242,241,242,2000,483000
2014-01-17,225,237,225,237,6000,1398000
2014-01-16,217,229,217,229,5000,1103000
2014-01-15,228,228,220,220,6000,1329000
2014-01-14,220,220,220,220,2000,440000
2014-01-10,-,-,-,-,0,0
2014-01-09,213,215,213,215,3000,642000
2014-01-08,-,-,-,-,0,0
2014-01-07,211,212,211,211,12000,2533000
2014-01-06,216,216,216,216,1000,216000
2013-12-30,217,217,217,217,5000,1085000
2013-12-27,-,-,-,-,0,0
2013-12-26,-,-,-,-,0,0
2013-12-25,217,217,216,216,4000,866000
2013-12-24,223,223,217,220,38000,8407000
2013-12-20,223,223,223,223,3000,669000
2013-12-19,223,223,223,223,3000,669000
2013-12-18,223,223,223,223,6000,1338000
2013-12-17,223,223,223,223,4000,892000
2013-12-16,221,223,221,223,13000,2897000
2013-12-13,225,225,224,225,9000,2024000
2013-12-12,225,225,224,225,15000,3366000
2013-12-11,224,224,223,224,13000,2907000
2013-12-10,227,227,225,225,6000,1354000
2013-12-09,226,230,223,223,22000,4991000
2013-12-06,223,223,223,223,7000,1561000
2013-12-05,222,222,222,222,1000,222000
2013-12-04,225,225,225,225,9000,2025000
2013-12-03,222,222,222,222,1000,222000
2013-12-02,229,229,229,229,3000,687000
2013-11-29,221,221,221,221,3000,663000
2013-11-28,222,222,222,222,2000,444000
2013-11-27,228,228,225,227,4000,908000
2013-11-26,220,220,220,220,1000,220000
2013-11-25,228,228,222,225,6000,1356000
2013-11-22,225,228,225,228,4000,906000
2013-11-21,-,-,-,-,0,0
2013-11-20,-,-,-,-,0,0
2013-11-19,224,225,223,223,19000,4245000
2013-11-18,-,-,-,-,0,0
2013-11-15,-,-,-,-,0,0
2013-11-14,222,222,222,222,10000,2220000
2013-11-13,230,230,230,230,1000,230000
2013-11-12,230,230,230,230,1000,230000
2013-11-11,222,222,222,222,1000,222000
2013-11-08,-,-,-,-,0,0
2013-11-07,223,223,222,222,2000,445000
2013-11-06,227,227,227,227,3000,681000
2013-11-05,227,227,227,227,10000,2270000
2013-11-01,-,-,-,-,0,0
2013-10-31,227,227,227,227,2000,454000
2013-10-30,227,235,225,227,12000,2768000
2013-10-29,233,233,233,233,1000,233000
2013-10-28,-,-,-,-,0,0
2013-10-25,-,-,-,-,0,0
2013-10-24,226,227,226,227,6000,1361000
2013-10-23,223,223,223,223,1000,223000
2013-10-22,229,229,229,229,1000,229000
2013-10-21,223,223,223,223,6000,1338000
2013-10-18,-,-,-,-,0,0
2013-10-17,-,-,-,-,0,0
2013-10-16,-,-,-,-,0,0
2013-10-15,-,-,-,-,0,0
2013-10-11,-,-,-,-,0,0
2013-10-10,-,-,-,-,0,0
2013-10-09,220,228,220,228,2000,448000
2013-10-08,227,227,206,215,15000,3264000
2013-10-07,227,227,227,227,7000,1589000
2013-10-04,229,229,228,228,2000,457000
2013-10-03,236,236,236,236,1000,236000
2013-10-02,229,229,229,229,14000,3206000
2013-10-01,-,-,-,-,0,0
2013-09-30,229,229,229,229,1000,229000
2013-09-27,229,229,229,229,1000,229000
2013-09-26,-,-,-,-,0,0
2013-09-25,-,-,-,-,0,0
2013-09-24,229,230,229,230,2000,459000
2013-09-20,229,229,229,229,1000,229000
2013-09-19,230,230,229,229,4000,918000
2013-09-18,230,230,229,229,4000,917000
2013-09-17,235,235,227,233,11000,2553000
2013-09-13,240,240,240,240,2000,480000
2013-09-12,240,240,240,240,10000,2400000
2013-09-11,241,241,240,240,4000,961000
2013-09-10,235,240,235,236,38000,9094000
2013-09-09,232,235,231,231,9000,2089000
2013-09-06,234,234,231,231,4000,927000
2013-09-05,230,231,230,231,49000,11283000
2013-09-04,222,225,222,225,52000,11697000
2013-09-03,216,220,216,220,6000,1300000
2013-09-02,216,223,216,216,18000,3945000
2013-08-30,215,217,215,217,7000,1508000
2013-08-29,211,215,211,215,4000,856000
2013-08-28,210,210,210,210,7000,1470000
2013-08-27,210,210,210,210,10000,2100000
2013-08-26,210,210,210,210,1000,210000
2013-08-23,210,210,208,208,3000,628000
2013-08-22,210,216,210,216,32000,6783000
2013-08-21,205,205,205,205,2000,410000
2013-08-20,-,-,-,-,0,0
2013-08-19,206,206,206,206,3000,618000
2013-08-16,-,-,-,-,0,0
2013-08-15,208,212,208,210,8000,1674000
2013-08-14,203,203,203,203,1000,203000
2013-08-13,205,205,205,205,1000,205000
2013-08-12,-,-,-,-,0,0
2013-08-09,-,-,-,-,0,0
2013-08-08,205,205,205,205,1000,205000
2013-08-07,-,-,-,-,0,0
2013-08-06,-,-,-,-,0,0
2013-08-05,205,205,205,205,1000,205000
2013-08-02,-,-,-,-,0,0
2013-08-01,200,200,200,200,10000,2000000
2013-07-31,200,205,200,205,3000,605000
2013-07-30,201,205,201,205,6000,1218000
2013-07-29,204,205,204,205,2000,409000
2013-07-26,205,205,203,203,4000,814000
2013-07-25,203,203,203,203,1000,203000
2013-07-24,-,-,-,-,0,0
2013-07-23,200,203,198,203,6000,1201000
2013-07-22,200,200,200,200,1000,200000
2013-07-19,200,200,200,200,1000,200000
2013-07-18,200,200,200,200,8000,1600000
2013-07-17,199,199,199,199,1000,199000
2013-07-16,-,-,-,-,0,0
