6358-T,東証1部,酒井重,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,339,339,328,335,304000,101142000
2014-06-26,340,343,339,342,166000,56533000
2014-06-25,341,348,340,341,194000,66720000
2014-06-24,348,348,341,346,264000,91143000
2014-06-23,348,357,348,351,368000,129757000
2014-06-20,346,347,342,347,228000,78546000
2014-06-19,345,346,341,345,172000,59139000
2014-06-18,348,348,340,344,169000,58079000
2014-06-17,341,347,339,347,296000,101595000
2014-06-16,339,342,337,341,266000,90470000
2014-06-13,342,342,337,341,279000,94951000
2014-06-12,338,341,336,340,83000,28087000
2014-06-11,338,342,338,341,152000,51626000
2014-06-10,346,346,336,342,263000,89741000
2014-06-09,339,346,337,344,421000,144144000
2014-06-06,331,336,330,334,169000,56320000
2014-06-05,335,338,328,330,303000,100985000
2014-06-04,341,342,327,332,746000,250609000
2014-06-03,319,340,317,339,1179000,389797000
2014-06-02,311,316,309,314,177000,55379000
2014-05-30,311,311,307,309,161000,49789000
2014-05-29,309,311,306,308,122000,37622000
2014-05-28,307,313,307,309,277000,85938000
2014-05-27,310,312,307,307,205000,63265000
2014-05-26,311,313,308,311,205000,63657000
2014-05-23,301,309,301,307,229000,70131000
2014-05-22,304,305,299,303,197000,59621000
2014-05-21,290,299,289,298,296000,87476000
2014-05-20,300,303,294,296,410000,121721000
2014-05-19,321,321,300,303,568000,175513000
2014-05-16,321,328,318,321,1234000,397713000
2014-05-15,350,362,350,358,319000,113365000
2014-05-14,355,359,354,357,246000,87513000
2014-05-13,363,364,356,358,191000,68551000
2014-05-12,365,365,356,356,173000,62281000
2014-05-09,369,372,361,365,320000,117017000
2014-05-08,374,377,370,372,184000,68553000
2014-05-07,371,376,369,374,291000,108381000
2014-05-02,370,377,366,377,307000,114274000
2014-05-01,357,370,355,370,236000,85803000
2014-04-30,374,375,360,362,341000,125045000
2014-04-28,373,375,371,373,316000,117820000
2014-04-25,372,379,368,379,257000,96298000
2014-04-24,375,380,371,374,407000,152857000
2014-04-23,370,375,365,375,465000,172170000
2014-04-22,358,372,354,367,746000,271634000
2014-04-21,351,356,350,351,280000,98800000
2014-04-18,341,348,339,347,216000,74352000
2014-04-17,339,344,339,342,172000,58612000
2014-04-16,330,343,330,341,253000,85308000
2014-04-15,333,337,327,328,180000,59475000
2014-04-14,330,337,329,332,111000,36868000
2014-04-11,323,334,323,331,229000,75313000
2014-04-10,349,354,332,335,335000,114169000
2014-04-09,338,348,337,345,294000,100602000
2014-04-08,350,350,341,345,242000,83717000
2014-04-07,356,356,352,355,198000,70180000
2014-04-04,352,361,350,358,218000,77766000
2014-04-03,361,363,353,353,354000,126271000
2014-04-02,365,368,362,364,223000,81427000
2014-04-01,356,364,354,364,251000,90465000
2014-03-31,352,356,343,356,255000,89452000
2014-03-28,349,350,336,347,315000,108092000
2014-03-27,333,346,329,345,307000,103360000
2014-03-26,330,333,329,332,238000,78786000
2014-03-25,326,334,325,327,263000,86661000
2014-03-24,330,337,324,324,283000,93491000
2014-03-20,346,346,319,324,480000,158583000
2014-03-19,358,359,346,347,256000,89961000
2014-03-18,358,362,356,358,86000,30795000
2014-03-17,359,361,345,349,187000,65950000
2014-03-14,364,368,357,359,307000,111276000
2014-03-13,374,375,372,372,137000,51220000
2014-03-12,377,380,373,374,107000,40171000
2014-03-11,383,383,379,382,149000,56764000
2014-03-10,381,387,378,383,245000,93837000
2014-03-07,381,383,376,380,190000,72185000
2014-03-06,373,379,371,377,139000,52173000
2014-03-05,380,380,372,372,190000,71459000
2014-03-04,365,375,365,375,147000,54501000
2014-03-03,373,375,368,372,171000,63564000
2014-02-28,379,384,372,378,318000,119614000
2014-02-27,384,385,378,379,287000,109412000
2014-02-26,396,398,386,386,401000,157520000
2014-02-25,398,398,393,395,130000,51315000
2014-02-24,394,398,388,393,310000,122223000
2014-02-21,391,396,390,394,300000,117796000
2014-02-20,390,394,385,387,246000,95701000
2014-02-19,390,394,387,390,391000,152395000
2014-02-18,397,397,385,388,483000,189135000
2014-02-17,384,395,378,393,524000,203714000
2014-02-14,385,397,376,384,856000,329740000
2014-02-13,387,396,386,389,645000,251999000
2014-02-12,378,401,378,394,2053000,804570000
2014-02-10,365,366,359,364,233000,84646000
2014-02-07,353,358,349,357,213000,75058000
2014-02-06,331,351,331,345,367000,125981000
2014-02-05,329,338,321,331,495000,163540000
2014-02-04,310,330,309,320,592000,188777000
2014-02-03,360,360,343,345,520000,182478000
2014-01-31,373,374,362,368,312000,114570000
2014-01-30,373,375,368,371,359000,133287000
2014-01-29,373,383,373,381,339000,128086000
2014-01-28,372,378,369,369,293000,109101000
2014-01-27,376,379,371,371,561000,209576000
2014-01-24,384,394,383,388,248000,96244000
2014-01-23,399,399,389,390,369000,145715000
2014-01-22,399,399,393,397,246000,97455000
2014-01-21,400,403,397,397,211000,84225000
2014-01-20,404,405,398,400,268000,107690000
2014-01-17,395,405,395,403,445000,178539000
2014-01-16,400,402,393,395,228000,90364000
2014-01-15,398,399,392,396,243000,96011000
2014-01-14,396,397,391,392,281000,110626000
2014-01-10,398,404,394,404,337000,134331000
2014-01-09,402,402,395,398,234000,93053000
2014-01-08,405,409,400,403,576000,232803000
2014-01-07,406,408,401,401,366000,147831000
2014-01-06,409,410,402,405,557000,226177000
2013-12-30,402,407,392,406,900000,362167000
2013-12-27,391,400,389,400,680000,267855000
2013-12-26,382,392,382,390,660000,255387000
2013-12-25,366,376,365,376,591000,218927000
2013-12-24,377,379,370,372,421000,157893000
2013-12-20,377,382,375,375,549000,207332000
2013-12-19,378,380,371,373,370000,138541000
2013-12-18,376,376,368,371,242000,89909000
2013-12-17,363,376,363,375,510000,189228000
2013-12-16,372,375,360,360,483000,176431000
