6378-T,東証1部,木村化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,513,513,493,501,67700,34164600
2014-06-26,500,516,498,508,136500,69585900
2014-06-25,500,502,498,498,41500,20732200
2014-06-24,502,502,494,498,49200,24508200
2014-06-23,513,513,500,502,55300,27989100
2014-06-20,495,508,489,497,120900,60089700
2014-06-19,488,495,487,493,89800,44102100
2014-06-18,489,489,486,488,36400,17739000
2014-06-17,487,490,485,486,48300,23508000
2014-06-16,490,492,486,486,46300,22605200
2014-06-13,479,490,479,487,92900,44944000
2014-06-12,475,484,475,479,32000,15374400
2014-06-11,477,480,476,478,35100,16790100
2014-06-10,480,484,475,478,35400,16959800
2014-06-09,481,484,474,476,30700,14667900
2014-06-06,470,475,470,473,33300,15731600
2014-06-05,474,479,471,473,26300,12464200
2014-06-04,475,476,470,474,26600,12584700
2014-06-03,482,486,474,477,55400,26570900
2014-06-02,479,483,478,481,70100,33685300
2014-05-30,475,492,474,478,97200,46858100
2014-05-29,478,482,472,475,51400,24520100
2014-05-28,470,480,468,474,62200,29490700
2014-05-27,467,468,465,466,35200,16442400
2014-05-26,467,469,464,467,41200,19229800
2014-05-23,462,465,461,464,31700,14678400
2014-05-22,450,463,447,461,26500,12097200
2014-05-21,455,460,455,459,17800,8123000
2014-05-20,460,465,460,460,15500,7146800
2014-05-19,459,470,459,463,33300,15474300
2014-05-16,453,465,453,464,37500,17318000
2014-05-15,432,462,432,462,92100,41519400
2014-05-14,452,455,450,451,28500,12881300
2014-05-13,452,460,452,457,23300,10612400
2014-05-12,459,460,451,452,28700,13082500
2014-05-09,454,462,454,455,22700,10350800
2014-05-08,456,460,456,456,44900,20519800
2014-05-07,457,469,455,455,31500,14420800
2014-05-02,461,469,460,463,39700,18408300
2014-05-01,468,470,460,469,29500,13766100
2014-04-30,465,468,460,465,31900,14793500
2014-04-28,460,471,460,471,28000,13026000
2014-04-25,459,464,459,463,32800,15118500
2014-04-24,458,463,457,459,35800,16449400
2014-04-23,457,464,456,461,17700,8126500
2014-04-22,462,470,459,460,32500,15072400
2014-04-21,473,474,460,465,18400,8559100
2014-04-18,475,475,467,471,21500,10113300
2014-04-17,476,495,461,472,104100,49359200
2014-04-16,454,460,453,460,23200,10585800
2014-04-15,451,457,446,446,29000,13009500
2014-04-14,454,456,443,446,29100,13097300
2014-04-11,451,463,451,454,49800,22651900
2014-04-10,467,470,460,462,33200,15394500
2014-04-09,464,467,462,462,45700,21182800
2014-04-08,481,485,474,474,44200,21119300
2014-04-07,481,484,476,480,31100,14945700
2014-04-04,470,498,470,487,96000,46366200
2014-04-03,480,484,471,472,68100,32397000
2014-04-02,479,495,479,483,58000,28290700
2014-04-01,480,480,468,479,29500,14063000
2014-03-31,473,475,463,474,40500,19019100
2014-03-28,466,468,457,466,68600,31794000
2014-03-27,462,468,455,463,96500,44351600
2014-03-26,462,472,462,469,51300,24012300
2014-03-25,475,479,466,467,59000,27925200
2014-03-24,457,478,457,471,126600,59668200
2014-03-20,475,475,455,457,76400,35240500
2014-03-19,469,478,460,467,60400,28225700
2014-03-18,472,475,459,468,120800,56439400
2014-03-17,494,495,455,464,177700,84281600
2014-03-14,502,512,495,498,139500,69834100
2014-03-13,502,523,500,517,159400,81649400
2014-03-12,507,507,499,499,50400,25263500
2014-03-11,502,509,500,505,31900,16090400
2014-03-10,501,507,500,501,34100,17124200
2014-03-07,515,515,501,503,54200,27424300
2014-03-06,500,509,498,508,49100,24745000
2014-03-05,501,505,495,498,65600,32767200
2014-03-04,488,502,488,492,73300,36224600
2014-03-03,495,503,488,495,93100,45956200
2014-02-28,522,522,503,507,99500,50628500
2014-02-27,524,530,510,521,172600,89811100
2014-02-26,528,550,522,533,669700,360611900
2014-02-25,513,518,506,518,179600,92058500
2014-02-24,501,510,496,505,173200,87160700
2014-02-21,488,503,488,501,127300,63316900
2014-02-20,488,498,485,489,86600,42635100
2014-02-19,493,500,485,488,79300,38988900
2014-02-18,486,506,483,495,169800,83496400
2014-02-17,467,499,460,494,335000,161660000
2014-02-14,470,472,456,459,86300,39811000
2014-02-13,481,484,467,468,96700,45724900
2014-02-12,497,497,481,482,84600,41335300
2014-02-10,486,491,475,488,152000,73497300
2014-02-07,462,487,460,486,241700,114782600
2014-02-06,432,465,428,454,232200,104226600
2014-02-05,451,459,420,438,346600,153321000
2014-02-04,450,453,432,435,329300,146158600
2014-02-03,490,499,475,476,196500,94439500
2014-01-31,492,509,491,496,133100,66211400
2014-01-30,510,511,499,502,174300,87660100
2014-01-29,515,524,514,518,135800,70340500
2014-01-28,524,538,506,506,286800,149150200
2014-01-27,532,550,526,531,393600,210153300
2014-01-24,551,576,548,552,949200,527402200
2014-01-23,580,630,547,566,4408400,2571151500
2014-01-22,611,654,571,586,11865800,7314258900
2014-01-21,486,565,486,565,1325900,711546300
2014-01-20,476,490,475,485,100100,48072200
2014-01-17,472,479,472,474,46500,22043100
2014-01-16,484,488,470,473,77100,36891000
