6382-T,東証2部,トリニ工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,470,475,470,474,4000,1893000
2014-06-26,464,464,460,460,3000,1388000
2014-06-25,465,465,452,452,7000,3185000
2014-06-24,450,466,450,466,99000,44604000
2014-06-23,441,450,441,450,194000,87263000
2014-06-20,-,-,-,-,0,0
2014-06-19,425,425,425,425,4000,1700000
2014-06-18,423,425,423,425,4000,1696000
2014-06-17,420,423,420,423,2000,843000
2014-06-16,420,420,420,420,1000,420000
2014-06-13,424,424,424,424,1000,424000
2014-06-12,425,425,424,424,2000,849000
2014-06-11,420,421,420,421,3000,1261000
2014-06-10,420,420,420,420,2000,840000
2014-06-09,420,420,420,420,7000,2940000
2014-06-06,415,420,415,420,4000,1674000
2014-06-05,417,417,414,414,3000,1245000
2014-06-04,414,414,413,413,3000,1240000
2014-06-03,413,417,413,414,4000,1657000
2014-06-02,409,419,409,419,4000,1649000
2014-05-30,427,427,412,412,7000,2906000
2014-05-29,423,423,423,423,1000,423000
2014-05-28,415,415,415,415,5000,2075000
2014-05-27,423,423,414,414,8000,3360000
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,-,-,-,-,0,0
2014-05-21,420,431,420,431,17000,7217000
2014-05-20,-,-,-,-,0,0
2014-05-19,411,411,411,411,5000,2055000
2014-05-16,-,-,-,-,0,0
2014-05-15,410,410,410,410,1000,410000
2014-05-14,415,415,415,415,3000,1245000
2014-05-13,421,421,421,421,1000,421000
2014-05-12,-,-,-,-,0,0
2014-05-09,423,429,423,429,2000,852000
2014-05-08,431,431,423,423,4000,1715000
2014-05-07,439,439,439,439,1000,439000
2014-05-02,-,-,-,-,0,0
2014-05-01,432,432,432,432,1000,432000
2014-04-30,440,440,440,440,2000,880000
2014-04-28,449,449,441,447,6000,2683000
2014-04-25,440,440,440,440,2000,880000
2014-04-24,438,438,435,435,6000,2617000
2014-04-23,-,-,-,-,0,0
2014-04-22,435,441,435,440,4000,1751000
2014-04-21,449,450,431,431,13000,5726000
2014-04-18,434,449,434,449,7000,3070000
2014-04-17,432,435,430,430,19000,8195000
2014-04-16,432,432,432,432,1000,432000
2014-04-15,425,430,425,425,4000,1709000
2014-04-14,410,417,410,417,2000,827000
2014-04-11,422,422,418,418,9000,3768000
2014-04-10,430,430,430,430,2000,860000
2014-04-09,448,448,430,430,6000,2621000
2014-04-08,448,448,448,448,1000,448000
2014-04-07,446,446,446,446,1000,446000
2014-04-04,442,446,440,446,18000,7974000
2014-04-03,450,458,450,450,4000,1808000
2014-04-02,443,450,442,450,12000,5349000
2014-04-01,444,451,444,451,3000,1346000
2014-03-31,443,443,437,443,6000,2646000
2014-03-28,443,443,435,443,10000,4384000
2014-03-27,451,451,451,451,2000,902000
2014-03-26,451,451,451,451,1000,451000
2014-03-25,-,-,-,-,0,0
2014-03-24,439,439,437,437,2000,876000
2014-03-20,460,460,422,430,8000,3532000
2014-03-19,465,465,465,465,1000,465000
2014-03-18,468,468,465,465,2000,933000
2014-03-17,436,444,436,444,5000,2204000
2014-03-14,461,461,436,436,7000,3150000
2014-03-13,-,-,-,-,0,0
2014-03-12,461,461,461,461,1000,461000
2014-03-11,460,460,460,460,2000,920000
2014-03-10,-,-,-,-,0,0
2014-03-07,462,462,460,460,2000,922000
2014-03-06,469,469,469,469,1000,469000
2014-03-05,460,480,460,480,7000,3261000
2014-03-04,452,452,452,452,1000,452000
2014-03-03,447,447,441,447,3000,1335000
2014-02-28,451,451,447,447,5000,2249000
2014-02-27,459,459,459,459,1000,459000
2014-02-26,444,452,444,452,2000,896000
2014-02-25,442,445,442,444,12000,5318000
2014-02-24,433,433,433,433,1000,433000
2014-02-21,437,438,437,438,6000,2623000
2014-02-20,437,437,437,437,1000,437000
2014-02-19,434,444,434,444,3000,1317000
2014-02-18,440,442,434,442,5000,2190000
2014-02-17,425,432,425,432,4000,1714000
2014-02-14,451,451,426,427,12000,5288000
2014-02-13,467,467,467,467,1000,467000
2014-02-12,451,459,451,459,2000,910000
2014-02-10,-,-,-,-,0,0
2014-02-07,439,450,439,443,5000,2216000
2014-02-06,427,435,427,431,3000,1293000
2014-02-05,440,440,417,421,6000,2543000
2014-02-04,442,442,438,438,3000,1322000
2014-02-03,450,450,450,450,1000,450000
2014-01-31,500,500,500,500,1000,500000
2014-01-30,-,-,-,-,0,0
2014-01-29,488,500,485,500,22000,10869000
2014-01-28,-,-,-,-,0,0
2014-01-27,-,-,-,-,0,0
2014-01-24,480,480,480,480,1000,480000
2014-01-23,-,-,-,-,0,0
2014-01-22,510,530,510,520,5000,2580000
2014-01-21,510,510,510,510,2000,1020000
2014-01-20,480,510,480,510,10000,5060000
2014-01-17,480,480,480,480,4000,1920000
2014-01-16,468,470,467,470,4000,1873000
2014-01-15,460,460,460,460,5000,2300000
2014-01-14,440,440,440,440,1000,440000
2014-01-10,440,440,440,440,14000,6160000
2014-01-09,429,431,429,430,3000,1290000
2014-01-08,437,437,437,437,1000,437000
2014-01-07,438,438,438,438,1000,438000
2014-01-06,424,424,424,424,2000,848000
2013-12-30,423,424,422,424,6000,2538000
2013-12-27,419,419,411,415,7000,2889000
2013-12-26,414,420,414,420,3000,1248000
2013-12-25,410,412,410,412,14000,5750000
2013-12-24,410,412,409,409,33000,13528000
2013-12-20,413,413,410,412,18000,7400000
2013-12-19,412,417,412,412,20000,8256000
2013-12-18,417,418,409,412,9000,3719000
2013-12-17,410,410,410,410,2000,820000
2013-12-16,415,415,408,410,12000,4933000
2013-12-13,420,420,413,413,8000,3323000
2013-12-12,414,415,413,415,4000,1657000
2013-12-11,419,421,415,421,12000,5010000
2013-12-10,418,419,415,419,10000,4168000
2013-12-09,425,425,418,418,7000,2944000
2013-12-06,420,420,418,418,7000,2931000
2013-12-05,421,421,419,419,3000,1260000
2013-12-04,421,421,418,421,4000,1680000
2013-12-03,420,421,418,421,20000,8399000
2013-12-02,414,414,412,414,7000,2890000
2013-11-29,410,412,410,412,3000,1234000
2013-11-28,-,-,-,-,0,0
2013-11-27,405,405,404,404,3000,1214000
2013-11-26,410,410,408,408,8000,3276000
2013-11-25,412,412,412,412,1000,412000
2013-11-22,410,414,410,410,4000,1644000
2013-11-21,402,410,402,410,4000,1616000
2013-11-20,403,410,403,404,3000,1217000
2013-11-19,408,408,408,408,1000,408000
2013-11-18,-,-,-,-,0,0
2013-11-15,406,407,402,406,14000,5671000
2013-11-14,-,-,-,-,0,0
2013-11-13,396,406,396,406,6000,2398000
2013-11-12,392,400,392,395,7000,2765000
2013-11-11,-,-,-,-,0,0
2013-11-08,395,395,395,395,3000,1185000
2013-11-07,410,410,403,403,3000,1223000
2013-11-06,400,402,400,400,4000,1602000
2013-11-05,-,-,-,-,0,0
2013-11-01,425,428,412,412,9000,3795000
2013-10-31,420,423,420,420,4000,1683000
2013-10-30,410,420,409,420,49000,20415000
2013-10-29,413,416,413,413,6000,2485000
2013-10-28,419,419,408,408,2000,827000
2013-10-25,401,415,401,408,9000,3704000
2013-10-24,-,-,-,-,0,0
2013-10-23,411,418,409,409,3000,1238000
2013-10-22,414,416,414,416,10000,4153000
2013-10-21,409,418,407,415,9000,3708000
2013-10-18,404,409,403,409,15000,6085000
2013-10-17,403,403,403,403,2000,806000
2013-10-16,387,387,387,387,6000,2322000
2013-10-15,403,403,395,395,3000,1201000
2013-10-11,408,409,401,401,9000,3671000
2013-10-10,-,-,-,-,0,0
2013-10-09,402,402,398,400,3000,1200000
2013-10-08,373,387,373,387,17000,6452000
2013-10-07,390,390,390,390,1000,390000
2013-10-04,400,400,389,389,3000,1181000
2013-10-03,398,400,398,400,2000,798000
2013-10-02,411,419,390,390,21000,8634000
2013-10-01,379,410,379,402,26000,10336000
2013-09-30,378,378,375,375,4000,1509000
2013-09-27,361,370,361,362,9000,3289000
2013-09-26,-,-,-,-,0,0
2013-09-25,364,369,364,369,8000,2926000
2013-09-24,377,377,377,377,6000,2262000
2013-09-20,360,367,360,367,5000,1820000
2013-09-19,362,370,355,360,8000,2905000
2013-09-18,372,372,356,362,8000,2874000
2013-09-17,356,356,356,356,2000,712000
2013-09-13,355,355,355,355,2000,710000
2013-09-12,352,354,352,352,5000,1762000
2013-09-11,352,352,352,352,2000,704000
2013-09-10,360,361,350,350,13000,4627000
2013-09-09,360,360,360,360,2000,720000
2013-09-06,360,360,360,360,3000,1080000
2013-09-05,360,360,360,360,3000,1080000
2013-09-04,-,-,-,-,0,0
2013-09-03,360,360,360,360,10000,3600000
2013-09-02,360,360,360,360,2000,720000
2013-08-30,364,364,364,364,1000,364000
2013-08-29,359,359,358,358,2000,717000
2013-08-28,-,-,-,-,0,0
2013-08-27,355,362,355,362,3000,1072000
2013-08-26,363,363,363,363,1000,363000
2013-08-23,-,-,-,-,0,0
2013-08-22,-,-,-,-,0,0
2013-08-21,361,361,347,347,2000,708000
2013-08-20,369,369,369,369,1000,369000
2013-08-19,369,369,368,369,35000,12913000
2013-08-16,369,369,369,369,1000,369000
2013-08-15,360,369,360,369,4000,1467000
2013-08-14,-,-,-,-,0,0
2013-08-13,353,353,353,353,2000,706000
2013-08-12,-,-,-,-,0,0
2013-08-09,350,350,350,350,1000,350000
2013-08-08,-,-,-,-,0,0
2013-08-07,-,-,-,-,0,0
2013-08-06,-,-,-,-,0,0
2013-08-05,353,353,352,352,10000,3524000
2013-08-02,352,352,352,352,12000,4224000
2013-08-01,350,355,350,352,12000,4237000
2013-07-31,347,350,347,350,4000,1393000
2013-07-30,340,340,340,340,2000,680000
2013-07-29,-,-,-,-,0,0
2013-07-26,345,345,342,342,2000,687000
2013-07-25,346,346,346,346,3000,1038000
2013-07-24,346,346,346,346,1000,346000
2013-07-23,349,349,347,347,2000,696000
2013-07-22,-,-,-,-,0,0
2013-07-19,361,361,343,351,10000,3467000
2013-07-18,362,362,361,361,2000,723000
2013-07-17,351,351,346,346,6000,2092000
2013-07-16,371,371,356,356,4000,1443000
2013-07-12,355,355,355,355,1000,355000
2013-07-11,-,-,-,-,0,0
2013-07-10,-,-,-,-,0,0
2013-07-09,351,356,351,356,4000,1413000
2013-07-08,350,358,350,352,5000,1760000
2013-07-05,350,355,350,350,5000,1761000
2013-07-04,350,358,350,350,5000,1758000
2013-07-03,361,361,350,350,2000,711000
2013-07-02,349,352,345,345,15000,5230000
2013-07-01,-,-,-,-,0,0
2013-06-28,341,341,341,341,1000,341000
2013-06-27,340,340,340,340,1000,340000
2013-06-26,350,350,350,350,1000,350000
2013-06-25,-,-,-,-,0,0
2013-06-24,351,351,351,351,1000,351000
2013-06-21,337,344,337,344,10000,3405000
