6414-T,JQスタンダード,川重冷,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,536,536,535,535,10000,5359000
2014-06-20,540,543,527,527,13000,6952000
2014-06-19,538,538,538,538,2000,1076000
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,-,-,-,-,0,0
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,511,530,511,530,8000,4145000
2014-06-05,531,531,531,531,1000,531000
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,541,541,531,531,2000,1072000
2014-05-30,-,-,-,-,0,0
2014-05-29,547,547,547,547,4000,2188000
2014-05-28,-,-,-,-,0,0
2014-05-27,616,616,616,616,1000,616000
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,546,556,546,556,3000,1648000
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,513,513,513,513,1000,513000
2014-05-07,513,513,513,513,1000,513000
2014-05-02,570,570,570,570,2000,1140000
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,540,540,540,540,1000,540000
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,531,531,531,531,6000,3186000
2014-04-21,532,532,531,531,2000,1063000
2014-04-18,520,536,520,536,5000,2632000
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,510,510,500,500,2000,1010000
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,530,530,520,520,2000,1050000
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,560,560,560,560,2000,1120000
2014-04-03,565,565,565,565,1000,565000
2014-04-02,-,-,-,-,0,0
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,600,600,600,600,2000,1200000
2014-03-25,550,550,550,550,2000,1100000
2014-03-24,550,550,550,550,5000,2750000
2014-03-20,542,550,542,550,2000,1092000
2014-03-19,-,-,-,-,0,0
2014-03-18,543,543,543,543,1000,543000
2014-03-17,-,-,-,-,0,0
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,542,552,542,552,2000,1094000
2014-03-11,-,-,-,-,0,0
2014-03-10,-,-,-,-,0,0
2014-03-07,-,-,-,-,0,0
2014-03-06,-,-,-,-,0,0
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,-,-,-,-,0,0
2014-02-28,527,537,527,537,2000,1064000
2014-02-27,517,517,517,517,1000,517000
2014-02-26,-,-,-,-,0,0
2014-02-25,508,508,508,508,1000,508000
2014-02-24,540,544,540,544,7000,3784000
2014-02-21,524,534,524,530,3000,1588000
2014-02-20,525,525,525,525,1000,525000
2014-02-19,-,-,-,-,0,0
2014-02-18,-,-,-,-,0,0
2014-02-17,510,510,510,510,1000,510000
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,-,-,-,-,0,0
2014-02-07,-,-,-,-,0,0
2014-02-06,-,-,-,-,0,0
2014-02-05,-,-,-,-,0,0
2014-02-04,520,520,520,520,2000,1040000
2014-02-03,-,-,-,-,0,0
2014-01-31,-,-,-,-,0,0
2014-01-30,-,-,-,-,0,0
2014-01-29,-,-,-,-,0,0
2014-01-28,-,-,-,-,0,0
2014-01-27,531,531,531,531,1000,531000
2014-01-24,521,521,521,521,1000,521000
2014-01-23,-,-,-,-,0,0
2014-01-22,501,511,501,511,8000,4018000
2014-01-21,508,508,508,508,1000,508000
2014-01-20,505,505,505,505,2000,1010000
2014-01-17,-,-,-,-,0,0
2014-01-16,-,-,-,-,0,0
2014-01-15,497,497,497,497,1000,497000
2014-01-14,500,500,498,498,2000,998000
2014-01-10,-,-,-,-,0,0
2014-01-09,-,-,-,-,0,0
2014-01-08,-,-,-,-,0,0
2014-01-07,-,-,-,-,0,0
2014-01-06,-,-,-,-,0,0
2013-12-30,500,500,500,500,1000,500000
2013-12-27,-,-,-,-,0,0
2013-12-26,-,-,-,-,0,0
2013-12-25,-,-,-,-,0,0
2013-12-24,499,499,490,490,8000,3975000
2013-12-20,483,483,483,483,1000,483000
2013-12-19,505,505,499,499,6000,3019000
2013-12-18,498,498,498,498,1000,498000
2013-12-17,-,-,-,-,0,0
2013-12-16,-,-,-,-,0,0
2013-12-13,-,-,-,-,0,0
2013-12-12,-,-,-,-,0,0
2013-12-11,-,-,-,-,0,0
2013-12-10,-,-,-,-,0,0
2013-12-09,-,-,-,-,0,0
2013-12-06,498,498,498,498,2000,996000
2013-12-05,-,-,-,-,0,0
2013-12-04,-,-,-,-,0,0
2013-12-03,-,-,-,-,0,0
2013-12-02,-,-,-,-,0,0
2013-11-29,-,-,-,-,0,0
2013-11-28,-,-,-,-,0,0
2013-11-27,490,490,490,490,1000,490000
2013-11-26,-,-,-,-,0,0
2013-11-25,-,-,-,-,0,0
2013-11-22,490,490,490,490,8000,3920000
2013-11-21,490,490,490,490,1000,490000
2013-11-20,489,489,489,489,1000,489000
2013-11-19,-,-,-,-,0,0
2013-11-18,490,490,490,490,1000,490000
2013-11-15,-,-,-,-,0,0
2013-11-14,-,-,-,-,0,0
2013-11-13,-,-,-,-,0,0
2013-11-12,-,-,-,-,0,0
2013-11-11,493,493,493,493,1000,493000
2013-11-08,-,-,-,-,0,0
2013-11-07,491,497,491,497,4000,1970000
2013-11-06,-,-,-,-,0,0
