6419-T,東証1部,マース,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1951,1963,1950,1956,18800,36750200
2014-06-26,1964,1972,1948,1956,8400,16452500
2014-06-25,1973,1985,1952,1952,15000,29484000
2014-06-24,1960,1989,1960,1973,26600,52592900
2014-06-23,1980,1980,1957,1973,26800,52855200
2014-06-20,1965,1980,1956,1980,39400,77660700
2014-06-19,1954,1961,1936,1958,19700,38489000
2014-06-18,1951,1954,1936,1949,23300,45297200
2014-06-17,1932,1970,1918,1969,38500,75054700
2014-06-16,1937,1937,1917,1918,13500,26027800
2014-06-13,1924,1935,1911,1935,31500,60646000
2014-06-12,1910,1912,1900,1904,9100,17349300
2014-06-11,1902,1914,1901,1910,12400,23656400
2014-06-10,1912,1920,1900,1902,11200,21370400
2014-06-09,1915,1923,1909,1915,9200,17633700
2014-06-06,1904,1914,1898,1914,12600,24038000
2014-06-05,1904,1907,1897,1904,7500,14258000
2014-06-04,1899,1905,1892,1904,16300,30967400
2014-06-03,1908,1909,1895,1900,6600,12545400
2014-06-02,1880,1905,1880,1891,18900,35776900
2014-05-30,1885,1892,1880,1885,24100,45440400
2014-05-29,1900,1905,1885,1885,27800,52600000
2014-05-28,1913,1914,1898,1905,13600,25898900
2014-05-27,1900,1928,1900,1913,12300,23578600
2014-05-26,1910,1912,1899,1906,13000,24756800
2014-05-23,1900,1928,1885,1890,52600,99876700
2014-05-22,1922,1944,1916,1935,24200,46772700
2014-05-21,1917,1921,1895,1919,21900,41756700
2014-05-20,1945,1965,1910,1921,37500,72380900
2014-05-19,1932,1965,1932,1934,16400,31985100
2014-05-16,1955,1972,1936,1941,25200,49078100
2014-05-15,1955,1996,1952,1995,30800,60726100
2014-05-14,1970,2000,1965,1995,80800,160823000
2014-05-13,1893,1979,1893,1973,119600,233748000
2014-05-12,1873,1892,1852,1853,26500,49543600
2014-05-09,1860,1902,1860,1899,18900,35740400
2014-05-08,1851,1884,1851,1872,20500,38359600
2014-05-07,1904,1904,1847,1851,37400,69676700
2014-05-02,1905,1928,1905,1915,12700,24351600
2014-05-01,1905,1929,1905,1920,17200,32988600
2014-04-30,1910,1939,1907,1907,24300,46666800
2014-04-28,1907,1917,1893,1910,26600,50790400
2014-04-25,1925,1933,1904,1925,17200,33043200
2014-04-24,1941,1959,1885,1904,63800,122901800
2014-04-23,1918,1943,1914,1940,34000,65548500
2014-04-22,1928,1929,1905,1913,16500,31609800
2014-04-21,1908,1937,1906,1928,55600,107129600
2014-04-18,1909,1909,1886,1908,17500,33226600
2014-04-17,1900,1908,1888,1900,26200,49717900
2014-04-16,1835,1904,1835,1904,74900,141226300
2014-04-15,1847,1856,1819,1824,30100,55118500
2014-04-14,1847,1872,1845,1850,35200,65395300
2014-04-11,1810,1855,1805,1847,49700,91152000
2014-04-10,1830,1844,1824,1832,36300,66539000
2014-04-09,1848,1871,1814,1818,62300,114301800
2014-04-08,1897,1913,1861,1865,68100,128145200
2014-04-07,1900,1900,1865,1866,34800,65403300
2014-04-04,1935,1935,1917,1918,12200,23453800
2014-04-03,1930,1942,1915,1935,35800,69149900
2014-04-02,1929,1934,1916,1923,32100,61835700
