6436-T,東証1部,アマノ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1118,1125,1104,1115,166500,185732200
2014-06-26,1125,1129,1116,1118,82200,92203300
2014-06-25,1111,1122,1111,1117,65700,73407300
2014-06-24,1110,1122,1102,1118,126500,141051400
2014-06-23,1130,1134,1101,1110,197700,220302200
2014-06-20,1108,1136,1104,1133,374200,420882500
2014-06-19,1101,1115,1101,1108,251000,278286300
2014-06-18,1112,1117,1101,1104,168400,186841400
2014-06-17,1109,1118,1078,1113,363000,401229100
2014-06-16,1055,1104,1052,1102,479800,522975400
2014-06-13,1028,1054,1028,1051,162400,168605100
2014-06-12,1044,1047,1034,1044,132000,137537400
2014-06-11,1035,1051,1034,1050,168600,175945100
2014-06-10,1035,1038,1029,1031,173600,179209500
2014-06-09,1037,1041,1025,1028,96800,99931100
2014-06-06,1022,1032,1020,1024,164400,168414100
2014-06-05,1028,1033,1019,1027,149200,152830900
2014-06-04,1039,1039,1011,1019,215900,220156000
2014-06-03,1033,1046,1026,1040,186600,193795500
2014-06-02,1030,1030,1009,1019,115100,117150200
2014-05-30,986,1016,983,1012,237500,238398900
2014-05-29,986,986,975,982,84300,82641400
2014-05-28,983,990,978,986,125000,123200000
2014-05-27,979,987,976,977,74200,72812400
2014-05-26,974,980,967,980,55700,54257900
2014-05-23,955,967,954,961,141300,135753400
2014-05-22,950,957,941,948,163800,155012500
2014-05-21,951,954,943,948,92600,87944500
2014-05-20,958,966,950,957,74500,71457000
2014-05-19,957,959,951,952,94000,89670300
2014-05-16,960,965,950,957,160400,153341500
2014-05-15,972,982,965,979,126000,122435000
2014-05-14,969,983,950,980,158300,154300800
2014-05-13,957,970,955,969,105300,101548100
2014-05-12,963,964,946,947,190200,181094000
2014-05-09,982,990,952,955,268500,259220100
2014-05-08,945,994,940,983,154700,149897700
2014-05-07,970,970,950,951,144700,137921700
2014-05-02,984,994,976,980,71000,69641600
2014-05-01,989,997,977,997,103600,102494600
2014-04-30,967,988,967,984,146700,143666400
2014-04-28,979,979,962,969,111300,107645100
2014-04-25,986,1004,983,991,70800,70249100
2014-04-24,989,997,977,985,61600,60660200
2014-04-23,984,993,984,991,58300,57651500
2014-04-22,992,995,982,983,66600,65720400
2014-04-21,994,996,982,986,70100,69333300
2014-04-18,1000,1000,985,990,55100,54513600
2014-04-17,1000,1005,988,989,79000,78541700
2014-04-16,994,1004,994,999,81600,81434100
2014-04-15,987,994,978,986,182600,179975800
2014-04-14,974,988,969,977,79200,77601400
2014-04-11,975,984,966,974,103900,101451900
2014-04-10,1000,1014,985,986,131400,130526200
2014-04-09,1002,1004,979,988,222100,219567200
2014-04-08,1025,1041,1019,1020,127700,130910800
2014-04-07,1056,1060,1029,1031,103400,107269500
2014-04-04,1058,1065,1050,1056,122300,129259600
2014-04-03,1063,1074,1053,1060,212100,225652300
2014-04-02,1076,1081,1054,1060,266600,285475600
2014-04-01,1078,1100,1066,1071,251100,270182000
2014-03-31,1080,1080,1050,1066,155000,164411000
2014-03-28,1069,1071,1053,1068,274300,291237500
2014-03-27,1079,1080,1040,1065,294100,310882000
2014-03-26,1069,1082,1066,1080,193400,208087700
2014-03-25,1069,1083,1062,1063,214000,229473200
2014-03-24,1038,1077,1038,1069,189300,201901300
2014-03-20,1068,1075,1047,1050,210200,222492300
2014-03-19,1068,1070,1047,1059,125000,132494700
2014-03-18,1067,1074,1039,1059,158500,167770000
2014-03-17,1032,1062,1027,1044,150600,157036800
2014-03-14,1080,1080,1036,1037,378400,401794300
2014-03-13,1041,1068,1040,1062,160800,170470000
2014-03-12,1042,1058,1034,1044,75100,78590600
2014-03-11,1067,1073,1054,1064,107200,113918000
2014-03-10,1072,1072,1048,1054,97700,103400000
2014-03-07,1068,1080,1061,1071,203100,217495500
2014-03-06,1033,1050,1023,1046,166100,172613400
2014-03-05,1045,1054,1028,1032,116800,121545600
2014-03-04,1000,1029,1000,1027,115700,118152300
2014-03-03,995,1017,991,1016,114900,115619900
2014-02-28,1009,1020,1001,1018,104500,105777800
2014-02-27,1014,1021,1008,1009,115900,117461700
2014-02-26,1020,1034,1018,1021,161000,164917100
2014-02-25,1055,1057,1034,1044,184100,191489500
2014-02-24,1065,1067,1031,1043,189500,197915100
2014-02-21,1045,1075,1043,1073,126100,134433600
2014-02-20,1066,1071,1029,1036,106600,111374200
2014-02-19,1057,1077,1051,1067,79000,84432100
2014-02-18,1057,1072,1046,1068,162300,172348200
2014-02-17,1061,1065,1038,1062,122200,128691900
2014-02-14,1070,1081,1041,1054,167400,177399700
2014-02-13,1080,1085,1065,1067,107500,115595800
2014-02-12,1078,1083,1064,1078,236700,255083700
2014-02-10,1080,1080,1052,1063,178300,189424300
2014-02-07,1079,1083,1052,1066,192600,204796600
2014-02-06,1078,1087,1048,1076,331400,357046800
2014-02-05,1020,1057,1020,1040,270600,280780300
2014-02-04,1035,1052,1020,1020,354000,365869800
2014-02-03,1078,1086,1062,1065,146600,156989800
2014-01-31,1078,1090,1061,1078,276400,297540700
2014-01-30,1078,1084,1068,1077,150300,161658600
2014-01-29,1078,1109,1071,1106,202700,222088800
2014-01-28,1078,1087,1071,1073,277600,299372900
2014-01-27,1060,1100,1060,1081,267800,290572500
2014-01-24,1083,1118,1083,1105,292500,322942300
2014-01-23,1117,1122,1093,1109,295900,328127300
2014-01-22,1117,1131,1107,1117,130700,146426000
2014-01-21,1122,1137,1115,1117,255800,287862200
2014-01-20,1136,1144,1108,1123,296500,334829800
2014-01-17,1072,1168,1064,1157,1219400,1385118600
2014-01-16,1047,1064,1040,1052,417600,440136800
2014-01-15,1034,1039,1016,1028,195300,200321900
2014-01-14,1013,1029,1006,1016,281400,287040300
2014-01-10,1014,1031,996,1030,443100,451891700
2014-01-09,1010,1015,996,1015,304000,306472500
2014-01-08,960,1001,960,1000,291000,287613400
2014-01-07,955,967,955,961,226500,217687200
2014-01-06,966,971,952,963,286700,275692900
2013-12-30,968,969,960,965,152400,147075900
2013-12-27,944,961,940,959,254500,242819400
2013-12-26,920,940,919,937,121800,113960800
2013-12-25,920,929,918,920,216700,199524000
2013-12-24,937,946,920,926,282600,262538500
2013-12-20,934,939,930,936,295200,275616500
2013-12-19,960,965,943,948,232400,221288100
2013-12-18,940,954,936,947,155800,147665000
2013-12-17,942,953,940,949,115700,109662400
2013-12-16,940,959,938,938,220800,208350300
2013-12-13,960,978,950,952,385000,369720900
2013-12-12,983,986,954,971,119700,116772500
2013-12-11,985,996,978,982,97700,96236000
2013-12-10,984,999,984,997,161600,160069300
2013-12-09,988,993,982,989,150700,148777900
2013-12-06,963,984,962,982,101000,98553000
2013-12-05,987,990,973,974,186600,183021500
2013-12-04,988,1002,985,996,146300,145681600
2013-12-03,1010,1010,993,998,150700,150890100
2013-12-02,996,1008,990,1004,92500,92748000
2013-11-29,991,1005,987,995,117400,116900700
2013-11-28,994,1002,991,1000,79300,79008400
2013-11-27,983,1002,983,993,86100,85618000
2013-11-26,1006,1013,995,1000,202800,203962700
2013-11-25,1001,1010,1001,1005,134500,135208000
2013-11-22,990,1002,983,993,228600,227614600
2013-11-21,980,1009,980,986,233800,232115100
2013-11-20,988,993,977,987,211500,208719700
2013-11-19,958,985,958,979,237700,232262000
2013-11-18,965,966,946,959,142400,136178900
2013-11-15,970,974,953,956,248900,239547800
2013-11-14,950,961,941,960,241700,230449500
2013-11-13,934,945,933,938,73800,69268400
2013-11-12,918,938,918,933,121700,113345800
2013-11-11,936,938,920,922,142400,132250000
2013-11-08,920,925,915,924,117400,107947700
2013-11-07,941,963,928,933,167500,156601700
2013-11-06,949,979,942,971,120800,116473800
2013-11-05,958,960,933,937,96000,90555200
2013-11-01,953,969,940,943,92800,88139200
2013-10-31,969,974,955,959,58100,56088300
2013-10-30,970,976,964,967,87300,84585900
2013-10-29,969,977,962,962,103700,100456700
2013-10-28,966,981,966,980,51100,49795000
2013-10-25,989,989,965,966,64900,63020400
2013-10-24,975,986,958,983,90200,87530700
2013-10-23,1010,1016,980,980,157300,156710900
2013-10-22,1002,1006,997,1006,56400,56454400
2013-10-21,993,999,991,998,29200,29048400
2013-10-18,998,999,987,992,50100,49667900
2013-10-17,991,1003,990,997,47800,47600600
2013-10-16,995,1003,986,989,47300,46977100
2013-10-15,1004,1006,984,1000,77900,77403700
2013-10-11,997,1000,989,999,97400,96901900
2013-10-10,981,983,971,983,54800,53620000
2013-10-09,964,978,958,977,67200,65196600
2013-10-08,966,972,946,969,108900,104433700
2013-10-07,990,995,972,973,88500,86814600
2013-10-04,1001,1010,988,1001,63900,63889100
2013-10-03,1005,1019,1001,1004,74000,74704200
2013-10-02,1017,1024,1001,1002,72400,73029500
2013-10-01,1011,1024,1010,1015,58400,59267100
2013-09-30,1016,1024,1011,1015,75000,76031300
2013-09-27,1037,1040,1023,1037,58700,60631800
2013-09-26,1031,1039,1001,1038,63000,64649300
2013-09-25,1044,1047,1038,1042,52700,54874600
2013-09-24,1043,1049,1031,1046,107300,111800600
2013-09-20,1065,1072,1052,1058,67300,71287000
2013-09-19,1040,1056,1037,1056,73300,76803500
2013-09-18,1025,1047,1025,1033,54000,55997200
2013-09-17,1024,1037,1021,1029,78600,80999200
2013-09-13,1030,1043,1009,1024,177900,182428600
2013-09-12,1012,1028,1007,1027,90600,92444200
2013-09-11,1025,1032,1006,1012,118500,120799100
2013-09-10,1020,1032,1010,1029,127400,130332300
2013-09-09,1006,1020,998,1009,81300,81784000
2013-09-06,1004,1005,982,994,85200,84329700
2013-09-05,1007,1011,997,1000,78800,79000700
2013-09-04,999,1008,993,1004,98800,98927000
2013-09-03,999,1012,999,1010,91500,91932800
2013-09-02,983,998,980,992,93300,92315700
2013-08-30,989,998,985,986,186000,184200400
2013-08-29,984,999,983,988,141100,139641900
2013-08-28,986,1003,984,993,112600,111716000
2013-08-27,1013,1026,1009,1011,51000,51797200
2013-08-26,1023,1030,1009,1012,60800,61751800
2013-08-23,1022,1031,1010,1022,74900,76604300
2013-08-22,1003,1015,995,1011,53700,54111500
2013-08-21,1005,1021,999,1011,106000,106882500
2013-08-20,1032,1034,1012,1016,69800,71403000
2013-08-19,1024,1035,1022,1035,43900,45213800
2013-08-16,1021,1033,1009,1026,134000,137014700
2013-08-15,1042,1048,1025,1038,93200,96913100
2013-08-14,1046,1050,1030,1049,67000,69895300
2013-08-13,1036,1056,1030,1044,138200,143826800
2013-08-12,1034,1046,1028,1039,109100,113018400
2013-08-09,1040,1047,1026,1033,113300,117367200
2013-08-08,1034,1065,1034,1037,163500,171520100
2013-08-07,1053,1066,1046,1046,201300,212147500
2013-08-06,1062,1076,1053,1071,145900,155444900
2013-08-05,1063,1078,1041,1062,90700,96129500
2013-08-02,1045,1087,1037,1069,244300,259099900
2013-08-01,1051,1078,1032,1075,214500,227986800
2013-07-31,1058,1066,1043,1051,182800,193103200
2013-07-30,1037,1062,1015,1057,158600,166404900
2013-07-29,1055,1056,1032,1036,210800,220201600
2013-07-26,1079,1086,1068,1077,197200,212605900
2013-07-25,1079,1090,1072,1080,106900,115493400
2013-07-24,1091,1091,1068,1086,101300,109607400
2013-07-23,1085,1103,1076,1098,158500,173328900
2013-07-22,1092,1095,1066,1087,150500,162655500
2013-07-19,1100,1100,1075,1080,204400,221801900
2013-07-18,1099,1108,1093,1101,101100,111354300
2013-07-17,1092,1108,1083,1099,177700,195221800
2013-07-16,1118,1118,1100,1103,83600,92555000
2013-07-12,1118,1118,1095,1107,165600,183313300
2013-07-11,1104,1124,1097,1116,177700,197275200
2013-07-10,1101,1128,1080,1119,332800,371057400
2013-07-09,1101,1108,1089,1100,178600,196310900
2013-07-08,1109,1110,1083,1084,72300,79185200
2013-07-05,1110,1110,1089,1096,124400,136656300
2013-07-04,1080,1100,1070,1097,181100,198020100
2013-07-03,1082,1092,1063,1073,163100,175537000
2013-07-02,1065,1091,1057,1091,167500,180423600
2013-07-01,1047,1061,1034,1061,120100,125855700
2013-06-28,1020,1045,1018,1045,178900,185539300
2013-06-27,984,1017,980,1013,220600,220868100
2013-06-26,999,999,963,969,114300,111197300
2013-06-25,987,1001,975,995,211100,208286700
2013-06-24,1018,1030,983,987,128600,128562600
2013-06-21,975,1021,964,1018,475500,477617800
