6479-T,東証1部,ミネベア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1103,1104,1080,1085,4102000,4472101000
2014-06-26,1130,1133,1106,1114,4504000,5018729000
2014-06-25,1137,1143,1122,1136,2464000,2790300000
2014-06-24,1139,1157,1135,1146,3632000,4162807000
2014-06-23,1130,1143,1111,1142,4471000,5054390000
2014-06-20,1117,1122,1097,1121,4095000,4563420000
2014-06-19,1091,1116,1089,1115,3023000,3347231000
2014-06-18,1086,1092,1078,1088,1984000,2156211000
2014-06-17,1077,1095,1043,1081,5766000,6197851000
2014-06-16,1110,1110,1086,1091,1956000,2139279000
2014-06-13,1082,1111,1082,1109,3903000,4278334000
2014-06-12,1083,1109,1079,1090,4477000,4895930000
2014-06-11,1125,1133,1092,1105,5705000,6322728000
2014-06-10,1097,1124,1096,1121,6426000,7173565000
2014-06-09,1078,1095,1069,1087,3786000,4106188000
2014-06-06,1095,1095,1056,1067,4094000,4374522000
2014-06-05,1104,1104,1076,1085,3652000,3967688000
2014-06-04,1099,1114,1092,1097,3946000,4342461000
2014-06-03,1100,1105,1077,1091,4005000,4369253000
2014-06-02,1079,1092,1075,1078,4223000,4572240000
2014-05-30,1044,1082,1043,1057,6510000,6943941000
2014-05-29,1034,1041,1021,1035,2503000,2585744000
2014-05-28,1037,1045,1031,1033,2596000,2691087000
2014-05-27,1037,1052,1022,1041,4340000,4514001000
2014-05-26,1040,1053,1028,1037,4037000,4197638000
2014-05-23,1014,1037,1013,1027,4168000,4276958000
2014-05-22,1002,1023,996,1018,6182000,6249871000
2014-05-21,969,994,962,991,4355000,4294968000
2014-05-20,982,984,957,971,3537000,3437713000
2014-05-19,969,998,966,967,5167000,5066624000
2014-05-16,961,972,956,969,4022000,3884781000
2014-05-15,963,988,963,979,5175000,5066084000
2014-05-14,934,988,933,978,9116000,8845109000
2014-05-13,930,940,918,931,5874000,5471432000
2014-05-12,894,925,887,919,10734000,9782418000
2014-05-09,832,858,828,853,3524000,2982304000
2014-05-08,852,855,823,835,5643000,4713370000
2014-05-07,861,861,837,837,2699000,2282384000
2014-05-02,871,873,854,869,2975000,2570390000
2014-05-01,830,873,830,871,4004000,3439837000
2014-04-30,843,846,822,827,2832000,2350536000
2014-04-28,837,844,829,837,2668000,2230993000
2014-04-25,852,860,847,854,1869000,1593606000
2014-04-24,850,862,842,856,2687000,2287665000
2014-04-23,850,852,838,849,2584000,2182943000
2014-04-22,865,866,840,842,3524000,2990511000
2014-04-21,872,883,866,867,1619000,1412440000
2014-04-18,858,875,857,869,2872000,2488680000
2014-04-17,856,873,850,855,3446000,2961286000
2014-04-16,843,857,832,856,3507000,2970232000
2014-04-15,846,849,836,839,2802000,2358504000
2014-04-14,842,850,828,840,4303000,3603888000
2014-04-11,850,860,841,853,5462000,4648644000
