6481-T,東証1部,THK,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2442,2442,2374,2388,854700,2050765300
2014-06-26,2450,2455,2418,2426,927500,2259402400
2014-06-25,2432,2460,2413,2414,905700,2202581000
2014-06-24,2477,2481,2448,2459,1069800,2631620400
2014-06-23,2518,2520,2481,2492,767100,1916126400
2014-06-20,2520,2523,2473,2475,1032300,2570039700
2014-06-19,2500,2517,2480,2504,1724400,4312369800
2014-06-18,2399,2438,2381,2432,969500,2336083600
2014-06-17,2389,2404,2375,2397,667500,1596472900
2014-06-16,2383,2400,2365,2394,619700,1477762500
2014-06-13,2385,2409,2363,2404,1020400,2438301900
2014-06-12,2377,2392,2361,2385,1005900,2392392400
2014-06-11,2326,2380,2315,2377,1020800,2406591200
2014-06-10,2372,2382,2325,2331,789800,1851618000
2014-06-09,2404,2418,2336,2363,1217800,2878903200
2014-06-06,2397,2433,2389,2405,1449800,3494628400
2014-06-05,2398,2399,2352,2364,975300,2309444600
2014-06-04,2355,2422,2355,2381,1763100,4214678900
2014-06-03,2360,2380,2327,2332,1302000,3063859000
2014-06-02,2328,2348,2301,2324,1430400,3325821300
2014-05-30,2238,2265,2227,2241,1254700,2821374500
2014-05-29,2186,2241,2181,2200,1227300,2712860600
2014-05-28,2191,2212,2176,2185,662400,1450813900
2014-05-27,2190,2219,2181,2181,694300,1524454800
2014-05-26,2222,2225,2175,2202,846100,1858965300
2014-05-23,2180,2206,2172,2193,764100,1675048300
2014-05-22,2117,2164,2111,2157,804700,1725425000
2014-05-21,2045,2085,1996,2081,1307600,2678652500
2014-05-20,2139,2146,2068,2087,1191400,2489838600
2014-05-19,2164,2178,2130,2140,472700,1015366900
2014-05-16,2150,2165,2124,2160,659500,1412443700
2014-05-15,2134,2188,2122,2186,1359500,2948133900
2014-05-14,2195,2199,1973,2128,2231600,4699625500
2014-05-13,2141,2149,2088,2137,668900,1420714400
2014-05-12,2098,2119,2082,2082,465500,976186400
2014-05-09,2081,2122,2079,2099,585900,1232111000
2014-05-08,2125,2137,2094,2100,646900,1364980900
2014-05-07,2168,2175,2113,2116,835800,1778969900
2014-05-02,2214,2214,2170,2183,617100,1345100000
2014-05-01,2182,2216,2163,2216,562900,1238009500
2014-04-30,2199,2224,2158,2163,707900,1541155900
2014-04-28,2198,2198,2167,2180,594500,1295799700
2014-04-25,2206,2240,2201,2214,602000,1337054800
2014-04-24,2227,2234,2184,2195,719000,1583305200
2014-04-23,2200,2240,2200,2220,876800,1947920200
2014-04-22,2243,2262,2187,2187,745300,1652164300
2014-04-21,2264,2284,2242,2248,855200,1934547300
2014-04-18,2232,2259,2221,2251,652800,1466279800
2014-04-17,2236,2267,2225,2231,1163400,2618010600
2014-04-16,2186,2224,2183,2217,1123200,2479859600
2014-04-15,2195,2206,2141,2143,962300,2075705500
2014-04-14,2188,2201,2147,2174,951800,2074161300
