6484-T,JQスタンダード,KVK,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,636,636,633,633,6000,3810000
2014-06-26,635,635,635,635,1000,635000
2014-06-25,635,638,635,638,9000,5735000
2014-06-24,638,638,635,637,6000,3815000
2014-06-23,635,635,635,635,8000,5080000
2014-06-20,-,-,-,-,0,0
2014-06-19,635,635,635,635,6000,3810000
2014-06-18,634,634,634,634,5000,3170000
2014-06-17,632,632,632,632,1000,632000
2014-06-16,-,-,-,-,0,0
2014-06-13,630,638,630,638,11000,7010000
2014-06-12,631,631,630,630,4000,2522000
2014-06-11,-,-,-,-,0,0
2014-06-10,632,638,631,631,9000,5699000
2014-06-09,625,625,625,625,1000,625000
2014-06-06,620,620,620,620,2000,1240000
2014-06-05,615,615,615,615,1000,615000
2014-06-04,-,-,-,-,0,0
2014-06-03,613,613,613,613,1000,613000
2014-06-02,620,620,609,609,11000,6773000
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,616,616,616,616,1000,616000
2014-05-27,-,-,-,-,0,0
2014-05-26,615,616,615,616,4000,2461000
2014-05-23,615,615,615,615,2000,1230000
2014-05-22,633,633,633,633,2000,1266000
2014-05-21,-,-,-,-,0,0
2014-05-20,615,615,615,615,5000,3075000
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,616,616,615,615,4000,2461000
2014-05-12,634,634,634,634,4000,2536000
2014-05-09,-,-,-,-,0,0
2014-05-08,618,618,615,615,3000,1851000
2014-05-07,612,612,611,611,5000,3056000
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,610,610,610,610,3000,1830000
2014-04-28,610,610,609,610,5000,3049000
2014-04-25,610,610,610,610,1000,610000
2014-04-24,-,-,-,-,0,0
2014-04-23,612,613,612,613,2000,1225000
2014-04-22,619,619,619,619,1000,619000
2014-04-21,610,610,610,610,2000,1220000
2014-04-18,609,609,609,609,1000,609000
2014-04-17,-,-,-,-,0,0
2014-04-16,610,615,610,615,5000,3070000
2014-04-15,628,628,628,628,1000,628000
2014-04-14,628,628,628,628,4000,2512000
2014-04-11,630,630,614,628,7000,4376000
2014-04-10,632,632,630,630,12000,7568000
2014-04-09,632,632,631,632,5000,3158000
2014-04-08,630,632,630,632,3000,1892000
2014-04-07,630,630,630,630,1000,630000
2014-04-04,631,631,631,631,1000,631000
2014-04-03,-,-,-,-,0,0
2014-04-02,635,635,635,635,5000,3175000
2014-04-01,-,-,-,-,0,0
2014-03-31,635,635,635,635,1000,635000
2014-03-28,635,635,635,635,2000,1270000
2014-03-27,-,-,-,-,0,0
2014-03-26,635,635,635,635,9000,5715000
2014-03-25,635,635,630,635,20000,12694000
2014-03-24,635,635,635,635,3000,1905000
2014-03-20,-,-,-,-,0,0
2014-03-19,635,635,635,635,1000,635000
2014-03-18,-,-,-,-,0,0
2014-03-17,635,635,635,635,9000,5715000
2014-03-14,636,636,635,635,9000,5716000
2014-03-13,-,-,-,-,0,0
2014-03-12,636,636,636,636,2000,1272000
2014-03-11,640,640,640,640,1000,640000
2014-03-10,636,645,636,640,7000,4469000
2014-03-07,-,-,-,-,0,0
2014-03-06,636,636,635,635,6000,3815000
2014-03-05,-,-,-,-,0,0
2014-03-04,645,650,641,641,16000,10346000
2014-03-03,650,650,649,649,4000,2599000
2014-02-28,648,649,648,649,2000,1297000
2014-02-27,640,648,640,648,2000,1288000
2014-02-26,-,-,-,-,0,0
2014-02-25,635,635,635,635,3000,1905000
2014-02-24,635,635,635,635,1000,635000
2014-02-21,-,-,-,-,0,0
2014-02-20,635,635,635,635,4000,2540000
2014-02-19,635,635,635,635,3000,1905000
2014-02-18,635,635,635,635,1000,635000
2014-02-17,635,635,635,635,2000,1270000
2014-02-14,638,638,635,635,7000,4454000
2014-02-13,642,642,640,640,4000,2564000
2014-02-12,640,640,640,640,4000,2560000
2014-02-10,638,638,637,637,8000,5103000
2014-02-07,637,638,636,637,8000,5096000
2014-02-06,638,638,638,638,1000,638000
2014-02-05,630,636,630,636,4000,2532000
2014-02-04,630,630,620,630,26000,16357000
2014-02-03,630,631,628,631,17000,10707000
2014-01-31,635,635,635,635,2000,1270000
2014-01-30,640,641,637,637,7000,4476000
2014-01-29,645,660,645,660,7000,4560000
2014-01-28,650,665,630,645,8000,5180000
2014-01-27,628,630,605,630,20000,12469000
2014-01-24,632,632,628,630,18000,11340000
2014-01-23,639,641,635,635,3000,1915000
2014-01-22,643,645,638,643,8000,5140000
2014-01-21,644,644,640,642,8000,5143000
2014-01-20,636,650,636,644,9000,5770000
2014-01-17,625,630,625,630,7000,4390000
2014-01-16,624,627,624,626,21000,13138000
2014-01-15,614,618,613,616,18000,11081000
2014-01-14,611,612,610,610,14000,8549000
2014-01-10,611,618,611,613,20000,12233000
2014-01-09,605,608,603,608,5000,3026000
2014-01-08,598,601,598,601,16000,9580000
2014-01-07,593,594,588,588,27000,15991000
2014-01-06,578,589,578,589,15000,8713000
2013-12-30,567,578,565,570,29000,16531000
2013-12-27,561,563,560,563,21000,11774000
2013-12-26,548,553,548,550,20000,10993000
2013-12-25,549,552,545,545,35000,19214000
2013-12-24,550,550,548,549,25000,13737000
2013-12-20,565,565,550,552,59000,32712000
2013-12-19,572,574,569,569,17000,9722000
2013-12-18,575,575,573,574,21000,12058000
2013-12-17,573,573,570,573,10000,5718000
2013-12-16,567,573,567,573,16000,9123000
2013-12-13,575,575,571,572,12000,6884000
2013-12-12,575,575,573,575,5000,2870000
2013-12-11,574,576,574,575,6000,3453000
2013-12-10,580,580,574,576,23000,13308000
2013-12-09,583,583,581,581,17000,9900000
2013-12-06,585,587,585,585,3000,1757000
2013-12-05,586,586,586,586,2000,1172000
2013-12-04,588,588,587,587,2000,1175000
2013-12-03,588,588,588,588,3000,1764000
2013-12-02,585,588,585,588,6000,3522000
2013-11-29,583,585,583,585,12000,6999000
2013-11-28,583,583,583,583,5000,2915000
2013-11-27,580,582,580,582,15000,8705000
2013-11-26,591,591,582,582,14000,8211000
2013-11-25,591,591,589,589,13000,7672000
2013-11-22,598,599,595,598,8000,4784000
2013-11-21,589,589,589,589,8000,4712000
2013-11-20,-,-,-,-,0,0
2013-11-19,589,589,589,589,5000,2945000
2013-11-18,589,590,589,589,9000,5303000
2013-11-15,600,600,590,590,6000,3578000
2013-11-14,586,592,586,592,2000,1178000
2013-11-13,590,591,590,590,12000,7081000
2013-11-12,592,593,590,590,11000,6512000
2013-11-11,599,599,595,595,13000,7764000
2013-11-08,599,600,598,600,8000,4794000
2013-11-07,600,600,600,600,1000,600000
2013-11-06,605,605,600,600,7000,4215000
2013-11-05,606,609,606,609,6000,3639000
2013-11-01,623,623,608,608,7000,4287000
2013-10-31,611,623,611,623,2000,1234000
2013-10-30,625,625,601,623,18000,11014000
2013-10-29,628,638,628,638,2000,1266000
2013-10-28,627,628,625,628,11000,6898000
2013-10-25,627,627,613,616,8000,4956000
2013-10-24,628,628,628,628,3000,1884000
2013-10-23,623,625,618,619,23000,14311000
2013-10-22,621,621,619,621,5000,3102000
2013-10-21,619,619,617,617,9000,5562000
2013-10-18,610,614,610,614,6000,3671000
2013-10-17,599,607,599,607,2000,1206000
2013-10-16,610,610,600,600,9000,5446000
2013-10-15,613,614,610,614,6000,3675000
2013-10-11,622,628,622,628,3000,1873000
2013-10-10,641,642,632,632,11000,7043000
2013-10-09,615,629,615,629,4000,2486000
2013-10-08,608,608,608,608,1000,608000
2013-10-07,610,610,609,609,3000,1828000
2013-10-04,609,609,609,609,3000,1827000
2013-10-03,608,615,608,610,6000,3669000
2013-10-02,619,620,608,608,8000,4900000
2013-10-01,616,616,616,616,1000,616000
