6496-T,東証2部,中北製,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,570,570,565,568,4000,2273000
2014-06-26,553,565,553,565,11000,6174000
2014-06-25,546,554,546,552,11000,6044000
2014-06-24,545,560,545,560,7000,3884000
2014-06-23,553,553,545,545,10000,5467000
2014-06-20,553,553,553,553,3000,1659000
2014-06-19,564,566,559,559,9000,5064000
2014-06-18,561,561,560,560,2000,1121000
2014-06-17,562,562,561,562,9000,5056000
2014-06-16,552,553,552,552,4000,2209000
2014-06-13,554,560,554,560,2000,1114000
2014-06-12,549,549,549,549,1000,549000
2014-06-11,545,548,536,548,7000,3788000
2014-06-10,550,550,545,545,8000,4374000
2014-06-09,553,555,551,551,5000,2762000
2014-06-06,553,553,546,550,6000,3303000
2014-06-05,563,563,563,563,1000,563000
2014-06-04,573,573,573,573,2000,1146000
2014-06-03,575,575,560,560,7000,3981000
2014-06-02,563,575,563,575,4000,2285000
2014-05-30,551,569,551,559,7000,3919000
2014-05-29,550,550,550,550,3000,1650000
2014-05-28,558,558,558,558,1000,558000
2014-05-27,557,573,556,573,10000,5664000
2014-05-26,561,575,561,575,10000,5653000
2014-05-23,557,557,557,557,1000,557000
2014-05-22,559,559,559,559,2000,1118000
2014-05-21,555,555,554,554,2000,1109000
2014-05-20,547,552,547,552,2000,1099000
2014-05-19,545,546,545,546,5000,2728000
2014-05-16,545,555,545,555,6000,3280000
2014-05-15,-,-,-,-,0,0
2014-05-14,538,540,538,540,4000,2157000
2014-05-13,540,540,526,537,12000,6392000
2014-05-12,540,540,540,540,2000,1080000
2014-05-09,540,540,538,540,4000,2158000
2014-05-08,547,547,533,533,4000,2167000
2014-05-07,547,557,547,557,4000,2218000
2014-05-02,-,-,-,-,0,0
2014-05-01,549,550,548,548,3000,1647000
2014-04-30,-,-,-,-,0,0
2014-04-28,550,556,549,556,9000,4971000
2014-04-25,550,550,550,550,1000,550000
2014-04-24,550,550,548,548,3000,1648000
2014-04-23,542,542,542,542,1000,542000
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,541,541,541,541,2000,1082000
2014-04-17,541,551,541,551,3000,1633000
2014-04-16,542,542,542,542,3000,1626000
2014-04-15,-,-,-,-,0,0
2014-04-14,550,550,550,550,2000,1100000
2014-04-11,530,540,530,530,13000,6969000
2014-04-10,535,538,520,520,6000,3174000
2014-04-09,542,550,525,525,16000,8654000
2014-04-08,550,550,550,550,1000,550000
2014-04-07,549,550,542,542,3000,1641000
2014-04-04,549,549,549,549,1000,549000
2014-04-03,540,540,530,540,3000,1610000
2014-04-02,540,540,530,530,3000,1602000
2014-04-01,530,530,530,530,4000,2120000
2014-03-31,540,540,530,530,3000,1605000
2014-03-28,541,541,541,541,5000,2705000
2014-03-27,-,-,-,-,0,0
2014-03-26,537,540,537,539,6000,3229000
2014-03-25,-,-,-,-,0,0
2014-03-24,536,536,536,536,1000,536000
2014-03-20,541,541,537,537,5000,2695000
2014-03-19,560,560,560,560,1000,560000
2014-03-18,559,559,540,550,9000,4923000
2014-03-17,530,543,530,540,6000,3227000
2014-03-14,529,529,520,520,3000,1572000
2014-03-13,529,529,529,529,3000,1587000
2014-03-12,530,530,523,523,2000,1053000
2014-03-11,540,540,540,540,2000,1080000
2014-03-10,530,530,530,530,2000,1060000
2014-03-07,530,530,530,530,1000,530000
2014-03-06,530,530,530,530,1000,530000
2014-03-05,530,530,530,530,1000,530000
2014-03-04,530,530,526,526,2000,1056000
2014-03-03,529,536,528,536,3000,1593000
2014-02-28,526,526,526,526,1000,526000
2014-02-27,528,534,528,534,2000,1062000
2014-02-26,525,535,525,535,7000,3688000
2014-02-25,523,525,523,525,3000,1571000
2014-02-24,524,528,523,523,8000,4200000
2014-02-21,519,523,519,523,3000,1565000
2014-02-20,515,515,515,515,2000,1030000
2014-02-19,517,517,516,516,2000,1033000
2014-02-18,516,517,511,517,9000,4622000
2014-02-17,508,516,508,516,2000,1024000
2014-02-14,521,521,503,505,10000,5128000
2014-02-13,530,530,522,522,13000,6869000
2014-02-12,550,550,550,550,2000,1100000
2014-02-10,550,551,550,551,2000,1101000
2014-02-07,531,540,531,532,3000,1603000
2014-02-06,527,527,527,527,2000,1054000
2014-02-05,530,530,530,530,1000,530000
2014-02-04,558,559,520,555,13000,7083000
2014-02-03,561,571,561,571,2000,1132000
2014-01-31,570,570,565,565,6000,3408000
2014-01-30,584,584,574,574,2000,1158000
2014-01-29,559,589,559,586,11000,6398000
2014-01-28,571,574,554,574,9000,5123000
2014-01-27,589,589,571,571,3000,1731000
2014-01-24,582,582,578,579,6000,3474000
2014-01-23,586,588,583,583,5000,2931000
2014-01-22,592,595,585,585,17000,10026000
2014-01-21,585,590,583,585,10000,5863000
2014-01-20,580,590,580,590,5000,2933000
2014-01-17,580,580,580,580,5000,2900000
2014-01-16,580,580,577,580,12000,6957000
2014-01-15,580,582,573,582,10000,5784000
2014-01-14,588,590,580,580,17000,9970000
2014-01-10,588,593,588,588,15000,8855000
2014-01-09,586,588,574,588,17000,9869000
2014-01-08,594,594,567,587,64000,37606000
2014-01-07,615,615,562,600,192000,115941000
2014-01-06,520,520,510,515,9000,4641000
2013-12-30,527,527,510,520,10000,5215000
2013-12-27,495,497,491,491,3000,1483000
2013-12-26,490,490,490,490,2000,980000
2013-12-25,483,485,480,485,10000,4825000
2013-12-24,492,492,484,491,18000,8773000
2013-12-20,490,490,484,484,5000,2444000
2013-12-19,485,490,485,490,6000,2921000
2013-12-18,491,491,486,490,7000,3429000
2013-12-17,489,490,486,490,7000,3424000
2013-12-16,485,487,483,483,3000,1455000
2013-12-13,484,484,482,482,5000,2412000
2013-12-12,480,480,470,480,12000,5680000
2013-12-11,480,483,477,480,5000,2397000
2013-12-10,479,479,470,478,8000,3785000
2013-12-09,471,479,471,473,29000,13702000
2013-12-06,490,490,486,486,2000,976000
2013-12-05,491,491,489,490,3000,1470000
2013-12-04,485,485,485,485,11000,5335000
2013-12-03,483,486,483,485,9000,4360000
2013-12-02,490,490,480,485,4000,1935000
2013-11-29,500,502,498,499,15000,7500000
