6584-T,東証1部,三桜工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,724,724,706,711,79100,56308300
2014-06-26,722,728,718,719,94700,68403900
2014-06-25,722,724,716,718,75100,54033900
2014-06-24,710,723,706,721,95800,68528900
2014-06-23,704,715,703,712,77100,54765100
2014-06-20,701,709,693,709,239000,168035200
2014-06-19,705,707,702,704,101900,71801300
2014-06-18,704,708,703,707,86200,60833400
2014-06-17,704,712,704,706,86500,61189500
2014-06-16,709,709,704,706,63500,44910200
2014-06-13,694,711,694,709,131800,92535700
2014-06-12,693,704,693,701,96100,67092100
2014-06-11,695,703,694,699,100300,69919000
2014-06-10,703,706,694,695,60600,42344900
2014-06-09,697,708,696,707,128100,90061800
2014-06-06,690,698,687,690,77700,53638300
2014-06-05,688,696,685,690,103300,71276800
2014-06-04,678,686,678,685,78800,53816100
2014-06-03,681,683,677,678,87600,59571000
2014-06-02,662,680,662,675,149500,100542900
2014-05-30,673,683,652,654,434900,288625300
2014-05-29,671,678,670,674,64000,43171400
2014-05-28,670,677,669,670,47500,31947600
2014-05-27,674,675,662,667,74500,49846500
2014-05-26,670,676,654,674,203600,136084200
2014-05-23,647,670,646,670,335200,220655400
2014-05-22,623,644,623,643,182900,116014000
2014-05-21,619,622,614,621,104700,64619300
2014-05-20,620,623,617,619,59100,36605500
2014-05-19,627,627,617,617,79000,49159400
2014-05-16,624,626,622,623,94200,58714800
2014-05-15,629,629,621,624,162900,101778700
2014-05-14,622,630,619,626,85000,53148900
2014-05-13,619,621,616,620,39800,24635900
2014-05-12,617,620,614,617,51000,31444600
2014-05-09,617,622,617,617,28700,17781100
2014-05-08,618,622,615,618,69600,43053600
2014-05-07,627,627,615,615,95400,59077300
2014-05-02,630,632,628,630,39500,24886000
2014-05-01,637,637,629,631,46500,29381800
2014-04-30,629,633,628,631,39700,25030400
2014-04-28,632,632,627,629,28700,18048500
2014-04-25,628,637,627,633,34000,21487500
2014-04-24,628,632,628,628,25800,16234600
2014-04-23,627,632,627,630,26300,16554800
2014-04-22,635,635,627,629,40000,25191500
2014-04-21,631,635,627,631,74500,47012300
2014-04-18,632,633,630,631,44500,28096900
2014-04-17,636,640,631,631,62200,39458500
2014-04-16,624,639,624,635,44200,27967700
2014-04-15,627,630,620,621,43400,27094400
2014-04-14,620,629,620,623,39400,24606800
2014-04-11,621,629,619,623,58900,36767400
2014-04-10,628,641,628,631,75700,47873100
2014-04-09,636,636,628,628,90200,56998200
2014-04-08,647,647,641,641,88800,57113300
2014-04-07,656,658,652,653,54500,35663200
2014-04-04,662,663,657,660,70800,46772300
2014-04-03,662,666,662,663,64800,42985800
2014-04-02,656,668,656,657,54100,35763100
2014-04-01,649,657,647,657,46100,30094900
2014-03-31,644,646,637,646,64400,41345600
2014-03-28,636,642,630,640,76500,48684500
2014-03-27,636,644,632,642,84100,53665500
2014-03-26,654,659,654,657,90800,59580400
2014-03-25,651,656,650,653,69200,45137500
2014-03-24,650,669,650,652,79000,52055300
2014-03-20,651,656,647,647,57100,37130700
2014-03-19,660,661,652,656,34800,22839400
2014-03-18,667,667,659,660,32100,21301000
2014-03-17,655,655,648,649,49000,31895100
2014-03-14,661,668,657,657,100500,66390700
2014-03-13,669,677,669,671,37000,24887400
2014-03-12,677,678,671,671,43200,29116200
2014-03-11,676,684,676,681,39800,27033800
2014-03-10,678,680,675,678,34300,23234900
2014-03-07,680,685,671,679,81100,54972900
2014-03-06,675,677,666,675,37700,25386100
2014-03-05,674,678,672,674,39600,26752600
2014-03-04,655,671,655,668,52300,34802600
2014-03-03,660,662,647,660,71800,47033000
2014-02-28,666,670,661,668,72200,48023200
2014-02-27,671,671,666,667,47900,32030300
2014-02-26,675,678,667,673,67800,45619300
2014-02-25,680,683,677,677,51800,35178000
2014-02-24,681,692,667,672,88800,59974100
2014-02-21,668,680,668,676,75200,50768500
2014-02-20,680,685,661,671,91600,61602000
2014-02-19,682,690,680,680,65900,45087700
2014-02-18,693,700,686,698,45200,31401400
2014-02-17,687,689,669,687,69200,47104200
2014-02-14,689,694,678,685,54900,37565800
2014-02-13,703,703,688,688,32000,22238400
2014-02-12,697,705,694,699,48100,33602300
2014-02-10,689,694,682,682,46700,32003600
2014-02-07,680,682,672,679,64400,43598000
2014-02-06,671,675,656,662,120400,79907700
2014-02-05,674,681,660,670,99500,66706200
2014-02-04,693,698,660,664,209500,141570000
2014-02-03,711,718,700,709,83100,59026900
2014-01-31,725,734,710,718,88900,64226600
2014-01-30,726,726,706,716,87700,62612200
2014-01-29,720,733,716,732,53900,39167800
2014-01-28,715,718,708,708,67900,48335400
2014-01-27,709,715,703,706,82400,58405800
2014-01-24,732,740,723,724,88300,64593300
2014-01-23,752,752,740,740,62600,46646100
2014-01-22,757,760,745,752,59000,44450700
2014-01-21,759,760,754,757,41000,31056400
2014-01-20,753,763,750,754,72700,54971500
2014-01-17,754,759,750,755,62400,47071600
2014-01-16,752,763,751,752,70400,53276200
2014-01-15,743,752,738,751,90900,67839600
2014-01-14,732,744,731,738,103500,76249900
2014-01-10,736,741,730,739,73400,54027000
2014-01-09,735,742,733,735,55400,40800600
2014-01-08,728,734,723,734,58100,42371000
2014-01-07,728,730,721,722,49600,35942500
2014-01-06,735,735,723,728,66600,48545400
2013-12-30,726,737,725,733,109400,80003900
2013-12-27,715,720,710,718,52700,37673700
2013-12-26,700,714,699,710,79700,56535600
2013-12-25,697,700,694,696,150400,104808900
2013-12-24,710,714,698,702,134900,94898000
2013-12-20,709,712,701,712,74200,52507600
2013-12-19,715,719,702,710,170100,121007600
2013-12-18,711,717,711,717,41200,29458900
2013-12-17,717,725,710,714,47600,34097000
2013-12-16,728,730,710,713,63200,45399000
2013-12-13,732,740,729,731,100100,73299400
2013-12-12,745,745,738,739,49100,36362500
2013-12-11,741,747,735,745,73000,54141300
2013-12-10,740,750,740,747,87000,64906700
2013-12-09,744,746,738,745,68700,51038800
2013-12-06,731,737,730,735,44200,32400500
2013-12-05,740,746,732,734,80300,59261100
2013-12-04,740,752,734,745,181600,134867800
2013-12-03,749,749,740,745,133300,99251900
2013-12-02,750,755,740,749,170600,127798500
2013-11-29,752,757,743,752,131600,98835600
2013-11-28,756,760,745,751,106900,80297300
2013-11-27,748,756,740,756,159700,119570300
2013-11-26,728,748,725,748,180600,132799500
2013-11-25,709,729,709,727,150000,107896200
2013-11-22,710,710,705,708,97900,69370600
2013-11-21,707,712,702,705,54100,38246900
2013-11-20,693,718,692,713,161100,113801100
2013-11-19,695,700,693,694,45700,31764100
2013-11-18,700,706,695,697,76700,53714600
2013-11-15,691,699,691,699,79400,55199400
2013-11-14,691,694,686,691,79600,54939900
2013-11-13,677,695,677,689,151700,104162800
2013-11-12,698,712,697,712,121600,85948100
2013-11-11,700,701,694,695,45100,31449000
2013-11-08,696,697,689,691,55600,38540700
2013-11-07,705,706,697,698,43000,30124300
2013-11-06,692,708,692,705,35300,24766700
2013-11-05,694,699,687,690,38600,26708500
2013-11-01,705,705,691,693,53500,37384800
2013-10-31,704,710,704,705,34400,24310100
2013-10-30,706,710,704,707,53700,37994100
2013-10-29,709,709,702,703,33600,23705500
2013-10-28,707,709,703,709,43500,30728500
2013-10-25,705,705,700,701,35900,25204500
2013-10-24,701,709,698,707,27400,19257100
2013-10-23,709,713,701,701,42600,30101000
2013-10-22,707,713,706,710,36000,25526200
2013-10-21,704,711,701,707,32700,23121100
2013-10-18,707,712,695,703,39600,27913100
2013-10-17,711,716,707,709,42100,29907800
2013-10-16,706,718,705,711,36100,25682900
2013-10-15,707,715,703,711,26100,18564100
2013-10-11,710,711,703,707,24000,16982900
2013-10-10,695,702,693,697,20500,14275700
2013-10-09,673,700,667,698,25000,17009500
2013-10-08,670,680,664,674,19300,12929400
2013-10-07,681,688,671,672,37000,25064800
2013-10-04,691,692,675,687,36000,24687200
2013-10-03,703,704,691,691,29100,20230400
2013-10-02,714,728,697,698,53400,37903900
2013-10-01,718,726,711,714,38400,27490900
2013-09-30,727,727,720,722,23800,17229600
2013-09-27,740,740,733,737,15700,11566000
2013-09-26,738,740,721,740,21600,15832800
2013-09-25,745,745,734,739,44600,32955600
2013-09-24,735,740,734,737,26900,19833500
2013-09-20,732,735,731,734,26400,19357800
2013-09-19,725,734,725,734,39000,28458100
2013-09-18,723,725,718,722,23100,16681600
2013-09-17,718,721,717,717,15800,11359800
2013-09-13,706,717,706,716,48300,34187600
2013-09-12,714,718,711,712,15700,11199900
2013-09-11,714,719,711,714,23400,16713400
2013-09-10,712,716,709,714,25800,18391200
2013-09-09,705,711,702,709,29100,20561100
2013-09-06,708,710,694,700,21400,14961300
2013-09-05,705,708,705,708,29900,21114200
2013-09-04,694,700,690,699,19700,13690100
2013-09-03,692,708,692,700,16800,11751800
2013-09-02,680,691,680,688,14200,9745400
2013-08-30,698,701,672,686,37000,25448700
2013-08-29,701,707,695,699,15600,10920100
2013-08-28,710,711,695,701,34200,24089100
