6591-T,東証2部,西芝電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,176,176,172,173,73000,12667000
2014-06-26,171,176,169,176,54000,9328000
2014-06-25,169,172,169,170,18000,3078000
2014-06-24,171,171,168,171,36000,6125000
2014-06-23,171,172,169,171,47000,8016000
2014-06-20,169,169,168,168,11000,1853000
2014-06-19,168,170,168,168,20000,3376000
2014-06-18,166,171,166,169,48000,8128000
2014-06-17,165,166,164,164,18000,2971000
2014-06-16,165,165,162,163,17000,2786000
2014-06-13,162,163,158,163,24000,3855000
2014-06-12,163,163,161,161,9000,1462000
2014-06-11,165,166,163,164,17000,2794000
2014-06-10,166,166,162,165,33000,5433000
2014-06-09,164,167,164,167,18000,2994000
2014-06-06,163,164,162,164,22000,3586000
2014-06-05,163,163,161,163,20000,3242000
2014-06-04,163,163,159,162,27000,4349000
2014-06-03,162,164,160,163,32000,5198000
2014-06-02,158,162,158,160,28000,4482000
2014-05-30,158,159,158,158,7000,1108000
2014-05-29,159,160,158,160,10000,1591000
2014-05-28,158,162,158,162,14000,2233000
2014-05-27,164,164,160,160,25000,4050000
2014-05-26,162,162,160,162,14000,2264000
2014-05-23,156,157,156,157,15000,2352000
2014-05-22,153,155,153,155,8000,1230000
2014-05-21,149,150,149,150,10000,1494000
2014-05-20,151,151,148,149,12000,1788000
2014-05-19,151,152,150,150,22000,3313000
2014-05-16,152,153,151,152,20000,3040000
2014-05-15,152,155,152,155,10000,1543000
2014-05-14,153,157,152,152,43000,6666000
2014-05-13,157,161,151,153,70000,10826000
2014-05-12,162,162,151,156,65000,10207000
2014-05-09,160,166,160,163,29000,4729000
2014-05-08,165,168,156,160,71000,11487000
2014-05-07,165,168,165,165,10000,1659000
2014-05-02,168,168,167,168,7000,1174000
2014-05-01,168,168,163,167,9000,1500000
2014-04-30,167,167,163,163,13000,2139000
2014-04-28,166,166,163,163,23000,3802000
2014-04-25,166,168,166,167,16000,2670000
2014-04-24,168,168,165,166,22000,3657000
