6616-T,JQスタンダード,トレックスセミ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3750,3810,3720,3810,3600,13568000
2014-06-26,3840,3840,3750,3750,4600,17359000
2014-06-25,3805,3850,3780,3790,9200,34992000
2014-06-24,3855,3865,3800,3855,6900,26434500
2014-06-23,3795,3905,3790,3845,10000,38199500
2014-06-20,3950,3970,3840,3855,14500,56714000
2014-06-19,3910,3940,3890,3900,10600,41487000
2014-06-18,3900,3940,3860,3885,13900,54236000
2014-06-17,3870,3930,3820,3825,5700,21987500
2014-06-16,3990,3990,3830,3855,10900,42534500
2014-06-13,3885,3945,3860,3880,10800,41998000
2014-06-12,3885,3955,3885,3955,18300,71649000
2014-06-11,3885,4000,3870,3955,14900,58849000
2014-06-10,4020,4020,3820,3935,21100,82491500
2014-06-09,4000,4040,3900,3970,22700,90200000
2014-06-06,3700,4065,3690,3875,44500,172599000
2014-06-05,3710,3710,3615,3670,10900,39948500
2014-06-04,3820,3820,3670,3700,26300,98166000
2014-06-03,3585,3930,3580,3820,66100,249444500
2014-06-02,3500,3620,3500,3555,13700,48909500
2014-05-30,3510,3550,3380,3480,10900,37857500
2014-05-29,3450,3630,3370,3450,33700,117944500
2014-05-28,3210,3440,3210,3400,22900,76493000
2014-05-27,3270,3270,3170,3210,12200,39172000
2014-05-26,3250,3300,3200,3200,7700,25061000
2014-05-23,3120,3270,3120,3170,6300,20011000
2014-05-22,3005,3150,3005,3150,5300,16357500
2014-05-21,3000,3100,2930,3040,6900,20816200
2014-05-20,3035,3055,2903,2994,10300,30486300
2014-05-19,3200,3200,2985,2985,9300,28555100
2014-05-16,3270,3345,3175,3200,10800,35040000
2014-05-15,3325,3330,3200,3200,13000,42338000
2014-05-14,3505,3595,3300,3330,25000,85768500
2014-05-13,3210,3245,3140,3235,9300,29571000
2014-05-12,3355,3355,3200,3210,11500,37701500
2014-05-09,3385,3430,3360,3390,4900,16564500
2014-05-08,3415,3470,3400,3400,7600,26111500
2014-05-07,3500,3500,3360,3460,6300,21519500
2014-05-02,3440,3570,3440,3510,8400,29332000
2014-05-01,3425,3530,3400,3435,9900,34129000
2014-04-30,3570,3580,3410,3410,22800,78789500
2014-04-28,3620,3700,3545,3575,19600,70163500
2014-04-25,3970,3970,3640,3690,60800,227882000
2014-04-24,3775,4295,3750,3950,233900,957268000
2014-04-23,3610,3645,3520,3595,12800,45799000
2014-04-22,3800,3880,3600,3620,17100,63628500
2014-04-21,3845,3930,3695,3800,42500,162739500
2014-04-18,3690,3930,3565,3660,60200,225186500
2014-04-17,3490,3880,3485,3800,45900,168027500
2014-04-16,3400,3650,3350,3455,43600,151964500
2014-04-15,3740,3780,3415,3460,53600,190473000
2014-04-14,3985,3985,3655,3675,48000,182310500
2014-04-11,3905,4030,3905,3935,61300,241967000
2014-04-10,4450,4470,4015,4150,137900,589051000
2014-04-09,4670,5300,4150,4255,786900,3772321500
2014-04-08,4480,4950,4320,4600,879800,4076590500
