6628-T,JQスタンダード,オンキヨー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,162,162,154,160,1066400,167664400
2014-06-26,167,167,160,162,2977700,484710900
2014-06-25,183,194,168,168,8127200,1479192000
2014-06-24,148,189,148,168,9965900,1720943900
2014-06-23,150,152,149,149,363300,54566500
2014-06-20,152,154,150,150,408700,62017600
2014-06-19,148,154,148,152,1338900,201606300
2014-06-18,154,154,149,149,517400,78191300
2014-06-17,154,156,151,153,905400,138787200
2014-06-16,154,156,147,155,1858200,281093600
2014-06-13,143,147,141,145,438100,63129600
2014-06-12,144,144,140,143,1360000,193387600
2014-06-11,159,166,145,145,5821800,890527200
2014-06-10,138,142,136,139,1002300,139132700
2014-06-09,135,138,135,136,706600,96182300
2014-06-06,132,138,131,135,690400,92586400
2014-06-05,134,135,131,132,304100,40285500
2014-06-04,135,136,131,134,508500,67567400
2014-06-03,136,138,133,135,965300,130623300
2014-06-02,134,138,130,136,1367300,182909600
2014-05-30,154,160,132,134,8467100,1239564700
2014-05-29,125,126,120,125,382700,47147100
2014-05-28,124,127,124,127,127600,15945200
2014-05-27,124,125,122,124,191500,23654600
2014-05-26,124,126,121,126,234400,28998800
2014-05-23,118,124,118,124,207600,24844700
2014-05-22,115,120,115,118,237500,27825900
2014-05-21,116,116,114,116,115100,13303900
2014-05-20,115,116,113,116,178600,20378700
2014-05-19,121,123,111,113,531000,62652600
2014-05-16,123,124,121,123,128800,15782500
2014-05-15,125,126,123,125,46300,5753600
2014-05-14,124,125,123,124,56800,7047400
2014-05-13,127,127,123,125,129300,16173900
2014-05-12,128,130,125,127,181800,23103600
2014-05-09,128,130,126,126,170800,21713200
2014-05-08,128,130,126,128,130400,16607000
2014-05-07,129,129,127,129,195900,25105800
2014-05-02,132,133,129,133,321000,42048600
2014-05-01,133,135,132,132,128400,17127300
2014-04-30,133,138,132,133,344100,46470200
2014-04-28,133,133,131,131,73000,9644700
2014-04-25,133,134,131,131,246800,32511700
2014-04-24,136,137,131,135,476800,63838100
2014-04-23,143,148,133,137,1826200,257501500
2014-04-22,125,140,125,138,2644200,350752200
2014-04-21,123,126,122,124,472300,58664000
2014-04-18,122,124,121,122,271700,33272200
2014-04-17,123,123,121,122,158500,19350500
2014-04-16,122,124,121,122,389100,47559000
2014-04-15,121,128,120,121,502000,61530200
2014-04-14,119,122,118,120,232100,27855400
2014-04-11,118,124,117,121,939000,112437700
2014-04-10,133,134,123,125,873500,111253400
2014-04-09,133,137,132,132,355200,47501300
2014-04-08,142,142,132,133,1412600,191026900
2014-04-07,142,143,141,142,250500,35542300
2014-04-04,143,148,141,146,597000,85864000
2014-04-03,153,153,144,144,999800,148343400
