6629-T,JQスタンダード,テクノHR,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,164,165,155,157,33600,5297900
2014-06-26,162,164,161,163,12200,1983400
2014-06-25,163,163,158,163,17400,2800800
2014-06-24,160,162,159,162,23000,3698300
2014-06-23,161,161,156,159,23800,3775500
2014-06-20,159,161,156,156,38400,6053100
2014-06-19,159,161,157,161,28500,4545300
2014-06-18,158,159,153,156,17100,2679500
2014-06-17,153,158,153,158,78000,12061200
2014-06-16,154,156,153,153,14100,2172000
2014-06-13,152,156,152,156,5100,787100
2014-06-12,156,157,153,157,1800,278600
2014-06-11,154,157,152,157,14700,2239000
2014-06-10,158,158,146,151,18400,2793100
2014-06-09,160,160,157,159,1500,239100
2014-06-06,161,161,157,160,2800,446500
2014-06-05,160,162,156,156,52000,8284500
2014-06-04,156,160,156,159,15700,2480500
2014-06-03,151,156,150,156,41000,6286600
2014-06-02,152,152,150,151,2700,407900
2014-05-30,150,150,149,150,2200,329500
2014-05-29,150,150,148,150,7400,1099600
2014-05-28,150,151,149,151,1300,194400
2014-05-27,151,153,147,151,20800,3147900
2014-05-26,144,151,144,151,6500,962700
2014-05-23,146,147,142,145,7900,1151500
2014-05-22,146,147,146,147,500,73100
2014-05-21,145,146,141,146,9100,1294100
2014-05-20,145,145,142,142,6100,876200
2014-05-19,144,148,143,146,6500,939400
2014-05-16,147,148,144,145,5000,729400
2014-05-15,147,148,147,148,1400,205900
2014-05-14,141,146,141,146,13800,1965600
2014-05-13,143,147,143,144,7200,1036800
2014-05-12,145,150,143,143,19400,2816000
2014-05-09,149,150,146,146,5400,795200
2014-05-08,150,151,147,149,4400,653700
2014-05-07,151,151,149,150,8200,1236200
2014-05-02,151,151,150,151,7700,1156900
2014-05-01,150,152,149,150,3300,495000
2014-04-30,152,152,149,151,5900,890200
2014-04-28,150,151,150,151,600,90300
2014-04-25,149,152,149,151,2800,420400
2014-04-24,152,152,150,150,1800,271000
2014-04-23,152,153,150,150,4100,619500
2014-04-22,151,152,150,150,6900,1043200
2014-04-21,151,151,150,150,2800,422700
2014-04-18,150,151,150,150,4300,645100
2014-04-17,152,152,151,152,4600,698200
2014-04-16,148,150,145,150,9300,1376100
2014-04-15,150,151,141,145,18700,2718300
2014-04-14,146,153,146,150,11800,1750300
2014-04-11,147,150,145,150,4800,703200
2014-04-10,153,155,150,151,3300,501500
2014-04-09,151,156,148,151,16100,2441300
2014-04-08,151,152,145,151,13300,1990100
2014-04-07,156,156,152,152,13500,2098000
2014-04-04,155,155,153,155,38000,5864400
2014-04-03,154,155,153,153,6800,1044700
2014-04-02,153,155,152,153,12200,1876200
2014-04-01,149,154,149,152,15300,2307100
2014-03-31,150,151,147,149,36100,5377900
2014-03-28,147,150,147,150,10500,1548400
2014-03-27,148,148,144,147,8300,1205900
2014-03-26,148,149,144,148,31400,4634100
2014-03-25,152,155,149,149,20800,3146300
2014-03-24,144,148,140,148,37800,5446800
2014-03-20,151,151,145,145,52000,7742800
2014-03-19,155,156,150,151,44200,6697000
2014-03-18,155,157,152,154,36800,5696100
2014-03-17,157,157,152,155,22200,3448000
2014-03-14,158,158,156,158,22800,3582700
2014-03-13,158,159,158,159,18000,2845800
2014-03-12,161,161,158,158,33800,5407300
2014-03-11,161,162,160,160,45300,7277000
2014-03-10,163,163,161,162,29900,4863200
2014-03-07,162,163,161,162,21900,3546400
2014-03-06,164,164,162,162,20300,3306000
2014-03-05,163,164,163,164,14600,2382700
2014-03-04,162,163,162,163,11900,1929000
2014-03-03,164,164,161,162,29000,4704200
2014-02-28,162,164,162,164,6900,1121900
2014-02-27,163,164,161,162,22500,3650800
2014-02-26,162,165,161,163,10500,1710800
2014-02-25,164,166,162,162,21900,3581600
2014-02-24,163,169,162,165,56200,9261700
2014-02-21,161,164,161,162,13200,2146200
2014-02-20,161,163,160,161,27400,4420900
2014-02-19,159,161,159,160,19200,3065200
2014-02-18,159,160,158,160,11600,1846100
2014-02-17,159,161,159,160,12200,1949700
2014-02-14,160,161,159,160,14700,2352000
2014-02-13,163,163,159,161,60500,9751000
2014-02-12,165,166,161,163,104800,17051200
2014-02-10,164,167,160,166,349900,57236300
2014-02-07,179,188,179,184,27200,4961800
2014-02-06,173,176,173,176,11600,2023400
2014-02-05,176,176,167,171,17900,3073500
2014-02-04,164,173,164,170,42300,7050600
2014-02-03,183,184,178,181,27300,4937800
2014-01-31,187,190,184,184,27300,5086000
