6630-T,東証1部,ヤーマン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1348,1348,1340,1344,4900,6586100
2014-06-26,1337,1349,1337,1341,4600,6180000
2014-06-25,1330,1345,1330,1337,5300,7090200
2014-06-24,1337,1342,1331,1341,5700,7622700
2014-06-23,1337,1342,1337,1340,3500,4688700
2014-06-20,1350,1353,1331,1334,6100,8170600
2014-06-19,1351,1355,1350,1353,3800,5136200
2014-06-18,1351,1360,1351,1352,7600,10289400
2014-06-17,1355,1363,1352,1356,7400,10037300
2014-06-16,1393,1393,1355,1355,14700,20188400
2014-06-13,1300,1347,1300,1345,31200,41454500
2014-06-12,1294,1294,1291,1292,2800,3618800
2014-06-11,1290,1294,1288,1291,3000,3875300
2014-06-10,1291,1293,1289,1293,2700,3485900
2014-06-09,1286,1293,1286,1291,3100,3998600
2014-06-06,1292,1292,1285,1286,3500,4513000
2014-06-05,1283,1290,1283,1285,3700,4754300
2014-06-04,1288,1290,1285,1287,3200,4118700
2014-06-03,1290,1292,1287,1288,4400,5676800
2014-06-02,1284,1290,1282,1285,3300,4242500
2014-05-30,1275,1280,1271,1279,7100,9064800
2014-05-29,1278,1278,1253,1261,4400,5580400
2014-05-28,1263,1278,1250,1252,7700,9682900
2014-05-27,1280,1283,1261,1264,8100,10295200
2014-05-26,1250,1268,1250,1268,7300,9180500
2014-05-23,1235,1249,1234,1246,8800,10906900
2014-05-22,1222,1236,1215,1235,10600,12998100
2014-05-21,1218,1221,1212,1220,5400,6566800
2014-05-20,1238,1240,1220,1224,9200,11336300
2014-05-19,1260,1266,1245,1246,16200,20361500
2014-05-16,1281,1284,1260,1268,20000,25421400
2014-05-15,1299,1299,1281,1282,9400,12063700
2014-05-14,1295,1295,1286,1286,4200,5415900
2014-05-13,1300,1300,1283,1284,8700,11215400
2014-05-12,1295,1300,1282,1300,15700,20262000
2014-05-09,1305,1307,1298,1300,9800,12750800
2014-05-08,1300,1307,1300,1303,6900,8993300
2014-05-07,1319,1320,1300,1300,21400,28035700
2014-05-02,1297,1320,1292,1311,17800,23217300
2014-05-01,1305,1310,1290,1297,32300,41917600
2014-04-30,1334,1334,1314,1320,22400,29647800
2014-04-28,1355,1355,1335,1338,32400,43495700
2014-04-25,1362,1396,1345,1370,104300,143542900
2014-04-24,1495,1500,1471,1493,73500,109588900
2014-04-23,1502,1502,1499,1499,38500,57774900
2014-04-22,1503,1507,1503,1503,27900,41964700
2014-04-21,1504,1508,1503,1506,24700,37185400
2014-04-18,1503,1506,1502,1505,19000,28575300
2014-04-17,1502,1509,1502,1505,15500,23342800
2014-04-16,1505,1510,1502,1507,18700,28149800
2014-04-15,1504,1507,1500,1506,9200,13837100
2014-04-14,1501,1507,1500,1500,15200,22835300
2014-04-11,1514,1514,1500,1507,24500,36897600
2014-04-10,1528,1529,1517,1521,11400,17367900
2014-04-09,1535,1535,1507,1515,20900,31762600
2014-04-08,1552,1555,1530,1538,25200,38872100
2014-04-07,1560,1566,1555,1557,21300,33188000
2014-04-04,1559,1565,1553,1563,25300,39465400
2014-04-03,1549,1560,1545,1558,19300,30012800
2014-04-02,1552,1552,1540,1544,17700,27395400
2014-04-01,1564,1564,1450,1537,38600,59323600
2014-03-31,1570,1579,1560,1565,33900,53184800
2014-03-28,1532,1569,1530,1567,37700,58400800
2014-03-27,1483,1530,1473,1530,37300,55936000
2014-03-26,1482,1483,1473,1483,21600,31965100
2014-03-25,1443,1467,1442,1465,20000,29141000
2014-03-24,1413,1442,1404,1432,28500,40741800
2014-03-20,1403,1403,1382,1384,11600,16109300
2014-03-19,1400,1405,1386,1386,11900,16573800
2014-03-18,1386,1414,1386,1391,14400,20092800
2014-03-17,1393,1420,1378,1380,27600,38630000
2014-03-14,1449,1449,1382,1393,44100,62395400
2014-03-13,1482,1488,1454,1461,11500,16937400
2014-03-12,1493,1493,1480,1484,10300,15313400
2014-03-11,1487,1495,1482,1492,15500,23068400
2014-03-10,1455,1478,1455,1478,16200,23736000
2014-03-07,1442,1449,1440,1449,9200,13297100
2014-03-06,1440,1450,1435,1442,10000,14415500
2014-03-05,1450,1450,1437,1441,6600,9518300
2014-03-04,1430,1445,1430,1440,5500,7904600
2014-03-03,1450,1450,1425,1432,8600,12358700
2014-02-28,1440,1443,1427,1427,12000,17234400
2014-02-27,1440,1444,1435,1438,7500,10796800
2014-02-26,1438,1438,1421,1431,8800,12569500
2014-02-25,1415,1438,1415,1431,13100,18695900
2014-02-24,1409,1420,1401,1418,10100,14254400
2014-02-21,1399,1399,1387,1392,5300,7396400
2014-02-20,1397,1399,1382,1389,4200,5842300
2014-02-19,1387,1393,1387,1390,1900,2641100
2014-02-18,1377,1394,1373,1393,6700,9265700
2014-02-17,1384,1390,1379,1388,2800,3873500
2014-02-14,1390,1394,1375,1384,5500,7621300
2014-02-13,1397,1403,1390,1390,6100,8506700
2014-02-12,1390,1402,1390,1394,6000,8372100
2014-02-10,1399,1399,1380,1391,3300,4585000
2014-02-07,1396,1396,1365,1374,5900,8138200
2014-02-06,1319,1376,1319,1363,12400,16627000
2014-02-05,1325,1348,1306,1317,11600,15404200
2014-02-04,1352,1370,1280,1306,38600,50938700
2014-02-03,1408,1408,1376,1379,8700,12055500
2014-01-31,1414,1414,1389,1389,7800,10901000
2014-01-30,1414,1414,1375,1396,13500,18843600
2014-01-29,1391,1410,1391,1410,9600,13483000
2014-01-28,1375,1407,1375,1387,8800,12257300
2014-01-27,1354,1385,1354,1374,23400,31912400
2014-01-24,1422,1422,1401,1406,16900,23823900
2014-01-23,1475,1475,1402,1434,16000,23102600
2014-01-22,1483,1487,1460,1476,14400,21290400
2014-01-21,1490,1490,1481,1483,10900,16200800
2014-01-20,1481,1484,1465,1482,14400,21275400
2014-01-17,1429,1471,1429,1464,14600,21048200
