6634-T,JQスタンダード,ネクス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,860,878,808,849,104400,87577800
2014-06-26,900,908,829,890,145100,124976300
2014-06-25,900,942,865,890,174900,157803500
2014-06-24,850,910,825,900,180500,155899700
2014-06-23,844,895,820,849,172000,147200400
2014-06-20,902,930,828,850,266800,232119000
2014-06-19,976,1030,900,900,257600,242261900
2014-06-18,932,970,873,968,326000,299563800
2014-06-17,1010,1120,904,943,796400,817867500
2014-06-16,928,1021,896,970,632600,610951100
2014-06-13,733,913,730,913,613600,526651400
2014-06-12,690,780,664,763,323200,234022100
2014-06-11,716,727,686,700,180800,126944500
2014-06-10,710,757,681,717,581500,418134300
2014-06-09,635,695,613,695,415200,273915500
2014-06-06,575,595,565,595,78300,45345100
2014-06-05,546,635,545,587,273900,161687200
2014-06-04,555,559,540,546,96900,53238400
2014-06-03,560,571,545,545,84700,46840400
2014-06-02,555,560,545,555,56100,30883200
2014-05-30,560,568,540,541,115300,63894500
2014-05-29,550,553,535,540,42500,23089700
2014-05-28,541,559,535,547,45800,25063200
2014-05-27,579,582,535,535,67600,37706600
2014-05-26,540,562,539,562,56100,30806800
2014-05-23,531,563,530,541,61100,33615400
2014-05-22,519,539,517,527,47700,25113700
2014-05-21,527,527,505,516,24400,12535800
2014-05-20,526,530,515,527,31400,16365400
2014-05-19,580,584,516,516,109100,58866500
2014-05-16,590,599,573,585,31900,18751100
2014-05-15,580,593,566,580,29700,17104700
2014-05-14,570,590,568,571,38500,22130900
2014-05-13,560,580,555,567,67200,38027200
2014-05-12,624,624,558,580,103000,61196300
2014-05-09,618,625,612,624,53600,33092200
2014-05-08,630,643,614,617,107000,67020500
2014-05-07,655,664,615,626,183000,115929700
2014-05-02,642,650,625,625,110100,70099600
2014-05-01,666,680,641,652,157600,102907200
2014-04-30,669,770,638,694,266400,187527500
2014-04-28,686,696,658,670,78600,53163200
2014-04-25,697,713,696,703,33000,23107500
2014-04-24,702,725,692,702,43300,30459300
2014-04-23,715,719,688,716,31400,22256600
2014-04-22,723,724,697,699,54500,38604500
2014-04-21,725,765,714,736,63200,46537800
2014-04-18,715,729,703,715,50900,36224100
2014-04-17,736,738,710,728,36200,26073400
2014-04-16,749,762,722,722,34800,25671900
2014-04-15,705,773,705,764,174600,126728800
2014-04-14,921,940,796,830,114300,100794100
2014-04-11,815,927,795,914,138100,119874600
2014-04-10,800,840,780,830,41600,33353400
2014-04-09,779,802,775,775,8700,6872000
2014-04-08,765,804,762,794,26000,20278600
2014-04-07,760,782,760,771,9900,7601300
2014-04-04,777,792,763,773,9700,7511000
2014-04-03,793,800,776,776,10400,8147500
2014-04-02,805,806,791,799,9400,7515300
2014-04-01,777,809,777,805,20500,16316500
2014-03-31,751,790,751,773,11900,9152200
2014-03-28,744,754,732,751,10400,7733800
2014-03-27,764,764,699,725,22800,16516400
2014-03-26,770,772,750,765,6400,4838700
2014-03-25,798,798,767,773,7000,5432300
2014-03-24,760,795,750,789,8000,6222000
2014-03-20,783,799,755,767,14300,10972600
2014-03-19,799,811,783,793,6000,4786000
2014-03-18,764,804,764,799,5900,4642000
