6647-T,東証2部,森尾電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,189,189,182,182,22000,4091000
2014-06-26,189,189,189,189,7000,1323000
2014-06-25,187,187,185,187,13000,2425000
2014-06-24,182,187,182,187,15000,2753000
2014-06-23,175,185,175,181,25000,4513000
2014-06-20,175,175,174,174,13000,2270000
2014-06-19,173,174,173,174,4000,695000
2014-06-18,-,-,-,-,0,0
2014-06-17,175,175,171,174,12000,2089000
2014-06-16,173,174,171,174,5000,864000
2014-06-13,169,173,168,173,8000,1357000
2014-06-12,170,170,169,169,6000,1016000
2014-06-11,170,172,170,172,3000,514000
2014-06-10,172,173,170,170,11000,1882000
2014-06-09,171,172,171,172,7000,1201000
2014-06-06,170,171,169,171,5000,852000
2014-06-05,169,170,168,169,5000,846000
2014-06-04,168,168,168,168,5000,840000
2014-06-03,168,168,168,168,1000,168000
2014-06-02,170,170,168,168,3000,508000
2014-05-30,166,166,166,166,3000,498000
2014-05-29,168,171,166,166,9000,1517000
2014-05-28,170,170,169,169,6000,1019000
2014-05-27,170,170,169,170,7000,1188000
2014-05-26,167,172,167,172,13000,2184000
2014-05-23,162,164,160,164,11000,1782000
2014-05-22,161,162,161,162,2000,323000
2014-05-21,157,157,157,157,2000,314000
2014-05-20,158,159,158,159,6000,949000
2014-05-19,160,160,156,156,15000,2390000
2014-05-16,164,164,160,160,21000,3405000
2014-05-15,166,166,166,166,3000,498000
2014-05-14,166,166,166,166,1000,166000
2014-05-13,166,166,163,163,9000,1485000
2014-05-12,168,170,166,166,10000,1684000
2014-05-09,165,170,164,165,27000,4499000
2014-05-08,168,168,165,165,4000,665000
2014-05-07,-,-,-,-,0,0
2014-05-02,164,167,164,165,5000,824000
2014-05-01,165,171,165,169,18000,3003000
2014-04-30,167,167,161,161,10000,1626000
2014-04-28,174,174,160,165,33000,5468000
2014-04-25,173,173,170,170,5000,862000
2014-04-24,171,173,171,171,5000,857000
2014-04-23,172,172,172,172,1000,172000
2014-04-22,-,-,-,-,0,0
2014-04-21,172,172,171,171,10000,1719000
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,172,172,172,172,4000,688000
2014-04-15,176,176,171,173,11000,1900000
2014-04-14,175,176,173,176,5000,872000
2014-04-11,173,175,170,175,20000,3431000
2014-04-10,176,178,176,176,12000,2114000
2014-04-09,178,178,173,174,11000,1920000
2014-04-08,179,182,179,182,2000,361000
2014-04-07,182,182,180,180,9000,1626000
2014-04-04,186,186,180,181,12000,2202000
2014-04-03,186,186,186,186,4000,744000
2014-04-02,189,190,186,186,3000,565000
2014-04-01,186,186,186,186,1000,186000
2014-03-31,182,187,182,187,5000,920000
2014-03-28,190,190,190,190,2000,380000
2014-03-27,-,-,-,-,0,0
2014-03-26,197,197,197,197,5000,985000
2014-03-25,184,194,184,194,5000,945000
2014-03-24,177,184,177,184,5000,899000
2014-03-20,181,188,178,178,14000,2517000
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,186,186,183,183,9000,1671000
2014-03-14,180,185,178,181,33000,5954000
2014-03-13,190,191,189,191,8000,1523000
2014-03-12,200,200,195,195,26000,5134000
2014-03-11,202,202,197,197,15000,2993000
2014-03-10,198,201,198,200,20000,3983000
2014-03-07,195,200,195,198,13000,2570000
2014-03-06,199,203,191,202,73000,14396000
2014-03-05,189,199,189,199,105000,20399000
2014-03-04,183,188,183,188,5000,926000
2014-03-03,180,191,180,191,10000,1812000
2014-02-28,188,188,185,186,50000,9391000
2014-02-27,186,194,186,190,41000,7858000
2014-02-26,188,195,188,191,88000,16944000
2014-02-25,182,189,182,185,69000,12840000
2014-02-24,170,180,170,180,47000,8269000
2014-02-21,165,170,165,169,8000,1349000
2014-02-20,166,166,165,165,12000,1989000
2014-02-19,164,169,163,169,30000,4954000
2014-02-18,165,166,163,164,15000,2465000
2014-02-17,166,166,164,164,6000,988000
2014-02-14,170,170,164,166,20000,3345000
2014-02-13,171,179,170,170,25000,4315000
2014-02-12,174,175,170,171,12000,2073000
2014-02-10,174,174,165,169,21000,3534000
2014-02-07,158,167,158,167,52000,8422000
2014-02-06,157,157,153,157,10000,1560000
2014-02-05,157,158,152,152,21000,3247000
2014-02-04,151,159,144,152,70000,10660000
2014-02-03,180,180,161,166,69000,11733000
2014-01-31,188,189,182,182,34000,6315000
2014-01-30,190,191,183,187,87000,16170000
2014-01-29,196,198,193,198,22000,4295000
2014-01-28,186,194,186,193,52000,9832000
2014-01-27,194,195,190,190,115000,22072000
2014-01-24,204,212,203,203,151000,31154000
2014-01-23,203,245,202,203,981000,217654000
2014-01-22,210,210,201,203,80000,16360000
2014-01-21,215,221,207,210,224000,47704000
2014-01-20,206,211,199,210,306000,62812000
2014-01-17,214,219,205,209,506000,106837000
2014-01-16,268,274,213,213,2639000,625316000
2014-01-15,284,284,284,284,244000,69296000
2014-01-14,167,204,163,204,365000,69177000
2014-01-10,159,159,150,154,59000,9072000
2014-01-09,162,163,153,156,70000,10994000
2014-01-08,150,162,148,157,165000,25206000
2014-01-07,143,150,143,150,34000,5004000
2014-01-06,141,143,141,143,14000,1996000
2013-12-30,140,141,140,141,2000,281000
2013-12-27,138,142,138,142,10000,1401000
2013-12-26,137,139,137,137,12000,1650000
2013-12-25,136,137,136,137,8000,1089000
2013-12-24,136,137,133,136,28000,3795000
2013-12-20,135,136,134,136,12000,1629000
2013-12-19,140,140,133,135,35000,4740000
2013-12-18,140,140,140,140,1000,140000
2013-12-17,138,140,138,140,2000,278000
2013-12-16,141,142,140,140,7000,983000
2013-12-13,140,140,140,140,1000,140000
2013-12-12,-,-,-,-,0,0
2013-12-11,141,141,140,140,8000,1123000
2013-12-10,144,144,138,143,12000,1715000
2013-12-09,146,146,142,142,4000,575000
2013-12-06,145,145,140,145,33000,4770000
2013-12-05,141,144,141,144,4000,572000
2013-12-04,143,144,141,144,7000,995000
2013-12-03,142,145,141,145,7000,1008000
2013-12-02,145,145,144,144,6000,869000
2013-11-29,139,140,139,140,2000,279000
2013-11-28,140,140,140,140,6000,840000
2013-11-27,140,140,140,140,1000,140000
2013-11-26,136,140,136,140,13000,1783000
2013-11-25,137,140,137,137,20000,2750000
2013-11-22,140,140,137,140,14000,1954000
2013-11-21,140,140,131,140,19000,2610000
2013-11-20,-,-,-,-,0,0
2013-11-19,-,-,-,-,0,0
2013-11-18,142,142,139,140,9000,1261000
2013-11-15,142,142,140,140,5000,706000
2013-11-14,140,143,139,143,21000,2944000
2013-11-13,140,140,140,140,57000,7980000
2013-11-12,-,-,-,-,0,0
2013-11-11,137,140,136,136,15000,2071000
2013-11-08,136,138,136,137,9000,1235000
2013-11-07,137,137,135,135,10000,1368000
2013-11-06,133,136,133,136,7000,934000
2013-11-05,138,138,134,134,2000,272000
2013-11-01,134,134,134,134,7000,938000
2013-10-31,137,138,136,138,5000,684000
2013-10-30,137,139,137,139,8000,1102000
2013-10-29,136,137,135,135,7000,952000
2013-10-28,133,135,133,135,8000,1068000
2013-10-25,140,140,134,134,27000,3664000
2013-10-24,139,140,139,140,3000,419000
2013-10-23,142,142,138,138,7000,982000
2013-10-22,142,142,140,140,6000,842000
2013-10-21,138,139,138,139,2000,277000
2013-10-18,139,140,137,137,9000,1248000
2013-10-17,136,136,135,136,4000,543000
2013-10-16,137,139,134,135,19000,2604000
2013-10-15,135,135,135,135,1000,135000
2013-10-11,137,137,135,135,10000,1368000
2013-10-10,135,135,133,135,8000,1076000
2013-10-09,133,135,129,135,5000,662000
2013-10-08,-,-,-,-,0,0
2013-10-07,131,134,131,134,5000,660000
2013-10-04,137,137,132,134,14000,1873000
2013-10-03,139,139,139,139,1000,139000
2013-10-02,143,143,138,138,7000,978000
2013-10-01,140,140,139,140,8000,1119000
2013-09-30,141,141,140,140,18000,2525000
2013-09-27,143,143,143,143,5000,715000
2013-09-26,142,142,142,142,11000,1562000
2013-09-25,149,149,145,145,16000,2359000
2013-09-24,142,147,141,146,18000,2588000
2013-09-20,149,149,142,142,31000,4508000
2013-09-19,142,154,139,149,85000,12340000
2013-09-18,135,142,135,139,71000,9806000
2013-09-17,135,135,135,135,4000,540000
2013-09-13,138,138,134,134,3000,408000
2013-09-12,136,136,136,136,3000,408000
2013-09-11,133,138,130,135,31000,4128000
2013-09-10,133,133,131,131,10000,1326000
2013-09-09,-,-,-,-,0,0
2013-09-06,-,-,-,-,0,0
2013-09-05,-,-,-,-,0,0
2013-09-04,-,-,-,-,0,0
2013-09-03,128,128,126,127,3000,381000
2013-09-02,125,130,125,125,5000,635000
2013-08-30,-,-,-,-,0,0
2013-08-29,128,128,128,128,1000,128000
2013-08-28,128,128,128,128,1000,128000
2013-08-27,-,-,-,-,0,0
2013-08-26,133,133,133,133,7000,931000
2013-08-23,132,132,131,131,3000,395000
