6676-T,東証1部,メルコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2011,2026,1980,1998,57700,115613500
2014-06-26,2069,2085,2013,2023,112000,228345100
2014-06-25,1968,2055,1955,2051,166600,337925300
2014-06-24,1920,1976,1920,1952,138400,271341300
2014-06-23,1920,1939,1904,1905,65400,125304000
2014-06-20,1973,1988,1910,1914,119600,232362300
2014-06-19,1932,1948,1919,1947,62600,121409500
2014-06-18,1920,1956,1920,1938,85000,164857700
2014-06-17,1932,1959,1900,1908,96400,185738800
2014-06-16,1938,1950,1920,1932,68900,133408000
2014-06-13,1883,1960,1881,1942,78800,151589800
2014-06-12,1912,1936,1903,1917,45100,86628600
2014-06-11,1907,1965,1907,1931,94600,183248200
2014-06-10,1900,1937,1887,1926,77900,149796600
2014-06-09,1908,1923,1889,1893,48400,92092100
2014-06-06,1904,1931,1900,1905,63300,121195900
2014-06-05,1954,1955,1907,1922,104700,202176000
2014-06-04,1889,1945,1889,1935,172200,330448000
2014-06-03,1815,1897,1811,1889,201300,375817000
2014-06-02,1775,1817,1775,1810,127200,229966700
2014-05-30,1756,1785,1756,1775,58300,103475500
2014-05-29,1752,1770,1710,1762,105500,184872000
2014-05-28,1780,1800,1767,1775,92700,165578300
2014-05-27,1760,1780,1760,1761,60500,106879400
2014-05-26,1720,1776,1720,1767,115900,203842900
2014-05-23,1688,1712,1661,1709,108800,184560800
2014-05-22,1692,1694,1671,1688,100300,169054200
2014-05-21,1625,1695,1616,1671,178800,297525000
2014-05-20,1635,1645,1590,1625,120900,196038400
2014-05-19,1620,1651,1608,1637,171000,278816200
2014-05-16,1600,1655,1560,1635,618100,996136500
2014-05-15,1468,1487,1435,1470,56100,81926600
2014-05-14,1459,1487,1446,1468,39600,58215900
2014-05-13,1475,1475,1443,1449,26400,38497800
2014-05-12,1481,1485,1447,1449,52300,76568000
2014-05-09,1497,1523,1493,1502,35200,52926300
2014-05-08,1475,1517,1471,1515,39300,58994000
2014-05-07,1523,1525,1470,1476,73700,109806100
2014-05-02,1559,1559,1530,1533,28800,44330700
2014-05-01,1565,1588,1529,1559,50900,79402100
2014-04-30,1550,1558,1500,1553,109600,168145400
2014-04-28,1537,1564,1537,1558,45200,69983600
2014-04-25,1561,1575,1550,1559,60200,94032200
2014-04-24,1579,1594,1554,1574,74000,116384400
2014-04-23,1561,1564,1549,1559,33200,51662600
2014-04-22,1585,1598,1532,1544,49500,77272000
2014-04-21,1582,1587,1542,1571,129800,203437800
2014-04-18,1570,1581,1550,1571,22800,35596000
2014-04-17,1583,1618,1559,1566,68000,107496000
2014-04-16,1545,1574,1530,1572,80200,124453800
2014-04-15,1493,1545,1490,1536,81000,123835100
2014-04-14,1470,1504,1470,1484,32800,48836000
2014-04-11,1481,1501,1463,1487,53600,79845200
2014-04-10,1502,1546,1489,1495,77400,117648400
2014-04-09,1499,1499,1467,1468,45800,67551000
2014-04-08,1506,1514,1485,1499,52600,78895700
2014-04-07,1530,1540,1510,1518,42700,64990000
2014-04-04,1538,1556,1517,1532,70800,108473300
2014-04-03,1513,1556,1504,1552,136000,209633900
