6716-T,JQスタンダード,テクニカル電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,297,297,288,293,16000,4670000
2014-06-26,297,298,297,297,4000,1189000
2014-06-25,298,304,296,297,9000,2695000
2014-06-24,298,298,298,298,1000,298000
2014-06-23,309,309,302,302,14000,4282000
2014-06-20,300,308,300,301,9000,2734000
2014-06-19,289,311,289,298,44000,13147000
2014-06-18,288,288,288,288,1000,288000
2014-06-17,285,285,285,285,1000,285000
2014-06-16,286,286,282,283,11000,3132000
2014-06-13,286,286,284,284,6000,1709000
2014-06-12,285,287,285,287,7000,1998000
2014-06-11,283,289,283,289,13000,3699000
2014-06-10,288,288,282,283,12000,3407000
2014-06-09,283,289,283,289,12000,3438000
2014-06-06,283,283,283,283,3000,849000
2014-06-05,287,288,283,283,7000,2005000
2014-06-04,286,288,286,288,7000,2009000
2014-06-03,292,292,290,290,3000,872000
2014-06-02,285,287,285,287,3000,857000
2014-05-30,293,293,287,287,6000,1739000
2014-05-29,-,-,-,-,0,0
2014-05-28,286,292,286,292,5000,1454000
2014-05-27,295,295,288,288,2000,583000
2014-05-26,288,288,288,288,1000,288000
2014-05-23,289,289,289,289,1000,289000
2014-05-22,280,286,280,286,3000,846000
2014-05-21,269,278,269,278,6000,1639000
2014-05-20,285,285,262,273,41000,11271000
2014-05-19,300,300,285,285,14000,4124000
2014-05-16,301,301,300,300,4000,1201000
2014-05-15,300,307,300,306,29000,8863000
2014-05-14,302,304,300,304,7000,2116000
2014-05-13,292,304,292,302,11000,3281000
2014-05-12,294,295,292,292,5000,1470000
2014-05-09,299,299,287,294,53000,15581000
2014-05-08,317,317,317,317,3000,951000
2014-05-07,311,317,311,317,5000,1569000
2014-05-02,311,315,311,315,2000,626000
2014-05-01,310,310,310,310,1000,310000
2014-04-30,311,315,311,315,7000,2188000
2014-04-28,315,315,311,311,2000,626000
2014-04-25,315,315,315,315,2000,630000
2014-04-24,315,315,315,315,2000,630000
2014-04-23,308,315,308,315,11000,3450000
2014-04-22,311,311,308,308,3000,929000
2014-04-21,311,311,308,308,3000,929000
2014-04-18,308,308,306,306,4000,1228000
2014-04-17,308,309,308,309,2000,617000
2014-04-16,301,305,301,305,4000,1211000
2014-04-15,307,307,301,301,3000,911000
2014-04-14,300,305,295,305,24000,7168000
2014-04-11,302,302,302,302,3000,906000
2014-04-10,307,312,300,305,14000,4255000
2014-04-09,310,311,303,305,13000,3988000
2014-04-08,309,310,305,310,24000,7392000
2014-04-07,310,317,310,317,7000,2190000
2014-04-04,315,320,313,313,18000,5689000
2014-04-03,304,315,304,311,27000,8304000
2014-04-02,310,310,305,307,26000,7985000
2014-04-01,309,309,309,309,1000,309000
2014-03-31,310,310,305,305,2000,615000
2014-03-28,307,310,306,308,9000,2768000
2014-03-27,314,314,303,307,10000,3063000
2014-03-26,315,317,311,312,14000,4398000
2014-03-25,316,319,316,318,7000,2218000
2014-03-24,313,319,313,316,10000,3166000
2014-03-20,314,317,311,311,10000,3131000
2014-03-19,313,315,311,314,9000,2821000
2014-03-18,312,316,311,311,10000,3130000
2014-03-17,314,315,312,312,10000,3130000
2014-03-14,322,325,319,319,8000,2569000
2014-03-13,322,337,322,337,18000,5888000
2014-03-12,320,322,317,322,6000,1916000
2014-03-11,320,320,320,320,1000,320000
2014-03-10,321,321,320,320,4000,1283000
2014-03-07,320,320,316,316,5000,1587000
2014-03-06,317,323,317,320,6000,1919000
2014-03-05,314,317,312,314,19000,5980000
2014-03-04,310,316,310,316,7000,2186000
2014-03-03,315,315,314,315,5000,1574000
2014-02-28,327,327,320,320,12000,3882000
2014-02-27,324,328,323,328,11000,3577000
2014-02-26,322,329,322,325,5000,1626000
2014-02-25,328,328,322,322,12000,3893000
2014-02-24,335,336,328,328,11000,3645000
2014-02-21,327,331,325,330,32000,10489000
2014-02-20,334,340,334,340,8000,2701000
2014-02-19,339,342,335,339,8000,2711000
2014-02-18,340,343,335,343,13000,4411000
2014-02-17,326,334,315,328,29000,9474000
2014-02-14,321,321,303,306,52000,16233000
2014-02-13,343,343,329,329,24000,8030000
2014-02-12,357,357,348,348,7000,2482000
2014-02-10,350,352,344,352,18000,6255000
2014-02-07,380,390,345,356,122000,44392000
2014-02-06,344,367,344,367,9000,3214000
2014-02-05,333,340,325,331,44000,14604000
2014-02-04,321,335,301,317,63000,20396000
2014-02-03,374,376,350,361,44000,16010000
2014-01-31,395,395,385,390,20000,7807000
2014-01-30,410,410,393,394,7000,2805000
2014-01-29,403,403,403,403,3000,1209000
2014-01-28,396,405,396,399,41000,16345000
2014-01-27,410,410,385,394,55000,21890000
2014-01-24,425,430,422,428,26000,11061000
2014-01-23,435,447,435,436,33000,14543000
2014-01-22,432,439,427,432,65000,27994000
2014-01-21,466,467,437,437,74000,33429000
2014-01-20,448,464,435,463,127000,57311000
2014-01-17,426,431,411,419,107000,44882000
2014-01-16,346,388,346,387,81000,30262000
2014-01-15,341,358,341,346,12000,4175000
2014-01-14,338,342,338,340,10000,3405000
2014-01-10,346,348,345,345,7000,2423000
2014-01-09,325,350,325,350,22000,7375000
2014-01-08,320,327,319,327,24000,7728000
2014-01-07,320,320,315,315,23000,7291000
2014-01-06,302,316,300,316,54000,16608000
2013-12-30,291,301,291,301,20000,5930000
2013-12-27,290,291,289,291,9000,2609000
2013-12-26,280,285,280,282,4000,1129000
2013-12-25,275,277,273,274,24000,6593000
2013-12-24,290,290,275,275,26000,7362000
2013-12-20,289,289,289,289,1000,289000
2013-12-19,285,288,281,284,6000,1711000
2013-12-18,285,286,285,285,9000,2566000
2013-12-17,278,280,275,277,8000,2226000
2013-12-16,286,292,279,279,33000,9351000
2013-12-13,267,279,267,279,8000,2192000
2013-12-12,265,265,265,265,2000,530000
2013-12-11,273,273,264,264,16000,4286000
2013-12-10,268,268,268,268,3000,804000
2013-12-09,271,271,266,266,9000,2399000
2013-12-06,270,270,267,267,2000,537000
2013-12-05,268,268,267,267,3000,802000
2013-12-04,273,273,273,273,1000,273000
2013-12-03,270,272,270,272,2000,542000
2013-12-02,276,277,274,277,3000,827000
2013-11-29,276,276,266,269,14000,3804000
2013-11-28,278,280,275,280,25000,6907000
2013-11-27,282,283,275,278,6000,1679000
2013-11-26,-,-,-,-,0,0
2013-11-25,265,276,265,276,28000,7587000
2013-11-22,259,263,257,263,12000,3130000
2013-11-21,256,258,256,258,4000,1027000
2013-11-20,-,-,-,-,0,0
2013-11-19,257,261,257,261,3000,778000
2013-11-18,257,257,257,257,1000,257000
2013-11-15,-,-,-,-,0,0
2013-11-14,256,256,256,256,1000,256000
2013-11-13,-,-,-,-,0,0
2013-11-12,255,255,255,255,2000,510000
2013-11-11,260,260,256,256,6000,1543000
2013-11-08,260,260,256,260,9000,2329000
2013-11-07,260,266,260,266,19000,4972000
2013-11-06,250,255,250,255,2000,505000
2013-11-05,245,250,242,250,11000,2704000
2013-11-01,250,250,247,247,10000,2497000
2013-10-31,259,259,243,253,20000,5005000
2013-10-30,260,260,260,260,1000,260000
2013-10-29,257,257,257,257,1000,257000
2013-10-28,261,261,251,259,6000,1535000
2013-10-25,251,256,248,256,7000,1763000
2013-10-24,250,250,249,250,11000,2749000
2013-10-23,250,250,250,250,3000,750000
2013-10-22,247,250,247,250,4000,995000
2013-10-21,250,250,245,248,5000,1239000
2013-10-18,245,246,245,246,2000,491000
2013-10-17,248,248,245,245,6000,1473000
2013-10-16,247,251,244,251,6000,1482000
2013-10-15,249,251,249,251,3000,751000
2013-10-11,-,-,-,-,0,0
2013-10-10,-,-,-,-,0,0
2013-10-09,-,-,-,-,0,0
2013-10-08,240,260,240,260,7000,1734000
2013-10-07,240,240,240,240,1000,240000
2013-10-04,239,243,239,240,6000,1446000
2013-10-03,245,245,240,240,6000,1450000
2013-10-02,255,255,250,250,24000,6057000
2013-10-01,258,258,258,258,1000,258000
2013-09-30,260,260,260,260,3000,780000
2013-09-27,263,263,263,263,2000,526000
2013-09-26,255,263,255,263,7000,1797000
2013-09-25,268,268,267,268,10000,2679000
2013-09-24,264,264,261,263,19000,4997000
2013-09-20,267,267,263,264,6000,1592000
2013-09-19,263,264,262,264,6000,1578000
2013-09-18,266,266,265,265,3000,797000
2013-09-17,264,268,264,268,4000,1064000
2013-09-13,264,264,263,263,6000,1582000
2013-09-12,262,264,262,264,3000,788000
2013-09-11,268,268,261,261,4000,1053000
2013-09-10,267,267,261,261,7000,1857000
2013-09-09,270,270,267,267,5000,1341000
2013-09-06,270,270,270,270,2000,540000
2013-09-05,266,269,266,269,4000,1068000
2013-09-04,265,265,265,265,6000,1590000
2013-09-03,262,267,262,267,3000,792000
2013-09-02,259,259,259,259,3000,777000
2013-08-30,265,265,257,259,5000,1307000
2013-08-29,266,266,265,265,4000,1062000
2013-08-28,274,274,265,265,4000,1074000
2013-08-27,268,274,268,274,5000,1347000
2013-08-26,266,267,266,267,2000,533000
2013-08-23,261,261,261,261,2000,522000
2013-08-22,-,-,-,-,0,0
2013-08-21,-,-,-,-,0,0
2013-08-20,262,264,253,261,9000,2318000
2013-08-19,256,258,250,258,7000,1773000
2013-08-16,255,256,239,249,35000,8539000
2013-08-15,265,265,259,259,3000,783000
2013-08-14,265,266,249,260,36000,9069000
2013-08-13,265,265,237,253,23000,5761000
2013-08-12,275,275,267,267,5000,1354000
2013-08-09,272,275,270,274,24000,6555000
2013-08-08,289,290,281,281,5000,1426000
2013-08-07,289,289,281,289,7000,2015000
2013-08-06,282,282,275,282,15000,4204000
2013-08-05,287,287,287,287,3000,861000
2013-08-02,287,288,283,288,6000,1712000
2013-08-01,281,289,272,279,15000,4177000
2013-07-31,307,307,287,287,13000,3786000
2013-07-30,320,320,291,301,44000,13461000
2013-07-29,276,352,275,330,156000,49837000
2013-07-26,275,275,272,272,11000,3008000
2013-07-25,274,274,274,274,1000,274000
2013-07-24,272,272,270,272,9000,2445000
2013-07-23,-,-,-,-,0,0
2013-07-22,272,272,272,272,4000,1088000
2013-07-19,274,274,272,272,6000,1637000
2013-07-18,275,275,274,274,3000,823000
2013-07-17,272,274,272,274,5000,1364000
2013-07-16,277,277,272,272,8000,2181000
