6742-T,東証1部,京三製,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,375,375,369,372,112000,41798000
2014-06-26,375,375,371,375,142000,53116000
2014-06-25,372,374,367,367,202000,74795000
2014-06-24,362,370,362,370,134000,49239000
2014-06-23,365,365,356,362,125000,45272000
2014-06-20,362,365,362,364,67000,24360000
2014-06-19,362,364,360,361,69000,24965000
2014-06-18,358,361,356,360,95000,34127000
2014-06-17,357,360,356,358,65000,23250000
2014-06-16,357,357,354,354,39000,13874000
2014-06-13,352,355,340,354,213000,74681000
2014-06-12,352,355,351,352,44000,15546000
2014-06-11,356,357,355,356,49000,17445000
2014-06-10,357,357,352,355,65000,23129000
2014-06-09,355,358,355,356,87000,31011000
2014-06-06,353,354,348,353,82000,28885000
2014-06-05,352,352,348,351,61000,21404000
2014-06-04,348,351,348,350,80000,27957000
2014-06-03,345,351,345,349,126000,43827000
2014-06-02,342,345,338,343,166000,56615000
2014-05-30,349,349,334,340,630000,215388000
2014-05-29,347,347,340,341,93000,31873000
2014-05-28,348,351,340,343,149000,51784000
2014-05-27,350,350,344,346,109000,37985000
2014-05-26,347,349,341,349,111000,38361000
2014-05-23,337,342,334,341,87000,29492000
2014-05-22,331,336,329,332,233000,77173000
2014-05-21,330,335,328,329,135000,44624000
2014-05-20,336,341,333,335,96000,32405000
2014-05-19,334,345,332,332,40000,13438000
2014-05-16,335,339,332,332,87000,29172000
2014-05-15,351,352,334,336,225000,76774000
2014-05-14,350,355,350,353,59000,20820000
2014-05-13,355,355,343,351,69000,24283000
2014-05-12,352,353,347,347,86000,30094000
2014-05-09,347,348,339,346,37000,12709000
2014-05-08,339,347,339,346,24000,8270000
2014-05-07,353,353,337,339,48000,16539000
2014-05-02,347,354,347,351,15000,5264000
2014-05-01,353,358,350,355,77000,27296000
2014-04-30,345,355,345,353,87000,30410000
2014-04-28,345,352,342,347,27000,9391000
2014-04-25,353,354,351,353,111000,39173000
2014-04-24,344,350,340,349,63000,21766000
2014-04-23,345,345,343,344,28000,9637000
2014-04-22,348,349,342,342,19000,6571000
2014-04-21,347,349,347,348,11000,3826000
2014-04-18,349,349,343,348,26000,9023000
2014-04-17,341,347,339,346,50000,17143000
2014-04-16,339,345,339,345,21000,7213000
2014-04-15,336,341,336,339,39000,13225000
2014-04-14,334,341,334,335,37000,12505000
2014-04-11,336,340,333,339,59000,19875000
2014-04-10,345,348,340,344,84000,28975000
2014-04-09,343,347,336,341,96000,32711000
2014-04-08,348,351,343,345,135000,46837000
2014-04-07,350,358,349,354,184000,64960000
2014-04-04,349,353,349,351,117000,41011000
2014-04-03,349,351,346,349,97000,33826000
2014-04-02,352,352,344,344,77000,26805000
2014-04-01,349,350,345,350,103000,35963000
2014-03-31,348,350,345,349,92000,32051000
2014-03-28,346,347,343,346,66000,22807000
2014-03-27,337,345,333,345,68000,23113000
2014-03-26,345,345,342,343,175000,60140000
2014-03-25,336,341,327,340,107000,35950000
2014-03-24,325,340,325,328,122000,40708000
2014-03-20,334,335,318,318,135000,43771000
2014-03-19,334,336,329,331,48000,15939000
2014-03-18,331,337,330,334,32000,10676000
2014-03-17,332,334,326,330,32000,10576000
2014-03-14,334,336,330,330,159000,52965000
2014-03-13,336,343,335,338,19000,6428000
2014-03-12,337,342,336,338,103000,34828000
2014-03-11,338,338,335,337,45000,15160000
2014-03-10,340,340,337,338,48000,16284000
2014-03-07,338,342,337,341,58000,19701000
2014-03-06,337,337,334,337,20000,6718000
2014-03-05,340,340,333,335,27000,9092000
2014-03-04,330,336,330,335,31000,10348000
2014-03-03,334,336,329,336,51000,16911000
2014-02-28,342,343,330,341,42000,14158000
2014-02-27,344,344,337,341,62000,21229000
2014-02-26,341,343,339,343,58000,19797000
2014-02-25,338,342,338,342,32000,10876000
2014-02-24,338,341,337,337,27000,9147000
2014-02-21,328,336,328,336,32000,10674000
2014-02-20,335,335,327,327,27000,8931000
2014-02-19,330,336,330,336,50000,16659000
2014-02-18,329,339,327,337,69000,22968000
2014-02-17,333,334,326,333,37000,12221000
2014-02-14,334,335,328,333,40000,13282000
2014-02-13,336,336,328,334,28000,9275000
2014-02-12,340,341,333,336,42000,14170000
2014-02-10,339,340,330,340,77000,25905000
2014-02-07,336,336,326,335,144000,47974000
2014-02-06,318,321,314,315,92000,29270000
2014-02-05,310,319,307,310,120000,37454000
2014-02-04,315,315,306,306,164000,50897000
2014-02-03,324,325,321,321,43000,13894000
2014-01-31,327,328,322,324,37000,12033000
2014-01-30,329,329,325,325,63000,20555000
2014-01-29,327,333,326,330,51000,16822000
2014-01-28,336,337,326,326,79000,26054000
2014-01-27,335,335,329,330,117000,38847000
2014-01-24,341,343,337,342,119000,40483000
2014-01-23,352,353,342,345,76000,26396000
2014-01-22,354,357,348,355,74000,26021000
2014-01-21,359,359,352,354,42000,14918000
2014-01-20,352,360,352,356,69000,24553000
2014-01-17,351,353,351,352,21000,7403000
2014-01-16,351,354,349,351,77000,27036000
2014-01-15,353,355,351,354,37000,13055000
2014-01-14,355,355,349,351,77000,27097000
2014-01-10,361,361,348,358,159000,56866000
2014-01-09,358,365,355,365,159000,57271000
2014-01-08,355,358,352,358,46000,16307000
2014-01-07,352,355,351,354,80000,28250000
2014-01-06,349,354,344,348,156000,54519000
2013-12-30,341,348,341,347,85000,29334000
2013-12-27,348,348,336,343,172000,59161000
2013-12-26,334,343,332,342,165000,55739000
2013-12-25,329,333,328,333,111000,36725000
2013-12-24,331,332,328,330,53000,17504000
2013-12-20,326,335,326,331,78000,25862000
2013-12-19,333,334,325,331,83000,27407000
2013-12-18,325,333,325,332,81000,26638000
2013-12-17,329,333,328,330,63000,20800000
2013-12-16,334,334,328,330,44000,14543000
2013-12-13,338,338,328,330,207000,69522000
2013-12-12,331,334,329,334,56000,18591000
2013-12-11,335,337,331,332,46000,15382000
2013-12-10,337,338,329,335,55000,18424000
2013-12-09,332,337,330,337,105000,35068000
2013-12-06,327,330,327,330,26000,8546000
2013-12-05,327,332,327,329,61000,20035000
2013-12-04,332,334,328,332,111000,36841000
2013-12-03,331,333,327,331,113000,37305000
2013-12-02,333,334,331,332,38000,12643000
2013-11-29,333,333,329,332,53000,17551000
2013-11-28,334,335,329,334,67000,22262000
2013-11-27,334,335,332,334,73000,24359000
2013-11-26,333,334,329,334,132000,43881000
2013-11-25,322,334,322,334,146000,47764000
2013-11-22,324,325,321,322,58000,18740000
2013-11-21,320,323,320,323,51000,16394000
2013-11-20,323,323,322,322,25000,8065000
2013-11-19,320,323,320,323,51000,16417000
2013-11-18,321,321,316,320,73000,23339000
2013-11-15,316,317,315,317,67000,21200000
2013-11-14,310,314,310,313,66000,20577000
2013-11-13,312,314,311,313,38000,11869000
2013-11-12,308,314,308,310,79000,24491000
2013-11-11,309,310,309,310,62000,19179000
2013-11-08,303,311,303,309,119000,36484000
2013-11-07,314,318,308,310,77000,24127000
