6750-T,東証1部,エレコム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2580,2587,2483,2525,84200,212697700
2014-06-26,2415,2588,2414,2585,120100,301741700
2014-06-25,2400,2412,2370,2380,32100,76734100
2014-06-24,2394,2429,2390,2400,31200,74924500
2014-06-23,2379,2415,2379,2395,38600,92502600
2014-06-20,2400,2423,2378,2389,40000,95680600
2014-06-19,2415,2449,2365,2423,44200,106514800
2014-06-18,2360,2428,2360,2388,55500,132596100
2014-06-17,2453,2493,2374,2376,114400,277604300
2014-06-16,2369,2516,2339,2450,137900,336784200
2014-06-13,2270,2349,2265,2345,85600,197978700
2014-06-12,2231,2309,2226,2259,63700,145025500
2014-06-11,2329,2364,2238,2277,108000,248172400
2014-06-10,2199,2284,2163,2280,128600,286942400
2014-06-09,2182,2230,2171,2197,101700,223917300
2014-06-06,2161,2200,2147,2184,96200,209863000
2014-06-05,2100,2167,2089,2161,88500,188831500
2014-06-04,2140,2147,2084,2127,81900,173641700
2014-06-03,2165,2165,2102,2159,45500,97924300
2014-06-02,2135,2166,2094,2166,102200,218724400
2014-05-30,2116,2150,2077,2091,243700,512714300
2014-05-29,1954,2100,1901,2088,198600,400896400
2014-05-28,1954,2001,1953,1993,122600,243674100
2014-05-27,1897,1995,1897,1953,89400,175482300
2014-05-26,1985,2039,1895,1907,141800,276466300
2014-05-23,1881,1970,1844,1970,153000,292532500
2014-05-22,1740,1845,1739,1841,116600,209520000
2014-05-21,1690,1760,1650,1747,170500,293198700
2014-05-20,1660,1667,1618,1657,82300,135927100
2014-05-19,1660,1666,1631,1657,49800,82252500
2014-05-16,1676,1693,1655,1689,72300,121095000
2014-05-15,1700,1726,1680,1723,83900,142546300
2014-05-14,1667,1750,1667,1715,68600,116862300
2014-05-13,1680,1682,1655,1682,40400,67545600
2014-05-12,1700,1720,1680,1687,49000,82930000
2014-05-09,1700,1700,1635,1681,100900,169057200
2014-05-08,1800,1812,1756,1768,59200,105770200
2014-05-07,1802,1817,1769,1773,32800,58683400
2014-05-02,1848,1851,1807,1813,30300,55307200
2014-05-01,1867,1867,1820,1857,22700,41950700
2014-04-30,1850,1911,1840,1846,56800,106242200
2014-04-28,1826,1870,1823,1831,38400,70649400
2014-04-25,1830,1874,1812,1827,62800,115285100
2014-04-24,1927,1948,1849,1850,72900,136748700
2014-04-23,1970,1980,1930,1948,84300,164657600
2014-04-22,1958,1964,1940,1950,48700,95038700
2014-04-21,1940,1970,1938,1958,42000,82167800
2014-04-18,1903,1941,1901,1939,71400,137548200
2014-04-17,1840,1950,1839,1896,117100,222955800
2014-04-16,1744,1904,1729,1858,118800,217079300
2014-04-15,1782,1783,1698,1704,112300,193839300
2014-04-14,1843,1865,1768,1769,102100,184666600
2014-04-11,1893,1895,1825,1843,131800,244729700
2014-04-10,1940,1990,1897,1898,94000,180767900
2014-04-09,1950,1968,1931,1936,99300,193115700
2014-04-08,1930,1983,1930,1968,146400,287410700
2014-04-07,1960,1990,1944,1955,159800,314060000
2014-04-04,2070,2080,1986,1993,153800,310113900
2014-04-03,2099,2110,2066,2088,107100,223735400
2014-04-02,2065,2100,2055,2085,118500,246369500
2014-04-01,2133,2164,2062,2070,156100,329718200
2014-03-31,2167,2176,2133,2165,116800,251760200
2014-03-28,2100,2145,2089,2117,113600,240085000
2014-03-27,2040,2100,2024,2083,141500,291161200
2014-03-26,2053,2110,2045,2061,184600,382255000
2014-03-25,2120,2200,2037,2054,330000,703356500
2014-03-24,2048,2147,2045,2110,353400,742310200
2014-03-20,1955,2059,1955,2059,396600,803385900
2014-03-19,1865,1943,1845,1915,147700,277780000
2014-03-18,1829,1876,1829,1863,102500,190415300
2014-03-17,1809,1842,1802,1823,92100,168269800
2014-03-14,1820,1850,1793,1840,125700,228860600
2014-03-13,1850,1850,1816,1819,85200,155825500
2014-03-12,1820,1850,1810,1845,97300,178069400
2014-03-11,1862,1876,1792,1817,188200,341844400
2014-03-10,1763,1859,1759,1845,195600,354747900
2014-03-07,1651,1755,1651,1743,172200,294754600
2014-03-06,1596,1656,1595,1649,122000,199432700
2014-03-05,1600,1614,1591,1596,52400,83936300
2014-03-04,1550,1580,1550,1571,48900,76658200
2014-03-03,1575,1584,1547,1578,58000,90691500
2014-02-28,1605,1608,1560,1587,65200,103201600
2014-02-27,1585,1607,1557,1589,70200,111479100
2014-02-26,1583,1630,1566,1585,135000,215999300
2014-02-25,1573,1604,1560,1569,130700,207083900
2014-02-24,1539,1569,1532,1550,176100,272722400
2014-02-21,1491,1528,1488,1507,131000,198328600
2014-02-20,1491,1510,1467,1469,198000,295430400
2014-02-19,1468,1507,1460,1484,257400,381512900
2014-02-18,1410,1430,1402,1427,52200,73839200
2014-02-17,1421,1439,1400,1418,32200,45462000
2014-02-14,1445,1453,1407,1436,39500,56452100
2014-02-13,1414,1463,1414,1430,56400,81223800
2014-02-12,1414,1419,1398,1415,65200,91947600
2014-02-10,1410,1436,1395,1419,90100,127080400
2014-02-07,1510,1514,1389,1404,153200,219216800
2014-02-06,1457,1466,1434,1438,68900,100065700
2014-02-05,1494,1517,1466,1485,45300,67507100
2014-02-04,1460,1500,1444,1465,83200,122268700
2014-02-03,1497,1540,1480,1494,79400,119616700
2014-01-31,1521,1539,1435,1483,82400,124286100
2014-01-30,1510,1520,1451,1520,99000,149553600
2014-01-29,1488,1520,1482,1520,82600,124500600
2014-01-28,1472,1487,1453,1458,57700,84849200
2014-01-27,1417,1449,1410,1444,47900,68638900
2014-01-24,1479,1495,1453,1491,90700,133989000
2014-01-23,1527,1527,1490,1501,77100,116364600
2014-01-22,1470,1529,1470,1519,249500,376358400
2014-01-21,1397,1470,1397,1456,234400,337287900
2014-01-20,1377,1395,1372,1392,46300,64156000
2014-01-17,1367,1369,1345,1358,31700,42955100
2014-01-16,1361,1377,1357,1359,29000,39674700
2014-01-15,1377,1378,1343,1353,29500,39956400
2014-01-14,1352,1377,1350,1362,33600,45877900
2014-01-10,1336,1361,1336,1356,29300,39589700
2014-01-09,1344,1346,1336,1340,12900,17308100
2014-01-08,1330,1342,1325,1338,31400,41825100
2014-01-07,1349,1349,1327,1329,34700,46258000
2014-01-06,1342,1354,1323,1349,62700,84169400
2013-12-30,1380,1380,1312,1312,115500,154224300
2013-12-27,1340,1354,1311,1350,31800,42653000
2013-12-26,1314,1344,1314,1338,22100,29531600
2013-12-25,1312,1326,1311,1314,34100,44814900
2013-12-24,1338,1339,1314,1316,32400,42939400
2013-12-20,1325,1339,1325,1333,53100,70501600
2013-12-19,1350,1353,1333,1344,36400,48912800
2013-12-18,1336,1352,1336,1340,23900,32090300
2013-12-17,1326,1345,1325,1335,24100,32195300
2013-12-16,1342,1368,1335,1335,17900,24084400
2013-12-13,1345,1356,1334,1346,35600,47898700
2013-12-12,1339,1357,1337,1345,38200,51312000
2013-12-11,1384,1385,1352,1381,36500,50122100
