6773-T,東証1部,パイオニア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,220,221,217,217,1747800,382445100
2014-06-26,222,223,219,219,2724800,600848000
2014-06-25,226,227,217,221,7863000,1743466000
2014-06-24,220,238,219,229,14482000,3316377300
2014-06-23,219,221,218,220,1670000,366728000
2014-06-20,222,222,217,218,2203900,483709300
2014-06-19,217,222,217,220,2940300,646193100
2014-06-18,215,217,213,216,1365200,294231300
2014-06-17,214,216,213,213,1070800,229424700
2014-06-16,216,217,213,213,2051500,441064300
2014-06-13,214,216,213,216,4072900,873648700
2014-06-12,217,218,216,217,990800,215030800
2014-06-11,217,219,216,218,1253200,273001900
2014-06-10,216,219,215,216,1451200,314399400
2014-06-09,218,220,217,217,2526000,551123100
2014-06-06,216,218,216,218,1289700,280415900
2014-06-05,218,219,216,217,2156900,468962900
2014-06-04,219,220,215,218,4420900,959134400
2014-06-03,219,221,217,219,3783700,829661100
2014-06-02,218,219,216,218,2299000,499412900
2014-05-30,219,220,213,215,1951100,421196200
2014-05-29,215,218,215,217,1792000,387968600
2014-05-28,219,220,216,217,2043200,444739500
2014-05-27,220,222,219,221,2987400,658154600
2014-05-26,216,221,216,220,2835800,619486800
2014-05-23,213,216,212,215,1971600,422189600
2014-05-22,211,216,211,214,2048400,437720800
2014-05-21,211,214,211,213,1371100,290662800
2014-05-20,212,216,211,215,2024600,433457000
2014-05-19,213,216,212,214,2046500,437209000
2014-05-16,209,214,207,212,4200800,887953200
2014-05-15,211,218,211,214,13194000,2840600700
2014-05-14,206,207,202,205,3578900,732950500
2014-05-13,224,225,201,205,12622800,2654616100
2014-05-12,213,218,211,217,3179700,681693500
2014-05-09,210,212,208,210,2359700,495083400
2014-05-08,210,212,209,210,2539400,533097200
2014-05-07,214,215,209,209,3635400,769034000
2014-05-02,218,220,217,219,1714900,374351700
2014-05-01,221,223,218,218,2180400,479291900
2014-04-30,223,225,219,221,1900500,421231500
2014-04-28,225,225,221,221,1108700,246847800
2014-04-25,225,229,225,225,1145300,259067200
2014-04-24,230,230,227,228,1846000,421671800
2014-04-23,228,230,227,230,1429700,327023400
2014-04-22,231,232,228,229,1961400,449923600
2014-04-21,229,232,228,231,3808700,876814700
2014-04-18,227,231,226,229,5586200,1282567900
2014-04-17,224,228,223,226,3226400,729190600
2014-04-16,221,225,221,224,3592000,802491800
2014-04-15,216,223,216,220,3313500,728398500
2014-04-14,208,214,207,213,2581300,546708000
2014-04-11,205,212,204,210,4926900,1022973700
2014-04-10,219,220,211,213,2836800,609519900
2014-04-09,217,219,214,216,2099200,454132400
2014-04-08,224,225,220,220,2549800,566836900
2014-04-07,224,226,223,224,1911000,429229900
2014-04-04,226,227,224,226,1435500,323556700
2014-04-03,228,229,225,226,3715100,844790700
2014-04-02,221,228,221,227,5123600,1155323100
2014-04-01,222,224,220,221,1728900,383127200
2014-03-31,222,223,218,221,1929500,425772900
2014-03-28,214,221,214,220,2952700,642299300
2014-03-27,213,218,210,216,2932500,626337800
2014-03-26,214,218,213,214,3565300,767871600
2014-03-25,213,218,211,213,3044000,652179300
2014-03-24,210,218,210,217,3732100,802433400
2014-03-20,214,215,207,208,3232500,679666500
2014-03-19,217,218,209,216,4063100,870311200
2014-03-18,219,220,216,217,2816200,613702300
2014-03-17,210,220,209,217,7761600,1676521100
2014-03-14,213,215,210,211,6221800,1323231800
2014-03-13,222,224,219,219,3198200,707284000
2014-03-12,223,225,222,225,2917100,652213700
2014-03-11,225,227,224,226,2501000,564468900
2014-03-10,229,230,224,225,3246000,732815800
2014-03-07,230,231,227,229,4842500,1110522600
2014-03-06,229,230,226,229,3399200,776297900
2014-03-05,229,233,227,229,4880500,1121683900
2014-03-04,220,228,220,227,2819800,634686900
2014-03-03,226,229,220,223,6044400,1346665200
2014-02-28,228,232,227,230,5969000,1369511500
2014-02-27,227,230,226,229,3367600,767052500
2014-02-26,226,230,225,229,3551600,811300100
2014-02-25,229,230,227,229,4760900,1087451600
2014-02-24,225,229,222,226,4379600,986836500
2014-02-21,224,226,221,225,4754400,1064266200
2014-02-20,224,227,219,222,4823600,1075161100
2014-02-19,226,231,222,227,4907300,1114554300
2014-02-18,223,230,221,229,7015500,1582460300
2014-02-17,222,227,215,223,6287200,1393611500
2014-02-14,227,232,218,223,9441900,2116964800
2014-02-13,222,230,217,230,15367200,3456440300
2014-02-12,228,233,225,232,7529000,1730152000
2014-02-10,225,227,222,224,4286600,961041700
2014-02-07,219,225,217,220,6051700,1335491900
2014-02-06,212,216,211,214,4599400,980142800
2014-02-05,212,214,204,212,8712200,1825970000
2014-02-04,203,212,196,204,17230800,3517624300
2014-02-03,219,225,214,215,8243100,1807227300
2014-01-31,222,228,219,222,9924000,2221016800
2014-01-30,221,224,217,219,9806200,2151151400
2014-01-29,222,227,220,227,5667700,1264946500
2014-01-28,216,221,215,216,6537300,1423883400
2014-01-27,212,220,210,214,10492100,2265754000
2014-01-24,221,226,218,222,8079900,1793239900
2014-01-23,233,234,227,227,7690400,1769166600
2014-01-22,234,234,227,231,10432500,2402196000
2014-01-21,234,237,233,234,5138400,1208852200
2014-01-20,237,238,232,233,7709800,1807268200
2014-01-17,238,242,234,234,17442100,4144301300
2014-01-16,229,239,228,233,24600300,5767139700
2014-01-15,226,230,224,227,12959500,2940293200
2014-01-14,227,227,219,221,15764900,3521190600
2014-01-10,218,234,217,233,26805600,6099594000
2014-01-09,218,225,217,220,11369600,2514585600
2014-01-08,212,221,211,220,12815300,2780330100
2014-01-07,214,216,210,211,7044600,1496747600
2014-01-06,219,220,212,213,6948200,1490768200
2013-12-30,218,224,216,220,10173500,2246889600
2013-12-27,216,217,213,216,3997100,858680800
2013-12-26,211,217,211,215,6304100,1352393100
2013-12-25,207,212,206,210,5760900,1210021900
2013-12-24,216,217,206,207,8776100,1864680700
2013-12-20,215,215,212,215,3717400,795443900
2013-12-19,220,220,214,215,4830000,1045561900
2013-12-18,214,220,214,215,6075400,1315900900
2013-12-17,210,216,209,214,7536300,1607275300
2013-12-16,211,217,206,207,7602500,1596739800
2013-12-13,211,214,208,212,8456600,1790331500
2013-12-12,212,217,212,213,6934300,1482013900
2013-12-11,220,221,216,217,5169400,1128685800
2013-12-10,221,224,218,221,5480300,1213673900
2013-12-09,222,223,220,222,6472300,1434860100
2013-12-06,217,222,216,220,8411200,1838528100
2013-12-05,225,227,217,219,10454700,2323255100
2013-12-04,223,229,222,226,13086400,2953822600
2013-12-03,222,230,221,227,31825900,7194439100
2013-12-02,216,223,214,220,13903500,3047575800
2013-11-29,220,220,213,216,9463400,2051649400
2013-11-28,225,225,218,220,14447800,3190033500
2013-11-27,218,228,216,219,32970900,7331587900
2013-11-26,219,222,216,218,19458000,4259953100
2013-11-25,212,226,211,224,49216400,10794191000
2013-11-22,207,214,204,209,36171000,7596375900
2013-11-21,207,210,204,205,16572100,3414240300
2013-11-20,199,210,197,208,52804900,10868825500
2013-11-19,197,198,193,195,6312900,1234320200
2013-11-18,199,202,197,197,8493600,1691636800
2013-11-15,199,202,196,198,14270300,2843466800
2013-11-14,202,206,195,197,29475600,5885297500
2013-11-13,189,208,184,202,131835200,25833890900
2013-11-12,165,169,165,166,6399500,1066793500
2013-11-11,167,168,164,165,4878600,808592700
2013-11-08,169,171,163,165,8847500,1468282800
2013-11-07,177,177,171,172,3381400,588099100
2013-11-06,172,180,171,179,5961800,1054071100
2013-11-05,172,173,167,169,3178300,537183000
2013-11-01,177,179,166,172,8498100,1457790900
2013-10-31,184,185,178,180,4148100,752704400
