6775-T,東証2部,TBグループ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,38,39,37,39,366000,14053000
2014-06-26,37,39,37,38,152000,5774000
2014-06-25,38,38,37,37,83000,3089000
2014-06-24,38,38,38,38,105000,3990000
2014-06-23,39,39,37,38,337000,12892000
2014-06-20,37,40,36,39,510000,19477000
2014-06-19,37,38,36,37,610000,22577000
2014-06-18,36,37,36,36,136000,4917000
2014-06-17,36,37,36,36,59000,2127000
2014-06-16,36,37,36,36,177000,6428000
2014-06-13,35,36,35,36,34000,1193000
2014-06-12,35,35,34,35,56000,1950000
2014-06-11,35,35,34,35,77000,2692000
2014-06-10,37,37,35,35,317000,11212000
2014-06-09,37,37,36,36,87000,3187000
2014-06-06,36,37,35,36,37000,1334000
2014-06-05,36,37,35,36,122000,4390000
2014-06-04,36,37,36,36,91000,3314000
2014-06-03,35,37,35,36,371000,13132000
2014-06-02,34,35,34,34,19000,656000
2014-05-30,34,34,34,34,85000,2890000
2014-05-29,34,35,34,34,54000,1844000
2014-05-28,33,35,33,34,242000,8195000
2014-05-27,33,34,33,33,173000,5712000
2014-05-26,33,34,33,33,56000,1865000
2014-05-23,33,34,33,34,53000,1760000
2014-05-22,34,34,32,33,363000,11959000
2014-05-21,33,34,33,33,22000,730000
2014-05-20,34,34,33,33,106000,3592000
2014-05-19,35,35,34,34,134000,4583000
2014-05-16,35,35,34,34,57000,1956000
2014-05-15,34,35,34,34,33000,1132000
2014-05-14,35,35,35,35,81000,2835000
2014-05-13,36,36,35,35,150000,5262000
2014-05-12,36,36,36,36,95000,3420000
2014-05-09,36,36,35,36,175000,6299000
2014-05-08,36,38,36,36,174000,6381000
2014-05-07,36,36,35,36,144000,5170000
2014-05-02,36,36,35,36,70000,2499000
2014-05-01,36,36,35,36,8000,285000
2014-04-30,36,36,35,36,100000,3593000
2014-04-28,36,36,35,35,41000,1464000
2014-04-25,36,37,36,36,101000,3638000
2014-04-24,36,36,36,36,39000,1404000
2014-04-23,36,36,36,36,60000,2160000
2014-04-22,36,36,36,36,86000,3096000
2014-04-21,36,37,36,36,76000,2755000
2014-04-18,36,37,36,36,92000,3336000
2014-04-17,37,37,36,36,31000,1119000
2014-04-16,37,37,36,36,93000,3356000
2014-04-15,35,37,34,37,503000,17890000
2014-04-14,34,36,34,34,529000,18242000
2014-04-11,35,35,34,34,111000,3843000
2014-04-10,35,36,35,35,209000,7457000
2014-04-09,35,35,35,35,112000,3920000
2014-04-08,36,36,35,35,289000,10332000
2014-04-07,38,38,36,37,275000,10205000
2014-04-04,39,39,38,38,59000,2268000
2014-04-03,39,40,39,39,131000,5162000
2014-04-02,39,40,39,39,432000,17081000
2014-04-01,38,39,37,38,137000,5242000
2014-03-31,37,39,37,38,85000,3223000
2014-03-28,36,39,36,37,172000,6416000
2014-03-27,38,38,36,36,319000,11783000
2014-03-26,34,39,34,39,337000,12433000
2014-03-25,35,36,34,34,168000,5888000
2014-03-24,33,37,33,35,796000,28086000
2014-03-20,34,34,33,33,218000,7249000
2014-03-19,34,35,33,34,96000,3266000
2014-03-18,34,34,34,34,77000,2618000
2014-03-17,33,34,33,34,114000,3869000
2014-03-14,34,34,33,33,132000,4459000
2014-03-13,34,34,34,34,110000,3740000
