6837-T,JQスタンダード,京写,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,301,301,292,299,37000,11056000
2014-06-26,298,301,298,301,17000,5098000
2014-06-25,297,300,297,299,41000,12241000
2014-06-24,298,301,298,299,18000,5389000
2014-06-23,300,301,296,298,25000,7477000
2014-06-20,303,303,300,300,14000,4217000
2014-06-19,296,306,296,303,61000,18267000
2014-06-18,297,299,297,299,25000,7454000
2014-06-17,291,298,291,297,49000,14362000
2014-06-16,299,305,297,299,39000,11673000
2014-06-13,294,296,291,296,26000,7631000
2014-06-12,292,295,285,294,25000,7228000
2014-06-11,298,301,298,300,27000,8095000
2014-06-10,302,302,296,296,31000,9265000
2014-06-09,300,301,295,300,87000,25989000
2014-06-06,290,292,285,292,70000,20237000
2014-06-05,293,293,290,290,14000,4071000
2014-06-04,298,298,288,291,45000,13272000
2014-06-03,284,297,283,297,112000,32448000
2014-06-02,272,276,270,273,20000,5436000
2014-05-30,279,280,271,272,15000,4125000
2014-05-29,268,279,268,276,49000,13478000
2014-05-28,266,267,265,267,7000,1861000
2014-05-27,264,267,264,265,16000,4240000
2014-05-26,257,264,257,264,12000,3137000
2014-05-23,249,260,249,257,23000,5882000
2014-05-22,244,250,244,250,25000,6143000
2014-05-21,247,247,240,240,54000,13033000
2014-05-20,250,253,240,247,41000,10215000
2014-05-19,255,255,251,251,12000,3027000
2014-05-16,255,256,255,255,6000,1531000
2014-05-15,262,262,260,260,13000,3390000
2014-05-14,262,263,262,262,6000,1575000
2014-05-13,268,268,265,265,7000,1870000
2014-05-12,270,270,268,268,2000,538000
2014-05-09,270,270,270,270,2000,540000
2014-05-08,270,270,268,268,5000,1344000
2014-05-07,267,269,267,268,14000,3749000
2014-05-02,270,271,270,270,9000,2433000
2014-05-01,269,270,265,266,33000,8831000
2014-04-30,256,264,256,261,17000,4419000
2014-04-28,258,261,258,259,15000,3882000
2014-04-25,261,262,260,260,11000,2877000
2014-04-24,265,267,260,262,9000,2374000
2014-04-23,258,265,258,265,5000,1304000
2014-04-22,263,263,256,258,7000,1819000
2014-04-21,263,263,262,262,6000,1577000
2014-04-18,258,266,258,263,10000,2637000
2014-04-17,259,260,257,258,10000,2581000
2014-04-16,255,259,254,259,9000,2310000
2014-04-15,255,256,253,254,16000,4077000
2014-04-14,251,256,251,256,14000,3532000
2014-04-11,261,261,250,254,37000,9442000
2014-04-10,269,269,267,267,4000,1071000
2014-04-09,265,269,261,261,15000,3974000
2014-04-08,270,272,270,271,3000,813000
2014-04-07,272,272,270,272,5000,1357000
2014-04-04,272,272,271,272,8000,2175000
2014-04-03,272,274,272,273,6000,1636000
2014-04-02,272,275,270,272,14000,3815000
2014-04-01,-,-,-,-,0,0
2014-03-31,265,270,265,266,15000,4008000
2014-03-28,265,265,258,262,15000,3923000
2014-03-27,262,265,259,265,14000,3663000
2014-03-26,273,273,265,268,11000,2937000
2014-03-25,270,270,265,265,7000,1865000
2014-03-24,269,269,265,265,19000,5107000
2014-03-20,266,266,258,258,11000,2892000
2014-03-19,266,267,264,266,9000,2393000
2014-03-18,265,266,265,266,3000,796000
2014-03-17,263,263,256,259,21000,5432000
2014-03-14,265,265,258,263,61000,15945000
2014-03-13,270,272,270,270,11000,2974000
2014-03-12,277,277,272,276,16000,4412000
2014-03-11,276,278,276,277,12000,3324000
2014-03-10,277,277,276,276,11000,3042000
2014-03-07,280,280,272,276,32000,8828000
2014-03-06,275,280,275,276,20000,5527000
2014-03-05,277,283,270,274,21000,5768000
2014-03-04,269,274,269,274,17000,4618000
2014-03-03,277,277,268,274,16000,4368000
2014-02-28,288,289,288,288,9000,2593000
2014-02-27,288,288,286,288,18000,5176000
2014-02-26,292,292,288,288,7000,2020000
2014-02-25,288,292,288,292,12000,3472000
2014-02-24,286,290,286,288,11000,3169000
2014-02-21,285,291,285,291,19000,5501000
2014-02-20,289,289,285,285,15000,4296000
2014-02-19,285,289,285,285,13000,3720000
2014-02-18,284,288,282,288,15000,4282000
2014-02-17,279,286,279,280,15000,4214000
2014-02-14,284,293,274,279,43000,12092000
2014-02-13,295,295,287,288,23000,6673000
2014-02-12,296,298,296,297,16000,4745000
2014-02-10,303,303,293,297,23000,6888000
2014-02-07,290,294,284,287,36000,10388000
2014-02-06,273,276,267,276,22000,5979000
2014-02-05,270,273,264,270,46000,12354000
2014-02-04,265,276,254,261,137000,36230000
2014-02-03,295,295,262,285,108000,30605000
2014-01-31,315,324,306,313,56000,17533000
2014-01-30,313,316,305,313,76000,23526000
2014-01-29,317,321,315,321,13000,4128000
2014-01-28,308,320,308,309,45000,14137000
2014-01-27,305,310,301,308,108000,32996000
2014-01-24,325,333,324,328,85000,28039000
2014-01-23,341,344,332,333,74000,24914000
2014-01-22,343,347,338,342,102000,34958000
2014-01-21,341,348,341,348,77000,26490000
2014-01-20,335,345,335,345,101000,34427000
2014-01-17,329,335,328,335,41000,13608000
2014-01-16,336,336,327,327,88000,29152000
2014-01-15,322,344,320,329,113000,37181000
2014-01-14,324,324,319,320,43000,13802000
2014-01-10,325,326,322,325,19000,6152000
2014-01-09,324,328,320,325,30000,9696000
2014-01-08,327,330,317,324,94000,30438000
2014-01-07,334,334,325,327,116000,38184000
2014-01-06,328,348,328,335,258000,86917000
2013-12-30,310,315,310,315,57000,17778000
2013-12-27,296,310,296,309,41000,12512000
2013-12-26,292,301,292,299,33000,9835000
2013-12-25,284,304,283,287,134000,38999000
2013-12-24,295,296,280,284,145000,41813000
2013-12-20,306,306,288,297,158000,47148000
2013-12-19,311,320,306,310,148000,46348000
2013-12-18,316,318,307,309,180000,56224000
2013-12-17,292,340,287,320,832000,261431000
2013-12-16,283,295,283,293,254000,73444000
2013-12-13,273,290,271,284,138000,38699000
2013-12-12,272,275,270,273,54000,14716000
2013-12-11,269,277,269,275,134000,36468000
2013-12-10,266,272,266,270,218000,58621000
2013-12-09,263,266,261,261,39000,10264000
2013-12-06,256,261,256,261,32000,8270000
2013-12-05,258,261,258,258,56000,14514000
2013-12-04,266,268,258,263,79000,20862000
2013-12-03,267,269,265,268,27000,7207000
2013-12-02,269,270,263,267,43000,11458000
2013-11-29,261,273,261,266,143000,38391000
2013-11-28,258,261,258,261,43000,11172000
2013-11-27,259,263,257,257,49000,12766000
2013-11-26,259,259,257,259,48000,12400000
2013-11-25,254,271,254,260,149000,39017000
2013-11-22,253,255,253,253,49000,12433000
2013-11-21,253,254,252,252,24000,6074000
2013-11-20,252,255,252,254,26000,6570000
2013-11-19,257,257,252,254,26000,6613000
2013-11-18,255,257,253,257,42000,10730000
2013-11-15,251,253,251,251,22000,5534000
2013-11-14,251,254,249,250,32000,8028000
2013-11-13,255,255,251,251,18000,4549000
2013-11-12,251,255,249,255,61000,15425000
2013-11-11,250,251,248,251,19000,4755000
2013-11-08,250,254,249,250,90000,22616000
2013-11-07,247,250,246,246,33000,8215000
2013-11-06,252,252,247,247,14000,3501000
2013-11-05,245,253,245,253,55000,13650000
2013-11-01,245,247,244,244,71000,17386000
2013-10-31,248,248,244,245,50000,12307000
2013-10-30,245,246,242,245,45000,11016000
2013-10-29,247,247,238,238,116000,28154000
2013-10-28,253,255,250,255,68000,17241000
2013-10-25,247,251,246,251,91000,22633000
2013-10-24,247,248,240,244,133000,32620000
2013-10-23,246,247,239,240,38000,9192000
2013-10-22,243,249,240,240,64000,15501000
2013-10-21,239,244,239,243,28000,6775000
2013-10-18,236,241,236,239,13000,3112000
2013-10-17,238,238,238,238,4000,952000
2013-10-16,230,239,229,237,22000,5134000
2013-10-15,243,243,228,237,46000,10804000
2013-10-11,236,250,234,243,47000,11415000
2013-10-10,225,234,225,234,17000,3890000
2013-10-09,227,235,227,233,10000,2337000
2013-10-08,225,226,224,226,13000,2923000
2013-10-07,234,234,227,227,12000,2760000
2013-10-04,232,232,230,232,11000,2540000
2013-10-03,235,236,231,232,28000,6525000
2013-10-02,240,242,234,236,47000,11167000
2013-10-01,242,245,236,237,48000,11496000
2013-09-30,247,251,242,242,61000,15016000
2013-09-27,252,252,246,247,13000,3237000
2013-09-26,239,252,239,252,38000,9463000
2013-09-25,241,241,238,239,14000,3353000
2013-09-24,240,242,237,241,19000,4549000
2013-09-20,242,242,241,241,15000,3622000
2013-09-19,243,243,237,240,33000,7932000
2013-09-18,240,241,237,239,21000,5018000
2013-09-17,242,245,240,240,23000,5563000
2013-09-13,233,241,233,238,49000,11654000
2013-09-12,233,233,230,230,14000,3236000
2013-09-11,236,236,230,233,24000,5611000
2013-09-10,229,236,228,228,31000,7153000
2013-09-09,230,230,222,226,19000,4298000
2013-09-06,231,232,230,230,11000,2541000
2013-09-05,233,233,230,231,7000,1621000
2013-09-04,227,233,227,233,7000,1600000
2013-09-03,223,228,223,228,19000,4290000
2013-09-02,221,224,221,224,8000,1783000
2013-08-30,220,222,220,220,12000,2645000
2013-08-29,221,223,220,220,22000,4866000
2013-08-28,220,220,214,219,28000,6095000
2013-08-27,227,227,224,224,10000,2253000
2013-08-26,230,230,227,227,10000,2289000
2013-08-23,232,234,230,230,18000,4178000
2013-08-22,230,233,230,230,18000,4152000
2013-08-21,234,234,231,231,13000,3011000
2013-08-20,236,238,232,232,14000,3285000
2013-08-19,237,241,235,236,22000,5226000
2013-08-16,236,244,236,237,23000,5474000
2013-08-15,240,240,236,237,26000,6198000
2013-08-14,243,243,238,241,7000,1684000
2013-08-13,235,242,235,240,12000,2852000
2013-08-12,247,247,232,237,37000,8847000
2013-08-09,255,255,239,239,15000,3692000
2013-08-08,245,250,239,239,25000,6110000
2013-08-07,258,258,248,248,37000,9278000
2013-08-06,260,261,254,261,34000,8743000
2013-08-05,281,281,262,265,95000,25907000
2013-08-02,251,277,240,277,109000,27817000
2013-08-01,228,235,227,235,77000,17734000
2013-07-31,236,236,231,233,8000,1861000
2013-07-30,223,236,223,236,46000,10442000
2013-07-29,242,244,228,228,68000,15829000
2013-07-26,253,254,242,250,24000,5972000
2013-07-25,257,257,255,255,22000,5629000
2013-07-24,262,262,256,256,37000,9549000
2013-07-23,268,268,257,263,42000,11003000
2013-07-22,271,272,268,271,60000,16172000
2013-07-19,274,274,261,269,63000,16894000
2013-07-18,263,270,263,267,53000,14147000
2013-07-17,265,266,261,263,52000,13680000
2013-07-16,260,263,255,260,38000,9913000
