6850-T,東証1部,チノー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,250,252,242,247,181000,44730000
2014-06-26,245,252,245,250,195000,48534000
2014-06-25,245,246,244,245,46000,11268000
2014-06-24,240,246,240,245,94000,22860000
2014-06-23,247,247,242,242,81000,19754000
2014-06-20,252,252,246,247,169000,42024000
2014-06-19,255,255,248,253,146000,36778000
2014-06-18,246,255,244,248,373000,92765000
2014-06-17,241,248,241,246,549000,133960000
2014-06-16,235,236,233,235,176000,41312000
2014-06-13,232,234,227,233,126000,29202000
2014-06-12,230,232,229,232,115000,26490000
2014-06-11,226,231,226,230,188000,42925000
2014-06-10,224,226,223,226,59000,13247000
2014-06-09,223,224,222,224,48000,10690000
2014-06-06,222,225,222,224,85000,19015000
2014-06-05,223,224,221,222,34000,7566000
2014-06-04,225,225,224,224,39000,8751000
2014-06-03,226,226,224,225,64000,14395000
2014-06-02,226,226,225,226,23000,5191000
2014-05-30,224,225,223,224,34000,7624000
2014-05-29,225,225,224,224,13000,2915000
2014-05-28,225,225,222,225,40000,8974000
2014-05-27,225,226,223,225,58000,13024000
2014-05-26,225,225,224,225,30000,6736000
2014-05-23,224,224,223,223,25000,5593000
2014-05-22,223,224,223,224,15000,3351000
2014-05-21,219,223,219,221,18000,3972000
2014-05-20,221,224,220,222,38000,8417000
2014-05-19,225,225,222,224,35000,7835000
2014-05-16,225,225,221,223,81000,18096000
2014-05-15,222,226,222,226,115000,25662000
2014-05-14,225,227,223,227,293000,66028000
2014-05-13,217,220,216,218,24000,5258000
2014-05-12,220,220,216,217,64000,14028000
2014-05-09,219,219,216,219,42000,9134000
2014-05-08,216,218,216,216,23000,4992000
2014-05-07,216,217,215,215,26000,5609000
2014-05-02,218,218,215,217,17000,3678000
2014-05-01,218,218,216,217,18000,3904000
2014-04-30,218,218,215,216,20000,4333000
2014-04-28,217,217,216,217,22000,4773000
2014-04-25,216,218,216,216,25000,5407000
2014-04-24,217,218,215,216,11000,2379000
2014-04-23,214,215,214,215,13000,2790000
2014-04-22,219,220,214,214,48000,10441000
2014-04-21,215,216,215,215,10000,2156000
2014-04-18,218,218,215,218,11000,2389000
2014-04-17,217,217,215,215,17000,3677000
2014-04-16,211,215,211,214,33000,7039000
2014-04-15,212,213,211,211,14000,2968000
2014-04-14,212,213,211,212,18000,3819000
2014-04-11,213,213,211,212,63000,13385000
2014-04-10,217,217,213,213,42000,9012000
2014-04-09,214,214,213,213,40000,8542000
2014-04-08,216,217,216,216,17000,3679000
2014-04-07,218,218,216,217,50000,10831000
2014-04-04,221,221,218,219,39000,8570000
2014-04-03,220,223,220,222,29000,6420000
2014-04-02,220,221,218,220,30000,6596000
2014-04-01,218,221,217,220,54000,11814000
2014-03-31,220,222,217,220,26000,5699000
2014-03-28,219,219,217,219,28000,6118000
2014-03-27,215,219,214,218,68000,14700000
2014-03-26,224,227,222,227,114000,25472000
