6911-T,東証1部,新日無,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,408,413,399,403,286000,115794000
2014-06-26,417,419,405,408,322000,132020000
2014-06-25,418,422,415,415,166000,69398000
2014-06-24,415,420,409,418,248000,102680000
2014-06-23,411,416,409,415,399000,164699000
2014-06-20,418,419,404,405,421000,172152000
2014-06-19,423,425,417,418,220000,92742000
2014-06-18,423,427,422,425,76000,32300000
2014-06-17,430,431,422,424,155000,65924000
2014-06-16,423,432,417,425,501000,212813000
2014-06-13,414,422,411,415,414000,171881000
2014-06-12,420,429,420,421,204000,86316000
2014-06-11,421,430,416,428,276000,116723000
2014-06-10,431,435,419,422,318000,135307000
2014-06-09,431,438,430,431,227000,98229000
2014-06-06,438,439,432,434,244000,106074000
2014-06-05,440,441,433,436,201000,87562000
2014-06-04,438,441,433,440,334000,146321000
2014-06-03,447,447,435,437,915000,402324000
2014-06-02,415,442,410,437,2838000,1224722000
2014-05-30,408,409,396,400,338000,135592000
2014-05-29,414,414,408,409,268000,110015000
2014-05-28,402,414,399,413,517000,211509000
2014-05-27,399,406,395,402,366000,146834000
2014-05-26,398,402,393,401,221000,87952000
2014-05-23,393,399,393,395,252000,99727000
2014-05-22,391,395,387,389,288000,112693000
2014-05-21,381,385,378,384,218000,83110000
2014-05-20,380,391,380,386,276000,106223000
2014-05-19,398,398,384,384,243000,94638000
2014-05-16,398,401,393,398,228000,90344000
2014-05-15,402,408,396,406,333000,134079000
2014-05-14,386,408,386,406,564000,225724000
2014-05-13,389,389,378,385,313000,120081000
2014-05-12,391,392,378,379,452000,174078000
2014-05-09,386,394,385,391,443000,172396000
2014-05-08,406,409,385,393,719000,285498000
2014-05-07,392,405,389,399,857000,340723000
2014-05-02,389,399,384,396,932000,366712000
2014-05-01,371,400,371,394,1583000,613652000
2014-04-30,368,377,361,371,759000,280778000
2014-04-28,355,394,354,369,1627000,602922000
2014-04-25,362,368,356,363,2829000,1021029000
2014-04-24,343,387,335,366,14620000,5462240000
2014-04-23,299,307,296,307,275000,82931000
2014-04-22,303,308,298,299,87000,26387000
2014-04-21,300,310,300,302,91000,27657000
2014-04-18,289,303,289,302,138000,40897000
2014-04-17,292,294,285,290,82000,23779000
2014-04-16,283,292,283,292,84000,24185000
2014-04-15,287,289,277,281,139000,39144000
2014-04-14,286,293,285,287,66000,19015000
2014-04-11,285,296,282,290,107000,30796000
2014-04-10,306,306,296,297,59000,17791000
2014-04-09,303,304,298,300,80000,24153000
2014-04-08,320,320,309,309,85000,26745000
2014-04-07,321,325,315,323,110000,35315000
2014-04-04,323,333,321,322,265000,86325000
2014-04-03,306,324,306,323,266000,84972000
2014-04-02,309,310,305,306,139000,42792000
2014-04-01,314,318,307,309,93000,29026000
