6924-T,東証1部,岩崎電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,238,239,235,235,401000,94714000
2014-06-26,243,243,237,238,396000,94748000
2014-06-25,241,244,241,242,239000,57923000
2014-06-24,243,244,241,243,275000,66578000
2014-06-23,245,245,242,244,335000,81536000
2014-06-20,247,247,243,244,313000,76366000
2014-06-19,245,246,244,246,253000,61968000
2014-06-18,244,246,242,246,209000,51028000
2014-06-17,244,246,243,244,258000,62939000
2014-06-16,248,248,242,243,447000,109598000
2014-06-13,249,252,248,250,340000,84802000
2014-06-12,249,252,246,252,435000,108334000
2014-06-11,246,252,246,251,259000,64641000
2014-06-10,249,251,244,245,210000,51865000
2014-06-09,253,253,248,250,381000,95385000
2014-06-06,247,253,247,252,509000,127377000
2014-06-05,246,250,245,247,375000,92608000
2014-06-04,244,248,243,247,486000,119436000
2014-06-03,243,244,241,244,286000,69460000
2014-06-02,241,245,237,241,892000,214114000
2014-05-30,243,245,240,241,347000,84070000
2014-05-29,245,247,242,244,224000,54813000
2014-05-28,246,248,245,245,476000,117369000
2014-05-27,249,252,244,245,252000,62560000
2014-05-26,247,249,246,248,347000,85880000
2014-05-23,245,246,241,243,404000,98465000
2014-05-22,239,245,239,244,437000,106019000
2014-05-21,239,240,235,238,329000,77793000
2014-05-20,242,243,240,240,365000,88016000
2014-05-19,244,244,241,242,395000,95759000
2014-05-16,245,246,241,244,401000,97683000
2014-05-15,243,246,241,246,335000,81447000
2014-05-14,239,245,238,245,751000,181559000
2014-05-13,236,239,231,238,783000,183753000
2014-05-12,243,244,232,233,1224000,290425000
2014-05-09,244,248,241,248,473000,116174000
2014-05-08,243,244,241,243,312000,75613000
2014-05-07,244,244,239,240,538000,130170000
2014-05-02,250,250,241,246,809000,197289000
2014-05-01,248,251,247,250,719000,179421000
2014-04-30,257,257,245,247,889000,221842000
2014-04-28,254,256,253,254,463000,117764000
2014-04-25,255,262,254,258,1078000,277877000
2014-04-24,262,262,252,254,2546000,651984000
2014-04-23,264,265,253,262,5883000,1522634000
2014-04-22,243,245,240,240,264000,64205000
2014-04-21,247,248,243,244,159000,38995000
2014-04-18,246,247,243,247,238000,58406000
2014-04-17,244,247,241,245,273000,66776000
2014-04-16,239,245,239,245,193000,46843000
2014-04-15,242,243,238,239,230000,55087000
2014-04-14,239,244,239,241,126000,30378000
2014-04-11,240,243,237,241,324000,77731000
2014-04-10,248,252,243,244,467000,115476000
2014-04-09,243,248,242,247,525000,128358000
2014-04-08,250,251,246,248,399000,99067000
2014-04-07,251,253,249,253,276000,69305000
2014-04-04,251,256,251,255,271000,68814000
2014-04-03,261,261,253,254,408000,104848000
2014-04-02,265,265,258,260,506000,132397000
2014-04-01,254,265,253,264,964000,251167000
2014-03-31,253,256,250,253,565000,143105000
2014-03-28,246,253,246,252,411000,103075000
2014-03-27,247,251,244,248,756000,186960000
2014-03-26,258,258,249,250,445000,112583000
2014-03-25,255,259,253,257,753000,192703000
2014-03-24,239,260,238,255,1302000,330895000
2014-03-20,247,248,239,239,840000,203070000
2014-03-19,249,250,243,247,452000,111669000
2014-03-18,248,252,248,250,300000,74929000
2014-03-17,245,249,242,244,526000,129281000
2014-03-14,246,253,245,246,755000,187030000
2014-03-13,260,261,253,255,588000,150193000
2014-03-12,259,262,257,260,396000,102642000
2014-03-11,264,269,259,262,890000,234122000
2014-03-10,265,269,262,265,836000,222308000
2014-03-07,263,273,263,269,2222000,595255000
2014-03-06,254,264,252,263,1994000,519488000
2014-03-05,256,258,252,254,677000,172526000
2014-03-04,249,255,246,255,1268000,318833000
2014-03-03,246,250,238,250,862000,210236000
2014-02-28,246,251,245,249,978000,242751000
2014-02-27,248,249,243,245,1252000,307783000
2014-02-26,254,257,247,249,1108000,279700000
2014-02-25,256,260,251,255,1216000,310027000
2014-02-24,259,261,250,256,3075000,786006000
2014-02-21,242,245,240,244,912000,221091000
2014-02-20,246,249,231,238,1783000,429258000
2014-02-19,243,247,240,246,1640000,399654000
2014-02-18,238,246,238,245,2493000,604870000
2014-02-17,227,238,225,235,1646000,382027000
2014-02-14,231,233,221,225,1074000,242141000
2014-02-13,231,234,228,230,744000,171488000
2014-02-12,237,237,229,231,943000,219885000
2014-02-10,236,242,233,237,2260000,535423000
2014-02-07,235,235,230,232,1367000,317633000
2014-02-06,223,235,221,232,4363000,1002215000
2014-02-05,225,226,217,223,2926000,648945000
2014-02-04,222,228,209,223,11175000,2457344000
2014-02-03,202,206,202,205,292000,59650000
2014-01-31,206,208,202,206,283000,57826000
2014-01-30,206,207,204,206,382000,78296000
2014-01-29,207,210,206,210,168000,35046000
2014-01-28,210,211,206,206,234000,48823000
2014-01-27,210,212,207,207,292000,61227000
2014-01-24,216,219,214,218,386000,83597000
2014-01-23,223,225,218,218,307000,67812000
2014-01-22,223,223,221,223,124000,27597000
2014-01-21,226,226,223,224,232000,52076000
2014-01-20,224,225,223,223,123000,27547000
2014-01-17,220,223,220,223,144000,31951000
2014-01-16,224,225,220,221,386000,86132000
2014-01-15,222,224,220,223,217000,48118000
2014-01-14,220,222,216,219,249000,54589000
2014-01-10,226,226,223,224,284000,63736000
2014-01-09,224,226,222,226,404000,90792000
2014-01-08,221,225,219,224,360000,79952000
2014-01-07,215,222,215,219,400000,87721000
2014-01-06,215,217,212,215,186000,40056000
2013-12-30,216,219,215,215,212000,45875000
2013-12-27,212,215,210,215,276000,58748000
2013-12-26,206,212,206,211,280000,58618000
2013-12-25,204,205,203,205,263000,53579000
2013-12-24,210,212,203,203,541000,111489000
2013-12-20,209,209,205,207,286000,59141000
2013-12-19,210,210,207,208,215000,44883000
2013-12-18,207,211,207,208,198000,41217000
